energy_ev,total_up,N_s_up,N_p_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,0.92722598,0.00287870,0.01945459,0.19670429,0.38737369,0.01049889,0.44400186
-5.99399700,0.93253662,0.00286784,0.02063061,0.19471567,0.38877030,0.01042047,0.44842212
-5.98799400,0.93957717,0.00286475,0.02185594,0.19392713,0.39067306,0.01038826,0.45354585
-5.98199100,0.94783826,0.00286790,0.02311145,0.19416417,0.39291528,0.01039432,0.45911644
-5.97598799,0.95682541,0.00287575,0.02437948,0.19524765,0.39533678,0.01043065,0.46488497
-5.96998499,0.96606829,0.00288678,0.02564421,0.19699837,0.39778645,0.01048944,0.47061480
-5.96398199,0.97512884,0.00289953,0.02689204,0.19924124,0.40012444,0.01056322,0.47608553
-5.95797899,0.98360860,0.00291260,0.02811198,0.20180927,0.40222420,0.01064504,0.48109653
-5.95197599,0.99115521,0.00292470,0.02929604,0.20454728,0.40397422,0.01072862,0.48547003
-5.94597299,0.99746819,0.00293460,0.03043959,0.20731506,0.40527982,0.01080849,0.48905375
-5.93996998,1.00230398,0.00294122,0.03154167,0.20999016,0.40606473,0.01088009,0.49172322
-5.93396698,1.00548021,0.00294361,0.03260517,0.21247004,0.40627266,0.01093986,0.49338373
-5.92796398,1.00687911,0.00294094,0.03363693,0.21467371,0.40586873,0.01098529,0.49397181
-5.92196098,1.00644981,0.00293257,0.03464769,0.21654255,0.40484071,0.01101494,0.49345629
-5.91595798,1.00420931,0.00291802,0.03565186,0.21804045,0.40319991,0.01102840,0.49183866
-5.90995498,1.00024187,0.00289701,0.03666713,0.21915328,0.40098168,0.01102627,0.48915283
-5.90395198,0.99469672,0.00286944,0.03771392,0.21988741,0.39824534,0.01101004,0.48546398
-5.89794897,0.98778358,0.00283546,0.03881467,0.22026768,0.39507338,0.01098197,0.48086658
-5.89194597,0.97976629,0.00279539,0.03999298,0.22033455,0.39156988,0.01094493,0.47548142
-5.88594297,0.97095426,0.00274979,0.04127265,0.22014080,0.38785809,0.01090221,0.46945168
-5.87993997,0.96169196,0.00269940,0.04267666,0.21974769,0.38407712,0.01085734,0.46293819
-5.87393697,0.95234687,0.00264514,0.04422614,0.21922090,0.38037783,0.01081386,0.45611388
-5.86793397,0.94329604,0.00258810,0.04593932,0.21862637,0.37691800,0.01077509,0.44915765
-5.86193097,0.93491207,0.00252948,0.04783065,0.21802621,0.37385701,0.01074398,0.44224804
-5.85592796,0.92754895,0.00247058,0.04990995,0.21747499,0.37135019,0.01072288,0.43555674
-5.84992496,0.92152850,0.00241275,0.05218183,0.21701644,0.36954310,0.01071342,0.42924246
-5.84392196,0.91712812,0.00235738,0.05464528,0.21668092,0.36856614,0.01071635,0.42344534
-5.83791896,0.91457040,0.00230582,0.05729352,0.21648360,0.36852956,0.01073154,0.41828230
-5.83191596,0.91401526,0.00225936,0.06011408,0.21642359,0.36951930,0.01075789,0.41384344
-5.82591296,0.91555487,0.00221923,0.06308914,0.21648402,0.37159385,0.01079340,0.41018978
-5.81990995,0.91921178,0.00218657,0.06619617,0.21663299,0.37478216,0.01083525,0.40735237
-5.81390695,0.92494014,0.00216238,0.06940864,0.21682542,0.37908287,0.01087989,0.40533288
-5.80790395,0.93263001,0.00214760,0.07269705,0.21700566,0.38446474,0.01092325,0.40410550
-5.80190095,0.94211436,0.00214301,0.07602993,0.21711065,0.39086823,0.01096090,0.40362013
-5.79589795,0.95317835,0.00214936,0.07937501,0.21707348,0.39820820,0.01098826,0.40380644
-5.78989495,0.96557018,0.00216730,0.08270024,0.21682719,0.40637737,0.01100088,0.40457882
-5.78389195,0.97901302,0.00219745,0.08597489,0.21630851,0.41525042,0.01099460,0.40584164
-5.77788894,0.99321710,0.00224045,0.08917038,0.21546140,0.42468847,0.01096579,0.40749465
