energy_ev,total_up,B_p_up,B_d_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-6.00000000,0.93634488,0.22298216,0.00000000,0.29790921,0.42794663,0.00084393,0.14241317
-5.99399700,0.97448884,0.23128075,0.00000000,0.30990747,0.44759144,0.00084176,0.14993571
-5.98799400,1.02055831,0.24149823,0.00000000,0.32427785,0.47194361,0.00086542,0.15860345
-5.98199100,1.07489656,0.25372014,0.00000000,0.34112167,0.50111515,0.00091573,0.16847309
-5.97598799,1.13776072,0.26801485,0.00000000,0.36051354,0.53517334,0.00099369,0.17958447
-5.96998499,1.20929724,0.28442823,0.00000000,0.38249422,0.57413046,0.00110051,0.19195621
-5.96398199,1.28951854,0.30297839,0.00000000,0.40706386,0.61793401,0.00123758,0.20558173
-5.95797899,1.37828237,0.32365106,0.00000000,0.43417617,0.66645789,0.00140649,0.22042577
-5.95197599,1.47527505,0.34639569,0.00000000,0.46373374,0.71949543,0.00160900,0.23642172
-5.94597299,1.58000000,0.37112271,0.00000000,0.49558507,0.77675466,0.00184698,0.25347000
-5.93996998,1.69177242,0.39770201,0.00000000,0.52952325,0.83785637,0.00212235,0.27143746
-5.93396698,1.80972071,0.42596293,0.00000000,0.56528676,0.90233524,0.00243702,0.29015816
-5.92796398,1.93279491,0.45569568,0.00000000,0.60256221,0.96964424,0.00279282,0.30943537
-5.92196098,2.05978222,0.48665421,0.00000000,0.64098899,1.03916213,0.00319132,0.32904479
-5.91595798,2.18932880,0.51856040,0.00000000,0.68016584,1.11020401,0.00363378,0.34873903
-5.90995498,2.31996747,0.55110944,0.00000000,0.71965876,1.18203440,0.00412102,0.36825309
-5.90395198,2.45014986,0.58397611,0.00000000,0.75901026,1.25388244,0.00465325,0.38731069
-5.89794897,2.57828196,0.61682169,0.00000000,0.79774934,1.32495842,0.00523000,0.40563115
-5.89194597,2.70276146,0.64930121,0.00000000,0.83540196,1.39447117,0.00584994,0.42293671
-5.88594297,2.82201559,0.68107072,0.00000000,0.87150138,1.46164540,0.00651084,0.43895982
-5.87993997,2.93453771,0.71179429,0.00000000,0.90559828,1.52573836,0.00720945,0.45345027
-5.87393697,3.03892168,0.74115059,0.00000000,0.93727005,1.58605523,0.00794146,0.46618178
-5.86793397,3.13389253,0.76883858,0.00000000,0.96612910,1.64196266,0.00870147,0.47695791
-5.86193097,3.21833269,0.79458257,0.00000000,0.99183006,1.69289999,0.00948306,0.48561705
-5.85592796,3.29130306,0.81813614,0.00000000,1.01407554,1.73838807,0.01027880,0.49203630
-5.84992496,3.35205860,0.83928521,0.00000000,1.03262055,1.77803531,0.01108042,0.49613420
-5.84392196,3.40005823,0.85785017,0.00000000,1.04727556,1.81154128,0.01187896,0.49787224
-5.83791896,3.43496927,0.87368712,0.00000000,1.05790822,1.83869764,0.01266499,0.49725509
-5.83191596,3.45666673,0.88668842,0.00000000,1.06444387,1.85938703,0.01342885,0.49432968
-5.82591296,3.46522778,0.89678252,0.00000000,1.06686497,1.87357993,0.01416093,0.48918319
-5.81990995,3.46092225,0.90393336,0.00000000,1.06520955,1.88133000,0.01485199,0.48193997
-5.81390695,3.44419944,0.90813939,0.00000000,1.05956884,1.88276824,0.01549345,0.47275768
-5.80790395,3.41567205,0.90943217,0.00000000,1.05008419,1.87809621,0.01607766,0.46182270
-5.80190095,3.37609772,0.90787481,0.00000000,1.03694327,1.86757864,0.01659823,0.44934496
-5.79589795,3.32635860,0.90356007,0.00000000,1.02037581,1.85153574,0.01705020,0.43555243
-5.78989495,3.26743944,0.89660831,0.00000000,1.00064865,1.83033511,0.01743020,0.42068531
-5.78389195,3.20040457,0.88716502,0.00000000,0.97806044,1.80438367,0.01773662,0.40499019
-5.77788894,3.12637399,0.87539812,0.00000000,0.95293569,1.77411931,0.01796956,0.38871422
-5.77188594,3.04649898,0.86149484,0.00000000,0.92561854,1.74000253,0.01813084,0.37209945
-5.76588294,2.96193748,0.84565810,0.00000000,0.89646598,1.70250790,0.01822383,0.35537755
-5.75987994,2.87382969,0.82810264,0.00000000,0.86584091,1.66211550,0.01825326,0.33876485
-5.75387694,2.78327421,0.80905058,0.00000000,0.83410489,1.61930217,0.01822497,0.32245795
-5.74787394,2.69130535,0.78872680,0.00000000,0.80161102,1.57453298,0.01814556,0.30662999
-5.74187094,2.59887218,0.76735407,0.00000000,0.76869683,1.52825273,0.01802207,0.29142758
-5.73586793,2.50681987,0.74514810,0.00000000,0.73567767,1.48087800,0.01786162,0.27696853
-5.72986493,2.41587411,0.72231286,0.00000000,0.70284077,1.43278979,0.01767104,0.26334047
-5.72386193,2.32662922,0.69903620,0.00000000,0.67044000,1.38432720,0.01745655,0.25060033
-5.71785893,2.23954046,0.67548605,0.00000000,0.63869195,1.33578238,0.01722350,0.23877474
-5.71185593,2.15492107,0.65180748,0.00000000,0.60777305,1.28739701,0.01697613,0.22786134
-5.70585293,2.07294430,0.62812072,0.00000000,0.57781827,1.23936067,0.01671744,0.21783094
-5.69984992,1.99365044,0.60452022,0.00000000,0.54892120,1.19181107,0.01644914,0.20863044
-5.69384692,1.91695872,0.58107495,0.00000000,0.52113567,1.14483644,0.01617162,0.20018649
-5.68784392,1.84268361,0.55782983,0.00000000,0.49447864,1.09847978,0.01588411,0.19240961
-5.68184092,1.77055486,0.53480823,0.00000000,0.46893452,1.05274500,0.01558483,0.18519877
-5.67583792,1.70024032,0.51201549,0.00000000,0.44446033,1.00760458,0.01527117,0.17844607
-5.66983492,1.63137054,0.48944309,0.00000000,0.42099173,0.96300839,0.01494005,0.17204155
-5.66383192,1.56356396,0.46707339,0.00000000,0.39844946,0.91889309,0.01458812,0.16587771
-5.65782891,1.49645137,0.44488451,0.00000000,0.37674586,0.87519189,0.01421214,0.15985373
-5.65182591,1.42969863,0.42285523,0.00000000,0.35579125,0.83184379,0.01380921,0.15387916
-5.64582291,1.36302645,0.40096942,0.00000000,0.33549976,0.78880202,0.01337709,0.14787690
-5.63981991,1.29622641,0.37921998,0.00000000,0.31579439,0.74604126,0.01291435,0.14178552
-5.63381691,1.22917248,0.35761184,0.00000000,0.29661116,0.70356307,0.01242059,0.13556066
-5.62781391,1.16182784,0.33616417,0.00000000,0.27790205,0.66139958,0.01189653,0.12917568
-5.62181091,1.09424669,0.31491138,0.00000000,0.25963690,0.61961503,0.01134403,0.12262143
-5.61580790,1.02657134,0.29390326,0.00000000,0.24180409,0.57830541,0.01076609,0.11590532
-5.60980490,0.95902514,0.27320402,0.00000000,0.22441011,0.53759625,0.01016679,0.10904972
-5.60380190,0.89190174,0.25289057,0.00000000,0.20747833,0.49763877,0.00955112,0.10208985
-5.59779890,0.82555162,0.23305011,0.00000000,0.19104686,0.45860483,0.00892486,0.09507128
-5.59179590,0.76036700,0.21377730,0.00000000,0.17516599,0.42068109,0.00829439,0.08804719
