energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,2.56168625,0.02117750,0.01514703,1.32371475,1.41845302,0.05258785,1.13092900,0.34514747,0.12447893
-5.99399700,2.63548783,0.01975287,0.01562396,1.37000186,1.45915661,0.05385737,1.16226312,0.34929350,0.12864895
-5.98799400,2.70733040,0.01849443,0.01605410,1.41410191,1.49921534,0.05510934,1.19237559,0.35367497,0.13257088
-5.98199100,2.77548904,0.01739752,0.01642502,1.45505743,1.53767957,0.05630589,1.22052955,0.35811410,0.13615985
-5.97598799,2.83833764,0.01645599,0.01672552,1.49197371,1.57365035,0.05741033,1.24603473,0.36244297,0.13933716
-5.96998499,2.89440945,0.01566269,0.01694604,1.52404997,1.60631356,0.05838851,1.26827280,0.36651070,0.14203322
-5.96398199,2.94245265,0.01500999,0.01707900,1.55060732,1.63497161,0.05921007,1.28672038,0.37018965,0.14419018
-5.95797899,2.98147839,0.01449028,0.01711906,1.57111240,1.65907140,0.05984959,1.30096854,0.37338057,0.14576424
-5.95197599,3.01079916,0.01409631,0.01706335,1.58519545,1.67822719,0.06028743,1.31073808,0.37601632,0.14672735
-5.94597299,3.03005588,0.01382161,0.01691153,1.59266225,1.69223727,0.06051043,1.31588980,0.37806415,0.14706843
-5.93996998,3.03923241,0.01366068,0.01666584,1.59349934,1.70109369,0.06051227,1.31642955,0.37952647,0.14679385
-5.93396698,3.03865694,0.01360917,0.01633101,1.58787244,1.70498447,0.06029364,1.31250775,0.38044018,0.14592735
-5.92796398,3.02899021,0.01366401,0.01591409,1.57611820,1.70428816,0.05986203,1.30441352,0.38087457,0.14450927
-5.92196098,3.01120119,0.01382340,0.01542422,1.55872982,1.69956086,0.05923138,1.29256384,0.38092814,0.14259518
-5.91595798,2.98653134,0.01408677,0.01487232,1.53633731,1.69151630,0.05842142,1.27748822,0.38072434,0.14025400
-5.90995498,2.95644897,0.01445474,0.01427072,1.50968339,1.68099971,0.05745690,1.25980956,0.38040666,0.13756563
-5.90395198,2.92259593,0.01492894,0.01363275,1.47959617,1.66895661,0.05636660,1.24022231,0.38013318,0.13461829
-5.89794897,2.88672851,0.01551188,0.01297237,1.44695993,1.65639773,0.05518229,1.21946849,0.38007091,0.13150559
-5.89194597,2.85065532,0.01620673,0.01230368,1.41268525,1.64436153,0.05393762,1.19831295,0.38039008,0.12832349
-5.88594297,2.81617420,0.01701713,0.01164060,1.37767960,1.63387573,0.05266701,1.17751838,0.38125861,0.12516723
-5.87993997,2.78501064,0.01794694,0.01099639,1.34281970,1.62591934,0.05140455,1.15782122,0.38283681,0.12212842
-5.87393697,2.75875975,0.01899998,0.01038337,1.30892634,1.62138649,0.05018301,1.13990911,0.38527256,0.11929230
-5.86793397,2.73883357,0.02017980,0.00981260,1.27674258,1.62105350,0.04903288,1.12440045,0.38869677,0.11673519
-5.86193097,2.72641522,0.02148929,0.00929363,1.24691577,1.62555011,0.04798158,1.11182661,0.39321944,0.11452243
-5.85592796,2.72242119,0.02293045,0.00883431,1.21998364,1.63533587,0.04705277,1.10261707,0.39892603,0.11270656
-5.84992496,2.72747242,0.02450400,0.00844065,1.19636464,1.65068240,0.04626577,1.09708785,0.40587430,0.11132598
-5.84392196,2.74187486,0.02620901,0.00811678,1.17635242,1.67166202,0.04563518,1.09543314,0.41409155,0.11040408
-5.83791896,2.76560971,0.02804255,0.00786486,1.16011422,1.69814299,0.04517056,1.09772028,0.42357226,0.10994868
-5.83191596,2.79833328,0.02999926,0.00768515,1.14769287,1.72979147,0.04487629,1.10388813,0.43427609,0.10995206
-5.82591296,2.83938646,0.03207109,0.00757610,1.13901199,1.76608009,0.04475148,1.11374857,0.44612650,0.11039130
-5.81990995,2.88781307,0.03424685,0.00753442,1.13388404,1.80630288,0.04479012,1.12699120,0.45900981,0.11122905
-5.81390695,2.94238697,0.03651205,0.00755525,1.13202080,1.84959603,0.04498122,1.14319107,0.47277508,0.11241473
-5.80790395,3.00164679,0.03884866,0.00763234,1.13304579,1.89496392,0.04530911,1.16181923,0.48723476,0.11388601
-5.80190095,3.06393783,0.04123508,0.00775823,1.13650848,1.94130964,0.04575387,1.18225608,0.50216638,0.11557061
-5.79589795,3.12745972,0.04364619,0.00792449,1.14189969,1.98746916,0.04629181,1.20380718,0.51731537,0.11738842
-5.78989495,3.19031903,0.04605356,0.00812198,1.14866813,2.03224794,0.04689608,1.22572131,0.53239913,0.11925378
-5.78389195,3.25058516,0.04842589,0.00834101,1.15623754,2.07445912,0.04753742,1.24721042,0.54711237,0.12107797
-5.77788894,3.30634822,0.05072954,0.00857167,1.16402423,2.11296180,0.04818484,1.26747112,0.56113379,0.12277171
-5.77188594,3.35577695,0.05292931,0.00880406,1.17145462,2.14669823,0.04880660,1.28570709,0.57413391,0.12424784
-5.76588294,3.39717516,0.05498934,0.00902849,1.17798241,2.17472854,0.04937100,1.30115186,0.58578405,0.12542376
-5.75987994,3.42903451,0.05687410,0.00923578,1.18310487,2.19626178,0.04984741,1.31309135,0.59576591,0.12622392
-5.75387694,3.45008183,0.05854959,0.00941739,1.18637791,2.21068195,0.05020714,1.32088522,0.60378181,0.12658196
-5.74787394,3.45931925,0.05998450,0.00956573,1.18742930,2.21756785,0.05042439,1.32398654,0.60956477,0.12644267
-5.74187094,3.45605523,0.06115137,0.00967422,1.18596963,2.21670611,0.05047707,1.32195884,0.61288839,0.12576354
