energy_ev,total_up,Ga_p_up,Ga_d_up,Hf_p_up,Hf_d_up,S_s_up,S_p_up
-6.00000000,1.62770692,0.05417428,0.00000000,0.40032319,0.66330275,0.01881439,0.83480571
-5.99399700,1.44442974,0.04810175,0.00000000,0.35044666,0.58817465,0.01692274,0.73885866
-5.98799400,1.27469586,0.04246122,0.00000000,0.30523078,0.51870401,0.01512358,0.65047965
-5.98199100,1.11860925,0.03726330,0.00000000,0.26449450,0.45490352,0.01342832,0.56959559
-5.97598799,0.97609085,0.03251095,0.00000000,0.22802625,0.39671420,0.01184547,0.49605675
-5.96998499,0.84689555,0.02820027,0.00000000,0.19559082,0.34401216,0.01038075,0.42964434
-5.96398199,0.73063245,0.02432151,0.00000000,0.16693626,0.29661665,0.00903719,0.37007962
-5.95797899,0.62678756,0.02085999,0.00000000,0.14180061,0.25429896,0.00781539,0.31703421
-5.95197599,0.53474797,0.01779721,0.00000000,0.11991830,0.21679193,0.00671378,0.27014105
-5.94597299,0.45382666,0.01511182,0.00000000,0.10102622,0.18379960,0.00572887,0.22900572
-5.93996998,0.38328712,0.01278063,0.00000000,0.08486915,0.15500673,0.00485565,0.19321767
-5.93396698,0.32236709,0.01077958,0.00000000,0.07120472,0.13008800,0.00408785,0.16236103
-5.92796398,0.27030071,0.00908459,0.00000000,0.05980772,0.10871641,0.00341831,0.13602476
-5.92196098,0.22633869,0.00767236,0.00000000,0.05047378,0.09057103,0.00283923,0.11381180
-5.91595798,0.18976607,0.00652103,0.00000000,0.04302242,0.07534364,0.00234251,0.09534719
-5.90995498,0.15991735,0.00561080,0.00000000,0.03729961,0.06274445,0.00191998,0.08028499
-5.90395198,0.13618883,0.00492433,0.00000000,0.03317960,0.05250670,0.00156356,0.06831391
-5.89794897,0.11804825,0.00444714,0.00000000,0.03056641,0.04439023,0.00126553,0.05916177
-5.89194597,0.10504158,0.00416779,0.00000000,0.02939474,0.03818407,0.00101857,0.05259874
-5.88594297,0.09679735,0.00407805,0.00000000,0.02963051,0.03370807,0.00081594,0.04843946
-5.87993997,0.09302853,0.00417285,0.00000000,0.03127103,0.03081383,0.00065150,0.04654424
-5.87393697,0.09353232,0.00445017,0.00000000,0.03434488,0.02938478,0.00051981,0.04681934
-5.86793397,0.09818792,0.00491087,0.00000000,0.03891151,0.02933591,0.00041606,0.04921655
-5.86193097,0.10695294,0.00555837,0.00000000,0.04506075,0.03061294,0.00033618,0.05373236
-5.85592796,0.11985829,0.00639821,0.00000000,0.05291212,0.03319128,0.00027673,0.06040661
-5.84992496,0.13700227,0.00743765,0.00000000,0.06261414,0.03707489,0.00023493,0.06932102
-5.84392196,0.15854397,0.00868503,0.00000000,0.07434372,0.04229511,0.00020862,0.08059779
-5.83791896,0.18469637,0.01014924,0.00000000,0.08830560,0.04890972,0.00019620,0.09439820
-5.83191596,0.21571943,0.01183902,0.00000000,0.10473197,0.05700213,0.00019660,0.11092167
-5.82591296,0.25191360,0.01376232,0.00000000,0.12388239,0.06668107,0.00020927,0.13040516
-5.81990995,0.29361385,0.01592560,0.00000000,0.14604391,0.07808064,0.00023408,0.15312313
-5.81390695,0.34118463,0.01833316,0.00000000,0.17153149,0.09136086,0.00027134,0.17938812
-5.80790395,0.39501582,0.02098654,0.00000000,0.20068858,0.10670869,0.00032171,0.20955183
-5.80190095,0.45551985,0.02388394,0.00000000,0.23388789,0.12433951,0.00038617,0.24400676
-5.79589795,0.52312987,0.02701976,0.00000000,0.27153200,0.14449888,0.00046600,0.28318803
-5.78989495,0.59829883,0.03038422,0.00000000,0.31405372,0.16746447,0.00056269,0.32757526
-5.78389195,0.68149919,0.03396312,0.00000000,0.36191569,0.19354785,0.00067789,0.37769402
