energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-6.00000000,1.71485705,0.76969393,0.31527097,0.00422638,0.15006217,0.68319239,0.41848043,0.94171931,0.00000000
-5.99399700,1.57190246,0.70362763,0.28846568,0.00385118,0.13583700,0.63772212,0.38524548,0.86278720,0.00000000
-5.98799400,1.43530417,0.64006871,0.26299369,0.00348696,0.12259269,0.59261322,0.35364098,0.78688503,0.00000000
-5.98199100,1.30572122,0.57938847,0.23893098,0.00313729,0.11031804,0.54823983,0.32383181,0.71445133,0.00000000
-5.97598799,1.18370491,0.52188964,0.21633673,0.00280520,0.09899309,0.50495286,0.29596636,0.64585258,0.00000000
-5.96998499,1.06970410,0.46780708,0.19525487,0.00249314,0.08859130,0.46307649,0.27017818,0.58138399,0.00000000
-5.96398199,0.96407128,0.41730992,0.17571557,0.00220298,0.07908143,0.42290522,0.24658744,0.52127162,0.00000000
-5.95797899,0.86706936,0.37050490,0.15773653,0.00193607,0.07042925,0.38470141,0.22530212,0.46567558,0.00000000
-5.95197599,0.77887857,0.32744079,0.14132426,0.00169322,0.06259882,0.34869345,0.20641899,0.41469424,0.00000000
-5.94597299,0.69960358,0.28811350,0.12647517,0.00147480,0.05555355,0.31507461,0.19002411,0.36836915,0.00000000
-5.93996998,0.62928037,0.25247195,0.11317653,0.00128077,0.04925698,0.28400237,0.17619304,0.32669045,0.00000000
-5.93396698,0.56788266,0.22042413,0.10140739,0.00111077,0.04367329,0.25559844,0.16499065,0.28960263,0.00000000
-5.92796398,0.51532786,0.19184346,0.09113932,0.00096413,0.03876760,0.22994931,0.15647050,0.25701031,0.00000000
-5.92196098,0.47148221,0.16657507,0.08233706,0.00084002,0.03450615,0.20710727,0.15067380,0.22878399,0.00000000
-5.91595798,0.43616502,0.14444181,0.07495911,0.00073741,0.03085628,0.18709182,0.14762799,0.20476537,0.00000000
-5.90995498,0.40915199,0.12525001,0.06895815,0.00065521,0.02778634,0.16989147,0.14734499,0.18477238,0.00000000
-5.90395198,0.39017760,0.10879471,0.06428144,0.00059227,0.02526552,0.15546570,0.14981911,0.16860355,0.00000000
-5.89794897,0.37893638,0.09486430,0.06087104,0.00054741,0.02326361,0.14374712,0.15502469,0.15604178,0.00000000
-5.89194597,0.37508351,0.08324467,0.05866405,0.00051946,0.02175077,0.13464362,0.16291372,0.14685749,0.00000000
-5.88594297,0.37823461,0.07372258,0.05759270,0.00050730,0.02069718,0.12804059,0.17341335,0.14081109,0.00000000
-5.87993997,0.38796508,0.06608850,0.05758441,0.00050983,0.02007280,0.12380301,0.18642355,0.13765485,0.00000000
-5.87393697,0.40380928,0.06013885,0.05856188,0.00052598,0.01984708,0.12177748,0.20181509,0.13713432,0.00000000
-5.86793397,0.42525970,0.05567765,0.06044312,0.00055470,0.01998866,0.12179419,0.21942794,0.13898931,0.00000000
-5.86193097,0.45176673,0.05251774,0.06314155,0.00059498,0.02046514,0.12366876,0.23907030,0.14295462,0.00000000
-5.85592796,0.48273908,0.05048156,0.06656617,0.00064578,0.02124291,0.12720405,0.26051838,0.14876066,0.00000000
-5.84992496,0.51754528,0.04940166,0.07062185,0.00070605,0.02228694,0.13219204,0.28351706,0.15613414,0.00000000
-5.84392196,0.55551660,0.04912092,0.07520977,0.00077471,0.02356075,0.13841567,0.30778160,0.16479886,0.00000000
-5.83791896,0.59595142,0.04949261,0.08022793,0.00085059,0.02502642,0.14565088,0.33300032,0.17447681,0.00000000
-5.83191596,0.63812132,0.05038037,0.08557198,0.00093249,0.02664463,0.15366882,0.35883841,0.18488974,0.00000000
-5.82591296,0.68127879,0.05165817,0.09113609,0.00101908,0.02837491,0.16223820,0.38494268,0.19576102,0.00000000
-5.81990995,0.72466662,0.05321017,0.09681412,0.00110900,0.03017592,0.17112797,0.41094732,0.20681805,0.00000000
-5.81390695,0.76752857,0.05493073,0.10250080,0.00120078,0.03200590,0.18011018,0.43648035,0.21779517,0.00000000
-5.80790395,0.80912134,0.05672440,0.10809320,0.00129287,0.03382314,0.18896304,0.46117066,0.22843680,0.00000000
-5.80190095,0.84872716,0.05850592,0.11349216,0.00138369,0.03558666,0.19747415,0.48465544,0.23850108,0.00000000
-5.79589795,0.88566683,0.06020036,0.11860380,0.00147164,0.03725690,0.20544381,0.50658764,0.24776355,0.00000000
-5.78989495,0.91931261,0.06174321,0.12334106,0.00155510,0.03879645,0.21268836,0.52664329,0.25602095,0.00000000
-5.78389195,0.94910049,0.06308050,0.12762512,0.00163250,0.04017090,0.21904334,0.54452833,0.26309489,0.00000000
-5.77788894,0.97454148,0.06416892,0.13138675,0.00170235,0.04134965,0.22436643,0.55998486,0.26883530,0.00000000
-5.77188594,0.99523139,0.06497592,0.13456749,0.00176326,0.04230666,0.22854014,0.57279637,0.27312340,0.00000000
-5.76588294,1.01085878,0.06547971,0.13712064,0.00181401,0.04302120,0.23147393,0.58279198,0.27587421,0.00000000
-5.75987994,1.02121088,0.06566928,0.13901198,0.00185356,0.04347851,0.23310586,0.58984952,0.27703835,0.00000000
-5.75387694,1.02617724,0.06554428,0.14022038,0.00188108,0.04367034,0.23340366,0.59389726,0.27660317,0.00000000
-5.74787394,1.02575108,0.06511492,0.14073799,0.00189602,0.04359531,0.23236505,0.59491458,0.27459304,0.00000000
-5.74187094,1.02002845,0.06440172,0.14057033,0.00189805,0.04325925,0.23001752,0.59293127,0.27106897,0.00000000
-5.73586793,1.00920522,0.06343531,0.13973611,0.00188715,0.04267522,0.22641738,0.58802589,0.26612742,0.00000000
-5.72986493,0.99357230,0.06225613,0.13826682,0.00186355,0.04186352,0.22164821,0.58032314,0.25989847,0.00000000
-5.72386193,0.97350921,0.06091420,0.13620620,0.00182777,0.04085145,0.21581883,0.56999045,0.25254343,0.00000000
-5.71785893,0.94947656,0.05946881,0.13360956,0.00178054,0.03967301,0.20906076,0.55723402,0.24425201,0.00000000
-5.71185593,0.92200753,0.05798834,0.13054296,0.00172286,0.03836840,0.20152542,0.54229452,0.23523910,0.00000000
-5.70585293,0.89169898,0.05655001,0.12708232,0.00165590,0.03698351,0.19338101,0.52544249,0.22574146,0.00000000
-5.69984992,0.85920228,0.05523971,0.12331257,0.00158097,0.03556922,0.18480941,0.50697382,0.21601421,0.00000000
