energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,1.08391696,0.00767630,0.02459146,0.35384783,0.13599915,0.01148814,0.77370016,0.49644964,0.22246828
-5.99399700,1.12778236,0.00843413,0.02606938,0.36358697,0.13967661,0.01265258,0.80109095,0.50250798,0.23431302
-5.98799400,1.17167781,0.00923070,0.02757043,0.37340157,0.14317349,0.01384178,0.82817655,0.50733256,0.24632991
-5.98199100,1.21547077,0.01005650,0.02909074,0.38327499,0.14650346,0.01504100,0.85490719,0.51101672,0.25842947
-5.97598799,1.25899163,0.01090115,0.03062547,0.39317679,0.14967983,0.01623403,0.88121412,0.51366433,0.27051037
-5.96998499,1.30202523,0.01175345,0.03216847,0.40305942,0.15271377,0.01740354,0.90700253,0.51538288,0.28245947
-5.96398199,1.34430416,0.01260160,0.03371207,0.41285575,0.15561255,0.01853148,0.93214569,0.51627665,0.29415237
-5.95797899,1.38550468,0.01343337,0.03524691,0.42247778,0.15837800,0.01959955,0.95648065,0.51644036,0.30545464
-5.95197599,1.42524542,0.01423640,0.03676179,0.43181630,0.16100520,0.02058964,0.97980582,0.51595357,0.31622364
-5.94597299,1.46308937,0.01499837,0.03824364,0.44074201,0.16348161,0.02148445,1.00188084,0.51487617,0.32631095
-5.93996998,1.49854919,0.01570734,0.03967751,0.44910765,0.16578655,0.02226789,1.02242877,0.51324522,0.33556533
-5.93396698,1.53109586,0.01635197,0.04104675,0.45675138,0.16789117,0.02292563,1.04114060,0.51107312,0.34383620
-5.92796398,1.56017049,0.01692181,0.04233325,0.46350114,0.16975894,0.02344554,1.05768212,0.50834741,0.35097734
-5.92196098,1.58519877,0.01740753,0.04351778,0.46917977,0.17134658,0.02381803,1.07170285,0.50503205,0.35685084
-5.91595798,1.60560778,0.01780115,0.04458042,0.47361081,0.17260544,0.02403638,1.08284664,0.50107012,0.36133113
-5.90995498,1.62084423,0.01809623,0.04550115,0.47662456,0.17348332,0.02409693,1.09076363,0.49638778,0.36430874
-5.90395198,1.63039352,0.01828802,0.04626036,0.47806421,0.17392654,0.02399918,1.09512289,0.49089930,0.36569394
-5.89794897,1.63379878,0.01837354,0.04683960,0.47779183,0.17388225,0.02374576,1.09562540,0.48451279,0.36541979
-5.89194597,1.63067907,0.01835169,0.04722213,0.47569379,0.17330088,0.02334236,1.09201655,0.47713641,0.36344467
-5.88594297,1.62074577,0.01822318,0.04739363,0.47168560,0.17213849,0.02279746,1.08409773,0.46868471,0.35975419
-5.87993997,1.60381661,0.01799057,0.04734279,0.46571572,0.17035906,0.02212209,1.07173640,0.45908466,0.35436217
-5.87393697,1.57982650,0.01765812,0.04706179,0.45776840,0.16793650,0.02132941,1.05487421,0.44828128,0.34731101
-5.86793397,1.54883476,0.01723170,0.04654676,0.44786528,0.16485634,0.02043432,1.03353264,0.43624231,0.33867102
-5.86193097,1.51102825,0.01671860,0.04579808,0.43606578,0.16111692,0.01945297,1.00781607,0.42296198,0.32853910
-5.85592796,1.46672034,0.01612732,0.04482048,0.42246619,0.15673018,0.01840230,0.97791200,0.40846345,0.31703656
-5.84992496,1.41634563,0.01546740,0.04362309,0.40719761,0.15172185,0.01729957,0.94408830,0.39280004,0.30430633
-5.84392196,1.36045071,0.01474912,0.04221927,0.39042273,0.14613115,0.01616186,0.90668784,0.37605505,0.29050949
-5.83791896,1.29968118,0.01398333,0.04062630,0.37233167,0.14000990,0.01500574,0.86612051,0.35834033,0.27582152
-5.83191596,1.23476566,0.01318113,0.03886493,0.35313704,0.13342126,0.01384682,0.82285308,0.33979363,0.26042809
-5.82591296,1.16649739,0.01235369,0.03695885,0.33306839,0.12643793,0.01269951,0.77739731,0.32057495,0.24452078
-5.81990995,1.09571413,0.01151201,0.03493400,0.31236634,0.11914018,0.01157673,0.73029690,0.30086212,0.22829286
-5.81390695,1.02327734,0.01066674,0.03281787,0.29127660,0.11161349,0.01048979,0.68211378,0.28084572,0.21193514
-5.80790395,0.95005143,0.00982799,0.03063877,0.27004414,0.10394622,0.00944823,0.63341435,0.26072383,0.19563217
-5.80190095,0.87688393,0.00900523,0.02842500,0.24890771,0.09622718,0.00845986,0.58475626,0.24069670,0.17955889
-5.79589795,0.80458739,0.00820714,0.02620421,0.22809492,0.08854335,0.00753069,0.53667631,0.22096169,0.16387785
-5.78989495,0.73392368,0.00744160,0.02400270,0.20781809,0.08097777,0.00666508,0.48967982,0.20170872,0.14873696
-5.78389195,0.66559117,0.00671564,0.02184482,0.18827098,0.07360775,0.00586584,0.44423203,0.18311637,0.13426800
-5.77788894,0.60021536,0.00603545,0.01975250,0.16962648,0.06650334,0.00513433,0.40075168,0.16534893,0.12058583
-5.77188594,0.53834298,0.00540643,0.01774489,0.15203531,0.05972632,0.00447070,0.35960695,0.14855428,0.10778828
-5.76588294,0.48043979,0.00483328,0.01583812,0.13562581,0.05332948,0.00387404,0.32111394,0.13286295,0.09595667
-5.75987994,0.42689183,0.00432013,0.01404512,0.12050460,0.04735641,0.00334259,0.28553741,0.11838808,0.08515705
-5.75387694,0.37801000,0.00387060,0.01237571,0.10675828,0.04184163,0.00287392,0.25309385,0.10522645,0.07544183
-5.74787394,0.33403738,0.00348802,0.01083661,0.09445573,0.03681115,0.00246514,0.22395638,0.09346031,0.06685193
-5.74187094,0.29515898,0.00317554,0.00943168,0.08365117,0.03228329,0.00211303,0.19826138,0.08316002,0.05941915
-5.73586793,0.26151316,0.00293628,0.00816220,0.07438759,0.02826981,0.00181425,0.17611615,0.07438721,0.05316876
-5.72986493,0.23320409,0.00277349,0.00702721,0.06670044,0.02477726,0.00156543,0.15760745,0.06719836,0.04812207
-5.72386193,0.21031462,0.00269063,0.00602386,0.06062136,0.02180836,0.00136331,0.14281018,0.06164845,0.04429892
-5.71785893,0.19291881,0.00269152,0.00514783,0.05618173,0.01936359,0.00120480,0.13179591,0.05779465,0.04171986
