energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-6.00000000,1.52481221,0.00514603,0.13606082,0.58944932,0.00000000,0.46428924,0.86592613,0.33082972,0.00000000
-5.99399700,1.57587224,0.00489118,0.13182455,0.56725725,0.00000000,0.44365454,0.93419351,0.32313755,0.00000000
-5.98799400,1.63422539,0.00465873,0.12793544,0.54760419,0.00000000,0.42472513,1.00692400,0.31825728,0.00000000
-5.98199100,1.69948450,0.00445080,0.12440842,0.53052581,0.00000000,0.40767693,1.08369563,0.31621769,0.00000000
-5.97598799,1.77119924,0.00426967,0.12125813,0.51604697,0.00000000,0.39266873,1.16402022,0.31704675,0.00000000
-5.96998499,1.84885916,0.00411758,0.11849806,0.50417938,0.00000000,0.37983677,1.24734755,0.32077102,0.00000000
-5.96398199,1.93189661,0.00399671,0.11613966,0.49491891,0.00000000,0.36928974,1.33307079,0.32741406,0.00000000
-5.95797899,2.01968976,0.00390900,0.11419136,0.48824284,0.00000000,0.36110461,1.42053292,0.33699380,0.00000000
-5.95197599,2.11156573,0.00385609,0.11265761,0.48410707,0.00000000,0.35532328,1.50903443,0.34951907,0.00000000
-5.94597299,2.20680391,0.00383923,0.11153796,0.48244373,0.00000000,0.35195030,1.59784187,0.36498545,0.00000000
-5.93996998,2.30463956,0.00385921,0.11082616,0.48315914,0.00000000,0.35095160,1.68619742,0.38337063,0.00000000
-5.93396698,2.40426782,0.00391626,0.11050944,0.48613237,0.00000000,0.35225445,1.77332902,0.40462946,0.00000000
-5.92796398,2.50484824,0.00401008,0.11056785,0.49121456,0.00000000,0.35574836,1.85846114,0.42868899,0.00000000
-5.92196098,2.60550989,0.00413978,0.11097380,0.49822897,0.00000000,0.36128706,1.94082579,0.45544376,0.00000000
-5.91595798,2.70535729,0.00430389,0.11169183,0.50697204,0.00000000,0.36869138,2.01967356,0.48475161,0.00000000
-5.90995498,2.80347718,0.00450042,0.11267865,0.51721527,0.00000000,0.37775295,2.09428455,0.51643029,0.00000000
