energy_ev,total_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,6.49050767,0.06096135,1.19677291,0.92349899,0.25203506,0.08054422,2.53747509,4.70287421,1.89422286
-5.99399700,6.44187257,0.05873709,1.18916451,0.93081074,0.26200605,0.07671643,2.52618771,4.68909814,1.86843774
-5.98799400,6.39758701,0.05671396,1.17812554,0.94231293,0.27469907,0.07338708,2.52097419,4.65770606,1.84014152
-5.98199100,6.35876174,0.05489981,1.16377848,0.95813626,0.29017797,0.07060204,2.52236064,4.60925654,1.80951720
-5.97598799,6.32650717,0.05330016,1.14632381,0.97836569,0.30846596,0.06839388,2.53079233,4.54469975,1.77681062
-5.96998499,6.30189669,0.05191850,1.12603573,1.00303214,0.32954056,0.06678168,2.54661482,4.46534589,1.74232770
-5.96398199,6.28591903,0.05075658,1.10325422,1.03210286,0.35332881,0.06577100,2.57005223,4.37281831,1.70642733
-5.95797899,6.27942191,0.04981466,1.07837394,1.06547108,0.37970289,0.06535421,2.60118390,4.26899335,1.66951028
-5.95197599,6.28305037,0.04909154,1.05183038,1.10294572,0.40847665,0.06551091,2.63992092,4.15593006,1.63200484
-5.94597299,6.29718399,0.04858465,1.02408408,1.14424215,0.43940331,0.06620866,2.68598422,4.03579313,1.59434993
-5.93996998,6.32187759,0.04828989,0.99560380,1.18897487,0.47217469,0.06740386,2.73888615,3.91077284,1.55697677
-5.93396698,6.35681022,0.04820156,0.96684939,1.23665319,0.50642236,0.06904274,2.79791764,3.78300621,1.52029045
-5.92796398,6.40124713,0.04831210,0.93825539,1.28668072,0.54172091,0.07106267,2.86214256,3.65450305,1.48465232
-5.92196098,6.45401849,0.04861188,0.91021622,1.33835934,0.57759354,0.07339348,2.93040095,3.52708051,1.45036453
-5.91595798,6.51351827,0.04908900,0.88307348,1.39089831,0.61352012,0.07595903,3.00132219,3.40230919,1.41765763
-5.90995498,6.57772496,0.04972907,0.85710623,1.44342840,0.64894752,0.07867888,3.07334865,3.28147290,1.38668205
-5.90395198,6.64424494,0.05051511,0.83252437,1.49502131,0.68330212,0.08147007,3.14476974,3.16554371,1.35750379
-5.89794897,6.71037767,0.05142750,0.80946551,1.54471359,0.71600413,0.08424898,3.21376583,3.05517272,1.33010484
