energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up,W_p_up,W_d_up
-6.00000000,2.32874086,0.00497442,0.66703152,0.00369902,0.97197331,0.46833381,0.16225673,0.81679907,0.46652745
-5.99399700,2.44413249,0.00542902,0.69400266,0.00404097,1.02710074,0.49155898,0.17149608,0.85994714,0.48815718
-5.98799400,2.56001069,0.00594048,0.71910476,0.00441511,1.08452876,0.51534748,0.18101769,0.90320543,0.50956115
-5.98199100,2.67540750,0.00650665,0.74210193,0.00482362,1.14381051,0.53946322,0.19076955,0.94618169,0.53055959
-5.97598799,2.78946966,0.00712458,0.76281337,0.00526877,1.20452306,0.56369307,0.20070380,0.98850822,0.55100285
-5.96998499,2.90145815,0.00779046,0.78111487,0.00575278,1.26626557,0.58784681,0.21077609,1.02984202,0.57077183
-5.96398199,3.01074266,0.00849940,0.79693802,0.00627766,1.32865616,0.61175591,0.22094471,1.06986395,0.58977727
-5.95797899,3.11679156,0.00924544,0.81026732,0.00684508,1.39132783,0.63527135,0.23116959,1.10827698,0.60795790
-5.95197599,3.21915843,0.01002139,0.82113517,0.00745614,1.45392411,0.65826071,0.24141109,1.14480393,0.62527761
-5.94597299,3.31746637,0.01081891,0.82961516,0.00811122,1.51609478,0.68060483,0.25162893,1.17918518,0.64172190
-5.93996998,3.41139124,0.01162850,0.83581401,0.00880974,1.57749226,0.70219424,0.26178117,1.21117663,0.65729382
-5.93396698,3.50064517,0.01243962,0.83986261,0.00955000,1.63776920,0.72292582,0.27182340,1.24054822,0.67200961
-5.92796398,3.58496163,0.01324085,0.84190670,0.01032899,1.69657746,0.74269971,0.28170823,1.26708351,0.68589445
-5.92196098,3.66408313,0.01402009,0.84209771,0.01114229,1.75356891,0.76141700,0.29138514,1.29058020,0.69897834
-5.91595798,3.73775249,0.01476483,0.84058424,0.01198396,1.80839808,0.77897820,0.30080076,1.31085204,0.71129255
-5.90995498,3.80570838,0.01546247,0.83750474,0.01284649,1.86072669,0.79528271,0.30989949,1.32773190,0.72286672
-5.90395198,3.86768528,0.01610064,0.83298172,0.01372085,1.91022989,0.81022934,0.31862464,1.34107598,0.73372668
-5.89794897,3.92341819,0.01666756,0.82711774,0.01459658,1.95660384,0.82371789,0.32691981,1.35076900,0.74389321
-5.89194597,3.97265136,0.01715239,0.81999347,0.01546192,1.99957437,0.83565172,0.33473065,1.35673002,0.75338160
-5.88594297,4.01515072,0.01754559,0.81166782,0.01630409,2.03890601,0.84594107,0.34200677,1.35891854,0.76220198
-5.87993997,4.05071882,0.01783924,0.80217993,0.01710956,2.07441090,0.85450702,0.34870374,1.35734055,0.77036038
-5.87393697,4.07921132,0.01802729,0.79155298,0.01786442,2.10595709,0.86128578,0.35478503,1.35205400,0.77786023
-5.86793397,4.10055367,0.01810584,0.77979940,0.01855476,2.13347541,0.86623304,0.36022383,1.34317344,0.78470419
-5.86193097,4.11475666,0.01807324,0.76692701,0.01916711,2.15696458,0.86932805,0.36500447,1.33087340,0.79089608
-5.85592796,4.12192968,0.01793024,0.75294579,0.01968888,2.17649412,0.87057721,0.36912355,1.31539022,0.79644269
-5.84992496,4.12229050,0.01767995,0.73787459,0.02010880,2.19220466,0.87001687,0.37259051,1.29702214,0.80135522
-5.84392196,4.11617072,0.01732782,0.72174738,0.02041730,2.20430564,0.86771517,0.37542762,1.27612762,0.80565028
-5.83791896,4.10401626,0.01688149,0.70461873,0.02060687,2.21307030,0.86377278,0.37766947,1.25312175,0.80935034
-5.83191596,4.08638268,0.01635061,0.68656782,0.02067236,2.21882819,0.85832242,0.37936186,1.22847086,0.81248341
-5.82591296,4.06392518,0.01574655,0.66770110,0.02061116,2.22195546,0.85152724,0.38056009,1.20268551,0.81508213
-5.81990995,4.03738386,0.01508215,0.64815310,0.02042337,2.22286338,0.84357800,0.38132694,1.17631210,0.81718227
-5.81390695,4.00756477,0.01437134,0.62808551,0.02011174,2.22198562,0.83468933,0.38173018,1.14992316,0.81882069
-5.80790395,3.97531761,0.01362880,0.60768457,0.01968166,2.21976477,0.82509503,0.38183990,1.12410688,0.82003295
-5.80190095,3.94151122,0.01286958,0.58715688,0.01914097,2.21663880,0.81504276,0.38172575,1.09945588,0.82085078
-5.79589795,3.90700792,0.01210876,0.56672386,0.01849967,2.21302795,0.80478826,0.38145423,1.07655564,0.82129957
-5.78989495,3.87263801,0.01136109,0.54661536,0.01776965,2.20932250,0.79458930,0.38108615,1.05597277,0.82139608
-5.78389195,3.83917543,0.01064064,0.52706248,0.01696424,2.20587202,0.78469960,0.38067437,1.03824337,0.82114656
-5.77788894,3.80731557,0.00996053,0.50829025,0.01609782,2.20297629,0.77536288,0.38026201,1.02386166,0.82054545
-5.77188594,3.77765631,0.00933264,0.49051039,0.01518541,2.20087811,0.76680714,0.37988105,1.01326893,0.81957475
-5.76588294,3.75068263,0.00876743,0.47391456,0.01424215,2.19975829,0.75923944,0.37955156,1.00684326,0.81820419
-5.75987994,3.72675548,0.00827369,0.45866834,0.01328295,2.19973264,0.75284111,0.37928137,1.00488976,0.81639212
-5.75387694,3.70610505,0.00785844,0.44490622,0.01232211,2.20085105,0.74776365,0.37906634,1.00763194,0.81408722
-5.74787394,3.68882847,0.00752681,0.43272784,0.01137296,2.20309847,0.74412523,0.37889118,1.01520406,0.81123089
-5.74187094,3.67489187,0.00728201,0.42219544,0.01044760,2.20639771,0.74200796,0.37873058,1.02764493,0.80776022
-5.73586793,3.66413648,0.00712521,0.41333267,0.00955674,2.21061376,0.74145598,0.37855089,1.04489325,0.80361138
-5.72986493,3.65628850,0.00705565,0.40612480,0.00870955,2.21555956,0.74247436,0.37831196,1.06678500,0.79872333
-5.72386193,3.65097221,0.00707064,0.40052015,0.00791361,2.22100299,0.74502898,0.37796925,1.09305293,0.79304163
-5.71785893,3.64772595,0.00716560,0.39643265,0.00717491,2.22667491,0.74904739,0.37747609,1.12332874,0.78652215
-5.71185593,3.64602048,0.00733425,0.39374556,0.00649797,2.23227817,0.75442070,0.37678593,1.15714792,0.77913463
-5.70585293,3.64527921,0.00756871,0.39231597,0.00588588,2.23749740,0.76100660,0.37585459,1.19395777,0.77086574
-5.69984992,3.64489985,0.00785966,0.39198016,0.00534053,2.24200947,0.76863355,0.37464245,1.23312838,0.76172172
-5.69384692,3.64427695,0.00819661,0.39255937,0.00486273,2.24549444,0.77710600,0.37311640,1.27396688,0.75173038
-5.68784392,3.64282493,0.00856810,0.39386611,0.00445245,2.24764702,0.78621078,0.37125171,1.31573452,0.74094237
-5.68184092,3.64000089,0.00896199,0.39571054,0.00410895,2.24818799,0.79572433,0.36903364,1.35766642,0.72943167
-5.67583792,3.63532674,0.00936574,0.39790698,0.00383103,2.24687566,0.80542080,0.36645874,1.39899341,0.71729543
-5.66983492,3.62841001,0.00976674,0.40028015,0.00361714,2.24351684,0.81508057,0.36353592,1.43896520,0.70465284
-5.66383192,3.61896257,0.01015261,0.40267114,0.00346552,2.23797703,0.82449902,0.36028722,1.47687424,0.69164342
-5.65782891,3.60681661,0.01051152,0.40494279,0.00337436,2.23018939,0.83349516,0.35674825,1.51207907,0.67842443
-5.65182591,3.59193712,0.01083254,0.40698430,0.00334180,2.22016202,0.84191965,0.35296820,1.54402635,0.66516774
-5.64582291,3.57443016,0.01110587,0.40871502,0.00336600,2.20798317,0.84966185,0.34900955,1.57227034,0.65205609
-5.63981991,3.55454627,0.01132315,0.41008702,0.00344517,2.19382380,0.85665552,0.34494735,1.59648892,0.63927877
-5.63381691,3.53267846,0.01147766,0.41108658,0.00357752,2.17793731,0.86288268,0.34086810,1.61649526,0.62702707
-5.62781391,3.50935447,0.01156450,0.41173426,0.00376118,2.16065600,0.86837543,0.33686812,1.63224429,0.61548932
-5.62181091,3.48522308,0.01158066,0.41208357,0.00399421,2.14238419,0.87321541,0.33305155,1.64383357,0.60484586
-5.61580790,3.46103450,0.01152512,0.41221830,0.00427444,2.12358790,0.87753083,0.32952794,1.65149817,0.59526402
-5.60980490,3.43761543,0.01139880,0.41224842,0.00459939,2.10478144,0.88149110,0.32640938,1.65559970,0.58689324
-5.60380190,3.41583922,0.01120451,0.41230476,0.00496622,2.08651094,0.88529902,0.32380738,1.65660977,0.57986040
