energy_ev,total_up,Ga_p_up,Ga_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,0.76093128,0.07729931,0.00000000,0.28275485,0.10242003,0.00586999,0.45984867
-5.99399700,0.73388922,0.07576472,0.00000000,0.26875738,0.09796694,0.00538102,0.44248222
-5.98799400,0.70391174,0.07380243,0.00000000,0.25413314,0.09319830,0.00489740,0.42337579
-5.98199100,0.67147395,0.07144789,0.00000000,0.23911033,0.08818497,0.00442529,0.40280971
-5.97598799,0.63708427,0.06874412,0.00000000,0.22391770,0.08299913,0.00397007,0.38107757
-5.96998499,0.60127544,0.06574073,0.00000000,0.20878197,0.07771313,0.00353624,0.35848019
-5.96398199,0.56459571,0.06249274,0.00000000,0.19392589,0.07239836,0.00312738,0.33531964
-5.95797899,0.52760027,0.05905926,0.00000000,0.17956694,0.06712431,0.00274621,0.31189356
-5.95197599,0.49084350,0.05550223,0.00000000,0.16591673,0.06195784,0.00239457,0.28848998
-5.94597299,0.45487203,0.05188502,0.00000000,0.15318100,0.05696253,0.00207352,0.26538272
-5.93996998,0.42021887,0.04827120,0.00000000,0.14156018,0.05219832,0.00178341,0.24282753
-5.93396698,0.38739883,0.04472334,0.00000000,0.13125045,0.04772131,0.00152398,0.22105912
-5.92796398,0.35690511,0.04130194,0.00000000,0.12244513,0.04358373,0.00129447,0.20028907
-5.92196098,0.32920731,0.03806461,0.00000000,0.11533629,0.03983411,0.00109376,0.18070473
-5.91595798,0.30475049,0.03506533,0.00000000,0.11011651,0.03651764,0.00092043,0.16246905
-5.90995498,0.28395539,0.03235392,0.00000000,0.10698048,0.03367661,0.00077295,0.14572139
-5.90395198,0.26721949,0.02997573,0.00000000,0.10612642,0.03135100,0.00064974,0.13057916
-5.89794897,0.25491868,0.02797143,0.00000000,0.10775714,0.02957920,0.00054928,0.11714026
-5.89194597,0.24740935,0.02637694,0.00000000,0.11208052,0.02839870,0.00047022,0.10548614
-5.88594297,0.24503053,0.02522352,0.00000000,0.11930945,0.02784688,0.00041146,0.09568541
-5.87993997,0.24810593,0.02453780,0.00000000,0.12966100,0.02796181,0.00037220,0.08779777
-5.87393697,0.25694557,0.02434201,0.00000000,0.14335485,0.02878295,0.00035205,0.08187814
-5.86793397,0.27184681,0.02465409,0.00000000,0.16061094,0.03035189,0.00035104,0.07798083
-5.86193097,0.29309478,0.02548780,0.00000000,0.18164639,0.03271297,0.00036972,0.07616348
-5.85592796,0.32096195,0.02685286,0.00000000,0.20667173,0.03591385,0.00040912,0.07649078
-5.84992496,0.35570692,0.02875499,0.00000000,0.23588652,0.04000590,0.00047086,0.07903764
-5.84392196,0.39757251,0.03119588,0.00000000,0.26947461,0.04504459,0.00055713,0.08389174
-5.83791896,0.44678309,0.03417320,0.00000000,0.30759906,0.05108963,0.00067066,0.09115531
-5.83191596,0.50354135,0.03768048,0.00000000,0.35039695,0.05820500,0.00081480,0.10094603
-5.82591296,0.56802459,0.04170705,0.00000000,0.39797418,0.06645880,0.00099339,0.11339685
