energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up
-6.00000000,0.36531620,0.00827127,0.00191812,0.06835197,0.03613258,0.07479151,0.09254315,0.01711514,0.16566967
-5.99399700,0.39847204,0.00813013,0.00199846,0.07172513,0.03847350,0.07121585,0.10601431,0.01993913,0.18004899
-5.98799400,0.44173024,0.00826263,0.00215718,0.07713570,0.04191290,0.07038292,0.12168125,0.02314203,0.19898760
-5.98199100,0.49506185,0.00865072,0.00239733,0.08451833,0.04642813,0.07211118,0.13962841,0.02674150,0.22245118
-5.97598799,0.55849504,0.00928043,0.00272386,0.09382752,0.05200752,0.07626709,0.15993584,0.03075263,0.25043004
-5.96998499,0.63210319,0.01014162,0.00314366,0.10503534,0.05864888,0.08276276,0.18267667,0.03518729,0.28293355
-5.96398199,0.71599200,0.01122766,0.00366565,0.11812891,0.06635780,0.09155264,0.20791465,0.04005352,0.31998416
-5.95797899,0.81028618,0.01253514,0.00430085,0.13310771,0.07514591,0.10262956,0.23570200,0.04535502,0.36161119
-5.95197599,0.91511620,0.01406345,0.00506238,0.14998092,0.08502906,0.11602007,0.26607745,0.05109066,0.40784469
-5.94597299,1.03060517,0.01581439,0.00596548,0.16876473,0.09602545,0.13177927,0.29906467,0.05725415,0.45870933
-5.93996998,1.15685596,0.01779175,0.00702746,0.18947966,0.10815377,0.14998500,0.33467097,0.06383381,0.51421855
-5.93396698,1.29393853,0.02000081,0.00826762,0.21214797,0.12143130,0.17073147,0.37288636,0.07081244,0.57436875
-5.92796398,1.44187738,0.02244782,0.00970711,0.23679094,0.13587200,0.19412235,0.41368272,0.07816728,0.63913374
-5.92196098,1.60063878,0.02513946,0.01136875,0.26342622,0.15148450,0.22026322,0.45701319,0.08587015,0.70845908
-5.91595798,1.77011775,0.02808217,0.01327671,0.29206499,0.16827013,0.24925350,0.50281150,0.09388757,0.78225648
-5.90995498,1.95012440,0.03128144,0.01545623,0.32270901,0.18622086,0.28117794,0.55099117,0.10218103,0.86039807
-5.90395198,2.14036983,0.03474107,0.01793316,0.35534748,0.20531720,0.31609768,0.60144449,0.11070730,0.94271046
-5.89794897,2.34045124,0.03846229,0.02073348,0.38995383,0.22552610,0.35404124,0.65404114,0.11941874,1.02896877
-5.89194597,2.54983688,0.04244291,0.02388272,0.42648225,0.24679898,0.39499560,0.70862636,0.12826362,1.11889058
-5.88594297,2.76785094,0.04667640,0.02740534,0.46486434,0.26906980,0.43889770,0.76501877,0.13718649,1.21213007
-5.87993997,2.99365916,0.05115103,0.03132405,0.50500577,0.29225337,0.48562678,0.82300774,0.14612844,1.30827259
-5.87393697,3.22625590,0.05584895,0.03565904,0.54678320,0.31624402,0.53499799,0.88235055,0.15502747,1.40682998
-5.86793397,3.46445372,0.06074556,0.04042726,0.59004164,0.34091460,0.58675757,0.94276946,0.16381874,1.50723719
-5.86193097,3.70687647,0.06580883,0.04564168,0.63459253,0.36611616,0.64058029,1.00394892,0.17243487,1.60885050
-5.85592796,3.95195717,0.07099897,0.05131052,0.68021265,0.39167811,0.69606922,1.06553329,0.18080628,1.71094792
-5.84992496,4.19794154,0.07626828,0.05743658,0.72664411,0.41740929,0.75275835,1.12712529,0.18886158,1.81273224
-5.84392196,4.44289836,0.08156138,0.06401660,0.77359566,0.44309964,0.81011815,1.18828564,0.19652798,1.91333698
-5.83791896,4.68473722,0.08681569,0.07104079,0.82074537,0.46852288,0.86756415,1.24853409,0.20373188,2.01183572
