energy_ev,total_up,Cu_p_up,Cu_d_up,Li_s_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,0.75048494,0.15179232,0.14220567,0.09990232,0.00956761,0.10436703,0.00870612,0.25221359
-5.99399700,0.81528809,0.16538193,0.15489398,0.11040484,0.01017566,0.11318389,0.00929605,0.27437494
-5.98799400,0.88942159,0.18076157,0.16915694,0.12197516,0.01086585,0.12306717,0.01004371,0.30011207
-5.98199100,0.97242052,0.19783691,0.18488328,0.13454865,0.01162889,0.13391484,0.01094773,0.32933920
-5.97598799,1.06362758,0.21647430,0.20192725,0.14803617,0.01245371,0.14559960,0.01200438,0.36190263
-5.96998499,1.16219414,0.23650139,0.22010953,0.16232419,0.01332771,0.15797014,0.01320740,0.39757903
-5.96398199,1.26708661,0.25770881,0.23921919,0.17727571,0.01423696,0.17085322,0.01454797,0.43607545
-5.95797899,1.37709867,0.27985317,0.25901678,0.19273204,0.01516659,0.18405659,0.01601466,0.47703121
-5.95197599,1.49086971,0.30266131,0.27923854,0.20851541,0.01610111,0.19737266,0.01759346,0.52002196
-5.94597299,1.60690949,0.32583586,0.29960168,0.22443246,0.01702485,0.21058312,0.01926792,0.56456604
-5.93996998,1.72362898,0.34906198,0.31981078,0.24027846,0.01792235,0.22346410,0.02101933,0.61013317
-5.93396698,1.83937664,0.37201518,0.33956501,0.25584235,0.01877883,0.23579197,0.02282703,0.65615541
-5.92796398,1.95247950,0.39437001,0.35856608,0.27091222,0.01958059,0.24734952,0.02466883,0.70204022
-5.92196098,2.06128779,0.41580934,0.37652666,0.28528127,0.02031547,0.25793230,0.02652144,0.74718533
-5.91595798,2.16422154,0.43603387,0.39317896,0.29875399,0.02097323,0.26735490,0.02836108,0.79099489
-5.90995498,2.25981762,0.45477159,0.40828310,0.31115224,0.02154589,0.27545698,0.03016406,0.83289640
-5.90395198,2.34677518,0.47178672,0.42163504,0.32232112,0.02202802,0.28210860,0.03190742,0.87235770
-5.89794897,2.42399756,0.48688772,0.43307358,0.33213433,0.02241694,0.28721496,0.03356965,0.90890344
-5.89194597,2.49062881,0.49993411,0.44248631,0.34049874,0.02271293,0.29071991,0.03513124,0.94212998
-5.88594297,2.54608290,0.51084151,0.44981389,0.34735806,0.02291919,0.29260839,0.03657530,0.97171834
-5.87993997,2.59006413,0.51958494,0.45505282,0.35269531,0.02304185,0.29290752,0.03788805,0.99744426
-5.87393697,2.62257754,0.52619985,0.45825613,0.35653404,0.02308984,0.29168622,0.03905916,1.01918488
-5.86793397,2.64392851,0.53078098,0.45953225,0.35893819,0.02307466,0.28905345,0.04008204,1.03692164
-5.86193097,2.65471125,0.53347900,0.45904173,0.36001049,0.02301008,0.28515507,0.04095385,1.05073911
-5.85592796,2.65578645,0.53449492,0.45699217,0.35988958,0.02291174,0.28016939,0.04167546,1.06081976
-5.84992496,2.64824879,0.53407262,0.45363126,0.35874577,0.02279675,0.27430161,0.04225123,1.06743475
-5.84392196,2.63338556,0.53248971,0.44923847,0.35677574,0.02268315,0.26777732,0.04268855,1.07093113
-5.83791896,2.61262810,0.53004716,0.44411534,0.35419621,0.02258940,0.26083540,0.04299740,1.07171609
-5.83191596,2.58749799,0.52705804,0.43857508,0.35123699,0.02253380,0.25372041,0.04318966,1.07023889
-5.82591296,2.55955035,0.52383606,0.43293165,0.34813350,0.02253398,0.24667491,0.04327845,1.06697134
-5.81990995,2.53031661,0.52068420,0.42748886,0.34511918,0.02260627,0.23993197,0.04327742,1.06238776
-5.81390695,2.50124909,0.51788405,0.42252976,0.34241787,0.02276523,0.23370797,0.04320001,1.05694537
-5.80790395,2.47366971,0.51568632,0.41830692,0.34023673,0.02302313,0.22819620,0.04305877,1.05106596
-5.80190095,2.44872490,0.51430281,0.41503377,0.33875955,0.02338950,0.22356119,0.04286484,1.04511974
-5.79589795,2.42734831,0.51390035,0.41287735,0.33814103,0.02387080,0.21993421,0.04262741,1.03941202
