energy_ev,total_up,As_p_up,As_d_up,Au_p_up,Au_d_up,Te_p_up,Te_d_up
-6.00000000,4.45669695,0.04354237,0.00000000,0.30664038,3.85776190,0.38773832,0.00000000
-5.99399700,4.33739818,0.04135890,0.00000000,0.30037047,3.75831115,0.37734038,0.00000000
-5.98799400,4.20895010,0.03935548,0.00000000,0.29433722,3.64962135,0.36688696,0.00000000
-5.98199100,4.07257709,0.03752663,0.00000000,0.28856155,3.53280888,0.35645283,0.00000000
-5.97598799,3.92966091,0.03586454,0.00000000,0.28306361,3.40914406,0.34611503,0.00000000
-5.96998499,3.78170106,0.03435920,0.00000000,0.27786172,3.28001478,0.33595030,0.00000000
-5.96398199,3.63027180,0.03299875,0.00000000,0.27297132,3.14688695,0.32603258,0.00000000
-5.95797899,3.47697755,0.03176973,0.00000000,0.26840387,3.01126329,0.31643050,0.00000000
-5.95197599,3.32340878,0.03065756,0.00000000,0.26416586,2.87464233,0.30720518,0.00000000
-5.94597299,3.17110011,0.02964696,0.00000000,0.26025801,2.73847908,0.29840837,0.00000000
-5.93996998,3.02149234,0.02872248,0.00000000,0.25667479,2.60414913,0.29008102,0.00000000
-5.93396698,2.87589986,0.02786906,0.00000000,0.25340428,2.47291733,0.28225249,0.00000000
-5.92796398,2.73548459,0.02707259,0.00000000,0.25042840,2.34591216,0.27494019,0.00000000
-5.92196098,2.60123710,0.02632050,0.00000000,0.24772352,2.22410667,0.26814983,0.00000000
-5.91595798,2.47396554,0.02560225,0.00000000,0.24526149,2.10830623,0.26187627,0.00000000
-5.90995498,2.35429217,0.02490986,0.00000000,0.24301090,1.99914346,0.25610470,0.00000000
-5.90395198,2.24265724,0.02423831,0.00000000,0.24093866,1.89707981,0.25081230,0.00000000
-5.89794897,2.13932968,0.02358588,0.00000000,0.23901171,1.80241359,0.24597018,0.00000000
-5.89194597,2.04442328,0.02295434,0.00000000,0.23719880,1.71529340,0.24154540,0.00000000
-5.88594297,1.95791762,0.02234905,0.00000000,0.23547228,1.63573605,0.23750316,0.00000000
-5.87993997,1.87968203,0.02177900,0.00000000,0.23380970,1.56364785,0.23380884,0.00000000
-5.87393697,1.80950142,0.02125658,0.00000000,0.23219532,1.49884781,0.23042994,0.00000000
-5.86793397,1.74710239,0.02079738,0.00000000,0.23062121,1.44109174,0.22733776,0.00000000
-5.86193097,1.69217836,0.02041977,0.00000000,0.22908810,1.39009572,0.22450869,0.00000000
-5.85592796,1.64441244,0.02014445,0.00000000,0.22760580,1.34555797,0.22192525,0.00000000
-5.84992496,1.60349701,0.01999384,0.00000000,0.22619326,1.30717805,0.21957660,0.00000000
-5.84392196,1.56914923,0.01999152,0.00000000,0.22487811,1.27467257,0.21745861,0.00000000
-5.83791896,1.54112183,0.02016144,0.00000000,0.22369589,1.24778695,0.21557364,0.00000000
-5.83191596,1.51920906,0.02052729,0.00000000,0.22268882,1.22630274,0.21392969,0.00000000
-5.82591296,1.50324769,0.02111168,0.00000000,0.22190424,1.21004067,0.21253940,0.00000000
-5.81990995,1.49311334,0.02193545,0.00000000,0.22139276,1.19885942,0.21141853,0.00000000
-5.81390695,1.48871278,0.02301693,0.00000000,0.22120615,1.19265058,0.21058433,0.00000000
