energy_ev,total_up,total_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Sn_p_up,Sn_p_down,Sn_d_up,Sn_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,0.76921234,-0.76921234,0.21083491,-0.21083491,0.24216828,-0.24216828,0.00295819,-0.00295819,0.00006620,-0.00006620,0.51157022,-0.51157022,0.00000000,-0.00000000
-5.99399700,0.73538883,-0.73538883,0.19999961,-0.19999961,0.23356944,-0.23356944,0.00280926,-0.00280926,0.00006164,-0.00006164,0.48883532,-0.48883532,0.00000000,-0.00000000
-5.98799400,0.70117639,-0.70117639,0.18902247,-0.18902247,0.22484016,-0.22484016,0.00265062,-0.00265062,0.00005712,-0.00005712,0.46583109,-0.46583109,0.00000000,-0.00000000
-5.98199100,0.66737133,-0.66737133,0.17812227,-0.17812226,0.21622935,-0.21622935,0.00248488,-0.00248488,0.00005269,-0.00005269,0.44308732,-0.44308732,0.00000000,-0.00000000
-5.97598799,0.63471948,-0.63471948,0.16750290,-0.16750290,0.20797253,-0.20797253,0.00231471,-0.00231471,0.00004844,-0.00004844,0.42110013,-0.42110013,0.00000000,-0.00000000
-5.96998499,0.60389478,-0.60389478,0.15734812,-0.15734812,0.20028437,-0.20028437,0.00214276,-0.00214276,0.00004440,-0.00004440,0.40031780,-0.40031780,0.00000000,-0.00000000
-5.96398199,0.57548068,-0.57548068,0.14781702,-0.14781702,0.19335202,-0.19335202,0.00197152,-0.00197152,0.00004063,-0.00004063,0.38112851,-0.38112851,0.00000000,-0.00000000
-5.95797899,0.54995509,-0.54995509,0.13904056,-0.13904056,0.18732942,-0.18732942,0.00180333,-0.00180333,0.00003716,-0.00003716,0.36385043,-0.36385043,0.00000000,-0.00000000
-5.95197599,0.52767913,-0.52767912,0.13111912,-0.13111912,0.18233286,-0.18233286,0.00164025,-0.00164025,0.00003402,-0.00003402,0.34872435,-0.34872435,0.00000000,-0.00000000
-5.94597299,0.50889007,-0.50889007,0.12412117,-0.12412117,0.17843790,-0.17843790,0.00148405,-0.00148405,0.00003122,-0.00003122,0.33590909,-0.33590909,0.00000000,-0.00000000
-5.93996998,0.49369854,-0.49369854,0.11808303,-0.11808303,0.17567767,-0.17567767,0.00133621,-0.00133621,0.00002876,-0.00002876,0.32547967,-0.32547967,0.00000000,-0.00000000
-5.93396698,0.48208994,-0.48208994,0.11300961,-0.11300961,0.17404272,-0.17404272,0.00119784,-0.00119784,0.00002664,-0.00002664,0.31742834,-0.31742834,0.00000000,-0.00000000
-5.92796398,0.47392982,-0.47392982,0.10887617,-0.10887617,0.17348228,-0.17348228,0.00106974,-0.00106974,0.00002484,-0.00002484,0.31166817,-0.31166817,0.00000000,-0.00000000
-5.92196098,0.46897309,-0.46897309,0.10563087,-0.10563087,0.17390692,-0.17390692,0.00095240,-0.00095240,0.00002335,-0.00002335,0.30803920,-0.30803920,0.00000000,-0.00000000
-5.91595798,0.46687650,-0.46687650,0.10319806,-0.10319806,0.17519254,-0.17519254,0.00084599,-0.00084599,0.00002214,-0.00002214,0.30631666,-0.30631666,0.00000000,-0.00000000
-5.90995498,0.46721386,-0.46721386,0.10148218,-0.10148218,0.17718540,-0.17718540,0.00075044,-0.00075044,0.00002118,-0.00002118,0.30622108,-0.30622108,0.00000000,-0.00000000
-5.90395198,0.46949351,-0.46949351,0.10037197,-0.10037197,0.17970811,-0.17970811,0.00066543,-0.00066543,0.00002044,-0.00002044,0.30742980,-0.30742980,0.00000000,-0.00000000
-5.89794897,0.47317736,-0.47317736,0.09974510,-0.09974510,0.18256638,-0.18256638,0.00059047,-0.00059047,0.00001988,-0.00001988,0.30958952,-0.30958952,0.00000000,-0.00000000
-5.89194597,0.47770072,-0.47770072,0.09947277,-0.09947277,0.18555606,-0.18555606,0.00052489,-0.00052489,0.00001946,-0.00001946,0.31232933,-0.31232933,0.00000000,-0.00000000
-5.88594297,0.48249236,-0.48249236,0.09942432,-0.09942432,0.18847051,-0.18847051,0.00046793,-0.00046793,0.00001916,-0.00001916,0.31527393,-0.31527393,0.00000000,-0.00000000
-5.87993997,0.48699397,-0.48699397,0.09947163,-0.09947163,0.19110781,-0.19110781,0.00041876,-0.00041876,0.00001893,-0.00001893,0.31805640,-0.31805640,0.00000000,-0.00000000
-5.87393697,0.49067844,-0.49067844,0.09949319,-0.09949319,0.19327757,-0.19327757,0.00037652,-0.00037652,0.00001875,-0.00001875,0.32033020,-0.32033020,0.00000000,-0.00000000
-5.86793397,0.49306638,-0.49306638,0.09937768,-0.09937768,0.19480721,-0.19480721,0.00034031,-0.00034031,0.00001858,-0.00001858,0.32178000,-0.32178000,0.00000000,-0.00000000
-5.86193097,0.49374023,-0.49374023,0.09902703,-0.09902703,0.19554737,-0.19554737,0.00030930,-0.00030930,0.00001841,-0.00001841,0.32213092,-0.32213092,0.00000000,-0.00000000
-5.85592796,0.49235561,-0.49235561,0.09835884,-0.09835884,0.19537630,-0.19537630,0.00028266,-0.00028266,0.00001820,-0.00001820,0.32115598,-0.32115598,0.00000000,-0.00000000
-5.84992496,0.48864962,-0.48864962,0.09730812,-0.09730812,0.19420313,-0.19420313,0.00025966,-0.00025966,0.00001794,-0.00001794,0.31868154,-0.31868154,0.00000000,-0.00000000
-5.84392196,0.48244583,-0.48244583,0.09582833,-0.09582833,0.19196984,-0.19196984,0.00023963,-0.00023963,0.00001763,-0.00001763,0.31459050,-0.31459050,0.00000000,-0.00000000
-5.83791896,0.47365593,-0.47365593,0.09389163,-0.09389163,0.18865203,-0.18865203,0.00022196,-0.00022196,0.00001724,-0.00001724,0.30882348,-0.30882348,0.00000000,-0.00000000
-5.83191596,0.46227813,-0.46227813,0.09148861,-0.09148861,0.18425832,-0.18425832,0.00020617,-0.00020617,0.00001677,-0.00001677,0.30137768,-0.30137768,0.00000000,-0.00000000
-5.82591296,0.44839260,-0.44839260,0.08862721,-0.08862721,0.17882869,-0.17882869,0.00019184,-0.00019184,0.00001623,-0.00001623,0.29230396,-0.29230396,0.00000000,-0.00000000
-5.81990995,0.43215412,-0.43215412,0.08533126,-0.08533126,0.17243164,-0.17243164,0.00017862,-0.00017862,0.00001562,-0.00001562,0.28170196,-0.28170196,0.00000000,-0.00000000
-5.81390695,0.41378250,-0.41378250,0.08163840,-0.08163840,0.16516054,-0.16516054,0.00016627,-0.00016627,0.00001493,-0.00001493,0.26971393,-0.26971393,0.00000000,-0.00000000
-5.80790395,0.39355132,-0.39355132,0.07759781,-0.07759781,0.15712927,-0.15712927,0.00015462,-0.00015462,0.00001419,-0.00001419,0.25651730,-0.25651730,0.00000000,-0.00000000
-5.80190095,0.37177541,-0.37177541,0.07326760,-0.07326760,0.14846731,-0.14846731,0.00014356,-0.00014356,0.00001340,-0.00001340,0.24231652,-0.24231652,0.00000000,-0.00000000
-5.79589795,0.34879779,-0.34879779,0.06871211,-0.06871211,0.13931470,-0.13931470,0.00013303,-0.00013303,0.00001256,-0.00001256,0.22733452,-0.22733452,0.00000000,-0.00000000
