energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Ir_p_up,Ir_d_up,Te_p_up,Te_d_up
-6.00000000,4.39021146,0.02574905,0.33488536,0.42721845,0.25677714,0.73458434,2.70736984,1.32686290,0.00000000
-5.99399700,4.47994314,0.02503496,0.35744412,0.43801261,0.26786164,0.74885808,2.75155885,1.36243683,0.00000000
-5.98799400,4.57098024,0.02426236,0.38115044,0.44903240,0.28045153,0.76285316,2.79474468,1.39822934,0.00000000
-5.98199100,4.66454727,0.02345368,0.40592362,0.46040200,0.29479840,0.77669730,2.83754240,1.43477260,0.00000000
-5.97598799,4.76212522,0.02263225,0.43170138,0.47226835,0.31115885,0.79056304,2.88073884,1.47267932,0.00000000
-5.96998499,4.86538996,0.02182158,0.45843925,0.48479363,0.32978603,0.80465903,2.92526016,1.51261899,0.00000000
-5.96398199,4.97613810,0.02104477,0.48610813,0.49814647,0.35091987,0.81921942,2.97213233,1.55528991,0.00000000
-5.95797899,5.09620228,0.02032381,0.51468974,0.51249216,0.37477657,0.83449165,3.02243543,1.60138798,0.00000000
-5.95197599,5.22735851,0.01967904,0.54417034,0.52798237,0.40153739,0.85072305,3.07725350,1.65157319,0.00000000
-5.94597299,5.37122890,0.01912859,0.57453266,0.54474490,0.43133715,0.86814680,3.13762128,1.70643499,0.00000000
-5.93996998,5.52918329,0.01868787,0.60574672,0.56287380,0.46425300,0.88696772,3.20446998,1.76645803,0.00000000
-5.93396698,5.70224391,0.01836923,0.63775982,0.58242066,0.50029379,0.90734855,3.27857400,1.83198954,0.00000000
-5.92796398,5.89099727,0.01818165,0.67048645,0.60338721,0.53939064,0.92939725,3.36050089,1.90321002,0.00000000
-5.92196098,6.09551762,0.01813050,0.70379873,0.62571992,0.58138932,0.95315599,3.45056668,1.98010845,0.00000000
-5.91595798,6.31530598,0.01821755,0.73751816,0.64930686,0.62604485,0.97859239,3.54879875,2.06246353,0.00000000
-5.90995498,6.54924870,0.01844087,0.77140930,0.67397702,0.67301903,1.00559346,3.65490831,2.14983218,0.00000000
-5.90395198,6.79559862,0.01879504,0.80517611,0.69950236,0.72188104,1.03396278,3.76827405,2.24154610,0.00000000
-5.89794897,7.05198118,0.01927134,0.83846141,0.72560253,0.77211172,1.06342109,3.88793839,2.33671713,0.00000000
-5.89194597,7.31542681,0.01985807,0.87084985,0.75195213,0.82311147,1.09361067,4.01261723,2.43425178,0.00000000
-5.88594297,7.58242995,0.02054093,0.90187457,0.77819037,0.87421192,1.12410330,4.14072324,2.53287473,0.00000000
-5.87993997,7.84903335,0.02130352,0.93102744,0.80393268,0.92469111,1.15441183,4.27040266,2.63116079,0.00000000
