energy_ev,total_up,Ag_p_up,Ag_d_up,As_p_up,As_d_up,S_s_up,S_p_up
-6.00000000,9.21927414,1.47108747,5.78431687,1.72139140,0.00000000,0.12761372,0.51403556
-5.99399700,9.27691495,1.48030510,5.83782510,1.72079048,0.00000000,0.12954987,0.51812582
-5.98799400,9.32604584,1.48787723,5.88719971,1.71688966,0.00000000,0.13139795,0.52277981
-5.98199100,9.36774179,1.49389763,5.93314380,1.70983970,0.00000000,0.13316362,0.52805922
-5.97598799,9.40309969,1.49847559,5.97635452,1.69982139,0.00000000,0.13485237,0.53401307
-5.96998499,9.43319608,1.50173359,6.01749563,1.68704192,0.00000000,0.13646842,0.54067342
-5.96398199,9.45905177,1.50380558,6.05717485,1.67173188,0.00000000,0.13801389,0.54805187
-5.95797899,9.48160466,1.50483613,6.09592693,1.65414303,0.00000000,0.13948797,0.55613679
-5.95197599,9.50169184,1.50498007,6.13420311,1.63454658,0.00000000,0.14088636,0.56489155
-5.94597299,9.52004099,1.50440277,6.17236713,1.61323196,0.00000000,0.14220093,0.57425400
-5.93996998,9.53727085,1.50328064,6.21069747,1.59050583,0.00000000,0.14341960,0.58413693
-5.93396698,9.55389982,1.50180174,6.24939543,1.56669104,0.00000000,0.14452658,0.59442994
-5.92796398,9.57036122,1.50016608,6.28859790,1.54212530,0.00000000,0.14550280,0.60500221
-5.92196098,9.58702344,1.49858560,6.32839382,1.51715929,0.00000000,0.14632661,0.61570634
-5.91595798,9.60421305,1.49728325,6.36884279,1.49215404,0.00000000,0.14697465,0.62638302
-5.90995498,9.62223866,1.49649124,6.40999451,1.46747735,0.00000000,0.14742292,0.63686620
-5.90395198,9.64141343,1.49644823,6.45190740,1.44349916,0.00000000,0.14764788,0.64698862
-5.89794897,9.66207432,1.49739530,6.49466515,1.42058600,0.00000000,0.14762763,0.65658742
-5.89194597,9.68459629,1.49957084,6.53838972,1.39909429,0.00000000,0.14734298,0.66550954
-5.88594297,9.70940020,1.50320431,6.58324998,1.37936302,0.00000000,0.14677851,0.67361662
-5.87993997,9.73695347,1.50850919,6.62946498,1.36170567,0.00000000,0.14592337,0.68078929
-5.87393697,9.76776307,1.51567519,6.67730168,1.34640191,0.00000000,0.14477200,0.68693054
-5.86793397,9.80236098,1.52486014,6.72706684,1.33368924,0.00000000,0.14332453,0.69196807
-5.86193097,9.84128273,1.53618195,6.77909358,1.32375508,0.00000000,0.14158701,0.69585564
-5.85592796,9.88504014,1.54971089,6.83372311,1.31672953,0.00000000,0.13957135,0.69857324
-5.84992496,9.93408986,1.56546281,6.89128276,1.31267928,0.00000000,0.13729503,0.70012626
-5.84392196,9.98879948,1.58339351,6.95206155,1.31160293,0.00000000,0.13478067,0.70054362
-5.83791896,10.04941352,1.60339484,7.01628478,1.31342810,0.00000000,0.13205535,0.69987517
-5.83191596,10.11602148,1.62529273,7.08408921,1.31801052,0.00000000,0.12914983,0.69818843
-5.82591296,10.18853012,1.64884745,7.15550071,1.32513526,0.00000000,0.12609767,0.69556484
-5.81990995,10.26664227,1.67375628,7.23041560,1.33452020,0.00000000,0.12293429,0.69209592
-5.81390695,10.34984379,1.69965874,7.30858747,1.34582182,0.00000000,0.11969609,0.68787932
-5.80790395,10.43740022,1.72614412,7.38962042,1.35864304,0.00000000,0.11641951,0.68301518
-5.80190095,10.52836392,1.75276135,7.47296959,1.37254307,0.00000000,0.11314026,0.67760279
-5.79589795,10.62159215,1.77903079,7.55794952,1.38704896,0.00000000,0.10989254,0.67173787
-5.78989495,10.71577570,1.80445757,7.64375021,1.40166838,0.00000000,0.10670850,0.66551034
-5.78389195,10.80947733,1.82854598,7.72946056,1.41590338,0.00000000,0.10361772,0.65900287
-5.77788894,10.90117844,1.85081436,7.81409821,1.42926449,0.00000000,0.10064686,0.65229001
-5.77188594,10.98933203,1.87080983,7.89664471,1.44128477,0.00000000,0.09781948,0.64543794
-5.76588294,11.07241978,1.88812230,7.97608430,1.45153319,0.00000000,0.09515592,0.63850482
-5.75987994,11.14901045,1.90239713,8.05144461,1.45962692,0.00000000,0.09267329,0.63154144
-5.75387694,11.21781693,1.91334590,8.12183740,1.46524210,0.00000000,0.09038560,0.62459231
-5.74787394,11.27774938,1.92075487,8.18649721,1.46812255,0.00000000,0.08830393,0.61769680
-5.74187094,11.32796178,1.92449073,8.24481632,1.46808629,0.00000000,0.08643662,0.61089036
-5.73586793,11.36788972,1.92450345,8.29637413,1.46502952,0.00000000,0.08478957,0.60420564
-5.72986493,11.39727767,1.92082615,8.34095951,1.45892796,0.00000000,0.08336651,0.59767344
-5.72386193,11.41619445,1.91357204,8.37858523,1.44983564,0.00000000,0.08216930,0.59132335
-5.71785893,11.42503606,1.90292861,8.40949351,1.43788110,0.00000000,0.08119823,0.58518413
-5.71185593,11.42451579,1.88914934,8.43415240,1.42326123,0.00000000,0.08045229,0.57928373
-5.70585293,11.41564203,1.87254339,8.45324326,1.40623317,0.00000000,0.07992942,0.57364901
-5.69984992,11.39968458,1.85346371,8.46763948,1.38710439,0.00000000,0.07962682,0.56830519
-5.69384692,11.37813098,1.83229410,8.47837760,1.36622150,0.00000000,0.07954108,0.56327510
-5.68784392,11.35263462,1.80943572,8.48662177,1.34395826,0.00000000,0.07966844,0.55857825
-5.68184092,11.32495660,1.78529364,8.49362289,1.32070304,0.00000000,0.08000494,0.55422991
-5.67583792,11.29690372,1.76026394,8.50067419,1.29684645,0.00000000,0.08054652,0.55024016
-5.66983492,11.27026484,1.73472169,8.50906474,1.27276928,0.00000000,0.08128913,0.54661310
-5.66383192,11.24674801,1.70901039,8.52003264,1.24883134,0.00000000,0.08222878,0.54334623
-5.65782891,11.22792052,1.68343300,8.53471969,1.22536143,0.00000000,0.08336158,0.54043005
-5.65182591,11.21515405,1.65824490,8.55412890,1.20264871,0.00000000,0.08468363,0.53784795
-5.64582291,11.20957649,1.63364888,8.57908655,1.18093577,0.00000000,0.08619100,0.53557645
-5.63981991,11.21203224,1.60979219,8.61020981,1.16041341,0.00000000,0.08787954,0.53358562
-5.63381691,11.22305180,1.58676574,8.64788113,1.14121739,0.00000000,0.08974474,0.53183987
