energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,2.53789827,0.03353049,0.23786689,0.08744914,0.00000000,0.03576494,1.14839740,1.01909029,0.71146061
-5.99399700,2.74749026,0.03723490,0.25783300,0.09933755,0.00000000,0.03897696,1.24407417,1.10624745,0.76564416
-5.98799400,2.96153056,0.04117579,0.27817622,0.11228729,0.00000000,0.04236707,1.34199468,1.19564814,0.82042426
-5.98199100,3.17800170,0.04530949,0.29867827,0.12627056,0.00000000,0.04588948,1.44134049,1.28648411,0.87523290
-5.97598799,3.39481230,0.04958621,0.31911075,0.14123922,0.00000000,0.04949612,1.54126180,1.37790463,0.92950264
-5.96998499,3.60981799,0.05395048,0.33923800,0.15712312,0.00000000,0.05313693,1.64088454,1.46902407,0.98267298
-5.96398199,3.82084443,0.05834171,0.35882033,0.17382889,0.00000000,0.05676022,1.73931802,1.55893076,1.03419653
-5.95797899,4.02571184,0.06269516,0.37761768,0.19123935,0.00000000,0.06031321,1.83566258,1.64669705,1.08354493
-5.95197599,4.22226072,0.06694313,0.39539356,0.20921361,0.00000000,0.06374286,1.92901755,1.73139040,1.13021426
-5.94597299,4.40837806,0.07101638,0.41191916,0.22758782,0.00000000,0.06699667,2.01848913,1.81208518,1.17372992
-5.93996998,4.58202376,0.07484579,0.42697754,0.24617684,0.00000000,0.07002371,2.10319845,1.88787511,1.21365089
-5.93396698,4.74125692,0.07836411,0.44036775,0.26477654,0.00000000,0.07277567,2.18228971,1.95788606,1.24957336
-5.92796398,4.88426151,0.08150779,0.45190873,0.28316698,0.00000000,0.07520791,2.25493847,2.02128901,1.28113381
-5.92196098,5.00937135,0.08421878,0.46144296,0.30111621,0.00000000,0.07728051,2.32036032,2.07731297,1.30801159
-5.91595798,5.11509384,0.08644628,0.46883963,0.31838475,0.00000000,0.07895925,2.37781987,2.12525759,1.32993110
-5.90995498,5.20013248,0.08814820,0.47399736,0.33473056,0.00000000,0.08021643,2.42664018,2.16450522,1.34666370
-5.90395198,5.26340749,0.08929248,0.47684625,0.34991437,0.00000000,0.08103155,2.46621259,2.19453218,1.35802947
-5.89794897,5.30407454,0.08985809,0.47734928,0.36370525,0.00000000,0.08139183,2.49600686,2.21491898,1.36389881
-5.89194597,5.32154089,0.08983557,0.47550298,0.37588621,0.00000000,0.08129248,2.51558154,2.22535918,1.36419395
-5.88594297,5.31547871,0.08922733,0.47133736,0.38625965,0.00000000,0.08073671,2.52459413,2.22566661,1.35889042
-5.87993997,5.28583493,0.08804744,0.46491508,0.39465246,0.00000000,0.07973562,2.52281085,2.21578077,1.34801832
-5.87393697,5.23283724,0.08632107,0.45632994,0.40092072,0.00000000,0.07830773,2.51011560,2.19577005,1.33166334
-5.86793397,5.15699575,0.08408363,0.44570461,0.40495358,0.00000000,0.07647841,2.48651746,2.16583268,1.30996735
-5.86193097,5.05909984,0.08137947,0.43318783,0.40667644,0.00000000,0.07427908,2.45215651,2.12629508,1.28312852
-5.85592796,4.94020987,0.07826045,0.41895107,0.40605315,0.00000000,0.07174629,2.40730729,2.07760775,1.25140055
-5.84992496,4.80164357,0.07478425,0.40318473,0.40308722,0.00000000,0.06892068,2.35237954,2.02033847,1.21509110
-5.84392196,4.64495699,0.07101261,0.38609407,0.39782188,0.00000000,0.06584591,2.28791595,1.95516291,1.17455911
-5.83791896,4.47192022,0.06700948,0.36789494,0.39033915,0.00000000,0.06256747,2.21458649,1.88285288,1.13021098
-5.83191596,4.28448802,0.06283930,0.34880945,0.38075780,0.00000000,0.05913166,2.13317945,1.80426235,1.08249550
-5.82591296,4.08476617,0.05856526,0.32906162,0.36923032,0.00000000,0.05558448,2.04458908,1.72031155,1.03189763
-5.81990995,3.87497400,0.05424784,0.30887328,0.35593896,0.00000000,0.05197068,1.94980011,1.63196966,0.97893111
-5.81390695,3.65740412,0.04994348,0.28846018,0.34109110,0.00000000,0.04833289,1.84986948,1.54023635,0.92413011
-5.80790395,3.43438047,0.04570355,0.26802840,0.32491389,0.00000000,0.04471092,1.74590587,1.44612287,0.86804011
-5.80190095,3.20821577,0.04157351,0.24777126,0.30764864,0.00000000,0.04114113,1.63904757,1.35063310,0.81120831
-5.79589795,2.98116965,0.03759238,0.22786664,0.28954481,0.00000000,0.03765601,1.53043953,1.25474513,0.75417378
-5.78989495,2.75540862,0.03379249,0.20847481,0.27085411,0.00000000,0.03428385,1.42121026,1.15939389,0.69745780
-5.78389195,2.53296924,0.03019938,0.18973685,0.25182474,0.00000000,0.03104859,1.31244946,1.06545540,0.64155458
-5.77788894,2.31572537,0.02683201,0.17177353,0.23269599,0.00000000,0.02796977,1.20518715,0.97373290,0.58692286
