energy_ev,total_up,Ag_p_up,Ag_d_up,In_p_up,In_d_up,Te_p_up,Te_d_up
-6.00000000,3.43555072,0.37227727,3.11757008,0.11416981,0.00358241,0.17125308,0.00000000
-5.99399700,3.44235768,0.37712846,3.12565921,0.11546126,0.00356509,0.16968301,0.00000000
-5.98799400,3.44633024,0.38077295,3.13096581,0.11629086,0.00355448,0.16838400,0.00000000
-5.98199100,3.44706088,0.38312698,3.13312846,0.11662302,0.00355025,0.16734467,0.00000000
-5.97598799,3.44418093,0.38413387,3.13181488,0.11643285,0.00355188,0.16655516,0.00000000
-5.96998499,3.43736532,0.38376592,3.12672503,0.11570709,0.00355868,0.16600769,0.00000000
-5.96398199,3.42633700,0.38202551,3.11759440,0.11444460,0.00356981,0.16569703,0.00000000
-5.95797899,3.41087148,0.37894519,3.10419765,0.11265653,0.00358425,0.16562083,0.00000000
-5.95197599,3.39080138,0.37458688,3.08635285,0.11036609,0.00360088,0.16577989,0.00000000
-5.94597299,3.36602139,0.36904023,3.06392644,0.10760800,0.00361846,0.16617840,0.00000000
-5.93996998,3.33649348,0.36242017,3.03683873,0.10442754,0.00363571,0.16682408,0.00000000
-5.93396698,3.30225217,0.35486394,3.00506995,0.10087938,0.00365130,0.16772831,0.00000000
-5.92796398,3.26340988,0.34652756,2.96866637,0.09702616,0.00366390,0.16890620,0.00000000
-5.92196098,3.22016169,0.33758212,2.92774635,0.09293688,0.00367225,0.17037668,0.00000000
-5.91595798,3.17278946,0.32820984,2.88250555,0.08868521,0.00367518,0.17216247,0.00000000
-5.90995498,3.12166452,0.31860032,2.83322112,0.08434774,0.00367165,0.17429017,0.00000000
-5.90395198,3.06724878,0.30894687,2.78025418,0.08000231,0.00366077,0.17679009,0.00000000
-5.89794897,3.01009365,0.29944321,2.72405022,0.07572636,0.00364185,0.17969621,0.00000000
-5.89194597,2.95083658,0.29028056,2.66513707,0.07159548,0.00361442,0.18304587,0.00000000
-5.88594297,2.89019480,0.28164513,2.60412023,0.06768209,0.00357821,0.18687949,0.00000000
-5.87993997,2.82895638,0.27371602,2.54167541,0.06405431,0.00353322,0.19123997,0.00000000
-5.87393697,2.76796836,0.26666354,2.47853834,0.06077505,0.00347965,0.19617206,0.00000000
-5.86793397,2.70812228,0.26064778,2.41549206,0.05790132,0.00341792,0.20172139,0.00000000
-5.86193097,2.65033734,0.25581744,2.35335189,0.05548363,0.00334869,0.20793331,0.00000000
-5.85592796,2.59554139,0.25230867,2.29294868,0.05356564,0.00327275,0.21485147,0.00000000
-5.84992496,2.54465054,0.25024395,2.23511061,0.05218389,0.00319110,0.22251613,0.00000000
-5.84392196,2.49854752,0.24973085,2.18064423,0.05136761,0.00310482,0.23096221,0.00000000
-5.83791896,2.45805970,0.25086045,2.13031527,0.05113863,0.00301510,0.24021714,0.00000000
-5.83191596,2.42393714,0.25370568,2.08482974,0.05151122,0.00292318,0.25029849,0.00000000
-5.82591296,2.39683137,0.25831923,2.04481590,0.05249207,0.00283033,0.26121157,0.00000000
-5.81990995,2.37727544,0.26473130,2.01080756,0.05408009,0.00273778,0.27294693,0.00000000
-5.81390695,2.36566590,0.27294711,1.98322915,0.05626636,0.00264673,0.28547802,0.00000000
-5.80790395,2.36224713,0.28294444,1.96238306,0.05903391,0.00255831,0.29875904,0.00000000
-5.80190095,2.36709858,0.29467124,1.94843929,0.06235759,0.00247351,0.31272315,0.00000000
-5.79589795,2.38012545,0.30804345,1.94142810,0.06620397,0.00239323,0.32728120,0.00000000
-5.78989495,2.40105312,0.32294347,1.94123546,0.07053125,0.00231819,0.34232104,0.00000000
-5.78389195,2.42942574,0.33921913,1.94760177,0.07528929,0.00224898,0.35770766,0.00000000
-5.77788894,2.46460921,0.35668364,1.96012385,0.08041981,0.00218601,0.37328409,0.00000000
-5.77188594,2.50579878,0.37511653,1.97826019,0.08585673,0.00212951,0.38887329,0.00000000
-5.76588294,2.55203132,0.39426569,2.00133965,0.09152670,0.00207956,0.40428096,0.00000000
-5.75987994,2.60220210,0.41385066,2.02857334,0.09734995,0.00203607,0.41929921,0.00000000
-5.75387694,2.65508609,0.43356709,2.05906971,0.10324130,0.00199880,0.43371123,0.00000000
