energy_ev,total_up,Au_p_up,Au_d_up,Li_s_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,3.81082656,0.94451869,2.22116363,0.55474668,0.02082139,0.07559428,1.16079312,0.00000000
-5.99399700,3.66219497,0.90901377,2.14202579,0.53320412,0.02018283,0.07289897,1.10840391,0.00000000
-5.98799400,3.50303557,0.87105409,2.05539372,0.51011743,0.01951119,0.07001026,1.05384514,0.00000000
-5.98199100,3.33486811,0.83095658,1.96217581,0.48573270,0.01880801,0.06694889,0.99758802,0.00000000
-5.97598799,3.15933707,0.78906936,1.86338979,0.46030548,0.01807487,0.06373846,0.94011527,0.00000000
-5.96998499,2.97817804,0.74576566,1.76013738,0.43409656,0.01731360,0.06040510,0.88191371,0.00000000
-5.96398199,2.79318132,0.70143680,1.65357656,0.40736783,0.01652642,0.05697696,0.82346666,0.00000000
-5.95797899,2.60615402,0.65648447,1.54489265,0.38037796,0.01571611,0.05348366,0.76524627,0.00000000
-5.95197599,2.41888200,0.61131263,1.43526934,0.35337829,0.01488606,0.04995568,0.70770613,0.00000000
-5.94597299,2.23309313,0.56631934,1.32586070,0.32660887,0.01404031,0.04642366,0.65127421,0.00000000
-5.93996998,2.05042311,0.52188874,1.21776536,0.30029480,0.01318357,0.04291778,0.59634657,0.00000000
-5.93396698,1.87238511,0.47838371,1.11200363,0.27464297,0.01232112,0.03946709,0.54328181,0.00000000
-5.92796398,1.70034422,0.43613920,1.00949841,0.24983927,0.01145871,0.03609897,0.49239665,0.00000000
-5.92196098,1.53549741,0.39545675,0.91106022,0.22604646,0.01060246,0.03283853,0.44396268,0.00000000
-5.91595798,1.37885959,0.35660006,0.81737691,0.20340254,0.00975865,0.02970827,0.39820434,0.00000000
-5.90995498,1.23125596,0.31979212,0.72900794,0.18201993,0.00893357,0.02672766,0.35529826,0.00000000
-5.90395198,1.09332052,0.28521355,0.64638319,0.16198523,0.00813335,0.02391300,0.31537392,0.00000000
-5.89794897,0.96550062,0.25300248,0.56980607,0.14335966,0.00736378,0.02127725,0.27851556,0.00000000
-5.89194597,0.84806676,0.22325569,0.49946030,0.12618020,0.00663020,0.01883009,0.24476522,0.00000000
-5.88594297,0.74112719,0.19603101,0.43541995,0.11046114,0.00593735,0.01657800,0.21412687,0.00000000
-5.87993997,0.64464614,0.17135071,0.37766199,0.09619627,0.00528932,0.01452449,0.18657126,0.00000000
-5.87393697,0.55846504,0.14920580,0.32608069,0.08336130,0.00468946,0.01267034,0.16204149,0.00000000
-5.86793397,0.48232542,0.12956085,0.28050309,0.07191661,0.00414044,0.01101404,0.14045885,0.00000000
-5.86193097,0.41589266,0.11235928,0.24070493,0.06181019,0.00364420,0.00955207,0.12172895,0.00000000
-5.85592796,0.35877958,0.09752868,0.20642631,0.05298047,0.00320206,0.00827941,0.10574762,0.00000000
-5.84992496,0.31056891,0.08498606,0.17738656,0.04535927,0.00281475,0.00718991,0.09240661,0.00000000
-5.84392196,0.27083383,0.07464273,0.15329783,0.03887442,0.00248254,0.00627670,0.08159870,0.00000000
-5.83791896,0.23915607,0.06640868,0.13387690,0.03345219,0.00220532,0.00553254,0.07322209,0.00000000
-5.83191596,0.21514068,0.06019618,0.11885504,0.02901943,0.00198273,0.00495022,0.06718394,0.00000000
-5.82591296,0.19842738,0.05592262,0.10798559,0.02550525,0.00181422,0.00452273,0.06340288,0.00000000
-5.81990995,0.18869804,0.05351235,0.10104920,0.02284237,0.00169915,0.00424350,0.06181043,0.00000000
-5.81390695,0.18568014,0.05289761,0.09785659,0.02096801,0.00163687,0.00410654,0.06235124,0.00000000
-5.80790395,0.18914635,0.05401838,0.09824905,0.01982434,0.00162675,0.00410644,0.06498218,0.00000000
-5.80190095,0.19891021,0.05682135,0.10209653,0.01935861,0.00166819,0.00423837,0.06967026,0.00000000
-5.79589795,0.21481828,0.06125793,0.10929377,0.01952278,0.00176063,0.00449797,0.07638956,0.00000000
-5.78989495,0.23673920,0.06728158,0.11975451,0.02027299,0.00190347,0.00488117,0.08511709,0.00000000
-5.78389195,0.26455003,0.07484438,0.13340413,0.02156859,0.00209606,0.00538395,0.09582797,0.00000000
-5.77788894,0.29812074,0.08389330,0.15017121,0.02337115,0.00233756,0.00600211,0.10848999,0.00000000
-5.77188594,0.33729732,0.09436615,0.16997812,0.02564319,0.00262687,0.00673096,0.12305782,0.00000000
-5.76588294,0.38188461,0.10618753,0.19273147,0.02834698,0.00296251,0.00756500,0.13946720,0.00000000
-5.75987994,0.43162952,0.11926505,0.21831255,0.03144333,0.00334246,0.00849762,0.15762931,0.00000000
-5.75387694,0.48620566,0.13348596,0.24656848,0.03489043,0.00376411,0.00952084,0.17742572,0.00000000
-5.74787394,0.54520028,0.14871457,0.27730445,0.03864297,0.00422409,0.01062509,0.19870417,0.00000000
-5.74187094,0.60810443,0.16479052,0.31027766,0.04265144,0.00471826,0.01179898,0.22127558,0.00000000
-5.73586793,0.67430704,0.18152817,0.34519321,0.04686172,0.00524156,0.01302930,0.24491233,0.00000000
-5.72986493,0.74309361,0.19871722,0.38170250,0.05121505,0.00578807,0.01430090,0.26934829,0.00000000
-5.72386193,0.81365009,0.21612467,0.41940435,0.05564830,0.00635099,0.01559686,0.29428063,0.00000000
-5.71785893,0.88507195,0.23349806,0.45784893,0.06009463,0.00692271,0.01689865,0.31937340,0.00000000
-5.71185593,0.95637877,0.25057003,0.49654469,0.06448450,0.00749493,0.01818639,0.34426306,0.00000000
-5.70585293,1.02653375,0.26706402,0.53496808,0.06874701,0.00805879,0.01943927,0.36856570,0.00000000
-5.69984992,1.09446781,0.28270095,0.57257575,0.07281143,0.00860507,0.02063595,0.39188581,0.00000000
-5.69384692,1.15910729,0.29720659,0.60881892,0.07660903,0.00912442,0.02175515,0.41382632,0.00000000
-5.68784392,1.21940429,0.31031937,0.64315923,0.08007493,0.00960762,0.02277615,0.43399943,0.00000000
-5.68184092,1.27436824,0.32179826,0.67508545,0.08315003,0.01004582,0.02367944,0.45203799,0.00000000
-5.67583792,1.32309735,0.33143037,0.70413026,0.08578286,0.01043084,0.02444725,0.46760668,0.00000000
-5.66983492,1.36480842,0.33903782,0.72988621,0.08793121,0.01075542,0.02506415,0.48041274,0.00000000
-5.66383192,1.39886350,0.34448375,0.75202008,0.08956355,0.01101346,0.02551750,0.49021554,0.00000000
-5.65782891,1.42479201,0.34767695,0.77028481,0.09066012,0.01120022,0.02579790,0.49683466,0.00000000
-5.65182591,1.44230715,0.34857497,0.78452838,0.09121358,0.01131252,0.02589949,0.50015603,0.00000000
-5.64582291,1.45131564,0.34718555,0.79469891,0.09122918,0.01134878,0.02582016,0.50013586,0.00000000
-5.63981991,1.45192017,0.34356627,0.80084579,0.09072458,0.01130914,0.02556160,0.49680204,0.00000000
-5.63381691,1.44441434,0.33782240,0.80311653,0.08972909,0.01119543,0.02512925,0.49025315,0.00000000
-5.62781391,1.42927015,0.33010307,0.80174956,0.08828253,0.01101105,0.02453212,0.48065488,0.00000000
-5.62181091,1.40711880,0.32059600,0.79706303,0.08643371,0.01076092,0.02378246,0.46823416,0.00000000
-5.61580790,1.37872541,0.30952090,0.78944033,0.08423853,0.01045123,0.02289540,0.45327133,0.00000000
-5.60980490,1.34495913,0.29712202,0.77931300,0.08175801,0.01008921,0.02188840,0.43609063,0.00000000
-5.60380190,1.30675999,0.28366009,0.76714179,0.07905601,0.00968292,0.02078074,0.41704944,0.00000000
-5.59779890,1.26510414,0.26940408,0.75339693,0.07619705,0.00924094,0.01959290,0.39652694,0.00000000
-5.59179590,1.22096919,0.25462311,0.73853868,0.07324420,0.00877205,0.01834598,0.37491254,0.00000000
-5.58579290,1.17530134,0.23957894,0.72299897,0.07025714,0.00828502,0.01706111,0.35259469,0.00000000
-5.57978989,1.12898573,0.22451923,0.70716529,0.06729046,0.00778828,0.01575890,0.32995045,0.00000000
-5.57378689,1.08282149,0.20967193,0.69136754,0.06439238,0.00728972,0.01445897,0.30733638,0.00000000
-5.56778389,1.03750237,0.19524094,0.67586843,0.06160375,0.00679648,0.01317953,0.28508086,0.00000000
-5.56178089,0.99360377,0.18140309,0.66085791,0.05895757,0.00631481,0.01193705,0.26347825,0.00000000
-5.55577789,0.95157638,0.16830663,0.64645193,0.05647885,0.00584995,0.01074604,0.24278493,0.00000000
-5.54977489,0.91174653,0.15607095,0.63269521,0.05418494,0.00540609,0.00961890,0.22321717,0.00000000
-5.54377189,0.87432268,0.14478769,0.61956809,0.05208610,0.00498635,0.00856589,0.20495087,0.00000000
-5.53776888,0.83940745,0.13452276,0.60699665,0.05018650,0.00459280,0.00759512,0.18812294,0.00000000
-5.53176588,0.80701415,0.12531939,0.59486570,0.04848537,0.00422658,0.00671270,0.17283393,0.00000000
-5.52576288,0.77708663,0.11720160,0.58303372,0.04697827,0.00388792,0.00592289,0.15915190,0.00000000
-5.51975988,0.74952113,0.11017818,0.57134881,0.04565848,0.00357636,0.00522828,0.14711690,0.00000000
-5.51375688,0.72418879,0.10424662,0.55966497,0.04451829,0.00329080,0.00463005,0.13674584,0.00000000
-5.50775388,0.70095751,0.09939693,0.54785763,0.04355020,0.00302970,0.00412821,0.12803746,0.00000000
-5.50175088,0.67971202,0.09561506,0.53583766,0.04274791,0.00279120,0.00372182,0.12097695,0.00000000
-5.49574787,0.66037102,0.09288570,0.52356333,0.04210711,0.00257325,0.00340927,0.11554006,0.00000000
-5.48974487,0.64290073,0.09119440,0.51104946,0.04162593,0.00237374,0.00318846,0.11169645,0.00000000
-5.48374187,0.62732416,0.09052891,0.49837351,0.04130509,0.00219061,0.00305698,0.10941212,0.00000000
-5.47773887,0.61372592,0.09087961,0.48567846,0.04114774,0.00202190,0.00301228,0.10865088,0.00000000
-5.47173587,0.60225254,0.09223920,0.47317229,0.04115905,0.00186587,0.00305176,0.10937478,0.00000000
-5.46573287,0.59310840,0.09460160,0.46112439,0.04134546,0.00172098,0.00317287,0.11154372,0.00000000
-5.45972986,0.58654787,0.09796027,0.44985897,0.04171382,0.00158595,0.00337314,0.11511414,0.00000000
-5.45372686,0.58286412,0.10230600,0.43974609,0.04227027,0.00145977,0.00365021,0.12003714,0.00000000
-5.44772386,0.58237549,0.10762440,0.43119054,0.04301917,0.00134165,0.00400181,0.12625622,0.00000000
-5.44172086,0.58541002,0.11389332,0.42461920,0.04396197,0.00123107,0.00442576,0.13370478,0.00000000
-5.43571786,0.59228913,0.12108032,0.42046747,0.04509620,0.00112768,0.00491993,0.14230370,0.00000000
-5.42971486,0.60331129,0.12914039,0.41916506,0.04641459,0.00103134,0.00548219,0.15195931,0.00000000
-5.42371186,0.61873619,0.13801418,0.42112185,0.04790443,0.00094203,0.00611040,0.16256180,0.00000000
-5.41770885,0.63877039,0.14762673,0.42671409,0.04954723,0.00085987,0.00680236,0.17398441,0.00000000
-5.41170585,0.66355471,0.15788700,0.43627145,0.05131863,0.00078505,0.00755581,0.18608347,0.00000000
-5.40570285,0.69315392,0.16868805,0.45006501,0.05318872,0.00071785,0.00836839,0.19869940,0.00000000
-5.39969985,0.72754904,0.17990814,0.46829674,0.05512259,0.00065860,0.00923762,0.21165874,0.00000000
-5.39369685,0.76663225,0.19141249,0.49109046,0.05708123,0.00060770,0.01016091,0.22477702,0.00000000
-5.38769385,0.81020465,0.20305584,0.51848456,0.05902273,0.00056558,0.01113557,0.23786267,0.00000000
-5.38169085,0.85797667,0.21468558,0.55042657,0.06090361,0.00053274,0.01215876,0.25072149,0.00000000
-5.37568784,0.90957114,0.22614534,0.58676993,0.06268032,0.00050975,0.01322748,0.26316172,0.00000000
-5.36968484,0.96452876,0.23727893,0.62727274,0.06431078,0.00049725,0.01433855,0.27499941,0.00000000
-5.36368184,1.02231585,0.24793441,0.67159902,0.06575596,0.00049596,0.01548857,0.28606380,0.00000000
-5.35767884,1.08233410,0.25796813,0.71932229,0.06698126,0.00050671,0.01667381,0.29620251,0.00000000
-5.35167584,1.14393215,0.26724852,0.76993176,0.06795778,0.00053043,0.01789018,0.30528628,0.00000000
-5.34567284,1.20641880,0.27565956,0.82284111,0.06866332,0.00056814,0.01913315,0.31321296,0.00000000
-5.33966983,1.26907753,0.28310372,0.87739989,0.06908309,0.00062097,0.02039760,0.31991063,0.00000000
-5.33366683,1.33118224,0.28950427,0.93290746,0.06921009,0.00069014,0.02167778,0.32533974,0.00000000
-5.32766383,1.39201386,0.29480697,0.98862944,0.06904517,0.00077691,0.02296724,0.32949398,0.00000000
-5.32166083,1.45087759,0.29898093,1.04381619,0.06859670,0.00088259,0.02425876,0.33240010,0.00000000
-5.31565783,1.50712051,0.30201884,1.09772316,0.06788000,0.00100845,0.02554436,0.33411646,0.00000000
