energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Se_s_up,Se_p_up
-6.00000000,1.32603179,0.61957608,0.80557934,0.01263108,0.03216507,0.17744196,0.14883134,0.02803682,0.16306228
-5.99399700,1.29271879,0.61548145,0.78141474,0.01256523,0.03256186,0.17832016,0.14607040,0.02621463,0.16101953
-5.98799400,1.25869561,0.60869752,0.75768393,0.01248037,0.03275570,0.17831575,0.14302346,0.02451774,0.15850416
-5.98199100,1.22390287,0.59914526,0.73438360,0.01237900,0.03274124,0.17741384,0.13967064,0.02294315,0.15550158
-5.97598799,1.18837942,0.58681215,0.71156206,0.01226506,0.03251850,0.17562509,0.13600578,0.02148718,0.15201322
-5.96998499,1.15227235,0.57175485,0.68932614,0.01214397,0.03209283,0.17298572,0.13203731,0.02014597,0.14805747
-5.96398199,1.11584119,0.55409897,0.66784459,0.01202255,0.03147464,0.16955651,0.12778847,0.01891595,0.14366973
-5.95797899,1.07945591,0.53403609,0.64734767,0.01190888,0.03067907,0.16542091,0.12329682,0.01779416,0.13890174
-5.95197599,1.04358877,0.51181797,0.62812288,0.01181211,0.02972531,0.16068221,0.11861311,0.01677848,0.13382016
-5.94597299,1.00880039,0.48774848,0.61050710,0.01174218,0.02863601,0.15546003,0.11379949,0.01586774,0.12850444
-5.93996998,0.97572071,0.46217368,0.59487526,0.01170946,0.02743640,0.14988612,0.10892721,0.01506173,0.12304419
-5.93396698,0.94502586,0.43547036,0.58162650,0.01172437,0.02615350,0.14409980,0.10407397,0.01436110,0.11753599
-5.92796398,0.91741204,0.40803388,0.57116814,0.01179696,0.02481514,0.13824312,0.09932090,0.01376715,0.11208008
-5.92196098,0.89356791,0.38026580,0.56389853,0.01193650,0.02344915,0.13245602,0.09474948,0.01328159,0.10677681
-5.91595798,0.87414663,0.35256180,0.56018963,0.01215097,0.02208248,0.12687172,0.09043852,0.01290626,0.10172316
-5.90995498,0.85973926,0.32530059,0.56037016,0.01244676,0.02074043,0.12161239,0.08646121,0.01264279,0.09700954
-5.90395198,0.85085052,0.29883406,0.56471016,0.01282822,0.01944602,0.11678550,0.08288256,0.01249230,0.09271679
-5.89794897,0.84787824,0.27347919,0.57340792,0.01329741,0.01821947,0.11248077,0.07975723,0.01245513,0.08891381
-5.89194597,0.85109749,0.24951183,0.58657972,0.01385386,0.01707777,0.10876801,0.07712778,0.01253059,0.08565555
-5.88594297,0.86064995,0.22716252,0.60425310,0.01449446,0.01603446,0.10569578,0.07502360,0.01271675,0.08298178
-5.87993997,0.87653916,0.20661434,0.62636396,0.01521342,0.01509960,0.10329103,0.07346031,0.01301041,0.08091639
-5.87393697,0.89863163,0.18800271,0.65275752,0.01600237,0.01427975,0.10155953,0.07243980,0.01340696,0.07946734
-5.86793397,0.92666387,0.17141691,0.68319337,0.01685054,0.01357823,0.10048731,0.07195083,0.01390053,0.07862722
-5.86193097,0.96025477,0.15690315,0.71735419,0.01774504,0.01299540,0.10004272,0.07197010,0.01448400,0.07837440
-5.85592796,0.99892276,0.14446873,0.75485771,0.01867130,0.01252912,0.10017921,0.07246382,0.01514926,0.07867455
-5.84992496,1.04210684,0.13408720,0.79527150,0.01961346,0.01217516,0.10083865,0.07338958,0.01588739,0.07948262
-5.84392196,1.08919048,0.12570395,0.83812968,0.02055497,0.01192779,0.10195494,0.07469851,0.01668891,0.08074508
-5.83791896,1.13952701,0.11924204,0.88295087,0.02147909,0.01178034,0.10345786,0.07633754,0.01754412,0.08240229
-5.83191596,1.19246557,0.11460797,0.92925633,0.02236949,0.01172570,0.10527690,0.07825179,0.01844335,0.08439100
-5.82591296,1.24737602,0.11169712,0.97658759,0.02321083,0.01175692,0.10734495,0.08038679,0.01937721,0.08664670
-5.81990995,1.30367184,0.11039861,1.02452244,0.02398922,0.01186762,0.10960171,0.08269063,0.02033688,0.08910594
-5.81390695,1.36082987,0.11059959,1.07268869,0.02469276,0.01205245,0.11199657,0.08511580,0.02131424,0.09170834
-5.80790395,1.41840587,0.11218862,1.12077493,0.02531186,0.01230741,0.11449102,0.08762077,0.02230207,0.09439838
-5.80190095,1.47604549,0.11505838,1.16853766,0.02583953,0.01263007,0.11706036,0.09017112,0.02329409,0.09712683
-5.79589795,1.53348983,0.11910747,1.21580470,0.02627155,0.01301977,0.11969464,0.09274034,0.02428496,0.09985177
-5.78989495,1.59057578,0.12424152,1.26247449,0.02660650,0.01347761,0.12239899,0.09531019,0.02527025,0.10253929
-5.78389195,1.64723108,0.13037361,1.30851156,0.02684574,0.01400641,0.12519307,0.09787056,0.02624635,0.10516379
-5.77788894,1.70346447,0.13742413,1.35393838,0.02699318,0.01461060,0.12810998,0.10041907,0.02721025,0.10770793
-5.77188594,1.75935176,0.14532017,1.39882409,0.02705502,0.01529592,0.13119440,0.10296020,0.02815942,0.11016226
-5.76588294,1.81501838,0.15399465,1.44327077,0.02703942,0.01606916,0.13450034,0.10550420,0.02909160,0.11252458
-5.75987994,1.87061972,0.16338527,1.48739804,0.02695603,0.01693780,0.13808839,0.10806568,0.03000456,0.11479909
-5.75387694,1.92632011,0.17343337,1.53132680,0.02681562,0.01790956,0.14202275,0.11066213,0.03089597,0.11699536
-5.74787394,1.98227170,0.18408288,1.57516306,0.02662951,0.01899202,0.14636810,0.11331230,0.03176323,0.11912725
-5.74187094,2.03859437,0.19527945,1.61898263,0.02640921,0.02019212,0.15118647,0.11603457,0.03260338,0.12121174
-5.73586793,2.09535753,0.20696973,1.66281747,0.02616593,0.02151580,0.15653431,0.11884541,0.03341306,0.12326782
-5.72986493,2.15256492,0.21910106,1.70664449,0.02591025,0.02296756,0.16245974,0.12175800,0.03418853,0.12531537
-5.72386193,2.21014294,0.23162133,1.75037715,0.02565177,0.02455012,0.16900027,0.12478097,0.03492574,0.12737426
-5.71785893,2.26793309,0.24447929,1.79386042,0.02539893,0.02626416,0.17618098,0.12791742,0.03562053,0.12946347
-5.71185593,2.32568886,0.25762505,1.83686917,0.02515883,0.02810805,0.18401321,0.13116426,0.03626877,0.13160040
-5.70585293,2.38307708,0.27101094,1.87911014,0.02493715,0.03007780,0.19249390,0.13451178,0.03686664,0.13380038
