energy_ev,total_up,In_p_up,In_d_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,0.83699001,0.03565910,0.00117565,0.18627711,0.34064726,0.02333680,0.42079193
-5.99399700,0.82483118,0.03500358,0.00112775,0.19275943,0.34049720,0.02261554,0.42002896
-5.98799400,0.81865841,0.03444456,0.00108860,0.20121221,0.34334177,0.02181341,0.42286742
-5.98199100,0.81901640,0.03400146,0.00105945,0.21172455,0.34939017,0.02093917,0.42954589
-5.97598799,0.82631123,0.03369056,0.00104134,0.22435387,0.35878503,0.02000238,0.44022268
-5.96998499,0.84079116,0.03352433,0.00103514,0.23911941,0.37159331,0.01901327,0.45496461
-5.96398199,0.86253222,0.03351090,0.00104150,0.25599681,0.38779941,0.01798256,0.47373853
-5.95797899,0.89142898,0.03365367,0.00106086,0.27491381,0.40730073,0.01692131,0.49640585
-5.95197599,0.92719091,0.03395110,0.00109342,0.29574744,0.42990595,0.01584073,0.52272036
-5.94597299,0.96934458,0.03439661,0.00113916,0.31832290,0.45533614,0.01475198,0.55232955
-5.93996998,1.01724170,0.03497868,0.00119785,0.34241421,0.48322891,0.01366599,0.58477964
-5.93396698,1.07007307,0.03568114,0.00126904,0.36774685,0.51314546,0.01259326,0.61952426
-5.92796398,1.12688810,0.03648361,0.00135209,0.39400227,0.54458057,0.01154364,0.65593669
-5.92196098,1.18661946,0.03736211,0.00144618,0.42082446,0.57697521,0.01052623,0.69332541
-5.91595798,1.24811230,0.03828984,0.00155033,0.44782811,0.60973161,0.00954917,0.73095257
-5.90995498,1.31015711,0.03923809,0.00166343,0.47460847,0.64223007,0.00861956,0.76805481
-5.90395198,1.37152522,0.04017727,0.00178425,0.50075233,0.67384724,0.00774337,0.80386572
-5.89794897,1.43100565,0.04107796,0.00191149,0.52584983,0.70397506,0.00692537,0.83763922
-5.89194597,1.48744211,0.04191210,0.00204378,0.54950664,0.73203962,0.00616915,0.86867280
-5.88594297,1.53976861,0.04265405,0.00217972,0.57135598,0.75751931,0.00547711,0.89632985
-5.87993997,1.58704226,0.04328166,0.00231794,0.59106994,0.77996137,0.00485055,0.92006004
-5.87393697,1.62847202,0.04377723,0.00245707,0.60836966,0.79899618,0.00428972,0.93941685
-5.86793397,1.66344201,0.04412827,0.00259581,0.62303383,0.81434859,0.00379396,0.95407146
-5.86193097,1.69152847,0.04432812,0.00273296,0.63490517,0.82584589,0.00336181,0.96382242
-5.85592796,1.71250956,0.04437629,0.00286741,0.64389453,0.83342187,0.00299117,0.96860052
-5.84992496,1.72636756,0.04427862,0.00299820,0.64998248,0.83711688,0.00267941,0.96846869
-5.84392196,1.73328334,0.04404710,0.00312453,0.65321829,0.83707383,0.00242357,0.96361694
-5.83791896,1.73362337,0.04369948,0.00324572,0.65371631,0.83353034,0.00222046,0.95435251
-5.83191596,1.72791989,0.04325859,0.00336130,0.65165000,0.82680732,0.00206682,0.94108580
-5.82591296,1.71684501,0.04275147,0.00347093,0.64724385,0.81729465,0.00195942,0.92431259
-5.81990995,1.70118016,0.04220832,0.00357446,0.64076365,0.80543446,0.00189520,0.90459363
-5.81390695,1.68178197,0.04166122,0.00367186,0.63250542,0.79170289,0.00187135,0.88253226
-5.80790395,1.65954635,0.04114288,0.00376321,0.62278372,0.77659110,0.00188542,0.85875135
-5.80190095,1.63537225,0.04068526,0.00384871,0.61191968,0.76058642,0.00193535,0.83387045
-5.79589795,1.61012658,0.04031824,0.00392859,0.60022939,0.74415441,0.00201958,0.80848419
-5.78989495,1.58461198,0.04006844,0.00400311,0.58801311,0.72772254,0.00213708,0.78314274
-5.78389195,1.55953847,0.03995805,0.00407251,0.57554567,0.71166628,0.00228742,0.75833525
-5.77788894,1.53550037,0.04000398,0.00413695,0.56306858,0.69629795,0.00247082,0.73447667
-5.77188594,1.51295901,0.04021714,0.00419654,0.55078390,0.68185873,0.00268817,0.71189849
-5.76588294,1.49223210,0.04060203,0.00425120,0.53885031,0.66851421,0.00294112,0.69084344
-5.75987994,1.47348970,0.04115660,0.00430075,0.52738112,0.65635320,0.00323209,0.67146433
-5.75387694,1.45675696,0.04187238,0.00434480,0.51644460,0.64539004,0.00356431,0.65382669
-5.74787394,1.44192312,0.04273487,0.00438283,0.50606609,0.63556984,0.00394187,0.63791483
-5.74187094,1.42875613,0.04372423,0.00441411,0.49623201,0.62677651,0.00436970,0.62364098
-5.73586793,1.41692215,0.04481615,0.00443779,0.48689528,0.61884291,0.00485356,0.61085671
-5.72986493,1.40600870,0.04598288,0.00445290,0.47798196,0.61156272,0.00540002,0.59936609
-5.72386193,1.39555035,0.04719445,0.00445838,0.46939860,0.60470326,0.00601635,0.58893984
-5.71785893,1.38505558,0.04841992,0.00445316,0.46104003,0.59801874,0.00671038,0.57932965
-5.71185593,1.37403356,0.04962859,0.00443620,0.45279704,0.59126329,0.00749034,0.57028218
-5.70585293,1.36201955,0.05079126,0.00440655,0.44456371,0.58420312,0.00836459,0.56155196
-5.69984992,1.34859762,0.05188126,0.00436340,0.43624395,0.57662744,0.00934133,0.55291271
-5.69384692,1.33341990,0.05287540,0.00430615,0.42775697,0.56835749,0.01042821,0.54416666
-5.68784392,1.31622123,0.05375464,0.00423445,0.41904145,0.55925353,0.01163193,0.53515157
-5.68184092,1.29682899,0.05450459,0.00414823,0.41005829,0.54921948,0.01295774,0.52574521
-5.67583792,1.27516742,0.05511570,0.00404773,0.40079174,0.53820511,0.01440898,0.51586737
-5.66983492,1.25125683,0.05558316,0.00393353,0.39124909,0.52620582,0.01598658,0.50547934
-5.66383192,1.22520764,0.05590666,0.00380653,0.38145894,0.51326017,0.01768853,0.49458123
-5.65782891,1.19721001,0.05608977,0.00366789,0.37146817,0.49944543,0.01950948,0.48320729
