energy_ev,total_up,Li_s_up,N_s_up,N_p_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,2.28394741,0.25688796,0.00060649,0.59733916,0.02122435,0.88954022,0.44585578,0.54969067
-5.99399700,2.33879702,0.25572025,0.00061967,0.61934612,0.02195339,0.90474539,0.44632015,0.56909855
-5.98799400,2.40116606,0.25580864,0.00064102,0.64318749,0.02278157,0.92284083,0.44991986,0.58977871
-5.98199100,2.47022648,0.25700787,0.00067027,0.66864545,0.02369968,0.94348604,0.45664424,0.61149987
-5.97598799,2.54500393,0.25916149,0.00070706,0.69544297,0.02469603,0.96631197,0.46645275,0.63398985
-5.96998499,2.62440975,0.26210690,0.00075099,0.72325150,0.02575663,0.99093469,0.47928103,0.65694333
-5.96398199,2.70727619,0.26568040,0.00080160,0.75170071,0.02686536,1.01696882,0.49504663,0.68003093
-5.95797899,2.79239356,0.26972187,0.00085846,0.78039005,0.02800425,1.04404006,0.51365416,0.70290956
-5.95197599,2.87854801,0.27407924,0.00092107,0.80890177,0.02915384,1.07179636,0.53499938,0.72523363
-5.94597299,2.96455829,0.27861227,0.00098901,0.83681488,0.03029354,1.09991728,0.55897217,0.74666649
-5.93996998,3.04931019,0.28319577,0.00106185,0.86371946,0.03140209,1.12812101,0.58545811,0.76689199
-5.93396698,3.13178727,0.28772206,0.00113924,0.88923085,0.03245807,1.15616899,0.61433867,0.78562534
-5.92796398,3.21109664,0.29210262,0.00122089,0.91300299,0.03344034,1.18386782,0.64548994,0.80262306
-5.92196098,3.28648883,0.29626886,0.00130662,0.93474040,0.03432867,1.21106856,0.67878014,0.81769134
-5.91595798,3.35737089,0.30017204,0.00139631,0.95420820,0.03510415,1.23766343,0.71406603,0.83069263
-5.90995498,3.42331240,0.30378237,0.00148999,0.97123971,0.03574972,1.26358029,0.75118853,0.84154997
-5.90395198,3.48404416,0.30708730,0.00158778,0.98574122,0.03625066,1.28877526,0.78996790,0.85024884
-5.89794897,3.53944984,0.31008914,0.00168987,0.99769370,0.03659488,1.31322382,0.83019893,0.85683654
-5.89194597,3.58955110,0.31280209,0.00179659,1.00715131,0.03677330,1.33691131,0.87164653,0.86141886
-5.88594297,3.63448721,0.31524890,0.00190830,1.01423670,0.03678008,1.35982306,0.91404215,0.86415436
-5.87993997,3.67449020,0.31745723,0.00202541,1.01913333,0.03661266,1.38193508,0.95708146,0.86524639
-5.87393697,3.70985691,0.31945593,0.00214833,1.02207514,0.03627191,1.40320583,1.00042363,0.86493311
-5.86793397,3.74091966,0.32127153,0.00227747,1.02333395,0.03576194,1.42356962,1.04369247,0.86347621
