energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,1.34682159,0.00483112,0.02361385,0.94486638,0.00000000,0.20621841,0.05542471
-5.99399700,1.29395991,0.00447141,0.02222473,0.90930442,0.00000000,0.19953009,0.05267369
-5.98799400,1.23801261,0.00412274,0.02084661,0.87136662,0.00000000,0.19221798,0.04987825
-5.98199100,1.17933808,0.00378702,0.01948523,0.83130473,0.00000000,0.18432114,0.04705263
-5.97598799,1.11834643,0.00346573,0.01814612,0.78941074,0.00000000,0.17589325,0.04421156
-5.96998499,1.05549497,0.00315998,0.01683467,0.74601342,0.00000000,0.16700141,0.04137022
-5.96398199,0.99128112,0.00287053,0.01555601,0.70147294,0.00000000,0.15772442,0.03854417
-5.95797899,0.92623288,0.00259784,0.01431506,0.65617375,0.00000000,0.14815058,0.03574924
-5.95197599,0.86089752,0.00234213,0.01311643,0.61051598,0.00000000,0.13837507,0.03300130
-5.94597299,0.79582877,0.00210342,0.01196442,0.56490593,0.00000000,0.12849717,0.03031597
-5.93996998,0.73157339,0.00188155,0.01086292,0.51974592,0.00000000,0.11861724,0.02770838
-5.93396698,0.66865763,0.00167621,0.00981539,0.47542432,0.00000000,0.10883388,0.02519276
-5.92796398,0.60757447,0.00148700,0.00882475,0.43230589,0.00000000,0.09924117,0.02278216
-5.92196098,0.54877203,0.00131343,0.00789336,0.39072329,0.00000000,0.08992620,0.02048816
-5.91595798,0.49264385,0.00115490,0.00702297,0.35096974,0.00000000,0.08096703,0.01832058
-5.90995498,0.43952140,0.00101079,0.00621465,0.31329350,0.00000000,0.07243106,0.01628729
-5.90395198,0.38966904,0.00088042,0.00546884,0.27789403,0.00000000,0.06437390,0.01439407
-5.89794897,0.34328157,0.00076307,0.00478527,0.24492017,0.00000000,0.05683879,0.01264457
-5.89194597,0.30048429,0.00065798,0.00416305,0.21447011,0.00000000,0.04985646,0.01104032
-5.88594297,0.26133557,0.00056438,0.00360066,0.18659314,0.00000000,0.04344550,0.00958079
-5.87993997,0.22583128,0.00048148,0.00309607,0.16129290,0.00000000,0.03761311,0.00826358
-5.87393697,0.19391120,0.00040848,0.00264675,0.13853194,0.00000000,0.03235614,0.00708463
-5.86793397,0.16546656,0.00034458,0.00224978,0.11823718,0.00000000,0.02766250,0.00603844
-5.86193097,0.14034856,0.00028900,0.00190197,0.10030609,0.00000000,0.02351259,0.00511839
-5.85592796,0.11837729,0.00024096,0.00159991,0.08461314,0.00000000,0.01988094,0.00431701
-5.84992496,0.09935072,0.00019970,0.00134008,0.07101629,0.00000000,0.01673778,0.00362628
-5.84392196,0.08305333,0.00016452,0.00111898,0.05936327,0.00000000,0.01405063,0.00303793
-5.83791896,0.06926418,0.00013472,0.00093313,0.04949742,0.00000000,0.01178573,0.00254373
-5.83191596,0.05776407,0.00010967,0.00077922,0.04126285,0.00000000,0.00990932,0.00213566
-5.82591296,0.04834172,0.00008877,0.00065415,0.03450901,0.00000000,0.00838874,0.00180620
-5.81990995,0.04079885,0.00007147,0.00055503,0.02909428,0.00000000,0.00719339,0.00154844
-5.81390695,0.03495403,0.00005728,0.00047928,0.02488887,0.00000000,0.00629533,0.00135623
-5.80790395,0.03064547,0.00004576,0.00042461,0.02177683,0.00000000,0.00566986,0.00122429
-5.80190095,0.02773265,0.00003651,0.00038904,0.01965724,0.00000000,0.00529568,0.00114822
-5.79589795,0.02609692,0.00002921,0.00037090,0.01844472,0.00000000,0.00515506,0.00112453
-5.78989495,0.02564122,0.00002355,0.00036877,0.01806928,0.00000000,0.00523368,0.00115064
-5.78389195,0.02628895,0.00001930,0.00038151,0.01847548,0.00000000,0.00552042,0.00122479
-5.77788894,0.02798212,0.00001626,0.00040821,0.01962128,0.00000000,0.00600690,0.00134600
-5.77188594,0.03067900,0.00001427,0.00044811,0.02147625,0.00000000,0.00668704,0.00151393
-5.76588294,0.03435124,0.00001323,0.00050059,0.02401966,0.00000000,0.00755645,0.00172879
-5.75987994,0.03898071,0.00001306,0.00056514,0.02723821,0.00000000,0.00861175,0.00199117
-5.75387694,0.04455603,0.00001373,0.00064123,0.03112361,0.00000000,0.00984993,0.00230193
-5.74787394,0.05106914,0.00001525,0.00072838,0.03567014,0.00000000,0.01126765,0.00266200
-5.74187094,0.05851172,0.00001766,0.00082599,0.04087213,0.00000000,0.01286055,0.00307225
-5.73586793,0.06687185,0.00002106,0.00093341,0.04672160,0.00000000,0.01462267,0.00353332
-5.72986493,0.07613088,0.00002559,0.00104982,0.05320602,0.00000000,0.01654591,0.00404547
-5.72386193,0.08626062,0.00003147,0.00117430,0.06030633,0.00000000,0.01861957,0.00460847
-5.71785893,0.09722112,0.00003896,0.00130573,0.06799528,0.00000000,0.02083015,0.00522147
-5.71185593,0.10895891,0.00004844,0.00144287,0.07623622,0.00000000,0.02316115,0.00588291
-5.70585293,0.12140608,0.00006038,0.00158431,0.08498232,0.00000000,0.02559320,0.00659049
-5.69984992,0.13448009,0.00007540,0.00172860,0.09417642,0.00000000,0.02810432,0.00734118
-5.69384692,0.14808450,0.00009426,0.00187422,0.10375144,0.00000000,0.03067044,0.00813124
-5.68784392,0.16211071,0.00011795,0.00201970,0.11363153,0.00000000,0.03326612,0.00895635
-5.68184092,0.17644071,0.00014768,0.00216367,0.12373387,0.00000000,0.03586552,0.00981176
-5.67583792,0.19095083,0.00018500,0.00230503,0.13397128,0.00000000,0.03844361,0.01069255
-5.66983492,0.20551663,0.00023177,0.00244301,0.14425548,0.00000000,0.04097757,0.01159393
-5.66383192,0.22001869,0.00029029,0.00257735,0.15450112,0.00000000,0.04344839,0.01251161
-5.65782891,0.23434943,0.00036337,0.00270841,0.16463041,0.00000000,0.04584263,0.01344225
-5.65182591,0.24842061,0.00045435,0.00283735,0.17457837,0.00000000,0.04815429,0.01438399
-5.64582291,0.26217161,0.00056722,0.00296627,0.18429850,0.00000000,0.05038678,0.01533700
-5.63981991,0.27557807,0.00070669,0.00309840,0.19376880,0.00000000,0.05255494,0.01630410
-5.63381691,0.28866078,0.00087820,0.00323822,0.20299793,0.00000000,0.05468695,0.01729142
-5.62781391,0.30149446,0.00108805,0.00339165,0.21203137,0.00000000,0.05682624,0.01830904
-5.62181091,0.31421622,0.00134336,0.00356615,0.22095725,0.00000000,0.05903320,0.01937162
-5.61580790,0.32703321,0.00165214,0.00377087,0.22991173,0.00000000,0.06138663,0.02049906
-5.60980490,0.34022916,0.00202322,0.00401672,0.23908357,0.00000000,0.06398492,0.02171695
-5.60380190,0.35416938,0.00246622,0.00431648,0.24871762,0.00000000,0.06694678,0.02305706
-5.59779890,0.36930380,0.00299141,0.00468482,0.25911697,0.00000000,0.07041152,0.02455759
-5.59179590,0.38616765,0.00360961,0.00513828,0.27064340,0.00000000,0.07453874,0.02626328
-5.58579290,0.40537925,0.00433195,0.00569525,0.28371588,0.00000000,0.07950731,0.02822533
-5.57978989,0.42763472,0.00516958,0.00637582,0.29880689,0.00000000,0.08551361,0.03050096
-5.57378689,0.45369913,0.00613341,0.00720168,0.31643622,0.00000000,0.09276896,0.03315283
-5.56778389,0.48439384,0.00723370,0.00819581,0.33716221,0.00000000,0.10149611,0.03624806
-5.56178089,0.52058002,0.00847966,0.00938220,0.36157018,0.00000000,0.11192475,0.03985692
-5.55577789,0.56313817,0.00987900,0.01078546,0.39025826,0.00000000,0.12428615,0.04405126
-5.54977489,0.61294390,0.01143747,0.01243034,0.42382052,0.00000000,0.13880679,0.04890256
-5.54377189,0.67084023,0.01315839,0.01434118,0.46282774,0.00000000,0.15570114,0.05447968
-5.53776888,0.73760703,0.01504218,0.01654127,0.50780622,0.00000000,0.17516369,0.06084642
-5.53176588,0.81392820,0.01708600,0.01905214,0.55921512,0.00000000,0.19736044,0.06805879
-5.52576288,0.90035775,0.01928335,0.02189279,0.61742299,0.00000000,0.22242002,0.07616227
-5.51975988,0.99728571,0.02162384,0.02507892,0.68268441,0.00000000,0.25042480,0.08518896
-5.51375688,1.10490543,0.02409307,0.02862205,0.75511759,0.00000000,0.28140229,0.09515488
-5.50775388,1.22318353,0.02667256,0.03252874,0.83468388,0.00000000,0.31531726,0.10605740
-5.50175088,1.35183423,0.02933990,0.03679978,0.92117051,0.00000000,0.35206494,0.11787312
-5.49574787,1.49029942,0.03206900,0.04142949,1.01417736,0.00000000,0.39146582,0.13055607
-5.48974487,1.63773606,0.03483053,0.04640509,1.11310893,0.00000000,0.43326232,0.14403663
-5.48374187,1.79301220,0.03759246,0.05170627,1.21717228,0.00000000,0.47711784,0.15822102
-5.47773887,1.95471251,0.04032078,0.05730484,1.32538179,0.00000000,0.52261839,0.17299162
-5.47173587,2.12115421,0.04298024,0.06316468,1.43657096,0.00000000,0.56927705,0.18820814
-5.46573287,2.29041352,0.04553526,0.06924188,1.54941161,0.00000000,0.61654140,0.20370958
-5.45972986,2.46036249,0.04795085,0.07548514,1.66244019,0.00000000,0.66380374,0.21931712
-5.45372686,2.62871543,0.05019352,0.08183638,1.77409059,0.00000000,0.71041413,0.23483771
-5.44772386,2.79308384,0.05223220,0.08823175,1.88273274,0.00000000,0.75569569,0.25006847
-5.44172086,2.95103787,0.05403902,0.09460266,1.98671552,0.00000000,0.79896183,0.26480156
-5.43571786,3.10017247,0.05559008,0.10087727,2.08441265,0.00000000,0.83953484,0.27882949
-5.42971486,3.23817549,0.05686600,0.10698199,2.17426966,0.00000000,0.87676494,0.29195069
-5.42371186,3.36289512,0.05785239,0.11284316,2.25485014,0.00000000,0.91004932,0.30397500
-5.41770885,3.47240386,0.05854008,0.11838888,2.32487922,0.00000000,0.93885007,0.31472901
-5.41170585,3.56505632,0.05892521,0.12355074,2.38328252,0.00000000,0.96271043,0.32406092
-5.40570285,3.63953824,0.05900914,0.12826558,2.42921873,0.00000000,0.98126858,0.33184478
-5.39969985,3.69490462,0.05879820,0.13247713,2.46210440,0.00000000,0.99426826,0.33798393
