energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,2.77277710,0.33039507,0.00474701,0.29300711,1.26385174,0.83651686,0.01624939,0.98268968
-5.99399700,2.81336533,0.32950423,0.00459445,0.30460625,1.28876231,0.85314864,0.01653351,0.98609293
-5.98799400,2.85270064,0.32924964,0.00445090,0.31618606,1.31182705,0.86956890,0.01677746,0.98880003
-5.98199100,2.88964875,0.32953913,0.00431716,0.32754877,1.33244371,0.88542108,0.01697318,0.99052205
-5.97598799,2.92301724,0.33025083,0.00419379,0.33849060,1.35001144,0.90033202,0.01711337,0.99095082
-5.96998499,2.95160044,0.33123831,0.00408109,0.34880726,1.36395262,0.91392495,0.01719174,0.98977378
-5.96398199,2.97422514,0.33233672,0.00397920,0.35829951,1.37373442,0.92583258,0.01720331,0.98668917
-5.95797899,2.98979500,0.33336960,0.00388805,0.36677865,1.37888934,0.93570965,0.01714458,0.98142073
-5.95197599,2.99733173,0.33415604,0.00380743,0.37407153,1.37903351,0.94324446,0.01701368,0.97373121
-5.94597299,2.99601126,0.33451786,0.00373700,0.38002517,1.37388222,0.94816887,0.01681040,0.96343407
-5.93996998,2.98519357,0.33428670,0.00367627,0.38451051,1.36326184,0.95026650,0.01653626,0.95040288
-5.93396698,2.96444506,0.33331052,0.00362468,0.38742552,1.34711774,0.94937885,0.01619437,0.93457814
-5.92796398,2.93355309,0.33145942,0.00358155,0.38869727,1.32551804,0.94540919,0.01578935,0.91597122
-5.92196098,2.89253228,0.32863055,0.00354609,0.38828321,1.29865296,0.93832442,0.01532713,0.89466545
-5.91595798,2.84162300,0.32475197,0.00351746,0.38617142,1.26683023,0.92815475,0.01481477,0.87081459
-5.90995498,2.78128256,0.31978534,0.00349471,0.38238018,1.23046662,0.91499165,0.01426017,0.84463865
-5.90395198,2.71217004,0.31372735,0.00347684,0.37695658,1.19007633,0.89898411,0.01367185,0.81641767
-5.89794897,2.63512571,0.30660999,0.00346282,0.36997467,1.14625673,0.88033376,0.01305867,0.78648371
-5.89194597,2.55114649,0.29849955,0.00345157,0.36153296,1.09967225,0.85928893,0.01242966,0.75521155
-5.88594297,2.46135845,0.28949461,0.00344202,0.35175159,1.05103702,0.83613814,0.01179374,0.72300859
-5.87993997,2.36698781,0.27972288,0.00343315,0.34076927,1.00109715,0.81120324,0.01115957,0.69030430
-5.87393697,2.26933144,0.26933730,0.00342400,0.32874008,0.95061320,0.78483246,0.01053547,0.65753973
-5.86793397,2.16972801,0.25851139,0.00341371,0.31583032,0.90034344,0.75739357,0.00992923,0.62515739
-5.86193097,2.06953055,0.24743402,0.00340157,0.30221544,0.85102851,0.72926739,0.00934815,0.59359181
-5.85592796,1.97008108,0.23630389,0.00338705,0.28807716,0.80337774,0.70084158,0.00879899,0.56326094
-5.84992496,1.87268794,0.22532381,0.00336980,0.27360088,0.75805754,0.67250503,0.00828800,0.53455865
-5.84392196,1.77860595,0.21469502,0.00334972,0.25897330,0.71568186,0.64464261,0.00782098,0.50784841
-5.83791896,1.68901971,0.20461168,0.00332691,0.24438044,0.67680498,0.61763053,0.00740332,0.48345809
-5.83191596,1.60502998,0.19525577,0.00330173,0.23000580,0.64191641,0.59183214,0.00704013,0.46167601
-5.82591296,1.52764313,0.18679239,0.00327473,0.21602896,0.61143790,0.56759426,0.00673627,0.44274820
-5.81990995,1.45776348,0.17936585,0.00324670,0.20262428,0.58572242,0.54524395,0.00649645,0.42687673
-5.81390695,1.39618842,0.17309635,0.00321858,0.18995987,0.56505485,0.52508584,0.00632527,0.41421915
-5.80790395,1.34360591,0.16807761,0.00319144,0.17819670,0.54965410,0.50739982,0.00622730,0.40488891
-5.80190095,1.30059437,0.16437535,0.00316647,0.16748775,0.53967666,0.49243942,0.00620701,0.39895667
-5.79589795,1.26762449,0.16202667,0.00314492,0.15797736,0.53522099,0.48043050,0.00626886,0.39645254
-5.78989495,1.24506275,0.16104040,0.00312805,0.14980041,0.53633284,0.47157064,0.00641714,0.39736894
-5.78389195,1.23317648,0.16139836,0.00311708,0.14308164,0.54301109,0.46602891,0.00665599,0.40166422
-5.77788894,1.23213995,0.16305745,0.00311322,0.13793480,0.55521384,0.46394624,0.00698925,0.40926677
-5.77188594,1.24204135,0.16595252,0.00311758,0.13446179,0.57286477,0.46543616,0.00742034,0.42007957
-5.76588294,1.26289021,0.16999990,0.00313118,0.13275165,0.59585922,0.47058591,0.00795209,0.43398497
-5.75987994,1.29462490,0.17510140,0.00315496,0.13287949,0.62407007,0.47945785,0.00858662,0.45084962
-5.75387694,1.33711982,0.18114876,0.00318974,0.13490528,0.65735302,0.49209094,0.00932514,0.47052933
