energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,2.33087945,0.00564952,0.17953453,0.27744574,1.55370709,0.83287797,0.02166696,1.12197056
-5.99399700,2.29642636,0.00576647,0.17488654,0.27718214,1.51278839,0.82112038,0.02147539,1.10999566
-5.98799400,2.25478054,0.00587676,0.17008217,0.27553657,1.46878193,0.80695091,0.02117682,1.09368217
-5.98199100,2.20547236,0.00598028,0.16504069,0.27246736,1.42145470,0.79011932,0.02077199,1.07289990
-5.97598799,2.14828587,0.00607728,0.15969979,0.26796920,1.37070061,0.77047510,0.02026388,1.04764253
-5.96998499,2.08326568,0.00616840,0.15401724,0.26207327,1.31654691,0.74797114,0.01965765,1.01802883
-5.96398199,2.01071360,0.00625455,0.14797157,0.25484602,1.25915475,0.72266331,0.01896051,0.98429904
-5.95797899,1.93117528,0.00633681,0.14156192,0.24638661,1.19881403,0.69470595,0.01818149,0.94680684
-5.95197599,1.84541799,0.00641637,0.13480706,0.23682328,1.13593325,0.66434385,0.01733126,0.90600744
-5.94597299,1.75440101,0.00649436,0.12774361,0.22630878,1.07102488,0.63190125,0.01642176,0.86244233
-5.93996998,1.65924029,0.00657176,0.12042376,0.21501503,1.00468731,0.59776841,0.01546590,0.81672168
-5.93396698,1.56116944,0.00664928,0.11291246,0.20312746,0.93758445,0.56238664,0.01447719,0.76950528
-5.92796398,1.46149905,0.00672727,0.10528439,0.19083913,0.87042399,0.52623254,0.01346936,0.72148298
-5.92196098,1.36157632,0.00680562,0.09762076,0.17834496,0.80393567,0.48980228,0.01245601,0.67335555
-5.91595798,1.26274698,0.00688372,0.09000616,0.16583638,0.73885023,0.45359653,0.01145027,0.62581687
-5.90995498,1.16632092,0.00696046,0.08252564,0.15349648,0.67588032,0.41810678,0.01046452,0.57953813
-5.90395198,1.07354287,0.00703423,0.07526197,0.14149595,0.61570382,0.38380354,0.00951008,0.53515457
-5.89794897,0.98556890,0.00710298,0.06829343,0.12998979,0.55895016,0.35112664,0.00859709,0.49325509
-5.89194597,0.90344919,0.00716428,0.06169195,0.11911500,0.50618997,0.32047801,0.00773429,0.45437501
-5.88594297,0.82811697,0.00721549,0.05552177,0.10898905,0.45792797,0.29221674,0.00692897,0.41899163
-5.87993997,0.76038336,0.00725383,0.04983854,0.09970927,0.41459908,0.26665652,0.00618694,0.38752261
-5.87393697,0.70093717,0.00727656,0.04468895,0.09135293,0.37656728,0.24406498,0.00551253,0.36032656
-5.86793397,0.65034874,0.00728114,0.04011064,0.08397794,0.34412678,0.22466474,0.00490865,0.33770542
-5.86193097,0.60907669,0.00726534,0.03613255,0.07762403,0.31750485,0.20863567,0.00437690,0.31990790
-5.85592796,0.57747618,0.00722743,0.03277542,0.07231419,0.29686572,0.19611784,0.00391768,0.30713339
-5.84992496,0.55580752,0.00716625,0.03005254,0.06805628,0.28231485,0.18721482,0.00353030,0.29953576
-5.84392196,0.54424391,0.00708132,0.02797045,0.06484466,0.27390302,0.18199680,0.00321318,0.29722643
-5.83791896,0.54287751,0.00697288,0.02652977,0.06266168,0.27162970,0.18050313,0.00296394,0.30027626
-5.83191596,0.55172290,0.00684189,0.02572585,0.06147901,0.27544529,0.18274412,0.00277953,0.30871600
-5.82591296,0.57071772,0.00669005,0.02554932,0.06125862,0.28525217,0.18870178,0.00265641,0.32253510
-5.81990995,0.59972031,0.00651969,0.02598648,0.06195362,0.30090418,0.19832955,0.00259058,0.34167899
-5.81390695,0.63850457,0.00633372,0.02701949,0.06350871,0.32220508,0.21155093,0.00257771,0.36604490
-5.80790395,0.68675261,0.00613546,0.02862637,0.06586047,0.34890573,0.22825737,0.00261323,0.39547666
-5.80190095,0.74404600,0.00592856,0.03078085,0.06893754,0.38070088,0.24830541,0.00269235,0.42975895
-5.79589795,0.80985661,0.00571678,0.03345204,0.07266063,0.41722570,0.27151375,0.00281012,0.46861164
-5.78989495,0.88353818,0.00550388,0.03660410,0.07694266,0.45805282,0.29766030,0.00296151,0.51168476
-5.78389195,0.96431988,0.00529344,0.04019576,0.08168899,0.50269040,0.32647997,0.00314139,0.55855493
-5.77788894,1.05130306,0.00508874,0.04418001,0.08679790,0.55058183,0.35766337,0.00334461,0.60872381
-5.77188594,1.14346220,0.00489259,0.04850378,0.09216133,0.60110762,0.39085700,0.00356601,0.66161915
-5.76588294,1.23965112,0.00470729,0.05310786,0.09766598,0.65358986,0.42566522,0.00380050,0.71659901
-5.75987994,1.33861490,0.00453450,0.05792699,0.10319482,0.70729952,0.46165430,0.00404310,0.77295932
-5.75387694,1.43900795,0.00437526,0.06289024,0.10862891,0.76146679,0.49835855,0.00428900,0.82994500
-5.74787394,1.53941822,0.00422992,0.06792172,0.11384960,0.81529433,0.53528885,0.00453361,0.88676451
-5.74187094,1.63839701,0.00409824,0.07294150,0.11874100,0.86797322,0.57194313,0.00477269,0.94260754
-5.73586793,1.73449369,0.00397936,0.07786698,0.12319260,0.91870118,0.60781885,0.00500235,0.99666530
-5.72986493,1.82629414,0.00387195,0.08261440,0.12710201,0.96670235,0.64242681,0.00521920,1.04815279
