energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,1.95352015,0.00215921,0.48695784,0.37008230,0.44962415,0.00306375,0.73176020,0.32785781,0.47595684
-5.99399700,2.00627759,0.00239039,0.50295400,0.37310100,0.46499042,0.00317120,0.74745850,0.33201993,0.49159512
-5.98799400,2.06586667,0.00265941,0.51868412,0.37866364,0.48311551,0.00332805,0.76769041,0.33764143,0.50737241
-5.98199100,2.13237977,0.00296622,0.53401286,0.38700673,0.50400646,0.00353184,0.79270872,0.34485017,0.52322958
-5.97598799,2.20584181,0.00331030,0.54881970,0.39833471,0.52763080,0.00377987,0.82270979,0.35375793,0.53911415
-5.96998499,2.28619470,0.00369053,0.56300044,0.41281137,0.55391178,0.00406914,0.85782084,0.36445537,0.55497904
-5.96398199,2.37328046,0.00410519,0.57646798,0.43055139,0.58272398,0.00439622,0.89808747,0.37700688,0.57078075
-5.95797899,2.46682429,0.00455188,0.58915213,0.45161230,0.61388968,0.00475718,0.94346191,0.39144551,0.58647694
-5.95197599,2.56641861,0.00502755,0.60099882,0.47598734,0.64717615,0.00514761,0.99379265,0.40776819,0.60202378
-5.94597299,2.67150923,0.00552842,0.61196850,0.50359956,0.68229445,0.00556252,1.04881619,0.42593144,0.61737302
-5.93996998,2.78138491,0.00605002,0.62203417,0.53429741,0.71889975,0.00599641,1.10815153,0.44584792,0.63246927
-5.93396698,2.89517152,0.00658722,0.63117890,0.56785243,0.75659359,0.00644328,1.17129800,0.46738394,0.64724745
-5.92796398,3.01183158,0.00713427,0.63939323,0.60395901,0.79492820,0.00689670,1.23763683,0.49035828,0.66163076
-5.92196098,3.13017018,0.00768485,0.64667245,0.64223673,0.83341276,0.00734992,1.30643692,0.51454239,0.67552930
-5.91595798,3.24884764,0.00823220,0.65301406,0.68223522,0.87152190,0.00779603,1.37686495,0.53966222,0.68883946
-5.90995498,3.36639901,0.00876918,0.65841538,0.72344176,0.90870585,0.00822802,1.44799981,0.56540165,0.70144419
-5.90395198,3.48126043,0.00928844,0.66287155,0.76529132,0.94440242,0.00863907,1.51885103,0.59140773,0.71321424
-5.89794897,3.59180158,0.00978256,0.66637404,0.80717910,0.97805009,0.00902261,1.58838102,0.61729744,0.72401020
-5.89194597,3.69636337,0.01024417,0.66890962,0.84847497,1.00910206,0.00937260,1.65553012,0.64266601,0.73368555
-5.88594297,3.79329973,0.01066617,0.67045993,0.88853960,1.03704049,0.00968365,1.71924400,0.66709652,0.74209037
-5.87993997,3.88102184,0.01104185,0.67100165,0.92674155,1.06139074,0.00995119,1.77850210,0.69017050,0.74907563
-5.87393697,3.95804312,0.01136506,0.67050724,0.96247483,1.08173467,0.01017164,1.83234625,0.71147914,0.75449794
-5.86793397,4.02302318,0.01163041,0.66894619,0.99517608,1.09772283,0.01034250,1.87990812,0.73063484,0.75822449
-5.86193097,4.07480879,0.01183335,0.66628677,1.02434082,1.10908480,0.01046243,1.92043451,0.74728242,0.76013794
-5.85592796,4.11247009,0.01197036,0.66249811,1.04953788,1.11563735,0.01053130,1.95330919,0.76110977,0.76014105
-5.84992496,4.13533034,0.01203897,0.65755261,1.07042154,1.11729009,0.01055022,1.97807044,0.77185739,0.75816084
-5.84392196,4.14298790,0.01203793,0.65142838,1.08674069,1.11404834,0.01052142,1.99442341,0.77932635,0.75415207
-5.83791896,4.13532925,0.01196716,0.64411186,1.09834461,1.10601308,0.01044825,2.00224669,0.78338450,0.74809985
-5.83191596,4.11253257,0.01182782,0.63560021,1.10518511,1.09337801,0.01033500,2.00159285,0.78397045,0.74002132
-5.82591296,4.07506147,0.01162225,0.62590348,1.10731494,1.07642377,0.01018678,1.99268281,0.78109531,0.72996626
-5.81990995,4.02364930,0.01135394,0.61504655,1.10488250,1.05550969,0.01000931,1.97589440,0.77484195,0.71801660
-5.81390695,3.95927459,0.01102739,0.60307048,1.09812314,1.03106312,0.00980872,1.95174555,0.76536204,0.70428494
-5.80790395,3.88312891,0.01064806,0.59003350,1.08734753,1.00356713,0.00959138,1.92087304,0.75287080,0.68891202
-5.80190095,3.79657843,0.01022215,0.57601138,1.07292772,0.97354669,0.00936363,1.88400775,0.73763983,0.67206334
-5.79589795,3.70112108,0.00975648,0.56109719,1.05528148,0.94155410,0.00913163,1.84194769,0.71998838,0.65392515
-5.78989495,3.59834121,0.00925831,0.54540064,1.03485582,0.90815413,0.00890114,1.79552995,0.70027336,0.63469981
-5.78389195,3.48986374,0.00873512,0.52904669,1.01211056,0.87390937,0.00867740,1.74560308,0.67887868,0.61460091
-5.77788894,3.37730971,0.00819447,0.51217386,0.98750255,0.83936639,0.00846498,1.69300097,0.65620424,0.59384822
-5.77188594,3.26225518,0.00764380,0.49493207,0.96147145,0.80504304,0.00826770,1.63851950,0.63265515,0.57266277
-5.76588294,3.14619494,0.00709026,0.47748012,0.93442761,0.77141741,0.00808862,1.58289679,0.60863160,0.55126223
-5.75987994,3.03051227,0.00654059,0.45998308,0.90674256,0.73891861,0.00792998,1.52679791,0.58451960,0.52985665
-5.75387694,2.91645572,0.00600095,0.44260945,0.87874234,0.70791971,0.00779329,1.47080434,0.56068306,0.50864484
-5.74787394,2.80512330,0.00547687,0.42552841,0.85070384,0.67873286,0.00767937,1.41540840,0.53745738,0.48781145
-5.74187094,2.69745416,0.00497318,0.40890710,0.82285414,0.65160669,0.00758849,1.36101260,0.51514450,0.46752470
-5.73586793,2.59422736,0.00449391,0.39290808,0.79537249,0.62672584,0.00752046,1.30793339,0.49400972,0.44793490
-5.72986493,2.49606718,0.00404237,0.37768702,0.76839465,0.60421253,0.00747482,1.25640879,0.47427991,0.42917369
-5.72386193,2.40345380,0.00362107,0.36339067,0.74201905,0.58412998,0.00745094,1.20660909,0.45614327,0.41135392
-5.71785893,2.31673836,0.00323185,0.35015510,0.71631424,0.56648733,0.00744825,1.15864972,0.43975019,0.39457015
-5.71185593,2.23616099,0.00287585,0.33810426,0.69132697,0.55124590,0.00746633,1.11260527,0.42521517,0.37889962
-5.70585293,2.16187043,0.00255365,0.32734881,0.66709042,0.53832631,0.00750507,1.06852379,0.41261939,0.36440350
-5.69984992,2.09394408,0.00226529,0.31798525,0.64363182,0.52761628,0.00756480,1.02644043,0.40201385,0.35112852
-5.69384692,2.03240716,0.00201042,0.31009520,0.62097925,0.51897870,0.00764631,0.98638955,0.39342262,0.33910855
-5.68784392,1.97724990,0.00178833,0.30374496,0.59916703,0.51225969,0.00775100,0.94841483,0.38684617,0.32836625
-5.68184092,1.92844218,0.00159806,0.29898507,0.57823955,0.50729633,0.00788079,0.91257670,0.38226450,0.31891462
-5.67583792,1.88594471,0.00143848,0.29585006,0.55825346,0.50392387,0.00803820,0.87895706,0.37963994,0.31075826
-5.66983492,1.84971665,0.00130833,0.29435821,0.53927803,0.50198208,0.00822620,0.84766088,0.37891966,0.30389444
-5.66383192,1.81971944,0.00120631,0.29451128,0.52139395,0.50132067,0.00844819,0.81881503,0.38003758,0.29831378
-5.65782891,1.79591690,0.00113107,0.29629431,0.50469077,0.50180351,0.00870781,0.79256445,0.38291604,0.29400063
-5.65182591,1.77827207,0.00108127,0.29967540,0.48926302,0.50331166,0.00900881,0.76906595,0.38746696,0.29093311
-5.64582291,1.76674106,0.00105560,0.30460547,0.47520565,0.50574500,0.00935487,0.74848025,0.39359279,0.28908278
-5.63981991,1.76126463,0.00105273,0.31101816,0.46260885,0.50902260,0.00974934,0.73096267,0.40118720,0.28841414
-5.63381691,1.76175825,0.00107134,0.31882982,0.45155277,0.51308179,0.01019506,0.71665308,0.41013569,0.28888387
