energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,4.41894676,1.03787009,0.58058100,0.00280161,0.69305090,1.58545515,1.62358957,0.00271178,1.53602473
-5.99399700,4.50820090,1.06920182,0.58990590,0.00289116,0.70206817,1.61211435,1.65178463,0.00271011,1.57791583
-5.98799400,4.58737246,1.10003817,0.59842552,0.00300130,0.70815594,1.63443255,1.67480819,0.00271675,1.61870625
-5.98199100,4.65517368,1.12986612,0.60602179,0.00312967,0.71119891,1.65192916,1.69228606,0.00273158,1.65775803
-5.97598799,4.71045571,1.15816690,0.61258788,0.00327344,0.71113171,1.66422189,1.70391533,0.00275457,1.69443057
-5.96998499,4.75224620,1.18443135,0.61803136,0.00342937,0.70794225,1.67104365,1.70947518,0.00278577,1.72809942
-5.96398199,4.77978461,1.20817566,0.62227754,0.00359384,0.70167377,1.67225612,1.70883642,0.00282534,1.75817608
-5.95797899,4.79255392,1.22895691,0.62527266,0.00376300,0.69242553,1.66785961,1.70196907,0.00287349,1.78412782
-5.95197599,4.79030736,1.24638790,0.62698704,0.00393283,0.68035207,1.65799866,1.68894795,0.00293054,1.80549705
-5.94597299,4.77308897,1.26015072,0.62741781,0.00409925,0.66566111,1.64296335,1.66995576,0.00299689,1.82191922
-5.93996998,4.74124685,1.27000833,0.62659102,0.00425828,0.64861000,1.62318609,1.64528352,0.00307299,1.83313839
-5.93396698,4.69543814,1.27581385,0.62456322,0.00440610,0.62950097,1.59923412,1.61532812,0.00315935,1.83901993
-5.92796398,4.63662507,1.27751696,0.62142198,0.00453919,0.60867515,1.57179773,1.58058696,0.00325653,1.83955931
-5.92196098,4.56606161,1.27516713,0.61728549,0.00465442,0.58650559,1.54167470,1.54164960,0.00336508,1.83488672
-5.91595798,4.48527062,1.26891339,0.61230108,0.00474915,0.56338946,1.50975126,1.49918659,0.00348557,1.82526683
-5.90995498,4.39601171,1.25900060,0.60664243,0.00482129,0.53973955,1.47698010,1.45393567,0.00361854,1.81109360
-5.90395198,4.30024050,1.24576217,0.60050582,0.00486935,0.51597543,1.44435590,1.40668571,0.00376449,1.79288006
-5.89794897,4.20006012,1.22960946,0.59410509,0.00489245,0.49251431,1.41288920,1.35825862,0.00392388,1.77124334
-5.89194597,4.09766645,1.21101817,0.58766580,0.00489036,0.46976200,1.38357904,1.30949010,0.00409707,1.74688520
-5.88594297,3.99528866,1.19051227,0.58141844,0.00486346,0.44810411,1.35738529,1.26120937,0.00428438,1.72056900
-5.87993997,3.89512705,1.16864590,0.57559123,0.00481269,0.42789770,1.33520122,1.21421893,0.00448600,1.69309365
-5.87393697,3.79929024,1.14598421,0.57040256,0.00473952,0.40946370,1.31782735,1.16927469,0.00470206,1.66526583
-5.86793397,3.70973413,1.12308362,0.56605349,0.00464581,0.39308011,1.30594711,1.12706738,0.00493258,1.63787148
-5.86193097,3.62820478,1.10047252,0.56272060,0.00453380,0.37897641,1.30010531,1.08820568,0.00517747,1.61164776
-5.85592796,3.55618748,1.07863323,0.56054955,0.00440596,0.36732916,1.30069009,1.05320183,0.00543657,1.58725674
-5.84992496,3.49486413,1.05798578,0.55964961,0.00426492,0.35825886,1.30791924,1.02246009,0.00570960,1.56526207
-5.84392196,3.44508060,1.03887453,0.56008946,0.00411332,0.35182848,1.32183134,0.99626859,0.00599620,1.54610946
-5.83791896,3.40732564,1.02155790,0.56189448,0.00395382,0.34804333,1.34228259,0.97479470,0.00629591,1.53011209
-5.83191596,3.38172222,1.00620196,0.56504574,0.00378892,0.34685253,1.36894943,0.95808429,0.00660819,1.51744155
-5.82591296,3.36803192,0.99287785,0.56948065,0.00362094,0.34815210,1.40133746,0.94606476,0.00693238,1.50812474
-5.81990995,3.36567234,0.98156344,0.57509545,0.00345200,0.35178936,1.43879655,0.93855173,0.00726774,1.50204696
-5.81390695,3.37374703,0.97214889,0.58174940,0.00328390,0.35756877,1.48054194,0.93525925,0.00761345,1.49896096
-5.80790395,3.39108678,0.96444600,0.58927050,0.00311821,0.36525895,1.52568093,0.93581306,0.00796856,1.49850174
-5.80190095,3.41630091,0.95820092,0.59746252,0.00295617,0.37460068,1.57324433,0.93976643,0.00833203,1.50020629
-5.79589795,3.44783638,0.95310943,0.60611314,0.00279879,0.38531564,1.62222183,0.94661806,0.00870272,1.50353751
-5.78989495,3.48404250,0.94883442,0.61500275,0.00264679,0.39711567,1.67159997,0.95583126,0.00907935,1.50791109
-5.78389195,3.52323855,0.94502443,0.62391360,0.00250071,0.40971214,1.72040133,0.96685383,0.00946057,1.51272427
-5.77788894,3.56378169,0.94133263,0.63263880,0.00236089,0.42282527,1.76772353,0.97913786,0.00984488,1.51738510
-5.77188594,3.60413215,0.93743531,0.64099093,0.00222752,0.43619290,1.81277634,0.99215867,0.01023070,1.52134080
-5.76588294,3.64291329,0.93304895,0.64880965,0.00210071,0.44957858,1.85491542,1.00543238,0.01061631,1.52410410
-5.75987994,3.67896378,0.92794532,0.65596816,0.00198048,0.46277862,1.89367114,1.01853124,0.01099990,1.52527619
-5.75387694,3.71138003,0.92196375,0.66237799,0.00186684,0.47562774,1.92877119,1.03109641,0.01137956,1.52456532
-5.74787394,3.73954695,0.91502013,0.66799208,0.00175977,0.48800339,1.96015591,1.04284770,0.01175327,1.52180024
-5.74187094,3.76315600,0.90711220,0.67280587,0.00165925,0.49982829,1.98798548,1.05358991,0.01211895,1.51693783
-5.73586793,3.78220986,0.89832109,0.67685634,0.00156529,0.51107136,2.01263850,1.06321576,0.01247443,1.51006467
-5.72986493,3.79701369,0.88880881,0.68021913,0.00147791,0.52174682,2.03470189,1.07170523,0.01281749,1.50139250
-5.72386193,3.80815353,0.87881205,0.68300370,0.00139715,0.53191177,2.05495216,1.07912164,0.01314587,1.49124775
-5.71785893,3.81646299,0.86863248,0.68534695,0.00132306,0.54166204,2.07432882,1.08560458,0.01345734,1.48005577
-5.71185593,3.82297983,0.85862404,0.68740538,0.00125569,0.55112678,2.09390068,1.09136020,0.01374965,1.46832052
-5.70585293,3.82889437,0.84917768,0.68934641,0.00119507,0.56046190,2.11482624,1.09664919,0.01402068,1.45660047
-5.69984992,3.83549215,0.84070444,0.69133900,0.00114121,0.56984252,2.13830948,1.10177321,0.01426838,1.44548218
-5.69384692,3.84409322,0.83361727,0.69354430,0.00109410,0.57945493,2.16555275,1.10706012,0.01449092,1.43555238
-5.68784392,3.85599076,0.82831260,0.69610650,0.00105366,0.58948816,2.19770816,1.11284880,0.01468670,1.42737010
-5.68184092,3.87239141,0.82515236,0.69914464,0.00101976,0.60012556,2.23582947,1.11947408,0.01485443,1.42143994
-5.67583792,3.89435981,0.82444703,0.70274541,0.00099224,0.61153661,2.28082592,1.12725230,0.01499319,1.41818763
-5.66983492,3.92276940,0.82644062,0.70695765,0.00097086,0.62386931,2.33341971,1.13646805,0.01510252,1.41793904
-5.66383192,3.95826130,0.83129799,0.71178850,0.00095533,0.63724331,2.39410878,1.14736250,0.01518248,1.42090332
-5.65782891,4.00121277,0.83909514,0.71720164,0.00094531,0.65174401,2.46313609,1.16012358,0.01523368,1.42716112
-5.65182591,4.05171617,0.84981272,0.72311750,0.00094044,0.66741781,2.54046676,1.17487841,0.01525735,1.43665815
-5.64582291,4.10956910,0.86333319,0.72941556,0.00094033,0.68426864,2.62577402,1.19168801,0.01525536,1.44920439
-5.63981991,4.17427589,0.87944163,0.73593857,0.00094455,0.70225592,2.71843471,1.21054437,0.01523023,1.46447896
-5.63381691,4.24506019,0.89783029,0.74249851,0.00095271,0.72129391,2.81753486,1.23137006,0.01518508,1.48204050
-5.62781391,4.32088803,0.91810669,0.74888398,0.00096440,0.74125261,2.92188554,1.25402002,0.01512364,1.50134243
-5.62181091,4.40050042,0.93980510,0.75486879,0.00097926,0.76196010,3.03004882,1.27828569,0.01505017,1.52175266
-5.61580790,4.48245421,0.96240086,0.76022114,0.00099698,0.78320632,3.14037331,1.30390107,0.01496933,1.54257683
-5.60980490,4.56516972,0.98532731,0.76471328,0.00101729,0.80474820,3.25103855,1.33055071,0.01488613,1.56308415
-5.60380190,4.64698327,1.00799445,0.76813096,0.00103999,0.82631599,3.36010694,1.35787907,0.01480574,1.58253489
-5.59779890,4.72620300,1.02980893,0.77028235,0.00106495,0.84762067,3.46558172,1.38550130,0.01473339,1.60020830
-5.59179590,4.80116571,1.05019442,0.77100617,0.00109212,0.86836213,3.56546913,1.41301479,0.01467418,1.61542998
-5.58579290,4.87029293,1.06861187,0.77017852,0.00112154,0.88823799,3.65784257,1.44001142,0.01463290,1.62759752
-5.57978989,4.93214421,1.08457858,0.76771822,0.00115333,0.90695271,3.74090665,1.46608990,0.01461393,1.63620353
-5.57378689,4.98546566,1.09768570,0.76359048,0.00118766,0.92422670,3.81305848,1.49086802,0.01462100,1.64085500
-5.56778389,5.02923225,1.10761319,0.75780879,0.00122479,0.93980512,3.87294404,1.51399436,0.01465712,1.64128848
-5.56178089,5.06268223,1.11414182,0.75043493,0.00126503,0.95346606,3.91950724,1.53515907,0.01472440,1.63738025
-5.55577789,5.08534256,1.11716163,0.74157718,0.00130871,0.96502781,3.95202964,1.55410344,0.01482399,1.62915139
-5.54977489,5.09704453,1.11667662,0.73138692,0.00135619,0.97435487,3.97015921,1.57062786,0.01495597,1.61676741
-5.54377189,5.09792907,1.11280529,0.72005368,0.00140780,0.98136260,3.97392675,1.58459802,0.01511934,1.60053262
-5.53776888,5.08844158,1.10577713,0.70779899,0.00146386,0.98602017,3.96374925,1.59594896,0.01531202,1.58087951
-5.53176588,5.06931673,1.09592517,0.69486931,0.00152460,0.98835183,3.94041991,1.60468702,0.01553084,1.55835366
-5.52576288,5.04155371,1.08367473,0.68152828,0.00159018,0.98843632,3.90508518,1.61088937,0.01577166,1.53359477
-5.51975988,5.00638301,1.06952904,0.66804869,0.00166062,0.98640448,3.85920953,1.61470127,0.01602945,1.50731469
-5.51375688,4.96522592,1.05405201,0.65470444,0.00173582,0.98243524,3.80452942,1.61633110,0.01629845,1.48027332
-5.50775388,4.91964833,1.03784896,0.64176283,0.00181549,0.97674990,3.74299809,1.61604315,0.01657230,1.45325333
-5.50175088,4.87131028,1.02154610,0.62947730,0.00189918,0.96960513,3.67672329,1.61414859,0.01684427,1.42703454
-5.49574787,4.82191314,1.00576922,0.61808100,0.00198621,0.96128480,3.60790016,1.61099467,0.01710745,1.40236906
-5.48974487,4.77314594,0.99112277,0.60778123,0.00207574,0.95209095,3.53874180,1.60695265,0.01735499,1.37995788
-5.48374187,4.72663267,0.97816965,0.59875486,0.00216673,0.94233423,3.47140970,1.60240468,0.01758029,1.36042963
-5.47773887,4.68388192,0.96741273,0.59114474,0.00225794,0.93232406,3.40794658,1.59773015,0.01777724,1.34432217
