energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,5.70030791,0.03088579,0.82088205,0.41834018,2.65866820,0.00000000,1.46270160,1.69163806
-5.99399700,5.80847087,0.03103527,0.84774540,0.41624298,2.69943130,0.00000000,1.49420772,1.74694917
-5.98799400,5.91284702,0.03112984,0.87635975,0.41214513,2.73545226,0.00000000,1.52427839,1.80529229
-5.98199100,6.01290694,0.03116987,0.90679182,0.40611975,2.76621799,0.00000000,1.55289104,1.86655295
-5.97598799,6.10799770,0.03115559,0.93903750,0.39827567,2.79122272,0.00000000,1.58000917,1.93048384
-5.96998499,6.19731626,0.03108684,0.97300890,0.38875221,2.80997043,0.00000000,1.60557103,1.99668871
-5.96398199,6.27989289,0.03096296,1.00852431,0.37771318,2.82198017,0.00000000,1.62947996,2.06461191
-5.95797899,6.35458645,0.03078276,1.04530172,0.36534066,2.82679461,0.00000000,1.65159700,2.13353454
-5.95197599,6.42009254,0.03054443,1.08295656,0.35182860,2.82399125,0.00000000,1.67173638,2.20257809
-5.94597299,6.47496514,0.03024570,1.12100403,0.33737682,2.81319628,0.00000000,1.68966428,2.27071580
-5.93996998,6.51765094,0.02988391,1.15886627,0.32218527,2.79409995,0.00000000,1.70510113,2.33679185
-5.93396698,6.54653542,0.02945625,1.19588424,0.30644922,2.76647301,0.00000000,1.71772739,2.39954797
-5.92796398,6.55999845,0.02896000,1.23133420,0.29035505,2.73018278,0.00000000,1.72719276,2.45765654
-5.92196098,6.55647682,0.02839279,1.26444804,0.27407711,2.68520811,0.00000000,1.73312822,2.50975924
-5.91595798,6.53453054,0.02775291,1.29443683,0.25777541,2.63165189,0.00000000,1.73516056,2.55450948
-5.90995498,6.49290951,0.02703961,1.32051661,0.24159424,2.56975029,0.00000000,1.73292840,2.59061696
-5.90395198,6.43061698,0.02625331,1.34193527,0.22566166,2.49987782,0.00000000,1.72609911,2.61689246
-5.89794897,6.34696644,0.02539588,1.35799938,0.21008961,2.42254773,0.00000000,1.71438556,2.63229080
-5.89194597,6.24162898,0.02447075,1.36809966,0.19497472,2.33840731,0.00000000,1.69756199,2.63595001
-5.88594297,6.11466839,0.02348301,1.37173409,0.18039942,2.24822822,0.00000000,1.67547794,2.62722494
-5.87993997,5.96656235,0.02243944,1.36852734,0.16643348,2.15289207,0.00000000,1.64806979,2.60571376
-5.87393697,5.79820848,0.02134844,1.35824589,0.15313557,2.05337188,0.00000000,1.61536911,2.57127607
-5.86793397,5.61091496,0.02021988,1.34080791,0.14055498,1.95071025,0.00000000,1.57750753,2.52404190
-5.86193097,5.40637627,0.01906489,1.31628765,0.12873313,1.84599521,0.00000000,1.53471797,2.46441114
-5.85592796,5.18663524,0.01789562,1.28491413,0.11770511,1.74033488,0.00000000,1.48733212,2.39304347
-5.84992496,4.95403329,0.01672492,1.24706419,0.10750084,1.63483213,0.00000000,1.43577439,2.31083945
-5.84392196,4.71115132,0.01556601,1.20325042,0.09814618,1.53056029,0.00000000,1.38055274,2.21891351
-5.83791896,4.46074385,0.01443214,1.15410450,0.08966371,1.42854089,0.00000000,1.32224685,2.11856030
-5.83191596,4.20566942,0.01333626,1.10035678,0.08207336,1.32972439,0.00000000,1.26149408,2.01121585
-5.82591296,3.94882015,0.01229069,1.04281322,0.07539273,1.23497427,0.00000000,1.19897414,1.89841528
-5.81990995,3.69305312,0.01130685,0.98233050,0.06963737,1.14505505,0.00000000,1.13539290,1.78174894
-5.81390695,3.44112617,0.01039500,0.91979065,0.06482079,1.06062432,0.00000000,1.07146601,1.66281866
-5.80790395,3.19564012,0.00956404,0.85607609,0.06095439,0.98222858,0.00000000,1.00790306,1.54319596
-5.80190095,2.95898900,0.00882141,0.79204609,0.05804724,0.91030276,0.00000000,0.94539269,1.42438357
-5.79589795,2.73331952,0.00817292,0.72851554,0.05610578,0.84517277,0.00000000,0.88458901,1.30778156
-5.78989495,2.52050021,0.00762278,0.66623666,0.05513338,0.78706069,0.00000000,0.82609975,1.19465909
-5.78389195,2.32210053,0.00717353,0.60588418,0.05512987,0.73609183,0.00000000,0.77047631,1.08613240
