energy_ev,total_up,Pb_p_up,Pb_d_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-6.00000000,0.66654684,0.29562020,0.00080737,0.31712311,0.37034598,0.12316102,0.00000000
-5.99399700,0.67685259,0.30588520,0.00086052,0.31198534,0.37821286,0.11340833,0.00000000
-5.98799400,0.68770393,0.31569735,0.00092603,0.30778704,0.38621445,0.10443785,0.00000000
-5.98199100,0.69911325,0.32508525,0.00100418,0.30449332,0.39436204,0.09620674,0.00000000
-5.97598799,0.71111002,0.33409546,0.00109509,0.30206813,0.40267826,0.08866712,0.00000000
-5.96998499,0.72373751,0.34278869,0.00119868,0.30047656,0.41119469,0.08176992,0.00000000
-5.96398199,0.73704739,0.35123511,0.00131466,0.29968591,0.41994824,0.07546829,0.00000000
-5.95797899,0.75109287,0.35950895,0.00144250,0.29966591,0.42897685,0.06972031,0.00000000
-5.95197599,0.76592084,0.36768281,0.00158142,0.30038811,0.43831480,0.06449116,0.00000000
-5.94597299,0.78156392,0.37582203,0.00173042,0.30182465,0.44798793,0.05975462,0.00000000
-5.93996998,0.79803295,0.38397950,0.00188822,0.30394683,0.45800944,0.05549396,0.00000000
-5.93396698,0.81531085,0.39219130,0.00205333,0.30672356,0.46837638,0.05170230,0.00000000
-5.92796398,0.83334828,0.40047351,0.00222404,0.31012012,0.47906741,0.04838251,0.00000000
-5.92196098,0.85206178,0.40882037,0.00239844,0.31409736,0.49004188,0.04554661,0.00000000
-5.91595798,0.87133448,0.41720396,0.00257450,0.31861145,0.50124056,0.04321491,0.00000000
-5.90995498,0.89101959,0.42557548,0.00275009,0.32361438,0.51258789,0.04141484,0.00000000
-5.90395198,0.91094639,0.43386802,0.00292305,0.32905509,0.52399558,0.04017957,0.00000000
-5.89794897,0.93092840,0.44200060,0.00309124,0.33488121,0.53536756,0.03954641,0.00000000
-5.89194597,0.95077316,0.44988326,0.00325260,0.34104119,0.54660560,0.03955513,0.00000000
-5.88594297,0.97029277,0.45742281,0.00340525,0.34748663,0.55761541,0.04024608,0.00000000
-5.87993997,0.98931441,0.46452881,0.00354751,0.35417456,0.56831259,0.04165831,0.00000000
-5.87393697,1.00769006,0.47111932,0.00367797,0.36106935,0.57862797,0.04382753,0.00000000
-5.86793397,1.02530447,0.47712613,0.00379551,0.36814407,0.58851197,0.04678405,0.00000000
-5.86193097,1.04208078,0.48249889,0.00389936,0.37538099,0.59793742,0.05055068,0.00000000
-5.85592796,1.05798327,0.48720805,0.00398909,0.38277114,0.60690074,0.05514070,0.00000000
-5.84992496,1.07301693,0.49124626,0.00406460,0.39031289,0.61542133,0.06055587,0.00000000
-5.84392196,1.08722391,0.49462830,0.00412613,0.39800952,0.62353900,0.06678457,0.00000000
-5.83791896,1.10067704,0.49738950,0.00417420,0.40586589,0.63130996,0.07380028,0.00000000
-5.83191596,1.11347105,0.49958280,0.00420957,0.41388456,0.63880138,0.08156029,0.00000000
-5.82591296,1.12571216,0.50127493,0.00423320,0.42206152,0.64608525,0.09000492,0.00000000
-5.81990995,1.13750697,0.50254180,0.00424617,0.43038203,0.65323188,0.09905726,0.00000000
-5.81390695,1.14895186,0.50346389,0.00424962,0.43881683,0.66030383,0.10862355,0.00000000
-5.80790395,1.16012365,0.50412169,0.00424468,0.44731919,0.66735076,0.11859429,0.00000000
-5.80190095,1.17107281,0.50459207,0.00423244,0.45582321,0.67440585,0.12884604,0.00000000
-5.79589795,1.18181980,0.50494555,0.00421388,0.46424353,0.68148420,0.13924407,0.00000000
-5.78989495,1.19235529,0.50524515,0.00418984,0.47247675,0.68858350,0.14964567,0.00000000
-5.78389195,1.20264443,0.50554663,0.00416102,0.48040459,0.69568722,0.15990414,0.00000000
-5.77788894,1.21263524,0.50590047,0.00412794,0.48789876,0.70277010,0.16987334,0.00000000
-5.77188594,1.22227061,0.50635533,0.00409099,0.49482738,0.70980586,0.17941258,0.00000000
-5.76588294,1.23150328,0.50696270,0.00405045,0.50106256,0.71677643,0.18839165,0.00000000
-5.75987994,1.24031271,0.50778250,0.00400649,0.50648878,0.72368232,0.19669585,0.00000000
-5.75387694,1.24872259,0.50888902,0.00395927,0.51101154,0.73055306,0.20423062,0.00000000
-5.74787394,1.25681755,0.51037665,0.00390897,0.51456565,0.73745713,0.21092566,0.00000000
-5.74187094,1.26475771,0.51236490,0.00385581,0.51712276,0.74451033,0.21673813,0.00000000
-5.73586793,1.27278953,0.51500201,0.00380016,0.51869733,0.75188176,0.22165491,0.00000000
-5.72986493,1.28125176,0.51846675,0.00374252,0.51935073,0.75979675,0.22569356,0.00000000
-5.72386193,1.29057558,0.52296783,0.00368358,0.51919300,0.76853610,0.22890198,0.00000000
-5.71785893,1.30127825,0.52874086,0.00362424,0.51838211,0.77843135,0.23135668,0.00000000
-5.71185593,1.31395000,0.53604253,0.00356558,0.51712046,0.78985588,0.23315964,0.00000000
-5.70585293,1.32923445,0.54514220,0.00350885,0.51564884,0.80321219,0.23443393,0.00000000
-5.69984992,1.34780329,0.55631117,0.00345549,0.51423805,0.81891555,0.23531819,0.00000000
-5.69384692,1.37032621,0.56980996,0.00340700,0.51317845,0.83737508,0.23596027,0.00000000
