energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Hf_p_up,Hf_d_up,Se_s_up,Se_p_up
-6.00000000,0.98692003,0.00988321,0.02790469,0.39446193,0.25779110,0.24248908,0.08245895,0.00672612,0.63450896
-5.99399700,0.91924887,0.00969154,0.02553234,0.36250400,0.24542900,0.22439823,0.07530141,0.00616843,0.58984960
-5.98799400,0.85729449,0.00959235,0.02322352,0.33304503,0.23484130,0.20790852,0.06854047,0.00569147,0.54900450
-5.98199100,0.80167602,0.00959041,0.02099995,0.30633720,0.22616126,0.19317817,0.06222723,0.00529349,0.51237516
-5.97598799,0.75288156,0.00968856,0.01888042,0.28258353,0.21948217,0.18033200,0.05640291,0.00497158,0.48028023
-5.96998499,0.71126634,0.00988765,0.01688051,0.26193952,0.21485585,0.16946224,0.05109892,0.00472179,0.45295512
-5.96398199,0.67705404,0.01018650,0.01501259,0.24451565,0.21229218,0.16062992,0.04633721,0.00453926,0.43055349
-5.95797899,0.65034091,0.01058192,0.01328577,0.23038055,0.21175950,0.15386681,0.04213085,0.00441836,0.41315044
-5.95197599,0.63110257,0.01106879,0.01170604,0.21956462,0.21318610,0.14917773,0.03848472,0.00435282,0.40074707
-5.94597299,0.61920301,0.01164015,0.01027646,0.21206398,0.21646267,0.14654310,0.03539637,0.00433584,0.39327636
-5.93996998,0.61440545,0.01228737,0.00899742,0.20784429,0.22144561,0.14592167,0.03285699,0.00436025,0.39060981
-5.93396698,0.61638447,0.01300034,0.00786693,0.20684451,0.22796125,0.14725311,0.03085234,0.00441858,0.39256479
-5.92796398,0.62473912,0.01376768,0.00688095,0.20898025,0.23581073,0.15046061,0.02936378,0.00450327,0.39891213
-5.92196098,0.63900625,0.01457704,0.00603377,0.21414657,0.24477539,0.15545305,0.02836925,0.00460674,0.40938372
-5.91595798,0.65867385,0.01541538,0.00531835,0.22222024,0.25462261,0.16212707,0.02784419,0.00472156,0.42367979
-5.90995498,0.68319378,0.01626923,0.00472664,0.23306136,0.26511173,0.17036863,0.02776235,0.00484059,0.44147580
-5.90395198,0.71199370,0.01712503,0.00424991,0.24651427,0.27600003,0.18005421,0.02809657,0.00495707,0.46242853
-5.89794897,0.74448778,0.01796940,0.00387901,0.26240794,0.28704843,0.19105171,0.02881943,0.00506480,0.48618152
-5.89194597,0.78008618,0.01878941,0.00360464,0.28055592,0.29802675,0.20322099,0.02990379,0.00515822,0.51236963
-5.88594297,0.81820306,0.01957283,0.00341752,0.30075597,0.30871848,0.21641415,0.03132328,0.00523251,0.54062283
-5.87993997,0.85826330,0.02030833,0.00330856,0.32278968,0.31892480,0.23047570,0.03305266,0.00528371,0.57056942
-5.87393697,0.89970804,0.02098567,0.00326901,0.34642217,0.32846779,0.24524276,0.03506813,0.00530872,0.60183861
-5.86793397,0.94199911,0.02159576,0.00329055,0.37140228,0.33719280,0.26054527,0.03734765,0.00530540,0.63406288
-5.86193097,0.98462285,0.02213084,0.00336533,0.39746332,0.34497003,0.27620660,0.03987110,0.00527254,0.66688023
-5.85592796,1.02709337,0.02258442,0.00348605,0.42432470,0.35169523,0.29204443,0.04262054,0.00520987,0.69993652
-5.84992496,1.06895568,0.02295135,0.00364598,0.45169448,0.35728967,0.30787215,0.04558038,0.00511798,0.73288823
