energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-6.00000000,1.70252829,0.16178396,0.00000000,0.00661713,0.06670469,0.20856181,1.41806302,0.28529037,0.00000000
-5.99399700,1.75802131,0.16329527,0.00000000,0.00617001,0.06101410,0.20827169,1.47702946,0.29464851,0.00000000
-5.98799400,1.81684157,0.16726141,0.00000000,0.00586536,0.05562856,0.20867109,1.53493361,0.30744178,0.00000000
-5.98199100,1.87848853,0.17362905,0.00000000,0.00569514,0.05056755,0.20967428,1.59129170,0.32362832,0.00000000
-5.97598799,1.94245987,0.18232257,0.00000000,0.00565050,0.04584646,0.21120300,1.64566370,0.34313207,0.00000000
-5.96998499,2.00825578,0.19324385,0.00000000,0.00572195,0.04147618,0.21318899,1.69765921,0.36584069,0.00000000
-5.96398199,2.07538051,0.20627226,0.00000000,0.00589956,0.03746295,0.21557578,1.74694056,0.39160347,0.00000000
-5.95797899,2.14334123,0.22126478,0.00000000,0.00617303,0.03380825,0.21831949,1.79322260,0.42022936,0.00000000
-5.95197599,2.21164472,0.23805623,0.00000000,0.00653181,0.03050887,0.22138888,1.83626977,0.45148548,0.00000000
-5.94597299,2.27979229,0.25645986,0.00000000,0.00696517,0.02755714,0.22476442,1.87589055,0.48509620,0.00000000
-5.93996998,2.34727375,0.27626821,0.00000000,0.00746223,0.02494123,0.22843673,1.91192998,0.52074308,0.00000000
-5.93396698,2.41356112,0.29725444,0.00000000,0.00801200,0.02264561,0.23240429,1.94426078,0.55806597,0.00000000
-5.92796398,2.47810303,0.31917407,0.00000000,0.00860342,0.02065154,0.23667074,1.97277396,0.59666528,0.00000000
-5.92196098,2.54032056,0.34176718,0.00000000,0.00922539,0.01893772,0.24124179,1.99736965,0.63610561,0.00000000
-5.91595798,2.59960532,0.36476121,0.00000000,0.00986684,0.01748088,0.24612207,2.01794890,0.67592091,0.00000000
-5.90995498,2.65532035,0.38787413,0.00000000,0.01051675,0.01625645,0.25131205,2.03440719,0.71562098,0.00000000
-5.90395198,2.70680437,0.41081821,0.00000000,0.01116428,0.01523923,0.25680518,2.04663019,0.75469934,0.00000000
-5.89794897,2.75337948,0.43330407,0.00000000,0.01179882,0.01440401,0.26258551,2.05449222,0.79264235,0.00000000
-5.89194597,2.79436246,0.45504526,0.00000000,0.01241009,0.01372623,0.26862586,2.05785751,0.82893923,0.00000000
-5.88594297,2.82907931,0.47576298,0.00000000,0.01298825,0.01318251,0.27488676,2.05658448,0.86309290,0.00000000
-5.87993997,2.85688272,0.49519105,0.00000000,0.01352403,0.01275121,0.28131611,2.05053256,0.89463106,0.00000000
-5.87393697,2.87717158,0.51308102,0.00000000,0.01400886,0.01241287,0.28784972,2.03957139,0.92311750,0.00000000
-5.86793397,2.88941197,0.52920713,0.00000000,0.01443495,0.01215071,0.29441267,2.02359173,0.94816291,0.00000000
-5.86193097,2.89315843,0.54337120,0.00000000,0.01479541,0.01195094,0.30092143,2.00251745,0.96943509,0.00000000
-5.85592796,2.88807471,0.55540717,0.00000000,0.01508441,0.01180314,0.30728664,1.97631775,0.98666809,0.00000000
-5.84992496,2.87395278,0.56518522,0.00000000,0.01529719,0.01170055,0.31341651,1.94501898,0.99966990,0.00000000
-5.84392196,2.85072929,0.57261530,0.00000000,0.01543020,0.01164032,0.31922047,1.90871515,1.00832857,0.00000000
-5.83791896,2.81849850,0.57764987,0.00000000,0.01548114,0.01162378,0.32461306,1.86757653,1.01261632,0.00000000
-5.83191596,2.77752089,0.58028591,0.00000000,0.01544897,0.01165666,0.32951780,1.82185564,1.01259165,0.00000000
-5.82591296,2.72822704,0.58056575,0.00000000,0.01533397,0.01174923,0.33387070,1.77189039,1.00839913,0.00000000
-5.81990995,2.67121628,0.57857700,0.00000000,0.01513769,0.01191654,0.33762345,1.71810378,1.00026711,0.00000000
-5.81390695,2.60724998,0.57445122,0.00000000,0.01486294,0.01217852,0.34074579,1.66100038,0.98850302,0.00000000
-5.80790395,2.53723957,0.56836142,0.00000000,0.01451373,0.01256007,0.34322727,1.60115931,0.97348677,0.00000000
-5.80190095,2.46222963,0.56051841,0.00000000,0.01409516,0.01309114,0.34507795,1.53922425,0.95566196,0.00000000
-5.79589795,2.38337645,0.55116607,0.00000000,0.01361333,0.01380670,0.34632826,1.47589057,0.93552561,0.00000000
-5.78989495,2.30192278,0.54057553,0.00000000,0.01307523,0.01474661,0.34702784,1.41189033,0.91361629,0.00000000
-5.78389195,2.21916956,0.52903865,0.00000000,0.01248854,0.01595542,0.34724356,1.34797541,0.89050121,0.00000000
-5.77788894,2.13644559,0.51686072,0.00000000,0.01186153,0.01748197,0.34705671,1.28489977,0.86676265,0.00000000
-5.77188594,2.05507611,0.50435290,0.00000000,0.01120283,0.01937890,0.34655966,1.22340117,0.84298399,0.00000000
-5.76588294,1.97635134,0.49182452,0.00000000,0.01052132,0.02170191,0.34585202,1.16418322,0.81973586,0.00000000
-5.75987994,1.90149598,0.47957547,0.00000000,0.00982588,0.02450884,0.34503670,1.10789840,0.79756282,0.00000000
-5.75387694,1.83164062,0.46788917,0.00000000,0.00912529,0.02785855,0.34421606,1.05513242,0.77697096,0.00000000
-5.74787394,1.76779608,0.45702620,0.00000000,0.00842804,0.03180953,0.34348821,1.00639071,0.75841672,0.00000000
-5.74187094,1.71083120,0.44721889,0.00000000,0.00774216,0.03641834,0.34294398,0.96208727,0.74229733,0.00000000
-5.73586793,1.66145499,0.43866709,0.00000000,0.00707516,0.04173787,0.34266441,0.92253617,0.72894308,0.00000000
-5.72986493,1.62020341,0.43153527,0.00000000,0.00643390,0.04781541,0.34271910,0.88794610,0.71861171,0.00000000
-5.72386193,1.58743118,0.42595091,0.00000000,0.00582449,0.05469065,0.34316544,0.85841782,0.71148491,0.00000000
-5.71785893,1.56330875,0.42200441,0.00000000,0.00525231,0.06239367,0.34404860,0.83394473,0.70766713,0.00000000
-5.71185593,1.54782439,0.41975027,0.00000000,0.00472193,0.07094299,0.34540245,0.81441633,0.70718654,0.00000000
-5.70585293,1.54079125,0.41920952,0.00000000,0.00423716,0.08034370,0.34725111,0.79962442,0.70999821,0.00000000
-5.69984992,1.54185897,0.42037325,0.00000000,0.00380104,0.09058598,0.34961111,0.78927183,0.71598924,0.00000000
-5.69384692,1.55052964,0.42320707,0.00000000,0.00341592,0.10164389,0.35249389,0.78298333,0.72498569,0.00000000
-5.68784392,1.56617729,0.42765614,0.00000000,0.00308350,0.11347462,0.35590847,0.78031836,0.73676102,0.00000000
-5.68184092,1.58807049,0.43365074,0.00000000,0.00280490,0.12601841,0.35986417,0.78078527,0.75104583,0.00000000
-5.67583792,1.61539730,0.44111189,0.00000000,0.00258074,0.13919892,0.36437297,0.78385650,0.76753845,0.00000000
-5.66983492,1.64729186,0.44995695,0.00000000,0.00241116,0.15292445,0.36945155,0.78898444,0.78591615,0.00000000
-5.66383192,1.68286184,0.46010492,0.00000000,0.00229598,0.16708972,0.37512270,0.79561745,0.80584656,0.00000000
-5.65782891,1.72121592,0.47148111,0.00000000,0.00223463,0.18157833,0.38141608,0.80321564,0.82699899,0.00000000
-5.65182591,1.76149053,0.48402124,0.00000000,0.00222627,0.19626590,0.38836821,0.81126594,0.84905520,0.00000000
-5.64582291,1.80287507,0.49767448,0.00000000,0.00226977,0.21102357,0.39602168,0.81929610,0.87171930,0.00000000
-5.63981991,1.84463472,0.51240555,0.00000000,0.00236373,0.22572196,0.40442354,0.82688725,0.89472658,0.00000000
-5.63381691,1.88613009,0.52819568,0.00000000,0.00250644,0.24023521,0.41362305,0.83368459,0.91785068,0.00000000
-5.62781391,1.92683310,0.54504234,0.00000000,0.00269590,0.25444505,0.42366872,0.83940589,0.94090906,0.00000000
-5.62181091,1.96633831,0.56295773,0.00000000,0.00292971,0.26824460,0.43460487,0.84384760,0.96376642,0.00000000
-5.61580790,2.00436928,0.58196605,0.00000000,0.00320510,0.28154172,0.44646783,0.84688827,0.98633589,0.00000000
-5.60980490,2.04077948,0.60209954,0.00000000,0.00351885,0.29426163,0.45928185,0.84848909,1.00857793,0.00000000
-5.60380190,2.07554773,0.62339348,0.00000000,0.00386724,0.30634878,0.47305503,0.84869159,1.03049688,0.00000000
-5.59779890,2.10876795,0.64588019,0.00000000,0.00424603,0.31776761,0.48777537,0.84761244,1.05213518,0.00000000
-5.59179590,2.14063368,0.66958226,0.00000000,0.00465048,0.32850237,0.50340707,0.84543549,1.07356558,0.00000000
-5.58579290,2.17141768,0.69450539,0.00000000,0.00507527,0.33855573,0.51988738,0.84240123,1.09488140,0.00000000
-5.57978989,2.20144745,0.72063083,0.00000000,0.00551464,0.34794636,0.53712407,0.83879417,1.11618545,0.00000000
-5.57378689,2.23107769,0.74790812,0.00000000,0.00596233,0.35670555,0.55499369,0.83492836,1.13757788,0.00000000
