energy_ev,total_up,total_down,Ag_p_up,Ag_p_down,Ag_d_up,Ag_d_down,C_s_up,C_s_down,C_p_up,C_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,3.88051096,-3.83789243,1.00296746,-1.02563731,2.37474034,-2.37347987,0.00461060,-0.00483931,0.29190657,-0.27620697,0.46738168,-0.46452606,0.74320253,-0.68675511,0.03451492,-0.03518537,0.35755142,-0.36431518
-5.99399700,3.88182796,-3.82538855,0.99106827,-1.01296066,2.37048041,-2.36780976,0.00459334,-0.00478785,0.29424344,-0.27626376,0.46407160,-0.46008757,0.75618762,-0.69004767,0.03411161,-0.03462363,0.35667034,-0.36004836
-5.98799400,3.88214486,-3.81305964,0.97835087,-0.99935705,2.36355948,-2.35972127,0.00459586,-0.00474919,0.29661964,-0.27660955,0.46039391,-0.45538487,0.77048808,-0.69549163,0.03373831,-0.03411628,0.35654616,-0.35674444
-5.98199100,3.88128151,-3.80097708,0.96498783,-0.98498465,2.35411018,-2.34934345,0.00462182,-0.00472685,0.29894815,-0.27721352,0.45636738,-0.45043793,0.78577082,-0.70299504,0.03338288,-0.03364994,0.35712096,-0.35440254
-5.97598799,3.87912731,-3.78928149,0.95119026,-0.97004584,2.34235268,-2.33689945,0.00467498,-0.00472452,0.30113970,-0.27804216,0.45203228,-0.44529186,0.80166841,-0.71242358,0.03303532,-0.03321272,0.35833070,-0.35301021
-5.96998499,3.87563329,-3.77816559,0.93719956,-0.95477971,2.32858276,-2.32269370,0.00475908,-0.00474605,0.30310368,-0.27905793,0.44744673,-0.44001329,0.81778696,-0.72359969,0.03268786,-0.03279452,0.36010671,-0.35254369
-5.96398199,3.87080396,-3.76785492,0.92327834,-0.93945329,2.31315843,-2.30709664,0.00487777,-0.00479536,0.30474953,-0.28021814,0.44268265,-0.43468594,0.83371530,-0.73630285,0.03233502,-0.03238718,0.36237728,-0.35296827
-5.95797899,3.86468972,-3.75858807,0.90970100,-0.92435190,2.29648598,-2.29052801,0.00503456,-0.00487634,0.30598837,-0.28147399,0.43782147,-0.42940542,0.84903563,-0.75027123,0.03197352,-0.03198458,0.36506917,-0.35423877
-5.95197599,3.85738054,-3.75059810,0.89674434,-0.90976911,2.27900611,-2.27343975,0.00523266,-0.00499279,0.30673502,-0.28277005,0.43295007,-0.42427389,0.86333483,-0.76520501,0.03160213,-0.03158260,0.36810929,-0.35630024
-5.94597299,3.84900104,-3.74409629,0.88467864,-0.89599688,2.26118068,-2.25629945,0.00547496,-0.00514832,0.30691031,-0.28404422,0.42815687,-0.41939472,0.87621643,-0.78077131,0.03122148,-0.03117899,0.37142618,-0.35908884
-5.93996998,3.83970726,-3.73925924,0.87375945,-0.88331618,2.24348034,-2.23957491,0.00576392,-0.00534628,0.30644354,-0.28522834,0.42352857,-0.41486753,0.88731251,-0.79661073,0.03083382,-0.03077331,0.37495148,-0.36253297
-5.93396698,3.82968443,-3.73621995,0.86422026,-0.87198852,2.22637322,-2.22372052,0.00610148,-0.00558965,0.30527503,-0.28624927,0.41914726,-0.41078378,0.89629514,-0.81234551,0.03044274,-0.03036665,0.37862126,-0.36655460
-5.92796398,3.81914558,-3.73506288,0.85626630,-0.86224848,2.21031466,-2.20916553,0.00648898,-0.00588093,0.30335865,-0.28703069,0.41508834,-0.40722318,0.90288685,-0.82758891,0.03005293,-0.02996145,0.38237713,-0.37107078
-5.92196098,3.80833000,-3.73582289,0.85006925,-0.85429751,2.19573785,-2.19630449,0.00692707,-0.00622211,0.30066403,-0.28749536,0.41141889,-0.40425093,0.90686959,-0.84195559,0.02966984,-0.02956127,0.38616704,-0.37599528
-5.91595798,3.79750094,-3.73848734,0.84576304,-0.84829893,2.18304508,-2.18548943,0.00741566,-0.00661453,0.29717854,-0.28756771,0.40819664,-0.40191588,0.90809185,-0.85507252,0.02929948,-0.02917051,0.38994577,-0.38124022
-5.90995498,3.78694178,-3.74300067,0.84344062,-0.84437410,2.17259942,-2.17702376,0.00795385,-0.00705880,0.29290867,-0.28717684,0.40546940,-0.40024962,0.90647356,-0.86659003,0.02894813,-0.02879419,0.39367502,-0.38671768
-5.90395198,3.77695011,-3.74927032,0.84315142,-0.84259976,2.16471660,-2.17115742,0.00853983,-0.00755473,0.28788095,-0.28625949,0.40327486,-0.39926631,0.90200850,-0.87619246,0.02862207,-0.02843770,0.39732309,-0.39234122
-5.89794897,3.76782938,-3.75717298,0.84489971,-0.84300622,2.15965696,-2.16808281,0.00917085,-0.00810128,0.28214209,-0.28476302,0.40164059,-0.39896324,0.89476426,-0.88360804,0.02832743,-0.02810658,0.40086422,-0.39802708
-5.89194597,3.75987799,-3.76656042,0.84864351,-0.84557645,2.15761747,-2.16793134,0.00984322,-0.00869645,0.27575849,-0.28264808,0.40058429,-0.39932200,0.88487956,-0.88861735,0.02806990,-0.02780629,0.40427742,-0.40369518
-5.88594297,3.75337615,-3.77726377,0.85429417,-0.85024585,2.15872398,-2.17077015,0.01055223,-0.00933725,0.26881504,-0.27989098,0.40011408,-0.40030994,0.87255935,-0.89106018,0.02785464,-0.02754206,0.40754518,-0.40926977
-5.87993997,3.74857114,-3.78909612,0.86171663,-0.85690263,2.16302401,-2.17659899,0.01129216,-0.01001967,0.26141331,-0.27648540,0.40022883,-0.40188204,0.85806774,-0.89084048,0.02768605,-0.02731861,0.41065177,-0.41467973
-5.87393697,3.74566171,-3.80185293,0.87073034,-0.86538880,2.17048043,-2.18534737,0.01205635,-0.01073866,0.25366910,-0.27244361,0.40091853,-0.40398278,0.84171924,-0.88792896,0.02756768,-0.02714011,0.41358159,-0.41985851
-5.86793397,3.74478283,-3.81531060,0.88111099,-0.87550173,2.18096675,-2.19687195,0.01283720,-0.01148813,0.24570965,-0.26779684,0.40216477,-0.40654821,0.82386876,-0.88236366,0.02750211,-0.02700995,0.41631747,-0.42474389
-5.86193097,3.74599194,-3.82922346,0.89259325,-0.88699641,2.19426435,-2.21095477,0.01362627,-0.01226099,0.23767044,-0.26259511,0.40394121,-0.40950785,0.80490080,-0.87424810,0.02749085,-0.02693063,0.41883913,-0.42927739
-5.85592796,3.74925804,-3.84332008,0.90487445,-0.89958847,2.21006249,-2.22730271,0.01441439,-0.01304923,0.22969186,-0.25690622,0.40621424,-0.41278668,0.78521842,-0.86374750,0.02753431,-0.02690372,0.42112196,-0.43340363
-5.84992496,3.75445462,-3.85729951,0.91761949,-0.91295808,2.22796141,-2.24554848,0.01519183,-0.01384402,0.22191586,-0.25081420,0.40894379,-0.41630696,0.76523236,-0.85108309,0.02763175,-0.02692976,0.42313623,-0.43706969
-5.84392196,3.76135749,-3.87082873,0.93046699,-0.92675488,2.24747897,-2.26525405,0.01594844,-0.01463580,0.21448270,-0.24441716,0.41208438,-0.41999005,0.74535083,-0.83652490,0.02778131,-0.02700820,0.42484671,-0.44022454
-5.83791896,3.76964805,-3.88354200,0.94303662,-0.94060393,2.26806099,-2.28591654,0.01667388,-0.01541450,0.20752796,-0.23782480,0.41558637,-0.42375820,0.72597030,-0.82038349,0.02798003,-0.02713747,0.42621301,-0.44281867
-5.83191596,3.77892231,-3.89504306,0.95493759,-0.95411288,2.28909522,-2.30697717,0.01735784,-0.01616972,0.20117981,-0.23115552,0.41939756,-0.42753632,0.70746747,-0.80300084,0.02822392,-0.02731493,0.42719034,-0.44480406
-5.82591296,3.78870528,-3.90491071,0.96577816,-0.96688018,2.30992860,-2.32783324,0.01799030,-0.01689092,0.19555668,-0.22453342,0.42346485,-0.43125379,0.69019269,-0.78474099,0.02850809,-0.02753702,0.42773099,-0.44613441
-5.81990995,3.79847034,-3.91270812,0.97517583,-0.97850420,2.32988731,-2.34785307,0.01856173,-0.01756772,0.19076541,-0.21808526,0.42773611,-0.43484625,0.67446481,-0.76598069,0.02882681,-0.02779929,0.42778620,-0.44676590
-5.81390695,3.80766237,-3.91799561,0.98276792,-0.98859325,2.34829867,-2.36639353,0.01906342,-0.01819008,0.18689965,-0.21193751,0.43216213,-0.43825738,0.66056733,-0.74710042,0.02917370,-0.02809657,0.42730846,-0.44665821
-5.80790395,3.81572328,-3.92034671,0.98822211,-0.99677589,2.36451406,-2.38281967,0.01948765,-0.01874865,0.18403879,-0.20621351,0.43669833,-0.44144062,0.64874586,-0.72847613,0.02954185,-0.02842309,0.42625414,-0.44577599
-5.80190095,3.82211849,-3.91936643,0.99124654,-1.00271145,2.37793161,-2.39652547,0.01982795,-0.01923493,0.18224705,-0.20103097,0.44130635,-0.44436076,0.63920656,-0.71047170,0.02992401,-0.02877265,0.42458607,-0.44409056
-5.79589795,3.82636235,-3.91471086,0.99159888,-1.00610013,2.38801759,-2.40695488,0.02007927,-0.01964156,0.18157291,-0.19649962,0.44595522,-0.44699523,0.63211537,-0.69343246,0.03031268,-0.02913877,0.42227620,-0.44158176
-5.78989495,3.82804115,-3.90610663,0.98909407,-1.00669236,2.39432528,-2.41362211,0.02023814,-0.01996251,0.18204866,-0.19271929,0.45062199,-0.44933506,0.62759772,-0.67767968,0.03070031,-0.02951486,0.41930796,-0.43823991
-5.78389195,3.82683188,-3.89336889,0.98361019,-1.00429678,2.39651041,-2.41612989,0.02030274,-0.02019326,0.18369011,-0.18977817,0.45529173,-0.45138537,0.62573855,-0.66350592,0.03107938,-0.02989432,0.41567816,-0.43406760
-5.77788894,3.82251572,-3.87641632,0.97509225,-0.99878668,2.39434225,-2.41418487,0.02027299,-0.02033091,0.18649624,-0.18775140,0.45995691,-0.45316528,0.62658240,-0.65117138,0.03144247,-0.03027070,0.41139842,-0.42908126
-5.77188594,3.81498523,-3.85528207,0.96355353,-0.99010422,2.38770988,-2.40760911,0.02015052,-0.02037429,0.19044903,-0.18669987,0.46461597,-0.45470714,0.63013339,-0.64090093,0.03178237,-0.03063777,0.40649596,-0.42331242
