energy_ev,total_up,Ag_p_up,Ag_d_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up
-6.00000000,10.55414100,1.55465449,9.80563375,0.05797015,0.29635593,0.27479602,0.00303593
-5.99399700,10.63484782,1.56910231,9.87900535,0.05745719,0.30094506,0.27580864,0.00300574
-5.98799400,10.70049960,1.57957955,9.93926396,0.05678805,0.30471049,0.27626903,0.00296996
-5.98199100,10.74979473,1.58594901,9.98519536,0.05597265,0.30759855,0.27617781,0.00292880
-5.97598799,10.78155712,1.58810753,10.01569205,0.05502237,0.30956438,0.27553869,0.00288256
-5.96998499,10.79474397,1.58598888,10.02975908,0.05395011,0.31057317,0.27435820,0.00283159
-5.96398199,10.78845540,1.57956648,10.02652197,0.05277017,0.31060129,0.27264556,0.00277627
-5.95797899,10.76194727,1.56885614,10.00523796,0.05149822,0.30963733,0.27041269,0.00271703
-5.95197599,10.71464824,1.55391846,9.96531170,0.05015123,0.30768287,0.26767422,0.00265432
-5.94597299,10.64618122,1.53486110,9.90631569,0.04874740,0.30475312,0.26444776,0.00258860
-5.93996998,10.55638896,1.51184051,9.82801503,0.04730600,0.30087726,0.26075414,0.00252034
-5.93396698,10.44536267,1.48506327,9.73039574,0.04584734,0.29609860,0.25661787,0.00244999
-5.92796398,10.31347188,1.45478656,9.61369463,0.04439255,0.29047438,0.25206762,0.00237803
-5.92196098,10.16139338,1.42131785,9.47842887,0.04296349,0.28407533,0.24713661,0.00230492
-5.91595798,9.99013650,1.38501336,9.32542236,0.04158252,0.27698488,0.24186317,0.00223112
-5.90995498,9.80106194,1.34627528,9.15582646,0.04027232,0.26929810,0.23629095,0.00215708
-5.90395198,9.59589143,1.30554755,8.97113204,0.03905561,0.26112027,0.23046911,0.00208327
-5.89794897,9.37670580,1.26331011,8.77317080,0.03795486,0.25256520,0.22445221,0.00201014
-5.89194597,9.14592950,1.22007156,8.56410361,0.03699199,0.24375329,0.21829980,0.00193817
-5.88594297,8.90630039,1.17636033,8.34639480,0.03618795,0.23480935,0.21207575,0.00186780
-5.87993997,8.66082434,1.13271461,8.12277180,0.03556232,0.22586022,0.20584713,0.00179951
-5.87393697,8.41271517,1.08967104,7.89617052,0.03513284,0.21703241,0.19968290,0.00173375
-5.86793397,8.16532134,1.04775278,7.66966772,0.03491496,0.20844960,0.19365218,0.00167095
-5.86193097,7.92204143,1.00745713,7.44640222,0.03492128,0.20023030,0.18782239,0.00161153
-5.85592796,7.68623158,0.96924335,7.22948793,0.03516112,0.19248561,0.18225714,0.00155589
-5.84992496,7.46110814,0.93352098,7.02192171,0.03563993,0.18531725,0.17701414,0.00150435
-5.84392196,7.24964967,0.90063934,6.82648999,0.03635894,0.17881588,0.17214311,0.00145723
