energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Na_s_up,Na_s_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,1.52226708,-1.12744046,1.35189471,-0.66557690,0.55851509,-0.35823386,0.00121848,-0.00123812,0.42220717,-0.27769007,0.09891951,-0.21791266,0.00423490,-0.00405408,0.40639050,-0.37336606
-5.99399700,1.53392233,-1.09243816,1.33058567,-0.65704737,0.56141795,-0.34220865,0.00141019,-0.00121472,0.41585851,-0.26474682,0.10157671,-0.21903864,0.00457242,-0.00414840,0.41955125,-0.36618820
-5.98799400,1.54445447,-1.06292710,1.30664365,-0.65508921,0.56389052,-0.32798766,0.00162511,-0.00122778,0.40934807,-0.25462443,0.10426683,-0.21955678,0.00496898,-0.00425095,0.43233783,-0.35954682
-5.98199100,1.55454257,-1.03891046,1.28098243,-0.65955374,0.56624882,-0.31569652,0.00186332,-0.00127630,0.40308236,-0.24743245,0.10699085,-0.21942945,0.00542916,-0.00435984,0.44470547,-0.35330930
-5.97598799,1.56489302,-1.02035174,1.25454836,-0.67023068,0.56881470,-0.30542094,0.00212453,-0.00135931,0.39746036,-0.24321919,0.10975651,-0.21864622,0.00595692,-0.00447343,0.45663100,-0.34738369
-5.96998499,1.57620313,-1.00717375,1.22828330,-0.68684459,0.57190148,-0.29720688,0.00240799,-0.00147580,0.39285832,-0.24197126,0.11257624,-0.21722247,0.00655526,-0.00459038,0.46810812,-0.34171870
-5.96398199,1.58912493,-0.99925642,1.20308860,-0.70905116,0.57579947,-0.29106134,0.00271247,-0.00162468,0.38961526,-0.24361439,0.11546492,-0.21519677,0.00722604,-0.00470949,0.47914230,-0.33630157
-5.95797899,1.60423059,-0.99643364,1.17979136,-0.73643367,0.58076210,-0.28695365,0.00303612,-0.00180472,0.38801947,-0.24801525,0.11843744,-0.21262738,0.00796968,-0.00482969,0.48974548,-0.33115423
-5.95197599,1.62198106,-0.99848971,1.15911446,-0.76850046,0.58699330,-0.28481722,0.00337654,-0.00201448,0.38829694,-0.25498461,0.12150632,-0.20958792,0.00878501,-0.00495000,0.49993089,-0.32632794
-5.94597299,1.64269948,-1.00515586,1.14165145,-0.80468386,0.59463655,-0.28455174,0.00373071,-0.00225224,0.39060175,-0.26428139,0.12467946,-0.20616265,0.00966909,-0.00506940,0.50970835,-0.32189693
-5.93996998,1.66655047,-1.01610759,1.12784730,-0.84434136,0.60376638,-0.28602582,0.00409498,-0.00251596,0.39500925,-0.27561793,0.12795805,-0.20244150,0.01061711,-0.00518690,0.51908022,-0.31795128
-5.93396698,1.69352655,-1.03096338,1.11798579,-0.88675948,0.61438249,-0.28908012,0.00446515,-0.00280319,0.40151203,-0.28866623,0.13133501,-0.19851521,0.01162239,-0.00530145,0.52803839,-0.31458971
-5.92796398,1.72344246,-1.04928545,1.11218411,-0.93116086,0.62640709,-0.29353107,0.00483652,-0.00311105,0.41001914,-0.30306516,0.13479372,-0.19447085,0.01267637,-0.00541196,0.53656241,-0.31191248
-5.92196098,1.75593785,-1.07058308,1.11039488,-0.97671473,0.63968545,-0.29917505,0.00520396,-0.00343616,0.42035851,-0.31842873,0.13830747,-0.19038793,0.01376878,-0.00551737,0.54461900,-0.31001489
-5.91595798,1.79048839,-1.09431883,1.11241550,-1.02255094,0.65398994,-0.30579324,0.00556201,-0.00377470,0.43228257,-0.33435501,0.14183943,-0.18633532,0.01488780,-0.00561663,0.55216286,-0.30898172
-5.90995498,1.82642514,-1.11991789,1.11790459,-1.06777733,0.66902725,-0.31315698,0.00590508,-0.00412237,0.44547699,-0.35043592,0.14534325,-0.18236907,0.01602035,-0.00570883,0.55913896,-0.30888274
-5.90395198,1.86296126,-1.14678054,1.12640480,-1.11150019,0.68444878,-0.32103372,0.00622753,-0.00447446,0.45957216,-0.36626751,0.14876438,-0.17853131,0.01715240,-0.00579325,0.56548602,-0.30976964
-5.89794897,1.89922528,-1.17429749,1.13737108,-1.15284707,0.69986364,-0.32919341,0.00652385,-0.00482589,0.47415706,-0.38146050,0.15204182,-0.17485008,0.01826940,-0.00586951,0.57114100,-0.31167424
-5.89194597,1.93429912,-1.20186761,1.15020325,-1.19099136,0.71485376,-0.33741510,0.00678888,-0.00517131,0.48879505,-0.39565093,0.15511050,-0.17134016,0.01935668,-0.00593761,0.57604441,-0.31460822
-5.88594297,1.96725957,-1.22891745,1.16428155,-1.22517760,0.72899048,-0.34549384,0.00701795,-0.00550523,0.50304079,-0.40851058,0.15790388,-0.16800483,0.02039990,-0.00599810,0.58014607,-0.31856403
-5.87993997,1.99722093,-1.25492171,1.17900358,-1.25474649,0.74185197,-0.35324734,0.00720703,-0.00582212,0.51645791,-0.41975675,0.16035692,-0.16483818,0.02138553,-0.00605213,0.58341085,-0.32351708
-5.87393697,2.02337706,-1.27942368,1.19382102,-1.27915857,0.75304046,-0.36052237,0.00735292,-0.00611654,0.52863643,-0.42916123,0.16240898,-0.16182803,0.02230125,-0.00610160,0.58582411,-0.32942871
-5.86793397,2.04504073,-1.30205460,1.20827446,-1.29801543,0.76219875,-0.36720058,0.00745336,-0.00638332,0.53920940,-0.43655792,0.16400666,-0.15895905,0.02313636,-0.00614917,0.58739645,-0.33624991
-5.86193097,2.06167830,-1.32255104,1.22202483,-1.31107745,0.76902507,-0.37320333,0.00750712,-0.00661767,0.54786790,-0.44184900,0.16510647,-0.15621597,0.02388213,-0.00619832,0.58816736,-0.34392536
-5.85592796,2.07293812,-1.34076909,1.23487977,-1.31827717,0.77328571,-0.37849556,0.00751411,-0.00681534,0.55437396,-0.44500914,0.16567692,-0.15358651,0.02453200,-0.00625331,0.58820755,-0.35239749
-5.84992496,2.07867121,-1.35669464,1.24681370,-1.31972755,0.77482473,-0.38308808,0.00747537,-0.00697275,0.55857059,-0.44608777,0.16570019,-0.15106400,0.02508178,-0.00631921,0.58761973,-0.36161036
-5.84392196,2.07894319,-1.37044893,1.25798053,-1.31572464,0.77357048,-0.38703851,0.00739308,-0.00708708,0.56038870,-0.44520902,0.16517320,-0.14864935,0.02552972,-0.00640175,0.58653778,-0.37151292
-5.83791896,2.07403686,-1.38228891,1.26871810,-1.30674438,0.76953851,-0.39045035,0.00727051,-0.00715637,0.55985046,-0.44256941,0.16410791,-0.14635232,0.02587644,-0.00650720,0.58512422,-0.38206154
-5.83191596,2.06444537,-1.39260196,1.27954407,-1.29343351,0.76283101,-0.39347034,0.00711193,-0.00717958,0.55706904,-0.43843318,0.16253105,-0.14419201,0.02612485,-0.00664223,0.58356611,-0.39322170
-5.82591296,2.05085627,-1.40189512,1.29114295,-1.27659494,0.75363260,-0.39628408,0.00692248,-0.00715662,0.55224467,-0.43312547,0.16048313,-0.14219648,0.02627989,-0.00681368,0.58206959,-0.40496846
-5.81990995,2.03412726,-1.41077896,1.30434469,-1.25716794,0.74220302,-0.39910982,0.00670806,-0.00708834,0.54565726,-0.42702335,0.15801691,-0.14040157,0.02634824,-0.00702828,0.58085328,-0.41728601
-5.81390695,2.01525476,-1.41994661,1.32009538,-1.23620405,0.72886707,-0.40219086,0.00647506,-0.00697652,0.53765593,-0.42054513,0.15519537,-0.13884902,0.02633798,-0.00729245,0.58014081,-0.43016609
-5.80790395,1.99533686,-1.43014870,1.33942106,-1.21483940,0.71400223,-0.40578650,0.00623027,-0.00682380,0.52864578,-0.41413819,0.15208934,-0.13758393,0.02625820,-0.00761195,0.58015294,-0.44360549
-5.80190095,1.97553238,-1.44216515,1.36338599,-1.19426476,0.69802483,-0.41016196,0.00598058,-0.00663358,0.51907270,-0.40826567,0.14877494,-0.13665180,0.02611858,-0.00799165,0.58109959,-0.45760287
-5.79589795,1.95701778,-1.45677503,1.39304677,-1.17569421,0.68137533,-0.41557776,0.00573284,-0.00640995,0.50940669,-0.40339250,0.14533090,-0.13609532,0.02592902,-0.00843521,0.58317212,-0.47215502
-5.78989495,1.94094401,-1.47472567,1.42940425,-1.16033363,0.66450339,-0.42227861,0.00549361,-0.00615755,0.50012449,-0.39997131,0.14183602,-0.13595110,0.02569924,-0.00894486,0.58653619,-0.48725296
-5.78389195,1.92839498,-1.49670236,1.47335500,-1.14935023,0.64785353,-0.43048263,0.00526899,-0.00588145,0.49169225,-0.39842845,0.13836678,-0.13624656,0.02543843,-0.00952116,0.59132561,-0.50287811
-5.77788894,1.92034937,-1.52330005,1.52564433,-1.14384405,0.63185185,-0.44037109,0.00506443,-0.00558700,0.48454895,-0.39915081,0.13499528,-0.13699718,0.02515503,-0.01016287,0.59763726,-0.51899891
