energy_ev,total_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,Te_p_up,Te_d_up
-6.00000000,5.02128942,0.00532900,1.70525561,3.21593637,2.23291517,0.92199367,0.00000000
-5.99399700,4.89360459,0.00528247,1.64222749,3.21393786,2.12906799,0.92739355,0.00000000
-5.98799400,4.75966594,0.00520640,1.57802580,3.20088974,2.02565779,0.92972631,0.00000000
-5.98199100,4.62061977,0.00510076,1.51346313,3.17648347,1.92404384,0.92868679,0.00000000
-5.97598799,4.47770567,0.00496644,1.44931820,3.14065356,1.82549357,0.92408310,0.00000000
-5.96998499,4.33225272,0.00480516,1.38632967,3.09359281,1.73116890,0.91583982,0.00000000
-5.96398199,4.18567176,0.00461940,1.32519129,3.03575818,1.64211637,0.90399699,0.00000000
-5.95797899,4.03944274,0.00441221,1.26654817,2.96786678,1.55926070,0.88870475,0.00000000
-5.95197599,3.89509675,0.00418711,1.21099369,2.89088187,1.48340108,0.87021389,0.00000000
-5.94597299,3.75419266,0.00394792,1.15906680,2.80598919,1.41520998,0.84886285,0.00000000
-5.93996998,3.61828889,0.00369866,1.11124957,2.71456478,1.35523372,0.82506169,0.00000000
-5.93396698,3.48891124,0.00344335,1.06796475,2.61813564,1.30389463,0.79927380,0.00000000
-5.92796398,3.36751818,0.00318590,1.02957353,2.51833506,1.26149449,0.77199621,0.00000000
-5.92196098,3.25546532,0.00293003,0.99637350,2.41685481,1.22821907,0.74373931,0.00000000
-5.91595798,3.15397102,0.00267912,0.96859710,2.31539634,1.20414387,0.71500711,0.00000000
-5.90995498,3.06408522,0.00243617,0.94641079,2.21562344,1.18924101,0.68627865,0.00000000
-5.90395198,2.98666338,0.00220374,0.92991527,2.11911821,1.18338746,0.65799157,0.00000000
-5.89794897,2.92234717,0.00198390,0.91914697,2.02734249,1.18637457,0.63052840,0.00000000
-5.89194597,2.87155329,0.00177824,0.91408098,1.94160606,1.19791911,0.60420606,0.00000000
-5.88594297,2.83447109,0.00158786,0.91463557,1.86304257,1.21767545,0.57926905,0.00000000
-5.87993997,2.81106912,0.00141342,0.92067805,1.79259389,1.24524890,0.55588624,0.00000000
-5.87393697,2.80111021,0.00125515,0.93203199,1.73100271,1.28020963,0.53415146,0.00000000
-5.86793397,2.80417391,0.00111292,0.94848520,1.67881282,1.32210662,0.51408737,0.00000000
-5.86193097,2.81968460,0.00098630,0.96979814,1.63637632,1.37048095,0.49565249,0.00000000
-5.85592796,2.84694334,0.00087460,0.99571207,1.60386623,1.42487765,0.47875062,0.00000000
-5.84992496,2.88516099,0.00077699,1.02595638,1.58129301,1.48485519,0.46324217,0.00000000
-5.84392196,2.93349033,0.00069252,1.06025443,1.56852352,1.54999188,0.44895662,0.00000000
-5.83791896,2.99105469,0.00062021,1.09832737,1.56530048,1.61988855,0.43570545,0.00000000
-5.83191596,3.05697141,0.00055908,1.13989553,1.57126133,1.69416694,0.42329486,0.00000000
-5.82591296,3.13036828,0.00050828,1.18467719,1.58595494,1.77246377,0.41153763,0.00000000
-5.81990995,3.21039239,0.00046707,1.23238463,1.60885561,1.85442057,0.40026366,0.00000000
-5.81390695,3.29621096,0.00043490,1.28271784,1.63937371,1.93966969,0.38932874,0.00000000
-5.80790395,3.38700487,0.00041147,1.33535623,1.67686308,2.02781764,0.37862132,0.00000000
-5.80190095,3.48195594,0.00039673,1.38994917,1.72062537,2.11842652,0.36806711,0.00000000
-5.79589795,3.58022994,0.00039094,1.44610615,1.76991231,2.21099544,0.35763150,0.00000000
-5.78989495,3.68095755,0.00039470,1.50338768,1.82392675,2.30494316,0.34732006,0.00000000
-5.78389195,3.78321588,0.00040898,1.56129790,1.88182362,2.39959385,0.33717712,0.00000000
-5.77788894,3.88601313,0.00043510,1.61927997,1.94271231,2.49416751,0.32728289,0.00000000
-5.77188594,3.98827890,0.00047478,1.67671522,2.00566131,2.58777641,0.31774941,0.00000000
-5.76588294,4.08886225,0.00053014,1.73292658,2.06970641,2.67942873,0.30871570,0.00000000
-5.75987994,4.18653914,0.00060371,1.78718699,2.13386305,2.76804005,0.30034240,0.00000000
-5.75387694,4.28002989,0.00069838,1.83873274,2.19714313,2.85245291,0.29280631,0.00000000
