energy_ev,total_up,total_down,Ag_p_up,Ag_p_down,Ag_d_up,Ag_d_down,C_s_up,C_s_down,C_p_up,C_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
5.14757379,1.66679890,-1.66679896,1.02318696,-1.02318698,0.02268536,-0.02268536,0.06243412,-0.06243412,0.18983929,-0.18983932,0.61107152,-0.61107155,0.01220946,-0.01220946,0.64065922,-0.64065921,0.00000000,-0.00000000
5.15357679,1.50992725,-1.50992731,0.94564880,-0.94564882,0.02068578,-0.02068578,0.05791175,-0.05791176,0.17114408,-0.17114411,0.55066571,-0.55066574,0.01106239,-0.01106239,0.58039079,-0.58039078,0.00000000,-0.00000000
5.15957979,1.35943929,-1.35943934,0.86835156,-0.86835159,0.01875250,-0.01875250,0.05334296,-0.05334296,0.15325041,-0.15325043,0.49314901,-0.49314904,0.00995946,-0.00995946,0.52224232,-0.52224232,0.00000000,-0.00000000
5.16558279,1.21655936,-1.21655941,0.79235853,-0.79235856,0.01690110,-0.01690110,0.04879246,-0.04879247,0.13630441,-0.13630443,0.43889539,-0.43889542,0.00891041,-0.00891041,0.46675914,-0.46675913,0.00000000,-0.00000000
5.17158579,1.08228162,-1.08228167,0.71864382,-0.71864385,0.01514480,-0.01514480,0.04431986,-0.04431987,0.12041920,-0.12041922,0.38818764,-0.38818767,0.00792317,-0.00792317,0.41438098,-0.41438098,0.00000000,-0.00000000
5.17758879,0.95737235,-0.95737239,0.64807845,-0.64807848,0.01349442,-0.01349442,0.03997845,-0.03997845,0.10567555,-0.10567557,0.34122042,-0.34122044,0.00700385,-0.00700386,0.36544207,-0.36544207,0.00000000,-0.00000000
5.18359180,0.84237979,-0.84237983,0.58142173,-0.58142175,0.01195834,-0.01195834,0.03581434,-0.03581434,0.09212351,-0.09212353,0.29810576,-0.29810578,0.00615685,-0.00615685,0.32017460,-0.32017460,0.00000000,-0.00000000
5.18959480,0.73765027,-0.73765031,0.51931780,-0.51931782,0.01054262,-0.01054262,0.03186603,-0.03186604,0.07978493,-0.07978494,0.25888067,-0.25888068,0.00538493,-0.00538493,0.27871526,-0.27871526,0.00000000,-0.00000000
5.19559780,0.64334938,-0.64334941,0.46229698,-0.46229700,0.00925110,-0.00925110,0.02816426,-0.02816426,0.06865654,-0.06865655,0.22351623,-0.22351625,0.00468942,-0.00468942,0.24111413,-0.24111413,0.00000000,-0.00000000
5.20160080,0.55948672,-0.55948675,0.41078107,-0.41078109,0.00808565,-0.00808565,0.02473211,-0.02473211,0.05871350,-0.05871351,0.19192786,-0.19192787,0.00407038,-0.00407038,0.20734522,-0.20734522,0.00000000,-0.00000000
5.20760380,0.48594284,-0.48594287,0.36509203,-0.36509205,0.00704636,-0.00704636,0.02158552,-0.02158552,0.04991319,-0.04991320,0.16398615,-0.16398616,0.00352683,-0.00352683,0.17731812,-0.17731812,0.00000000,-0.00000000
5.21360680,0.42249701,-0.42249703,0.32546298,-0.32546299,0.00613183,-0.00613183,0.01873391,-0.01873391,0.04219893,-0.04219894,0.13952795,-0.13952796,0.00305696,-0.00305696,0.15089006,-0.15089006,0.00000000,-0.00000000
5.21960980,0.36885449,-0.36885451,0.29205057,-0.29205058,0.00533946,-0.00533946,0.01618105,-0.01618106,0.03550376,-0.03550377,0.11836726,-0.11836727,0.00265830,-0.00265830,0.12787793,-0.12787794,0.00000000,-0.00000000
5.22561281,0.32467227,-0.32467228,0.26494791,-0.26494792,0.00466568,-0.00466568,0.01392605,-0.01392606,0.02975385,-0.02975386,0.10030566,-0.10030566,0.00232797,-0.00232797,0.10806972,-0.10806972,0.00000000,-0.00000000
5.23161581,0.28958224,-0.28958225,0.24419696,-0.24419697,0.00410628,-0.00410628,0.01196439,-0.01196439,0.02487165,-0.02487165,0.08514191,-0.08514192,0.00206282,-0.00206282,0.09123498,-0.09123498,0.00000000,-0.00000000
5.23761881,0.26321114,-0.26321115,0.22979977,-0.22979977,0.00365664,-0.00365664,0.01028900,-0.01028900,0.02077861,-0.02077861,0.07268073,-0.07268073,0.00185957,-0.00185957,0.07713422,-0.07713422,0.00000000,-0.00000000
5.24362181,0.24519669,-0.24519670,0.22172776,-0.22172776,0.00331192,-0.00331192,0.00889136,-0.00889136,0.01739749,-0.01739749,0.06274032,-0.06274032,0.00171496,-0.00171496,0.06552681,-0.06552681,0.00000000,-0.00000000
5.24962481,0.23519963,-0.23519963,0.21992873,-0.21992873,0.00306727,-0.00306727,0.00776250,-0.00776250,0.01465424,-0.01465424,0.05515878,-0.05515878,0.00162580,-0.00162580,0.05617749,-0.05617750,0.00000000,-0.00000000
5.25562781,0.23291147,-0.23291147,0.22433119,-0.22433119,0.00291796,-0.00291796,0.00689390,-0.00689390,0.01247936,-0.01247936,0.04979925,-0.04979925,0.00158904,-0.00158904,0.04886141,-0.04886141,0.00000000,-0.00000000
