energy_ev,total_up,Ge_p_up,Ge_d_up,Hf_p_up,Hf_d_up,S_s_up,S_p_up
-6.00000000,1.48081979,0.01623741,0.00000000,0.47719203,0.69764438,0.00436575,1.13536024
-5.99399700,1.53284253,0.01738233,0.00000000,0.51017163,0.71179753,0.00458658,1.17946694
-5.98799400,1.59751418,0.01869576,0.00000000,0.54896008,0.73193078,0.00484820,1.23376511
-5.98199100,1.67553188,0.02018553,0.00000000,0.59385865,0.75847586,0.00515349,1.29881624
-5.97598799,1.76744555,0.02185921,0.00000000,0.64510580,0.79177525,0.00550521,1.37505271
-5.96998499,1.87362752,0.02372402,0.00000000,0.70286270,0.83206256,0.00590590,1.46275212
-5.96398199,1.99424289,0.02578682,0.00000000,0.76719940,0.87944376,0.00635772,1.56201256
-5.95797899,2.12922214,0.02805394,0.00000000,0.83808246,0.93388029,0.00686236,1.67273015
-5.95197599,2.27823730,0.03053111,0.00000000,0.91536450,0.99517497,0.00742087,1.79457997
-5.94597299,2.44068325,0.03322322,0.00000000,0.99877627,1.06296161,0.00803355,1.92700164
-5.93996998,2.61566551,0.03613412,0.00000000,1.08792190,1.13669930,0.00869983,2.06919072
-5.93396698,2.80199573,0.03926638,0.00000000,1.18227761,1.21567202,0.00941820,2.22009684
-5.92796398,2.99819584,0.04262095,0.00000000,1.28119425,1.29899417,0.01018612,2.37842940
-5.92196098,3.20251146,0.04619685,0.00000000,1.38390391,1.38562231,0.01099999,2.54267111
-5.91595798,3.41293475,0.04999081,0.00000000,1.48953035,1.47437314,0.01185517,2.71109974
-5.90995498,3.62723644,0.05399690,0.00000000,1.59710333,1.56394748,0.01274597,2.88181744
-5.90395198,3.84300634,0.05820608,0.00000000,1.70557618,1.65295960,0.01366581,3.05278728
-5.89794897,4.05770116,0.06260588,0.00000000,1.81384621,1.73997111,0.01460724,3.22187582
-5.89194597,4.26869821,0.06718001,0.00000000,1.92077727,1.82352822,0.01556213,3.38690029
-5.88594297,4.47335298,0.07190799,0.00000000,2.02522353,1.90220104,0.01652180,3.54567890
-5.87993997,4.66905875,0.07676497,0.00000000,2.12605379,1.97462346,0.01747721,3.69608245
-5.87393697,4.85330614,0.08172148,0.00000000,2.22217531,2.03953197,0.01841915,3.83608535
-5.86793397,5.02374031,0.08674345,0.00000000,2.31255653,2.09580209,0.01933842,3.96381423
-5.86193097,5.17821426,0.09179222,0.00000000,2.39624782,2.14248076,0.02022601,4.07759257
