energy_ev,total_up,As_p_up,As_d_up,Hf_p_up,Hf_d_up,Se_s_up,Se_p_up
-6.00000000,2.04180438,1.03576368,0.00000000,1.10133748,1.02325209,0.07447233,0.40845397
-5.99399700,2.08491609,1.05473116,0.00000000,1.13922373,1.03728972,0.07646362,0.41540030
-5.98799400,2.13183330,1.07467161,0.00000000,1.17871478,1.05324414,0.07847637,0.42430923
-5.98199100,2.18256443,1.09564130,0.00000000,1.21971565,1.07116830,0.08050774,0.43517147
-5.97598799,2.23702784,1.11764350,0.00000000,1.26208541,1.09105778,0.08255376,0.44795790
-5.96998499,2.29504106,1.14062429,0.00000000,1.30563303,1.11284517,0.08460872,0.46261546
-5.96398199,2.35631317,1.16447055,0.00000000,1.35011502,1.13639647,0.08666469,0.47906350
-5.95797899,2.42044100,1.18901033,0.00000000,1.39523510,1.16150978,0.08871104,0.49719060
-5.95197599,2.48690942,1.21401541,0.00000000,1.44064604,1.18791632,0.09073419,0.51685237
-5.94597299,2.55509596,1.23920612,0.00000000,1.48595362,1.21528394,0.09271744,0.53787029
-5.93996998,2.62427965,1.26425817,0.00000000,1.53072285,1.24322301,0.09464098,0.56003181
-5.93396698,2.69365418,1.28881131,0.00000000,1.57448612,1.27129463,0.09648215,0.58309187
-5.92796398,2.76234479,1.31247945,0.00000000,1.61675331,1.29902083,0.09821576,0.60677591
-5.92196098,2.82942863,1.33486192,0.00000000,1.65702337,1.32589665,0.09981473,0.63078434
-5.91595798,2.89395786,1.35555546,0.00000000,1.69479720,1.35140346,0.10125079,0.65479834
-5.90995498,2.95498484,1.37416653,0.00000000,1.72959140,1.37502336,0.10249534,0.67848704
-5.90395198,3.01158847,1.39032355,0.00000000,1.76095238,1.39625392,0.10352045,0.70151558
-5.89794897,3.06290089,1.40368856,0.00000000,1.78847049,1.41462293,0.10429985,0.72355405
-5.89194597,3.10813359,1.41396797,0.00000000,1.81179359,1.42970251,0.10481002,0.74428682
-5.88594297,3.14660198,1.42092210,0.00000000,1.83063968,1.44112215,0.10503113,0.76342188
-5.87993997,3.17774749,1.42437303,0.00000000,1.84480805,1.44858015,0.10494805,0.78070003
-5.87393697,3.20115655,1.42421067,0.00000000,1.85418857,1.45185303,0.10455108,0.79590325
-5.86793397,3.21657554,1.42039675,0.00000000,1.85876875,1.45080264,0.10383662,0.80886209
-5.86193097,3.22392132,1.41296673,0.00000000,1.85863831,1.44538061,0.10280763,0.81946178
-5.85592796,3.22328673,1.40202941,0.00000000,1.85399096,1.43563001,0.10147377,0.82764659
-5.84992496,3.21494111,1.38776456,0.00000000,1.84512330,1.42168425,0.09985144,0.83342249
-5.84392196,3.19932538,1.37041831,0.00000000,1.83243088,1.40376320,0.09796348,0.83685775
-5.83791896,3.17704222,1.35029685,0.00000000,1.81640135,1.38216664,0.09583867,0.83808165
-5.83191596,3.14884132,1.32775835,0.00000000,1.79760494,1.35726551,0.09351102,0.83728110
-5.82591296,3.11560032,1.30320368,0.00000000,1.77668256,1.32949104,0.09101887,0.83469553
-5.81990995,3.07830207,1.27706588,0.00000000,1.75433178,1.29932242,0.08840383,0.83061002
-5.81390695,3.03800878,1.24979914,0.00000000,1.73129112,1.26727331,0.08570962,0.82534704
-5.80790395,2.99583406,1.22186724,0.00000000,1.70832314,1.23387768,0.08298086,0.81925710
-5.80190095,2.95291359,1.19373208,0.00000000,1.68619684,1.19967562,0.08026180,0.81270863
-5.79589795,2.91037547,1.16584250,0.00000000,1.66566976,1.16519943,0.07759520,0.80607742
-5.78989495,2.86931107,1.13862376,0.00000000,1.64747052,1.13096051,0.07502112,0.79973609
-5.78389195,2.83074745,1.11246798,0.00000000,1.63228213,1.09743754,0.07257597,0.79404390
-5.77788894,2.79562210,1.08772575,0.00000000,1.62072664,1.06506613,0.07029167,0.78933723
-5.77188594,2.76476090,1.06469929,0.00000000,1.61335157,1.03423041,0.06819495,0.78592117
-5.76588294,2.73886004,1.04363720,0.00000000,1.61061846,1.00525667,0.06630690,0.78406235
-5.75987994,2.71847251,1.02473103,0.00000000,1.61289397,0.97840931,0.06464269,0.78398335
-5.75387694,2.70399958,1.00811379,0.00000000,1.62044363,0.95388897,0.06321155,0.78585879
-5.74787394,2.69568770,0.99386049,0.00000000,1.63342851,0.93183316,0.06201687,0.78981332
-5.74187094,2.69363091,0.98199051,0.00000000,1.65190487,0.91231897,0.06105656,0.79592128
-5.73586793,2.69777863,0.97247209,0.00000000,1.67582671,0.89536802,0.06032356,0.80420839
-5.72986493,2.70794869,0.96522844,0.00000000,1.70505121,0.88095316,0.05980645,0.81465491
-5.72386193,2.72384498,0.96014554,0.00000000,1.73934673,0.86900689,0.05949024,0.82720043
-5.71785893,2.74507906,0.95708120,0.00000000,1.77840319,0.85943095,0.05935717,0.84174990
-5.71185593,2.77119485,0.95587519,0.00000000,1.82184429,0.85210675,0.05938760,0.85818056
-5.70585293,2.80169526,0.95635986,0.00000000,1.86924133,0.84690627,0.05956086,0.87634952
-5.69984992,2.83606953,0.95837104,0.00000000,1.92012785,0.84370285,0.05985612,0.89610153
-5.69384692,2.87382013,0.96175854,0.00000000,1.97401476,0.84238143,0.06025313,0.91727660
-5.68784392,2.91448762,0.96639590,0.00000000,2.03040518,0.84284780,0.06073289,0.93971705
