energy_ev,total_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,4.17880723,0.00266186,1.18777363,1.55895406,2.23885354,0.03345871,0.51434814
-5.99399700,4.30116561,0.00278327,1.22895646,1.60719595,2.31835284,0.03301832,0.52217636
-5.98799400,4.42992393,0.00290956,1.27203983,1.65778885,2.40133792,0.03260341,0.53103637
-5.98199100,4.56390509,0.00303906,1.31668707,1.71020331,2.48715050,0.03221860,0.54077299
-5.97598799,4.70164828,0.00316984,1.36249287,1.76382542,2.57498160,0.03186702,0.55117148
-5.96998499,4.84143620,0.00329973,1.40898914,1.81797236,2.66388285,0.03155046,0.56196428
-5.96398199,4.98133338,0.00342639,1.45565315,1.87191132,2.75278348,0.03126952,0.57284042
-5.95797899,5.11923455,0.00354737,1.50191788,1.92488105,2.84051265,0.03102372,0.58345729
-5.95197599,5.25292141,0.00366016,1.54718445,1.97611524,2.92582655,0.03081174,0.59345402
-5.94597299,5.38012595,0.00376231,1.59083615,2.02486681,3.00743949,0.03063154,0.60246613
-5.93996998,5.49859779,0.00385145,1.63225367,2.07043203,3.08405811,0.03048058,0.61014045
-5.93396698,5.60617288,0.00392542,1.67083109,2.11217345,3.15441719,0.03035591,0.61614989
-5.92796398,5.70084091,0.00398229,1.70599186,2.14954061,3.21731609,0.03025434,0.62020723
-5.92196098,5.78080852,0.00402047,1.73720441,2.18208747,3.27165421,0.03017245,0.62207723
-5.91595798,5.84455576,0.00403873,1.76399654,2.20948591,3.31646410,0.03010669,0.62158677
-5.90995498,5.89088362,0.00403627,1.78596825,2.23153456,3.35094101,0.03005337,0.61863230
-5.90395198,5.91895047,0.00401273,1.80280235,2.24816266,3.37446764,0.03000868,0.61318452
-5.89794897,5.92829636,0.00396820,1.81427258,2.25942872,3.38663320,0.02996860,0.60528997
-5.89194597,5.91885415,0.00390326,1.82024893,2.26551426,3.38724599,0.02992890,0.59506966
-5.88594297,5.89094750,0.00381891,1.82069999,2.26671294,3.37633927,0.02988510,0.58271469
-5.87993997,5.84527602,0.00371660,1.81569240,2.26341582,3.35417006,0.02983240,0.56847934
-5.87393697,5.78288860,0.00359814,1.80538752,2.25609352,3.32121138,0.02976574,0.55267171
-5.86793397,5.70514658,0.00346569,1.79003553,2.24527634,3.27813809,0.02967974,0.53564269
-5.86193097,5.61367841,0.00332169,1.76996737,2.23153345,3.22580725,0.02956880,0.51777343
-5.85592796,5.51032815,0.00316879,1.74558490,2.21545223,3.16523389,0.02942718,0.49946220
-5.84992496,5.39710010,0.00300982,1.71734981,2.19761886,3.09756306,0.02924912,0.48111090
-5.84392196,5.27610173,0.00284767,1.68577167,2.17860110,3.02403952,0.02902901,0.46311203
-5.83791896,5.14948739,0.00268529,1.65139564,2.15893400,2.94597603,0.02876155,0.44583646
-5.83191596,5.01940461,0.00252561,1.61479030,2.13910923,2.86472136,0.02844198,0.42962249
-5.82591296,4.88794477,0.00237149,1.57653584,2.11956823,2.78162914,0.02806622,0.41476668
