energy_ev,total_up,Cd_p_up,Cd_d_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up
-6.00000000,1.34997653,0.29646404,0.31002389,0.04989596,0.08900125,0.49507323,0.13372913,0.02050634,0.46563565
-5.99399700,1.32561844,0.28906868,0.30459955,0.05058508,0.08575995,0.48829853,0.13200169,0.02040334,0.45800116
-5.98799400,1.30176284,0.28158794,0.29928756,0.05125798,0.08251593,0.48158652,0.13081708,0.02030969,0.45050301
-5.98199100,1.27870363,0.27417646,0.29411469,0.05189899,0.07934249,0.47499513,0.13022617,0.02021123,0.44324486
-5.97598799,1.25668812,0.26697332,0.28909685,0.05249195,0.07630557,0.46856637,0.13027391,0.02009546,0.43631638
-5.96998499,1.23591487,0.26009857,0.28423917,0.05302059,0.07346190,0.46232630,0.13100009,0.01995204,0.42979284
-5.96398199,1.21653400,0.25365062,0.27953648,0.05346888,0.07085767,0.45628568,0.13244049,0.01977333,0.42373569
-5.95797899,1.19865004,0.24770467,0.27497407,0.05382136,0.06852763,0.45044125,0.13462876,0.01955471,0.41819393
-5.95197599,1.18232725,0.24231221,0.27052889,0.05406349,0.06649468,0.44477752,0.13759876,0.01929489,0.41320630
-5.94597299,1.16759715,0.23750148,0.26617107,0.05418195,0.06476994,0.43926917,0.14138744,0.01899603,0.40880424
-5.93996998,1.15446804,0.23327888,0.26186566,0.05416489,0.06335334,0.43388379,0.14603799,0.01866378,0.40501538
-5.93396698,1.14293587,0.22963132,0.25757467,0.05400225,0.06223453,0.42858503,0.15160329,0.01830723,0.40186753
-5.92796398,1.13299615,0.22652917,0.25325917,0.05368591,0.06139423,0.42333598,0.15814927,0.01793870,0.39939281
-5.92196098,1.12465609,0.22392986,0.24888153,0.05320996,0.06080582,0.41810255,0.16575810,0.01757352,0.39763173
-5.91595798,1.11794626,0.22178182,0.24440754,0.05257080,0.06043715,0.41285687,0.17453082,0.01722959,0.39663701
-5.90995498,1.11293112,0.22002857,0.23980853,0.05176728,0.06025246,0.40758043,0.18458909,0.01692701,0.39647680
-5.90395198,1.10971763,0.21861277,0.23506319,0.05080080,0.06021433,0.40226686,0.19607599,0.01668752,0.39723694
-5.89794897,1.10846110,0.21748001,0.23015911,0.04967531,0.06028553,0.39692410,0.20915523,0.01653396,0.39902223
-5.89194597,1.10936780,0.21658218,0.22509398,0.04839733,0.06043074,0.39157594,0.22400894,0.01648962,0.40195614
-5.88594297,1.11269362,0.21588020,0.21987627,0.04697585,0.06061801,0.38626266,0.24083348,0.01657762,0.40617906
-5.87993997,1.11873852,0.21534592,0.21452542,0.04542221,0.06082001,0.38104071,0.25983342,0.01682016,0.41184478
-5.87393697,1.12783644,0.21496325,0.20907156,0.04374994,0.06101478,0.37598143,0.28121358,0.01723786,0.41911520
-5.86793397,1.14034087,0.21472823,0.20355453,0.04197449,0.06118631,0.37116858,0.30516923,0.01784900,0.42815337
-5.86193097,1.15660624,0.21464820,0.19802248,0.04011294,0.06132456,0.36669503,0.33187473,0.01866882,0.43911491
-5.85592796,1.17696580,0.21474003,0.19252990,0.03818364,0.06142519,0.36265830,0.36147089,0.01970882,0.45213815
-5.84992496,1.20170683,0.21502755,0.18713525,0.03620583,0.06148899,0.35915550,0.39405169,0.02097608,0.46733338
-5.84392196,1.23104432,0.21553826,0.18189827,0.03419920,0.06152093,0.35627760,0.42965074,0.02247268,0.48477158
-5.83791896,1.26509434,0.21629962,0.17687706,0.03218341,0.06152902,0.35410343,0.46822838,0.02419520,0.50447338
-5.83191596,1.30384873,0.21733497,0.17212510,0.03017770,0.06152301,0.35269368,0.50966003,0.02613427,0.52639868
-5.82591296,1.34715258,0.21865962,0.16768837,0.02820037,0.06151305,0.35208529,0.55372664,0.02827435,0.55043772
-5.81990995,1.39468611,0.22027699,0.16360275,0.02626840,0.06150828,0.35228645,0.60010793,0.03059362,0.57640420
-5.81390695,1.44595239,0.22217548,0.15989173,0.02439710,0.06151563,0.35327273,0.64837920,0.03306405,0.60403109
-5.80790395,1.50027204,0.22432591,0.15656470,0.02259974,0.06153873,0.35498445,0.69801207,0.03565169,0.63296953
-5.80190095,1.55678610,0.22668002,0.15361590,0.02088733,0.06157705,0.35732568,0.74837985,0.03831721,0.66279137
-5.79589795,1.61446736,0.22917002,0.15102406,0.01926851,0.06162539,0.36016493,0.79876731,0.04101657,0.69299535
-5.78989495,1.67214043,0.23170929,0.14875276,0.01774937,0.06167368,0.36333763,0.84838528,0.04370203,0.72301714
-5.78389195,1.72851018,0.23419434,0.14675160,0.01633359,0.06170712,0.36665039,0.89638931,0.04632318,0.75224290
-5.77788894,1.78219757,0.23650781,0.14495807,0.01502243,0.06170664,0.36988697,0.94190221,0.04882836,0.78002603
-5.77188594,1.83178175,0.23852252,0.14330001,0.01381497,0.06164970,0.37281551,0.98403947,0.05116594,0.80570649
-5.76588294,1.87584654,0.24010634,0.14169864,0.01270832,0.06151130,0.37519698,1.02193658,0.05328595,0.82863194
-5.75987994,1.91302937,0.24112758,0.14007186,0.01169793,0.06126528,0.37679429,1.05477725,0.05514148,0.84817975
-5.75387694,1.94207034,0.24146074,0.13833787,0.01077790,0.06088559,0.37738165,1.08182109,0.05669019,0.86377891
-5.74787394,1.96185923,0.24099222,0.13641867,0.00994135,0.06034778,0.37675376,1.10242963,0.05789568,0.87493086
-5.74187094,1.97147802,0.23962576,0.13424349,0.00918077,0.05963036,0.37473434,1.11608939,0.05872866,0.88122817
-5.73586793,1.97023701,0.23728725,0.13175188,0.00848835,0.05871604,0.37118360,1.12243086,0.05916792,0.88237028
-5.72986493,1.95770275,0.23392886,0.12889627,0.00785631,0.05759283,0.36600430,1.12124261,0.05920102,0.87817535
-5.72386193,1.93371644,0.22953203,0.12564407,0.00727717,0.05625492,0.35914609,1.11247964,0.05882475,0.86858796
-5.71785893,1.89840202,0.22410937,0.12197896,0.00674401,0.05470325,0.35060795,1.09626587,0.05804514,0.85368201
-5.71185593,1.85216367,0.21770541,0.11790160,0.00625061,0.05294584,0.34043871,1.07289032,0.05687726,0.83365894
-5.70585293,1.79567301,0.21039608,0.11342957,0.00579162,0.05099773,0.32873555,1.04279758,0.05534468,0.80884128
-5.69984992,1.72984677,0.20228705,0.10859666,0.00536266,0.04888077,0.31564078,1.00657282,0.05347865,0.77966202
-5.69384692,1.65581625,0.19351105,0.10345154,0.00496027,0.04662299,0.30133693,0.96492223,0.05131700,0.74665030
-5.68784392,1.57489015,0.18422435,0.09805600,0.00458199,0.04425792,0.28604060,0.91864982,0.04890293,0.71041416
-5.68184092,1.48851273,0.17460250,0.09248268,0.00422627,0.04182357,0.26999527,0.86863180,0.04628358,0.67162137
-5.67583792,1.39821920,0.16483566,0.08681266,0.00389237,0.03936140,0.25346363,0.81578965,0.04350865,0.63097897
-5.66983492,1.30559059,0.15512362,0.08113283,0.00358031,0.03691517,0.23671951,0.76106308,0.04062887,0.58921273
-5.66383192,1.21220979,0.14567078,0.07553329,0.00329074,0.03452976,0.22004009,0.70538410,0.03769465,0.54704719
-5.65782891,1.11962075,0.13668128,0.07010485,0.00302481,0.03225009,0.20369846,0.64965317,0.03475477,0.50518723
-5.65182591,1.02929198,0.12835425,0.06493669,0.00278407,0.03011995,0.18795693,0.59471827,0.03185525,0.46430162
-5.64582291,0.94258565,0.12087959,0.06011432,0.00257035,0.02818106,0.17306120,0.54135752,0.02903839,0.42500918
-5.63981991,0.86073292,0.11443403,0.05571779,0.00238569,0.02647221,0.15923560,0.49026578,0.02634201,0.38786782
-5.63381691,0.78481573,0.10917769,0.05182032,0.00223220,0.02502840,0.14667945,0.44204543,0.02379893,0.35336655
-5.62781391,0.71575509,0.10525116,0.04848713,0.00211201,0.02388026,0.13556447,0.39720126,0.02143666,0.32192046
-5.62181091,0.65430553,0.10277289,0.04577472,0.00202722,0.02305346,0.12603330,0.35613919,0.01927721,0.29386858
-5.61580790,0.60105499,0.10183709,0.04373031,0.00197979,0.02256828,0.11819893,0.31916856,0.01733720,0.26947413
-5.60980490,0.55642951,0.10251197,0.04239163,0.00197157,0.02243922,0.11214500,0.28650740,0.01562803,0.24892713
-5.60380190,0.52070163,0.10483824,0.04178681,0.00200421,0.02267478,0.10792676,0.25829004,0.01415621,0.23234858
-5.59779890,0.49400185,0.10882810,0.04193449,0.00207912,0.02327719,0.10557266,0.23457656,0.01292375,0.21979612
-5.59179590,0.47633198,0.11446438,0.04284401,0.00219750,0.02424228,0.10508626,0.21536335,0.01192864,0.21127054
-5.58579290,0.46757977,0.12170014,0.04451572,0.00236024,0.02555947,0.10644847,0.20059428,0.01116535,0.20672284
-5.57978989,0.46753404,0.13045869,0.04694134,0.00256796,0.02721170,0.10962004,0.19017183,0.01062532,0.20606155
-5.57378689,0.47589973,0.14063399,0.05010436,0.00282096,0.02917560,0.11454409,0.18396783,0.01029742,0.20915992
-5.56778389,0.49231250,0.15209164,0.05398049,0.00311919,0.03142164,0.12114867,0.18183344,0.01016849,0.21586291
-5.56178089,0.51635256,0.16467053,0.05853821,0.00346228,0.03391450,0.12934937,0.18360794,0.01022365,0.22599372
-5.55577789,0.54755743,0.17818509,0.06373929,0.00384947,0.03661351,0.13905186,0.18912626,0.01044681,0.23935973
-5.54977489,0.58543367,0.19242826,0.06953946,0.00427966,0.03947326,0.15015428,0.19822506,0.01082090,0.25575786
-5.54377189,0.62946737,0.20717528,0.07588911,0.00475138,0.04244436,0.16254956,0.21074721,0.01132828,0.27497921
-5.53776888,0.67913327,0.22218809,0.08273402,0.00526280,0.04547439,0.17612754,0.22654471,0.01195095,0.29681297
-5.53176588,0.73390263,0.23722036,0.09001617,0.00581173,0.04850892,0.19077684,0.24548003,0.01267081,0.32104946
-5.52576288,0.79324950,0.25202308,0.09767462,0.00639565,0.05149272,0.20638637,0.26742583,0.01346992,0.34748242
-5.51975988,0.85665545,0.26635045,0.10564630,0.00701174,0.05437103,0.22284659,0.29226323,0.01433067,0.37591032
-5.51375688,0.92361251,0.27996585,0.11386684,0.00765686,0.05709084,0.24005019,0.31987862,0.01523599,0.40613670
-5.50775388,0.99362428,0.29264782,0.12227130,0.00832763,0.05960228,0.25789230,0.35015918,0.01616952,0.43796957
-5.50175088,1.06620505,0.30419558,0.13079481,0.00902036,0.06185985,0.27627023,0.38298731,0.01711577,0.47121979
-5.49574787,1.14087696,0.31443399,0.13937302,0.00973116,0.06382359,0.29508253,0.41823404,0.01806023,0.50569848
-5.48974487,1.21716529,0.32321771,0.14794244,0.01045589,0.06546011,0.31422761,0.45575193,0.01898951,0.54121357
-5.48374187,1.29459214,0.33043430,0.15644056,0.01119018,0.06674338,0.33360184,0.49536748,0.01989140,0.57756567
-5.47773887,1.37266877,0.33600615,0.16480585,0.01192943,0.06765531,0.35309736,0.53687375,0.02075495,0.61454345
-5.47173587,1.45088725,0.33989117,0.17297757,0.01266881,0.06818605,0.37259967,0.58002335,0.02157045,0.65191884
-5.46573287,1.52871213,0.34208222,0.18089549,0.01340327,0.06833398,0.39198527,0.62452243,0.02232947,0.68944251
-5.45972986,1.60557276,0.34260526,0.18849961,0.01412755,0.06810546,0.41111954,0.67002618,0.02302476,0.72683988
-5.45372686,1.68085741,0.34151644,0.19572989,0.01483618,0.06751432,0.42985522,0.71613613,0.02365025,0.76380826
-5.44772386,1.75390976,0.33889832,0.20252607,0.01552357,0.06658104,0.44803151,0.76239993,0.02420093,0.80001550
-5.44172086,1.82402894,0.33485523,0.20882778,0.01618402,0.06533180,0.46547435,0.80831379,0.02467280,0.83510047
-5.43571786,1.89047358,0.32950839,0.21457483,0.01681186,0.06379742,0.48199776,0.85332795,0.02506274,0.86867584
-5.42971486,1.95247050,0.32299075,0.21970795,0.01740154,0.06201211,0.49740656,0.89685522,0.02536847,0.90033322
-5.42371186,2.00922830,0.31544195,0.22416975,0.01794785,0.06001228,0.51150040,0.93828263,0.02558848,0.92965083
-5.41770885,2.05995563,0.30700372,0.22790626,0.01844605,0.05783535,0.52407918,0.97698584,0.02572201,0.95620357
-5.41170585,2.10388403,0.29781576,0.23086867,0.01889214,0.05551866,0.53494961,1.01234609,0.02576904,0.97957526
-5.40570285,2.14029421,0.28801245,0.23301547,0.01928310,0.05309843,0.54393267,1.04376892,0.02573031,0.99937258
-5.39969985,2.16854506,0.27772031,0.23431478,0.01961715,0.05060905,0.55087183,1.07070407,0.02560743,1.01524022
-5.39369685,2.18810371,0.26705646,0.23474679,0.01989403,0.04808234,0.55564138,1.09266562,0.02540292,1.02687645
-5.38769385,2.19857538,0.25612786,0.23430616,0.02011524,0.04554719,0.55815465,1.10925144,0.02512032,1.03404842
-5.38169085,2.19973113,0.24503137,0.23300420,0.02028427,0.04302926,0.55837157,1.12016114,0.02476434,1.03660623
-5.37568784,2.19153201,0.23385450,0.23087074,0.02040678,0.04055095,0.55630509,1.12521130,0.02434092,1.03449513
-5.36968484,2.17414793,0.22267666,0.22795552,0.02049076,0.03813141,0.55202616,1.12434752,0.02385733,1.02776497
-5.36368184,2.14797008,0.21157075,0.22432887,0.02054650,0.03578683,0.54566678,1.11765229,0.02332222,1.01657626
-5.35767884,2.11361562,0.20060497,0.22008176,0.02058663,0.03353064,0.53742097,1.10534831,0.02274565,1.00120246
-5.35167584,2.07192424,0.18984451,0.21532497,0.02062595,0.03137393,0.52754340,1.08779701,0.02213899,0.98202814
-5.34567284,2.02394617,0.17935317,0.21018748,0.02068121,0.02932579,0.51634573,1.06549218,0.02151489,0.95954289
-5.33966983,1.97092193,0.16919471,0.20481411,0.02077077,0.02739367,0.50419062,1.03904887,0.02088704,0.93433126
-5.33366683,1.91425460,0.15943373,0.19936228,0.02091423,0.02558371,0.49148375,1.00918818,0.02027000,0.90705893
-5.32766383,1.85547541,0.15013625,0.19399828,0.02113190,0.02390105,0.47866396,0.97671838,0.01967888,0.87845577
-5.32166083,1.79620441,0.14136976,0.18889300,0.02144425,0.02235007,0.46619198,0.94251335,0.01912904,0.84929646
-5.31565783,1.73810756,0.13320302,0.18421730,0.02187131,0.02093452,0.45453824,0.90748924,0.01863575,0.82037949
-5.30965483,1.68285239,0.12570536,0.18013732,0.02243207,0.01965771,0.44417009,0.87258032,0.01821378,0.79250547
-5.30365183,1.63206380,0.11894584,0.17680980,0.02314386,0.01852251,0.43553906,0.83871520,0.01787708,0.76645561
