energy_ev,total_up,Ag_p_up,Ag_d_up,Bi_p_up,Bi_d_up,Se_s_up,Se_p_up
-6.00000000,13.06020017,1.02080306,11.58766764,0.39367679,0.02186521,0.21910845,0.71683048
-5.99399700,13.12419774,1.03201294,11.63764941,0.39942729,0.02195720,0.22261713,0.72207499
-5.98799400,13.18144992,1.04281907,11.68214757,0.40438421,0.02203938,0.22615312,0.72666632
-5.98199100,13.23002308,1.05305638,11.71948695,0.40846421,0.02210888,0.22967211,0.73050239
-5.97598799,13.26806446,1.06256654,11.74804946,0.41159953,0.02216289,0.23312790,0.73349162
-5.96998499,13.29384532,1.07120289,11.76631186,0.41373925,0.02219874,0.23647329,0.73555443
-5.96398199,13.30580993,1.07883578,11.77288936,0.41485014,0.02221399,0.23966131,0.73662468
-5.95797899,13.30262862,1.08535815,11.76658323,0.41491744,0.02220644,0.24264649,0.73665127
-5.95197599,13.28325211,1.09069103,11.74643013,0.41394506,0.02217425,0.24538635,0.73559966
-5.94597299,13.24696450,1.09478877,11.71175052,0.41195561,0.02211598,0.24784291,0.73345337
-5.93996998,13.19343153,1.09764352,11.66219334,0.40898994,0.02203070,0.24998418,0.73021538
-5.93396698,13.12274127,1.09928873,11.59777402,0.40510637,0.02191802,0.25178556,0.72590931
-5.92796398,13.03543412,1.09980147,11.51890321,0.40037946,0.02177819,0.25323101,0.72058033
-5.92196098,12.93251955,1.09930317,11.42640379,0.39489849,0.02161211,0.25431397,0.71429569
-5.91595798,12.81547781,1.09795867,11.32151435,0.38876550,0.02142138,0.25503791,0.70714490
-5.90995498,12.68624487,1.09597348,11.20587791,0.38209311,0.02120828,0.25541647,0.69923930
-5.90395198,12.54718049,1.09358912,11.08151534,0.37500206,0.02097577,0.25547313,0.69071112
-5.89794897,12.40101939,1.09107673,10.95078372,0.36761844,0.02072744,0.25524045,0.68171189
-5.89194597,12.25080687,1.08872892,10.81632070,0.36007094,0.02046745,0.25475880,0.67241025
-5.88594297,12.09982065,1.08685025,10.68097658,0.35248786,0.02020042,0.25407474,0.66298911
-5.87993997,11.95148185,1.08574662,10.54773646,0.34499427,0.01993135,0.25323899,0.65364224
-5.87393697,11.80925804,1.08571393,10.41963538,0.33770916,0.01966544,0.25230416,0.64457029
-5.86793397,11.67656230,1.08702655,10.29966969,0.33074275,0.01940797,0.25132231,0.63597634
-5.86193097,11.55665200,1.08992605,10.19070813,0.32419411,0.01916418,0.25034254,0.62806126
-5.85592796,11.45253137,1.09461081,10.09540603,0.31814903,0.01893902,0.24940855,0.62101872
-5.84992496,11.36686144,1.10122685,10.01612590,0.31267837,0.01873711,0.24855652,0.61503029
-5.84392196,11.30188099,1.10986057,9.95486746,0.30783676,0.01856249,0.24781327,0.61026067
-5.83791896,11.25934120,1.12053369,9.91320953,0.30366185,0.01841854,0.24719490,0.60685330
-5.83191596,11.24045629,1.13320064,9.89226565,0.30017418,0.01830786,0.24670585,0.60492642
-5.82591296,11.24587165,1.14774872,9.89265466,0.29737742,0.01823218,0.24633865,0.60456986
-5.81990995,11.27565006,1.16400105,9.91448691,0.29525932,0.01819229,0.24607412,0.60584263
-5.81390695,11.32927584,1.18172215,9.95736564,0.29379306,0.01818799,0.24588229,0.60877143
