energy_ev,total_up,B_p_up,B_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,2.99491498,0.00044598,0.00000000,3.64240805,1.15240596,0.00871908,0.08562352
-5.99399700,3.09470198,0.00047155,0.00000000,3.80123490,1.19280838,0.00849712,0.08744876
-5.98799400,3.21552137,0.00050268,0.00000000,3.98653933,1.24041529,0.00835956,0.08972209
-5.98199100,3.35626229,0.00053888,0.00000000,4.19684157,1.29491951,0.00829950,0.09243104
-5.97598799,3.51530523,0.00057960,0.00000000,4.42999226,1.35581521,0.00830957,0.09555002
-5.96998499,3.69050299,0.00062416,0.00000000,4.68314843,1.42238909,0.00838193,0.09903951
-5.96398199,3.87917943,0.00067177,0.00000000,4.95277309,1.49371870,0.00850828,0.10284585
-5.95797899,4.07814871,0.00072157,0.00000000,5.23466169,1.56867883,0.00867984,0.10690156
-5.95197599,4.28375650,0.00077260,0.00000000,5.52399746,1.64595663,0.00888741,0.11112628
-5.94597299,4.49194364,0.00082388,0.00000000,5.81543624,1.72407556,0.00912141,0.11542837
-5.93996998,4.69833156,0.00087436,0.00000000,6.10321972,1.80142789,0.00937199,0.11970704
-5.93396698,4.89832739,0.00092298,0.00000000,6.38131437,1.87631495,0.00962912,0.12385510
-5.92796398,5.08724551,0.00096870,0.00000000,6.64357185,1.94699375,0.00988277,0.12776200
-5.92196098,5.26044107,0.00101051,0.00000000,6.88390512,2.01172849,0.01012310,0.13131732
-5.91595798,5.41345031,0.00104747,0.00000000,7.09647321,2.06884458,0.01034064,0.13441432
-5.90995498,5.54213163,0.00107873,0.00000000,7.27586698,2.11678319,0.01052649,0.13695352
-5.90395198,5.64280120,0.00110356,0.00000000,7.41728759,2.15415370,0.01067259,0.13884614
-5.89794897,5.71235685,0.00112134,0.00000000,7.51670951,2.17978172,0.01077189,0.14001719
-5.89194597,5.74838447,0.00113164,0.00000000,7.57102051,2.19275047,0.01081855,0.14040810
-5.88594297,5.74924181,0.00113418,0.00000000,7.57813184,2.19243352,0.01080809,0.13997880
-5.87993997,5.71411568,0.00112886,0.00000000,7.53705348,2.17851737,0.01073751,0.13870910
-5.87393697,5.64304982,0.00111574,0.00000000,7.44793064,2.15101277,0.01060539,0.13659926
-5.86793397,5.53694222,0.00109508,0.00000000,7.31204011,2.11025442,0.01041186,0.13366995
-5.86193097,5.39751204,0.00106727,0.00000000,7.13174647,2.05688890,0.01015860,0.12996127
-5.85592796,5.22723798,0.00103286,0.00000000,6.91042061,1.99185176,0.00984877,0.12553127
-5.84992496,5.02927110,0.00099253,0.00000000,6.65232447,1.91633476,0.00948681,0.12045371
-5.84392196,4.80732641,0.00094707,0.00000000,6.36246768,1.83174487,0.00907835,0.11481539
-5.83791896,4.56555828,0.00089732,0.00000000,6.04644265,1.73965717,0.00862995,0.10871309
-5.83191596,4.30842548,0.00084419,0.00000000,5.71024569,1.64176357,0.00814885,0.10225033
-5.82591296,4.04055161,0.00078861,0.00000000,5.36009192,1.53981980,0.00764275,0.09553401
-5.81990995,3.76658690,0.00073148,0.00000000,5.00223142,1.43559282,0.00711958,0.08867114
-5.81390695,3.49107660,0.00067371,0.00000000,4.64277400,1.33081066,0.00658720,0.08176577
-5.80790395,3.21834077,0.00061612,0.00000000,4.28752846,1.22711655,0.00605320,0.07491622
-5.80190095,2.95236926,0.00055947,0.00000000,3.94186159,1.12602882,0.00552473,0.06821275
-5.79589795,2.69673468,0.00050446,0.00000000,3.61058070,1.02890760,0.00500828,0.06173565
-5.78989495,2.45452518,0.00045164,0.00000000,3.29784180,0.93692895,0.00450958,0.05555383
-5.78389195,2.22829766,0.00040151,0.00000000,3.00708482,0.85106691,0.00403350,0.04972398
