energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.08777100,0.06666547,0.04011853,0.30605653,0.06612205,0.38604433,0.00000000,0.37829169,0.17766063
-5.99399700,1.08462390,0.06596965,0.04227103,0.30490898,0.06532559,0.38480423,0.00000000,0.38892109,0.17658795
-5.98799400,1.07801518,0.06492156,0.04433385,0.30295353,0.06454134,0.38266330,0.00000000,0.39855392,0.17484630
-5.98199100,1.06820104,0.06354546,0.04628624,0.30028989,0.06380089,0.37973728,0.00000000,0.40717195,0.17246202
-5.97598799,1.05547130,0.06187086,0.04810890,0.29702259,0.06313413,0.37614669,0.00000000,0.41477045,0.16946854
-5.96998499,1.04014115,0.05993173,0.04978433,0.29325768,0.06256871,0.37201303,0.00000000,0.42135623,0.16590585
-5.96398199,1.02254260,0.05776552,0.05129713,0.28909931,0.06212966,0.36745519,0.00000000,0.42694521,0.16181988
-5.95797899,1.00301602,0.05541219,0.05263407,0.28464673,0.06183913,0.36258610,0.00000000,0.43155976,0.15726174
-5.95197599,0.98190200,0.05291321,0.05378422,0.27999146,0.06171617,0.35750979,0.00000000,0.43522595,0.15228694
-5.94597299,0.95953385,0.05031065,0.05473890,0.27521498,0.06177673,0.35231896,0.00000000,0.43797084,0.14695446
-5.93996998,0.93623093,0.04764619,0.05549163,0.27038697,0.06203373,0.34709319,0.00000000,0.43981999,0.14132576
-5.93396698,0.91229307,0.04496029,0.05603795,0.26556404,0.06249728,0.34189778,0.00000000,0.44079552,0.13546377
-5.92796398,0.88799633,0.04229150,0.05637527,0.26078917,0.06317505,0.33678336,0.00000000,0.44091456,0.12943183
-5.92196098,0.86359013,0.03967574,0.05650267,0.25609182,0.06407271,0.33178630,0.00000000,0.44018856,0.12329266
-5.91595798,0.83929592,0.03714587,0.05642077,0.25148864,0.06519454,0.32692979,0.00000000,0.43862324,0.11710734
-5.90995498,0.81530735,0.03473124,0.05613151,0.24698475,0.06654413,0.32222569,0.00000000,0.43621943,0.11093441
-5.90395198,0.79179189,0.03245747,0.05563811,0.24257564,0.06812517,0.31767690,0.00000000,0.43297459,0.10482907
-5.89794897,0.76889375,0.03034630,0.05494499,0.23824944,0.06994224,0.31328027,0.00000000,0.42888507,0.09884246
-5.89194597,0.74673787,0.02841560,0.05405776,0.23398951,0.07200173,0.30902987,0.00000000,0.42394890,0.09302115
-5.88594297,0.72543474,0.02667939,0.05298330,0.22977720,0.07431259,0.30492030,0.00000000,0.41816891,0.08740675
-5.87993997,0.70508561,0.02514808,0.05172980,0.22559468,0.07688714,0.30095008,0.00000000,0.41155601,0.08203574
-5.87393697,0.68578791,0.02382866,0.05030691,0.22142757,0.07974169,0.29712473,0.00000000,0.40413239,0.07693939
-5.86793397,0.66764019,0.02272502,0.04872585,0.21726731,0.08289701,0.29345941,0.00000000,0.39593433,0.07214382
-5.86193097,0.65074662,0.02183824,0.04699947,0.21311321,0.08637855,0.28998100,0.00000000,0.38701446,0.06767027
-5.85592796,0.63522038,0.02116694,0.04514236,0.20897383,0.09021649,0.28672939,0.00000000,0.37744329,0.06353531
-5.84992496,0.62118583,0.02070761,0.04317085,0.20486785,0.09444549,0.28375796,0.00000000,0.36730979,0.05975124
-5.84392196,0.60877931,0.02045493,0.04110293,0.20082429,0.09910409,0.28113317,0.00000000,0.35672095,0.05632646
-5.83791896,0.59814842,0.02040201,0.03895815,0.19688205,0.10423394,0.27893321,0.00000000,0.34580036,0.05326580
-5.83191596,0.58944979,0.02054068,0.03675738,0.19308879,0.10987874,0.27724586,0.00000000,0.33468575,0.05057095
-5.82591296,0.58284559,0.02086168,0.03452256,0.18949936,0.11608295,0.27616563,0.00000000,0.32352567,0.04824070
-5.81990995,0.57849882,0.02135483,0.03227631,0.18617369,0.12289041,0.27579037,0.00000000,0.31247548,0.04627125
-5.81390695,0.57656784,0.02200914,0.03004152,0.18317435,0.13034282,0.27621741,0.00000000,0.30169281,0.04465639
-5.80790395,0.57720034,0.02281294,0.02784095,0.18056403,0.13847827,0.27753969,0.00000000,0.29133275,0.04338772
-5.80190095,0.58052736,0.02375398,0.02569670,0.17840290,0.14732980,0.27984188,0.00000000,0.28154312,0.04245471
-5.79589795,0.58665740,0.02481946,0.02362982,0.17674618,0.15692411,0.28319678,0.00000000,0.27245991,0.04184484
-5.78989495,0.59567130,0.02599617,0.02165982,0.17564191,0.16728051,0.28766233,0.00000000,0.26420331,0.04154369
-5.78389195,0.60761804,0.02727058,0.01980429,0.17512915,0.17841011,0.29327907,0.00000000,0.25687433,0.04153506
-5.77788894,0.62251161,0.02862895,0.01807858,0.17523665,0.19031520,0.30006859,0.00000000,0.25055241,0.04180103
-5.77188594,0.64032920,0.03005748,0.01649554,0.17598202,0.20298905,0.30803256,0.00000000,0.24529381,0.04232219
-5.76588294,0.66101073,0.03154249,0.01506529,0.17737142,0.21641583,0.31715279,0.00000000,0.24113107,0.04307777
-5.75987994,0.68445953,0.03307058,0.01379516,0.17939979,0.23057086,0.32739193,0.00000000,0.23807341,0.04404588
-5.75387694,0.71054426,0.03462890,0.01268962,0.18205152,0.24542092,0.33869486,0.00000000,0.23610791,0.04520380
-5.74787394,0.73910155,0.03620524,0.01175040,0.18530145,0.26092473,0.35099064,0.00000000,0.23520153,0.04652823
-5.74187094,0.76993950,0.03778833,0.01097655,0.18911619,0.27703342,0.36419484,0.00000000,0.23530368,0.04799561
-5.73586793,0.80284140,0.03936790,0.01036469,0.19345554,0.29369093,0.37821207,0.00000000,0.23634910,0.04958247
-5.72986493,0.83756976,0.04093486,0.00990926,0.19827402,0.31083437,0.39293851,0.00000000,0.23826117,0.05126564
-5.72386193,0.87387023,0.04248132,0.00960282,0.20352230,0.32839423,0.40826443,0.00000000,0.24095510,0.05302266
-5.71785893,0.91147542,0.04400064,0.00943644,0.20914850,0.34629443,0.42407646,0.00000000,0.24434118,0.05483194
-5.71185593,0.95010840,0.04548736,0.00940010,0.21509935,0.36445228,0.44025957,0.00000000,0.24832781,0.05667306
-5.70585293,0.98948611,0.04693711,0.00948311,0.22132109,0.38277834,0.45669875,0.00000000,0.25282428,0.05852694
-5.69984992,1.02932247,0.04834649,0.00967462,0.22776018,0.40117633,0.47328047,0.00000000,0.25774327,0.06037609
-5.69384692,1.06933159,0.04971287,0.00996408,0.23436383,0.41954301,0.48989377,0.00000000,0.26300313,0.06220471
-5.68784392,1.10923103,0.05103429,0.01034174,0.24108041,0.43776829,0.50643130,0.00000000,0.26852975,0.06399894
-5.68184092,1.14874537,0.05230925,0.01079915,0.24785972,0.45573561,0.52279020,0.00000000,0.27425843,0.06574700
-5.67583792,1.18761016,0.05353666,0.01132971,0.25465335,0.47332263,0.53887304,0.00000000,0.28013537,0.06743939
-5.66983492,1.22557631,0.05471571,0.01192906,0.26141499,0.49040225,0.55458883,0.00000000,0.28611918,0.06906910
-5.66383192,1.26241505,0.05584597,0.01259555,0.26810092,0.50684418,0.56985414,0.00000000,0.29218225,0.07063185
-5.65782891,1.29792305,0.05692737,0.01333065,0.27467053,0.52251677,0.58459441,0.00000000,0.29831191,0.07212633
-5.65182591,1.33192787,0.05796043,0.01413914,0.28108708,0.53728933,0.59874534,0.00000000,0.30451160,0.07355438
-5.64582291,1.36429310,0.05894640,0.01502939,0.28731843,0.55103465,0.61225433,0.00000000,0.31080173,0.07492121
-5.63981991,1.39492302,0.05988753,0.01601335,0.29333792,0.56363174,0.62508183,0.00000000,0.31722017,0.07623552
