energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-4.74537269,1.48391659,0.00007368,0.08721196,0.35556127,0.43670521,0.35074404,0.32099925,0.00066288,0.86874009
-4.73936968,1.54378807,0.00008694,0.08829940,0.36333550,0.45266020,0.35631299,0.34582730,0.00078222,0.89555168
-4.73336668,1.60562955,0.00010186,0.08952461,0.37124393,0.46916411,0.36214128,0.37169676,0.00091643,0.92278250
-4.72736368,1.66884891,0.00011848,0.09086807,0.37914666,0.48602508,0.36812926,0.39850738,0.00106596,0.95003523
-4.72136068,1.73275383,0.00013682,0.09230247,0.38688102,0.50301614,0.37415387,0.42614119,0.00123098,0.97685671
-4.71535768,1.79656922,0.00015686,0.09379373,0.39426748,0.51988126,0.38007349,0.45446232,0.00141134,1.00275218
-4.70935468,1.85945692,0.00017855,0.09530226,0.40111621,0.53634238,0.38573343,0.48331663,0.00160651,1.02720117
-4.70335168,1.92053688,0.00020178,0.09678441,0.40723401,0.55210722,0.39097171,0.51253132,0.00181555,1.04967452
-4.69734867,1.97890883,0.00022640,0.09819388,0.41243127,0.56687753,0.39562485,0.54191443,0.00203706,1.06965144
-4.69134567,2.03367383,0.00025219,0.09948329,0.41652873,0.58035746,0.39953344,0.57125450,0.00226921,1.08663624
-4.68534267,2.08395494,0.00027891,0.10060564,0.41936364,0.59226180,0.40254730,0.60032034,0.00250967,1.10017389
-4.67933967,2.12891646,0.00030623,0.10151568,0.42079522,0.60232378,0.40452999,0.62886138,0.00275572,1.10986383
-4.67333667,2.16778137,0.00033383,0.10217126,0.42070913,0.61030222,0.40536262,0.65660849,0.00300420,1.11537170
-4.66733367,2.19984681,0.00036129,0.10253449,0.41902090,0.61598781,0.40494682,0.68327573,0.00325163,1.11643855
-4.66133067,2.22449737,0.00038821,0.10257271,0.41567827,0.61920846,0.40320693,0.70856302,0.00349426,1.11288734
-4.65532766,2.24121616,0.00041413,0.10225944,0.41066232,0.61983344,0.40009131,0.73215994,0.00372815,1.10462672
-4.64932466,2.24959387,0.00043862,0.10157496,0.40398760,0.61777650,0.39557297,0.75375079,0.00394930,1.09165207
-4.64332166,2.24933579,0.00046122,0.10050693,0.39570117,0.61299764,0.38964942,0.77302072,0.00415378,1.07404401
-4.63731866,2.24026694,0.00048150,0.09905068,0.38588085,0.60550383,0.38234199,0.78966304,0.00433779,1.05196451
-4.63131566,2.22233548,0.00049906,0.09720942,0.37463262,0.59534849,0.37369460,0.80338746,0.00449788,1.02565105
-4.62531266,2.19561434,0.00051354,0.09499428,0.36208756,0.58262997,0.36377214,0.81392892,0.00463101,0.99540906
-4.61930965,2.16030133,0.00052465,0.09242417,0.34839831,0.56748899,0.35265857,0.82105680,0.00473466,0.96160311
-4.61330665,2.11671751,0.00053216,0.08952553,0.33373522,0.55010517,0.34045468,0.82458408,0.00480699,0.92464705
-4.60730365,2.06530391,0.00053589,0.08633189,0.31828256,0.53069285,0.32727578,0.82437597,0.00484687,0.88499377
-4.60130065,2.00661659,0.00053578,0.08288337,0.30223454,0.50949624,0.31324925,0.82035771,0.00485395,0.84312457
-4.59529765,1.94131987,0.00053182,0.07922599,0.28579165,0.48678406,0.29851205,0.81252095,0.00482872,0.79953874
-4.58929465,1.87017786,0.00052410,0.07541093,0.26915713,0.46284386,0.28320814,0.80092856,0.00477252,0.75474350
-4.58329165,1.79404419,0.00051278,0.07149371,0.25253374,0.43797616,0.26748602,0.78571737,0.00468751,0.70924450
-4.57728864,1.71385013,0.00049811,0.06753325,0.23612096,0.41248849,0.25149632,0.76709881,0.00457664,0.66353721
-4.57128564,1.63059113,0.00048038,0.06359096,0.22011242,0.38668962,0.23538940,0.74535726,0.00444360,0.61809912
