energy_ev,total_up,C_s_up,C_p_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,0.90968756,0.03254276,0.13091364,0.64810131,0.17033218,0.00331029,0.45130556,0.27882529,0.06434907
-5.99399700,0.91857739,0.03308465,0.13728539,0.67342125,0.16934748,0.00329546,0.45214109,0.28417068,0.06074260
-5.98799400,0.93407282,0.03367767,0.14420671,0.70243967,0.17002684,0.00330655,0.45649448,0.29120840,0.05787954
-5.98199100,0.95515742,0.03428749,0.15153462,0.73444757,0.17215932,0.00333835,0.46385721,0.29960571,0.05570527
-5.97598799,0.98079016,0.03487906,0.15911906,0.76868783,0.17553339,0.00338582,0.47370948,0.30902398,0.05416186
-5.96998499,1.00993466,0.03541783,0.16680693,0.80437424,0.17994240,0.00344423,0.48553477,0.31912748,0.05319050
-5.96398199,1.04158748,0.03587103,0.17444623,0.84071150,0.18518981,0.00350929,0.49883377,0.32959186,0.05273385
-5.95797899,1.07480440,0.03620881,0.18189030,0.87691541,0.19109376,0.00357720,0.51313715,0.34011236,0.05273797
-5.95197599,1.10872402,0.03640525,0.18900183,0.91223279,0.19749105,0.00364475,0.52801691,0.35041113,0.05315401
-5.94597299,1.14258788,0.03643921,0.19565661,0.94596059,0.20424034,0.00370937,0.54309594,0.36024379,0.05393947
-5.93996998,1.17575660,0.03629500,0.20174696,0.97746350,0.21122459,0.00376915,0.55805553,0.36940489,0.05505904
-5.93396698,1.20772148,0.03596279,0.20718450,1.00618962,0.21835245,0.00382287,0.57264062,0.37773209,0.05648514
-5.92796398,1.23811143,0.03543881,0.21190241,1.03168377,0.22555895,0.00386997,0.58666273,0.38510906,0.05819794
-5.92196098,1.26669495,0.03472533,0.21585696,1.05359783,0.23280505,0.00391053,0.60000061,0.39146695,0.06018512
-5.91595798,1.29337742,0.03383038,0.21902834,1.07169805,0.24007652,0.00394518,0.61259845,0.39678449,0.06244124
-5.90995498,1.31819385,0.03276730,0.22142066,1.08586891,0.24738190,0.00397507,0.62446213,0.40108669,0.06496691
-5.90395198,1.34129760,0.03155411,0.22306126,1.09611357,0.25474984,0.00400176,0.63565356,0.40444232,0.06776773
-5.89794897,1.36294567,0.03021272,0.22399935,1.10255077,0.26222582,0.00402709,0.64628336,0.40696020,0.07085304
-5.89194597,1.38348123,0.02876809,0.22430393,1.10540843,0.26986861,0.00405311,0.65650249,0.40878446,0.07423469
-5.88594297,1.40331427,0.02724726,0.22406121,1.10501406,0.27774637,0.00408193,0.66649294,0.41008901,0.07792572
-5.87993997,1.42290117,0.02567842,0.22337151,1.10178244,0.28593279,0.00411566,0.67645813,0.41107135,0.08193912
-5.87393697,1.44272403,0.02409002,0.22234587,1.09620071,0.29450334,0.00415625,0.68661321,0.41194594,0.08628673
-5.86793397,1.46327062,0.02250985,0.22110241,1.08881171,0.30353186,0.00420549,0.69717582,0.41293728,0.09097827
-5.86193097,1.48501570,0.02096428,0.21976253,1.08019570,0.31308757,0.00426486,0.70835753,0.41427291,0.09602052
-5.85592796,1.50840420,0.01947761,0.21844714,1.07095130,0.32323262,0.00433556,0.72035631,0.41617655,0.10141680
-5.84992496,1.53383702,0.01807152,0.21727305,1.06167614,0.33402035,0.00441846,0.73335013,0.41886141,0.10716657
-5.84392196,1.56165955,0.01676462,0.21634944,1.05294769,0.34549424,0.00451416,0.74749202,0.42252395,0.11326536
-5.83791896,1.59215334,0.01557224,0.21577481,1.04530508,0.35768759,0.00462295,0.76290647,0.42733808,0.11970476
-5.83191596,1.62553092,0.01450620,0.21563414,1.03923219,0.37062393,0.00474498,0.77968734,0.43345009,0.12647279
-5.82591296,1.66193375,0.01357479,0.21599667,1.03514276,0.38431805,0.00488027,0.79789709,0.44097427,0.13355426
