energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,1.28675445,0.02108205,0.00892589,1.04899545,0.12173001,0.29641154,0.02859028,0.04394850,0.83851449
-5.99399700,1.24416088,0.01946716,0.00874345,1.00304962,0.12397892,0.28554926,0.02659767,0.04185254,0.80986150
-5.98799400,1.20676068,0.01792033,0.00863990,0.95873839,0.12723972,0.27515547,0.02481863,0.03996598,0.78436886
-5.98199100,1.17504213,0.01645503,0.00861425,0.91668179,0.13155157,0.26539497,0.02325044,0.03829907,0.76237022
-5.97598799,1.14943708,0.01508439,0.00866465,0.87745895,0.13693931,0.25642247,0.02189106,0.03686040,0.74416404
-5.96998499,1.13030156,0.01382117,0.00878834,0.84159112,0.14341241,0.24837692,0.02073879,0.03565641,0.73000066
-5.96398199,1.11790037,0.01267766,0.00898161,0.80952751,0.15096432,0.24137671,0.01979209,0.03469090,0.72007190
-5.95797899,1.11239627,0.01166565,0.00923977,0.78163461,0.15957250,0.23551597,0.01904927,0.03396476,0.71450372
-5.95197599,1.11384417,0.01079639,0.00955724,0.75818926,0.16919907,0.23086216,0.01850843,0.03347582,0.71335203
-5.94597299,1.12219033,0.01008050,0.00992759,0.73937548,0.17979197,0.22745493,0.01816727,0.03321881,0.71660182
-5.93996998,1.13727630,0.00952795,0.01034366,0.72528510,0.19128669,0.22530619,0.01802305,0.03318554,0.72416941
-5.93396698,1.15884705,0.00914795,0.01079773,0.71592164,0.20360846,0.22440135,0.01807257,0.03336509,0.73590741
-5.92796398,1.18656243,0.00894882,0.01128169,0.71120715,0.21667457,0.22470159,0.01831209,0.03374421,0.75161191
-5.92196098,1.22001102,0.00893791,0.01178726,0.71099110,0.23039692,0.22614678,0.01873737,0.03430772,0.77103124
-5.91595798,1.25872503,0.00912131,0.01230615,0.71506071,0.24468443,0.22865904,0.01934359,0.03503897,0.79387550
-5.90995498,1.30219519,0.00950372,0.01283031,0.72315190,0.25944512,0.23214650,0.02012533,0.03592027,0.81982618
-5.90395198,1.34988447,0.01008813,0.01335210,0.73495996,0.27458784,0.23650698,0.02107644,0.03693340,0.84854504
-5.89794897,1.40123952,0.01087551,0.01386445,0.75014937,0.29002330,0.24163154,0.02218993,0.03805989,0.87968161
-5.89194597,1.45569909,0.01186450,0.01436102,0.76836207,0.30566447,0.24740747,0.02345779,0.03928139,0.91287887
-5.88594297,1.51269893,0.01305105,0.01483627,0.78922391,0.32142620,0.25372067,0.02487074,0.04057979,0.94777662
-5.87993997,1.57167307,0.01442811,0.01528554,0.81234897,0.33722410,0.26045738,0.02641802,0.04193735,0.98401267
-5.87393697,1.63205153,0.01598530,0.01570503,0.83734171,0.35297288,0.26750515,0.02808713,0.04333666,1.02122172
-5.86793397,1.69325526,0.01770868,0.01609178,0.86379740,0.36858406,0.27475308,0.02986355,0.04476055,1.05903244
-5.86193097,1.75468898,0.01958058,0.01644363,0.89130100,0.38396356,0.28209157,0.03173059,0.04619186,1.09706329
-5.85592796,1.81573326,0.02157953,0.01675910,0.91942524,0.39900920,0.28941162,0.03366918,0.04761332,1.13491768
-5.84992496,1.87573697,0.02368036,0.01703727,0.94772839,0.41360855,0.29660392,0.03565791,0.04900721,1.17217950
-5.84392196,1.93401172,0.02585439,0.01727773,0.97575273,0.42763734,0.30355797,0.03767303,0.05035527,1.20840964
-5.83791896,1.98982929,0.02806981,0.01748042,1.00302404,0.44095872,0.31016143,0.03968875,0.05163852,1.24314452
-5.83191596,2.04242346,0.03029227,0.01764556,1.02905313,0.45342367,0.31629992,0.04167753,0.05283727,1.27589727
-5.82591296,2.09099692,0.03248551,0.01777365,1.05333954,0.46487257,0.32185743,0.04361071,0.05393117,1.30616200
-5.81990995,2.13473375,0.03461228,0.01786541,1.07537792,0.47513820,0.32671745,0.04545914,0.05489951,1.33342161
-5.81390695,2.17281754,0.03663526,0.01792180,1.09466705,0.48405002,0.33076486,0.04719405,0.05572153,1.35715905
-5.80790395,2.20445454,0.03851812,0.01794416,1.11072130,0.49143958,0.33388859,0.04878800,0.05637697,1.37687179
-5.80190095,2.22890105,0.04022664,0.01793425,1.12308421,0.49714701,0.33598491,0.05021585,0.05684668,1.39208882
-5.79589795,2.24549369,0.04172982,0.01789443,1.13134339,0.50102803,0.33696117,0.05145585,0.05711329,1.40238952
-5.78989495,2.25368065,0.04300088,0.01782776,1.13514608,0.50296131,0.33673989,0.05249062,0.05716202,1.40742318
-5.78389195,2.25305234,0.04401823,0.01773822,1.13421437,0.50285558,0.33526275,0.05330806,0.05698135,1.40692806
-5.77788894,2.24336908,0.04476628,0.01763080,1.12835911,0.50065616,0.33249438,0.05390210,0.05656373,1.40074869
-5.77188594,2.22458405,0.04523601,0.01751159,1.11749153,0.49635035,0.32842554,0.05427331,0.05590617,1.38885023
-5.76588294,2.19685968,0.04542535,0.01738785,1.10163172,0.48997139,0.32307554,0.05442918,0.05501068,1.37132868
-5.75987994,2.16057602,0.04533930,0.01726802,1.08091334,0.48160060,0.31649356,0.05438412,0.05388449,1.34841617
-5.75387694,2.11632993,0.04498975,0.01716155,1.05558389,0.47136747,0.30875882,0.05415928,0.05254013,1.32048061
-5.74787394,2.06492489,0.04439509,0.01707882,1.02600042,0.45944765,0.29997950,0.05378186,0.05099524,1.28801928
-5.74187094,2.00735109,0.04357954,0.01703079,0.99262073,0.44605875,0.29029030,0.05328431,0.04927217,1.25164665
