energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up
-6.00000000,5.66420192,2.54770965,1.23592251,0.01106261,1.53482038,0.77339675,0.52880990,0.08986679,1.91326811
-5.99399700,5.61021211,2.48540855,1.20313699,0.01126371,1.49258226,0.77662543,0.53284983,0.09074992,1.92003846
-5.98799400,5.55627687,2.42554818,1.17074696,0.01144048,1.45110211,0.77856431,0.53697815,0.09161324,1.92613677
-5.98199100,5.50201540,2.36808506,1.13882918,0.01159165,1.41049175,0.77903625,0.54116319,0.09243970,1.93121343
-5.97598799,5.44725289,2.31304017,1.10750360,0.01171669,1.37090501,0.77792597,0.54537761,0.09321604,1.93500322
-5.96998499,5.39201027,2.26049053,1.07692627,0.01181582,1.33252788,0.77518304,0.54959755,0.09393293,1.93732973
-5.96398199,5.33648439,2.21055788,1.04728056,0.01188999,1.29556700,0.77082247,0.55380136,0.09458502,1.93810560
-5.95797899,5.28102045,2.16339541,1.01876701,0.01194078,1.26023732,0.76492282,0.55796810,0.09517073,1.93732894
-5.95197599,5.22607864,2.11917364,0.99159260,0.01197032,1.22674964,0.75762209,0.56207588,0.09569191,1.93507620
-5.94597299,5.17219734,2.07806633,0.96596005,0.01198117,1.19529891,0.74911169,0.56610019,0.09615332,1.93149217
-5.93996998,5.11995502,2.04023747,0.94205762,0.01197621,1.16605380,0.73962868,0.57001239,0.09656199,1.92677778
-5.93396698,5.06993318,2.00582996,0.92005010,0.01195847,1.13914823,0.72944689,0.57377853,0.09692647,1.92117639
-5.92796398,5.02268216,1.97495669,0.90007139,0.01193099,1.11467525,0.71886711,0.57735849,0.09725604,1.91495935
-5.92196098,4.97869152,1.94769421,0.88221889,0.01189669,1.09268348,0.70820691,0.58070565,0.09755988,1.90841155
-5.91595798,4.93836615,1.92407938,0.86655011,0.01185822,1.07317615,0.69779040,0.58376702,0.09784627,1.90181757
-5.90995498,4.90200896,1.90410859,0.85308136,0.01181786,1.05611275,0.68793832,0.58648391,0.09812185,1.89544905
-5.90395198,4.86981027,1.88773961,0.84178855,0.01177740,1.04141293,0.67895881,0.58879305,0.09839093,1.88955361
-5.89794897,4.84184401,1.87489539,0.83260992,0.01173811,1.02896234,0.67113901,0.59062810,0.09865499,1.88434568
-5.89194597,4.81806993,1.86546954,0.82545044,0.01170063,1.01861985,0.66473773,0.59192153,0.09891224,1.87999939
-5.88594297,4.79834120,1.85933261,0.82018740,0.01166499,1.01022579,0.65997933,0.59260660,0.09915740,1.87664352
-5.87993997,4.78241612,1.85633896,0.81667698,0.01163063,1.00361047,0.65704877,0.59261948,0.09938165,1.87435844
-5.87393697,4.76997296,1.85633327,0.81476123,0.01159639,0.99860262,0.65608792,0.59190128,0.09957270,1.87317491
-5.86793397,4.76062653,1.85915662,0.81427513,0.01156062,0.99503715,0.65719299,0.59039993,0.09971511,1.87307458
