energy_ev,total_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,6.65682953,0.03303194,0.46639039,2.96882745,3.06819684,0.04424748,2.25206366
-5.99399700,6.62142676,0.03358967,0.47958166,2.92353818,3.04925564,0.04497452,2.21438380
-5.98799400,6.59707337,0.03399340,0.49504980,2.88442364,3.03563308,0.04587562,2.17816248
-5.98199100,6.58462755,0.03423685,0.51284985,2.85215026,3.02775518,0.04695129,2.14371140
-5.97598799,6.58452451,0.03431648,0.53297240,2.82717099,3.02584422,0.04819669,2.11125250
-5.96998499,6.59674470,0.03423146,0.55533913,2.80970604,3.02990465,0.04960153,2.08091040
-5.96398199,6.62079620,0.03398367,0.57980057,2.79973043,3.03971562,0.05115021,2.05270797
-5.95797899,6.65571262,0.03357757,0.60613601,2.79696891,3.05483077,0.05282201,2.02656539
-5.95197599,6.70006754,0.03301995,0.63405607,2.80089885,3.07458576,0.05459167,2.00230272
-5.94597299,6.75200591,0.03231982,0.66320767,2.81076154,3.09811370,0.05643000,1.97964608
-5.93996998,6.80929243,0.03148803,0.69318168,2.82558177,3.12436865,0.05830474,1.95823756
-5.93396698,6.86937594,0.03053709,0.72352280,2.84419569,3.15215660,0.06018153,1.93764847
-5.92796398,6.92946851,0.02948079,0.75374173,2.86528628,3.18017339,0.06202501,1.91739581
-5.92196098,6.98663676,0.02833395,0.78332902,2.88742550,3.20704843,0.06379998,1.89696141
-5.91595798,7.03790251,0.02711210,0.81177031,2.90912185,3.23139292,0.06547257,1.87581301
-5.90995498,7.08034917,0.02583118,0.83856229,2.92887193,3.25185078,0.06701146,1.85342673
-5.90395198,7.11122986,0.02450723,0.86322895,2.94521392,3.26715033,0.06838895,1.82930986
-5.89794897,7.12807280,0.02315615,0.88533732,2.95678130,3.27615487,0.06958196,1.80302313
-5.89194597,7.12877984,0.02179343,0.90451215,2.96235445,3.27790981,0.07057287,1.77420146
-5.88594297,7.11171376,0.02043388,0.92044905,2.96090849,3.27168451,0.07135016,1.74257233
-5.87993997,7.07577082,0.01909146,0.93292530,2.95165506,3.25700697,0.07190885,1.70797093
-5.87393697,7.02043540,0.01777901,0.94180825,2.93407687,3.23368988,0.07225068,1.67035143
-5.86793397,6.94581447,0.01650816,0.94706064,2.90795335,3.20184685,0.07238403,1.62979392
-5.86193097,6.85265073,0.01528911,0.94874297,2.87337678,3.16189821,0.07232370,1.58650666
-5.85592796,6.74231396,0.01413056,0.94701261,2.83075819,3.11456626,0.07209035,1.54082377
-5.84992496,6.61677150,0.01303963,0.94211999,2.78082325,3.06086013,0.07170985,1.49319842
-5.84392196,6.47853936,0.01202179,0.93440188,2.72459823,3.00205122,0.07121246,1.44419198
-5.83791896,6.33061650,0.01108090,0.92427220,2.66338705,2.93964030,0.07063188,1.39445964
-5.83191596,6.17640542,0.01021921,0.91221084,2.59874022,2.87531787,0.07000426,1.34473340
-5.82591296,6.01962262,0.00943746,0.89875082,2.53241716,2.81091959,0.06936722,1.29580291
-5.81990995,5.86420264,0.00873501,0.88446439,2.46634305,2.74837862,0.06875889,1.24849536
-5.81390695,5.71419958,0.00810996,0.86994869,2.40256188,2.68967694,0.06821697,1.20365495
-5.80790395,5.57368966,0.00755936,0.85581127,2.34318711,2.63679742,0.06777797,1.16212288
-5.80190095,5.44667814,0.00707942,0.84265610,2.29035110,2.59167845,0.06747650,1.12471845
-5.79589795,5.33701321,0.00666573,0.83107036,2.24615490,2.55617251,0.06734471,1.09222187
-5.78989495,5.24830934,0.00631350,0.82161245,2.21261922,2.53201004,0.06741185,1.06535916
-5.78389195,5.18388137,0.00601781,0.81480130,2.19163765,2.52076931,0.06770391,1.04478941
-5.77788894,5.14669065,0.00577380,0.81110734,2.18493310,2.52385283,0.06824343,1.03109459
-5.77188594,5.13930341,0.00557697,0.81094506,2.19401794,2.54247071,0.06904932,1.02477192
-5.76588294,5.16386146,0.00542328,0.81466734,2.22015871,2.57763061,0.07013675,1.02622865
-5.75987994,5.22206469,0.00530936,0.82256141,2.26434583,2.63013405,0.07151714,1.03577924
-5.75387694,5.31516453,0.00523264,0.83484648,2.32726893,2.70057851,0.07319807,1.05364454
-5.74787394,5.44396734,0.00519141,0.85167285,2.40929821,2.78936444,0.07518331,1.07995295
-5.74187094,5.60884643,0.00518485,0.87312246,2.51047231,2.89670634,0.07747278,1.11474301
-5.73586793,5.80976141,0.00521306,0.89921070,2.63049295,3.02264682,0.08006259,1.15796742
-5.72986493,6.04628325,0.00527697,0.92988934,2.76872668,3.16707264,0.08294500,1.20949798
-5.72386193,6.31762363,0.00537827,0.96505040,2.92421357,3.32973148,0.08610851,1.26913130
-5.71785893,6.62266687,0.00551928,1.00453069,3.09568299,3.51024843,0.08953793,1.33659485
-5.71185593,6.96000285,0.00570276,1.04811703,3.28157584,3.70814107,0.09321449,1.41155324
-5.70585293,7.32795921,0.00593172,1.09555160,3.48007267,3.92283207,0.09711603,1.49361419
-5.69984992,7.72463115,0.00620924,1.14653751,3.68912695,4.15365834,0.10121721,1.58233411
-5.69384692,8.14790726,0.00653821,1.20074403,3.90650207,4.39987611,0.10548984,1.67722283
-5.68784392,8.59548999,0.00692111,1.25781151,4.12981112,4.66066104,0.10990314,1.77774735
-5.68184092,9.06490952,0.00735980,1.31735554,4.35655777,4.93510323,0.11442417,1.88333429
-5.67583792,9.55353025,0.00785526,1.37897032,4.58417706,5.22219692,0.11901814,1.99337096
-5.66983492,10.05854957,0.00840747,1.44223095,4.81007471,5.52082522,0.12364880,2.10720503
-5.66383192,10.57698929,0.00901519,1.50669477,5.03166386,5.82974042,0.12827874,2.22414274
-5.65782891,11.10568061,0.00967583,1.57190158,5.24639838,6.14754108,0.13286973,2.34344610
-5.65182591,11.64124433,0.01038541,1.63737302,5.45180242,6.47264722,0.13738287,2.46432920
-5.64582291,12.18006887,0.01113846,1.70261129,5.64549600,6.80327567,0.14177886,2.58595429
-5.63981991,12.71828902,0.01192808,1.76709753,5.82521696,7.13741749,0.14601807,2.70742831
