energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,2.48840772,0.00739594,0.26219926,0.87479115,0.65665368,0.33603773,1.37088257,0.00000000
-5.99399700,2.36046089,0.00690993,0.25266560,0.83386527,0.61771102,0.32124363,1.29288092,0.00000000
-5.98799400,2.23439221,0.00646259,0.24316561,0.79217570,0.57886314,0.30641922,1.21633075,0.00000000
-5.98199100,2.11156462,0.00606023,0.23385823,0.75020294,0.54050660,0.29174493,1.14197796,0.00000000
-5.97598799,1.99315261,0.00570793,0.22488053,0.70839335,0.50299589,0.27738040,1.07046194,0.00000000
-5.96998499,1.88013004,0.00540952,0.21634474,0.66715396,0.46663996,0.26346237,1.00231122,0.00000000
-5.96398199,1.77326423,0.00516757,0.20833630,0.62684859,0.43170026,0.25010338,0.93794229,0.00000000
-5.95797899,1.67311599,0.00498329,0.20091289,0.58779518,0.39839024,0.23739128,0.87766145,0.00000000
-5.95197599,1.58004515,0.00485664,0.19410443,0.55026419,0.36687616,0.22538940,0.82166911,0.00000000
-5.94597299,1.49422064,0.00478627,0.18791409,0.51447786,0.33727895,0.21413739,0.77006613,0.00000000
-5.93996998,1.41563473,0.00476966,0.18232008,0.48061043,0.30967697,0.20365263,0.72286189,0.00000000
-5.93396698,1.34412038,0.00480317,0.17727830,0.44878907,0.28410939,0.19393214,0.67998351,0.00000000
-5.92796398,1.27937125,0.00488212,0.17272562,0.41909551,0.26058007,0.18495479,0.64128601,0.00000000
-5.92196098,1.22096343,0.00500094,0.16858360,0.39156840,0.23906182,0.17668394,0.60656291,0.00000000
-5.91595798,1.16837839,0.00515328,0.16476264,0.36620630,0.21950075,0.16907018,0.57555718,0.00000000
-5.90995498,1.12102656,0.00533219,0.16116633,0.34297128,0.20182070,0.16205426,0.54797217,0.00000000
-5.90395198,1.07827083,0.00553024,0.15769580,0.32179319,0.18592770,0.15557011,0.52348247,0.00000000
-5.89794897,1.03944958,0.00573974,0.15425392,0.30257450,0.17171427,0.14954773,0.50174437,0.00000000
-5.89194597,1.00389877,0.00595290,0.15074930,0.28519557,0.15906360,0.14391612,0.48240603,0.00000000
-5.88594297,0.97097251,0.00616203,0.14709983,0.26952046,0.14785354,0.13860595,0.46511707,0.00000000
-5.87993997,0.94006192,0.00635971,0.14323565,0.25540294,0.13796039,0.13355206,0.44953747,0.00000000
-5.87393697,0.91061175,0.00653898,0.13910161,0.24269266,0.12926237,0.12869565,0.43534589,0.00000000
-5.86793397,0.88213452,0.00669354,0.13465892,0.23124129,0.12164291,0.12398622,0.42224696,0.00000000
-5.86193097,0.85422200,0.00681786,0.12988617,0.22090838,0.11499349,0.11938305,0.40997779,0.00000000
-5.85592796,0.82655368,0.00690736,0.12477961,0.21156680,0.10921623,0.11485636,0.39831332,0.00000000
-5.84992496,0.79890231,0.00695852,0.11935272,0.20310746,0.10422599,0.11038809,0.38707051,0.00000000
-5.84392196,0.77113636,0.00696891,0.11363520,0.19544326,0.09995207,0.10597220,0.37611139,0.00000000
-5.83791896,0.74321952,0.00693733,0.10767141,0.18851190,0.09633941,0.10161465,0.36534465,0.00000000
-5.83191596,0.71520724,0.00686374,0.10151839,0.18227765,0.09334929,0.09733299,0.35472597,0.00000000
-5.82591296,0.68724080,0.00674929,0.09524356,0.17673181,0.09095940,0.09315563,0.34425697,0.00000000
-5.81990995,0.65953882,0.00659625,0.08892225,0.17189188,0.08916349,0.08912078,0.33398279,0.00000000
-5.81390695,0.63238691,0.00640793,0.08263520,0.16779955,0.08797033,0.08527514,0.32398837,0.00000000
-5.80790395,0.60612562,0.00618855,0.07646611,0.16451744,0.08740217,0.08167246,0.31439361,0.00000000
-5.80190095,0.58113712,0.00594311,0.07049936,0.16212473,0.08749279,0.07837186,0.30534746,0.00000000
-5.79589795,0.55783120,0.00567724,0.06481795,0.16071201,0.08828495,0.07543612,0.29702111,0.00000000
-5.78989495,0.53663089,0.00539702,0.05950185,0.16037533,0.08982759,0.07292987,0.28960062,0.00000000
-5.78389195,0.51795812,0.00510883,0.05462655,0.16120984,0.09217274,0.07091780,0.28327909,0.00000000
-5.77788894,0.50222000,0.00481913,0.05026210,0.16330328,0.09537228,0.06946293,0.27824869,0.00000000
-5.77188594,0.48979581,0.00453435,0.04647236,0.16672955,0.09947462,0.06862488,0.27469280,0.00000000
-5.76588294,0.48102538,0.00426069,0.04331466,0.17154263,0.10452160,0.06845831,0.27277856,0.00000000
-5.75987994,0.47619881,0.00400400,0.04083961,0.17777124,0.11054554,0.06901143,0.27265008,0.00000000
-5.75387694,0.47554809,0.00376965,0.03909117,0.18541434,0.11756672,0.07032469,0.27442252,0.00000000
-5.74787394,0.47924053,0.00356244,0.03810672,0.19443778,0.12559136,0.07242960,0.27817727,0.00000000
-5.74187094,0.48737432,0.00338651,0.03791731,0.20477235,0.13461021,0.07534779,0.28395848,0.00000000
-5.73586793,0.49997616,0.00324526,0.03854776,0.21631313,0.14459786,0.07909019,0.29177091,0.00000000
-5.72986493,0.51700101,0.00314133,0.04001674,0.22892049,0.15551271,0.08365644,0.30157933,0.00000000
