energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,S_s_up,S_p_up
-6.00000000,2.40813980,0.65254049,1.69224274,0.02955405,0.01243107,0.20188921,0.13048482,0.02458772,0.38019698
-5.99399700,2.36950953,0.66148934,1.65598645,0.03158882,0.01181978,0.21114274,0.13043876,0.02484664,0.36929011
-5.98799400,2.33175859,0.67049628,1.62044936,0.03358378,0.01122387,0.22047041,0.13037803,0.02510744,0.35868628
-5.98199100,2.29545687,0.67944134,1.58629964,0.03550631,0.01065247,0.22976979,0.13027155,0.02535601,0.34848917
-5.97598799,2.26118752,0.68820941,1.55420844,0.03732513,0.01011458,0.23893933,0.13009154,0.02557943,0.33880060
-5.96998499,2.22953293,0.69669319,1.52483368,0.03901115,0.00961886,0.24788095,0.12981404,0.02576620,0.32971816
-5.96398199,2.20106212,0.70479649,1.49880507,0.04053829,0.00917358,0.25650283,0.12941955,0.02590646,0.32133324
-5.95797899,2.17632018,0.71243791,1.47671090,0.04188426,0.00878643,0.26472239,0.12889365,0.02599208,0.31372944
-5.95197599,2.15581966,0.71955448,1.45908676,0.04303128,0.00846459,0.27246930,0.12822760,0.02601686,0.30698146
-5.94597299,2.14003423,0.72610531,1.44640668,0.04396664,0.00821463,0.27968834,0.12741889,0.02597657,0.30115437
-5.93996998,2.12939426,0.73207469,1.43907645,0.04468324,0.00804260,0.28634203,0.12647168,0.02586900,0.29630328
-5.93396698,2.12428399,0.73747466,1.43742898,0.04517980,0.00795403,0.29241290,0.12539714,0.02569399,0.29247325
-5.92796398,2.12503993,0.74234673,1.44172173,0.04546106,0.00795406,0.29790519,0.12421352,0.02545346,0.28969951
-5.92196098,2.13194987,0.74676249,1.45213545,0.04553768,0.00804742,0.30284590,0.12294612,0.02515128,0.28800765
-5.91595798,2.14525189,0.75082303,1.46877408,0.04542595,0.00823860,0.30728510,0.12162697,0.02479330,0.28741395
-5.90995498,2.16513291,0.75465702,1.49166531,0.04514740,0.00853184,0.31129536,0.12029421,0.02438720,0.28792549
-5.90395198,2.19172620,0.75841744,1.52076121,0.04472816,0.00893120,0.31497034,0.11899134,0.02394240,0.28954018
-5.89794897,2.22510746,0.76227688,1.55593888,0.04419818,0.00944060,0.31842244,0.11776611,0.02346991,0.29224656
-5.89194597,2.26528939,0.76642164,1.59700044,0.04359034,0.01006376,0.32177948,0.11666926,0.02298215,0.29602335
-5.88594297,2.31221451,0.77104464,1.64367267,0.04293946,0.01080423,0.32518073,0.11575305,0.02249277,0.30083879
-5.87993997,2.36574672,0.77633742,1.69560596,0.04228128,0.01166529,0.32877196,0.11506969,0.02201641,0.30664974
-5.87393697,2.42566173,0.78248158,1.75237288,0.04165132,0.01264983,0.33270013,0.11466959,0.02156847,0.31340075
-5.86793397,2.49163717,0.78963982,1.81346673,0.04108391,0.01376025,0.33710750,0.11459975,0.02116485,0.32102305
