energy_ev,total_up,Ag_p_up,Ag_d_up,Ge_p_up,Ge_d_up,Te_p_up,Te_d_up
-6.00000000,2.93333213,1.22969518,2.23863909,0.17639377,0.00000000,0.27931386,0.00000000
-5.99399700,2.96103175,1.24801268,2.25313117,0.17663450,0.00000000,0.28818643,0.00000000
-5.98799400,2.98236673,1.26412406,2.26250234,0.17629925,0.00000000,0.29687805,0.00000000
-5.98199100,2.99659834,1.27766421,2.26615055,0.17535433,0.00000000,0.30534645,0.00000000
-5.97598799,3.00320421,1.28837818,2.26363705,0.17378210,0.00000000,0.31356844,0.00000000
-5.96998499,3.00190512,1.29613400,2.25470913,0.17158208,0.00000000,0.32154090,0.00000000
-5.96398199,2.99268076,1.30092966,2.23931462,0.16877136,0.00000000,0.32928067,0.00000000
-5.95797899,2.97577354,1.30289358,2.21760733,0.16538425,0.00000000,0.33682319,0.00000000
-5.95197599,2.95167988,1.30227849,2.18994285,0.16147120,0.00000000,0.34422015,0.00000000
-5.94597299,2.92112954,1.29944878,2.15686518,0.15709702,0.00000000,0.35153588,0.00000000
-5.93996998,2.88505363,1.29486192,2.11908456,0.15233849,0.00000000,0.35884287,0.00000000
-5.93396698,2.84454318,1.28904470,2.07744771,0.14728149,0.00000000,0.36621648,0.00000000
-5.92796398,2.80080008,1.28256550,2.03290216,0.14201777,0.00000000,0.37372917,0.00000000
-5.92196098,2.75508311,1.27600405,1.98645618,0.13664145,0.00000000,0.38144445,0.00000000
-5.91595798,2.70865158,1.26992005,1.93913663,0.13124555,0.00000000,0.38941103,0.00000000
-5.90995498,2.66270971,1.26482258,1.89194668,0.12591854,0.00000000,0.39765727,0.00000000
-5.90395198,2.61835418,1.26114156,1.84582548,0.12074123,0.00000000,0.40618652,0.00000000
-5.89794897,2.57652773,1.25920312,1.80161180,0.11578402,0.00000000,0.41497343,0.00000000
-5.89194597,2.53798079,1.25920997,1.76001306,0.11110465,0.00000000,0.42396160,0.00000000
-5.88594297,2.50324298,1.26122790,1.72158139,0.10674657,0.00000000,0.43306267,0.00000000
-5.87993997,2.47260559,1.26517908,1.68669728,0.10273794,0.00000000,0.44215707,0.00000000
-5.87393697,2.44611563,1.27084257,1.65556161,0.09909138,0.00000000,0.45109636,0.00000000
-5.86793397,2.42358137,1.27786199,1.62819585,0.09580427,0.00000000,0.45970708,0.00000000
-5.86193097,2.40458879,1.28575980,1.60445023,0.09285981,0.00000000,0.46779610,0.00000000
-5.85592796,2.38852763,1.29395763,1.58401896,0.09022853,0.00000000,0.47515708,0.00000000
-5.84992496,2.37462554,1.30180135,1.56646156,0.08787031,0.00000000,0.48157787,0.00000000
-5.84392196,2.36198827,1.30858972,1.55122885,0.08573678,0.00000000,0.48684839,0.00000000
-5.83791896,2.34964380,1.31360502,1.53769222,0.08377390,0.00000000,0.49076878,0.00000000
-5.83191596,2.33658801,1.31614421,1.52517454,0.08192463,0.00000000,0.49315722,0.00000000
-5.82591296,2.32182973,1.31554895,1.51298126,0.08013167,0.00000000,0.49385727,0.00000000
-5.81990995,2.30443313,1.31123314,1.50043021,0.07833990,0.00000000,0.49274415,0.00000000
-5.81390695,2.28355546,1.30270664,1.48687884,0.07649872,0.00000000,0.48972993,0.00000000
-5.80790395,2.25847885,1.28959426,1.47174793,0.07456392,0.00000000,0.48476711,0.00000000
-5.80190095,2.22863485,1.27164909,1.45454083,0.07249926,0.00000000,0.47785075,0.00000000
-5.79589795,2.19362124,1.24876003,1.43485782,0.07027751,0.00000000,0.46901878,0.00000000
-5.78989495,2.15321078,1.22095320,1.41240536,0.06788107,0.00000000,0.45835076,0.00000000
-5.78389195,2.10735201,1.18838764,1.38700018,0.06530213,0.00000000,0.44596504,0.00000000
-5.77788894,2.05616274,1.15134568,1.35856849,0.06254233,0.00000000,0.43201458,0.00000000
-5.77188594,1.99991709,1.11021887,1.32714086,0.05961218,0.00000000,0.41668157,0.00000000
-5.76588294,1.93902706,1.06549032,1.29284333,0.05652997,0.00000000,0.40017126,0.00000000
-5.75987994,1.87401997,1.01771457,1.25588547,0.05332056,0.00000000,0.38270520,0.00000000
-5.75387694,1.80551321,0.96749600,1.21654630,0.05001396,0.00000000,0.36451421,0.00000000
-5.74787394,1.73418743,0.91546698,1.17515879,0.04664381,0.00000000,0.34583151,0.00000000
-5.74187094,1.66075970,0.86226670,1.13209381,0.04324582,0.00000000,0.32688611,0.00000000
-5.73586793,1.58595762,0.80852157,1.08774430,0.03985628,0.00000000,0.30789685,0.00000000
-5.72986493,1.51049560,0.75482788,1.04251019,0.03651073,0.00000000,0.28906725,0.00000000
-5.72386193,1.43505387,0.70173729,0.99678482,0.03324275,0.00000000,0.27058125,0.00000000
-5.71785893,1.36026108,0.64974551,0.95094313,0.03008291,0.00000000,0.25260003,0.00000000
-5.71185593,1.28668063,0.59928416,0.90533188,0.02705803,0.00000000,0.23525990,0.00000000
-5.70585293,1.21480104,0.55071594,0.86026233,0.02419063,0.00000000,0.21867120,0.00000000
-5.69984992,1.14503032,0.50433284,0.81600513,0.02149859,0.00000000,0.20291820,0.00000000
-5.69384692,1.07769398,0.46035698,0.77278750,0.01899506,0.00000000,0.18805991,0.00000000
-5.68784392,1.01303661,0.41894387,0.73079265,0.01668854,0.00000000,0.17413162,0.00000000
-5.68184092,0.95122623,0.38018745,0.69016100,0.01458315,0.00000000,0.16114705,0.00000000
-5.67583792,0.89236124,0.34412647,0.65099308,0.01267900,0.00000000,0.14910100,0.00000000
-5.66983492,0.83647909,0.31075180,0.61335381,0.01097269,0.00000000,0.13797228,0.00000000
-5.66383192,0.78356634,0.28001420,0.57727766,0.00945786,0.00000000,0.12772679,0.00000000
-5.65782891,0.73356940,0.25183209,0.54277452,0.00812578,0.00000000,0.11832069,0.00000000
-5.65182591,0.68640551,0.22609911,0.50983588,0.00696595,0.00000000,0.10970343,0.00000000
-5.64582291,0.64197337,0.20269112,0.47844100,0.00596669,0.00000000,0.10182065,0.00000000
-5.63981991,0.60016329,0.18147258,0.44856283,0.00511564,0.00000000,0.09461675,0.00000000
-5.63381691,0.56086614,0.16230203,0.42017342,0.00440031,0.00000000,0.08803725,0.00000000
-5.62781391,0.52398124,0.14503678,0.39324867,0.00380848,0.00000000,0.08203072,0.00000000
-5.62181091,0.48942275,0.12953669,0.36777223,0.00332855,0.00000000,0.07655040,0.00000000
-5.61580790,0.45712451,0.11566713,0.34373844,0.00294984,0.00000000,0.07155536,0.00000000
-5.60980490,0.42704335,0.10330116,0.32115440,0.00266283,0.00000000,0.06701139,0.00000000
-5.60380190,0.39916082,0.09232102,0.30004090,0.00245926,0.00000000,0.06289143,0.00000000
-5.59779890,0.37348339,0.08261904,0.28043248,0.00233223,0.00000000,0.05917572,0.00000000
-5.59179590,0.35004121,0.07409798,0.26237648,0.00227625,0.00000000,0.05585165,0.00000000
-5.58579290,0.32888563,0.06667105,0.24593134,0.00228718,0.00000000,0.05291323,0.00000000
-5.57978989,0.31008548,0.06026153,0.23116402,0.00236214,0.00000000,0.05036046,0.00000000
-5.57378689,0.29372248,0.05480218,0.21814688,0.00249940,0.00000000,0.04819832,0.00000000
-5.56778389,0.27988579,0.05023446,0.20695399,0.00269827,0.00000000,0.04643575,0.00000000
-5.56178089,0.26866602,0.04650766,0.19765707,0.00295885,0.00000000,0.04508436,0.00000000
-5.55577789,0.26014895,0.04357799,0.19032126,0.00328191,0.00000000,0.04415719,0.00000000
-5.54977489,0.25440910,0.04140770,0.18500080,0.00366866,0.00000000,0.04366732,0.00000000
-5.54377189,0.25150350,0.03996424,0.18173485,0.00412056,0.00000000,0.04362659,0.00000000
-5.53776888,0.25146596,0.03921964,0.18054362,0.00463920,0.00000000,0.04404438,0.00000000
-5.53176588,0.25430204,0.03914995,0.18142503,0.00522611,0.00000000,0.04492650,0.00000000
-5.52576288,0.25998505,0.03973505,0.18435200,0.00588270,0.00000000,0.04627432,0.00000000
-5.51975988,0.26845344,0.04095867,0.18927075,0.00661018,0.00000000,0.04808411,0.00000000
-5.51375688,0.27960966,0.04280876,0.19610003,0.00740963,0.00000000,0.05034676,0.00000000
-5.50775388,0.29332095,0.04527829,0.20473159,0.00828206,0.00000000,0.05304775,0.00000000
-5.50175088,0.30942199,0.04836632,0.21503204,0.00922857,0.00000000,0.05616762,0.00000000
-5.49574787,0.32771972,0.05207960,0.22684607,0.01025067,0.00000000,0.05968271,0.00000000
-5.48974487,0.34800021,0.05643447,0.24000101,0.01135053,0.00000000,0.06356646,0.00000000
-5.48374187,0.37003759,0.06145913,0.25431288,0.01253149,0.00000000,0.06779092,0.00000000
-5.47773887,0.39360475,0.06719620,0.26959362,0.01379847,0.00000000,0.07232874,0.00000000
-5.47173587,0.41848557,0.07370547,0.28565933,0.01515855,0.00000000,0.07715537,0.00000000
-5.46573287,0.44448828,0.08106675,0.30233933,0.01662154,0.00000000,0.08225142,0.00000000
-5.45972986,0.47145933,0.08938262,0.31948565,0.01820052,0.00000000,0.08760520,0.00000000
-5.45372686,0.49929720,0.09878100,0.33698251,0.01991244,0.00000000,0.09321506,0.00000000
-5.44772386,0.52796550,0.10941730,0.35475539,0.02177861,0.00000000,0.09909172,0.00000000
-5.44172086,0.55750458,0.12147597,0.37277923,0.02382509,0.00000000,0.10526013,0.00000000
-5.43571786,0.58804100,0.13517131,0.39108527,0.02608299,0.00000000,0.11176097,0.00000000
-5.42971486,0.61979414,0.15074727,0.40976605,0.02858862,0.00000000,0.11865155,0.00000000
-5.42371186,0.65307931,0.16847617,0.42897825,0.03138337,0.00000000,0.12600593,0.00000000
