energy_ev,total_up,Ag_p_up,Ag_d_up,Li_s_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,3.46612502,0.46104796,1.96885446,0.26720267,0.00188109,0.33241415,0.01326354,0.69996828
-5.99399700,3.53077664,0.46375683,2.02687060,0.26808648,0.00193508,0.34448954,0.01349742,0.70028407
-5.98799400,3.61223440,0.46838272,2.09593781,0.26956037,0.00200765,0.35920111,0.01383749,0.70207318
-5.98199100,3.71078186,0.47496079,2.17620522,0.27164261,0.00209928,0.37654487,0.01428285,0.70542515
-5.97598799,3.82633741,0.48349274,2.26758276,0.27433141,0.00221019,0.39646556,0.01483057,0.71038738
-5.96998499,3.95843503,0.49394419,2.36973052,0.27760302,0.00234029,0.41885553,0.01547572,0.71696049
-5.96398199,4.10621584,0.50624267,2.48205506,0.28141087,0.00248918,0.44355477,0.01621140,0.72509539
-5.95797899,4.26843104,0.52027657,2.60371305,0.28568556,0.00265620,0.47035229,0.01702888,0.73469215
-5.95197599,4.44345660,0.53589501,2.73362207,0.29033605,0.00284033,0.49898875,0.01791774,0.74560098
-5.94597299,4.62931909,0.55290895,2.87047829,0.29525168,0.00304032,0.52916026,0.01886608,0.75762513
-5.93996998,4.82373199,0.57109347,3.01278013,0.30030529,0.00325459,0.56052335,0.01986078,0.77052575
-5.93396698,5.02414107,0.59019125,3.15885724,0.30535704,0.00348133,0.59270080,0.02088776,0.78402841
-5.92796398,5.22777729,0.60991727,3.30690361,0.31025888,0.00371848,0.62528828,0.02193226,0.79783112
-5.92196098,5.43171531,0.62996456,3.45501353,0.31485948,0.00396377,0.65786155,0.02297920,0.81161330
-5.91595798,5.63293552,0.65001083,3.60121942,0.31900939,0.00421478,0.68998404,0.02401345,0.82504550
-5.90995498,5.82838775,0.66972584,3.74353023,0.32256607,0.00446893,0.72121460,0.02502015,0.83779932
-5.90395198,6.01505452,0.68877915,3.87996937,0.32539882,0.00472357,0.75111524,0.02598496,0.84955712
-5.89794897,6.19001218,0.70684808,4.00861131,0.32739311,0.00497603,0.77925869,0.02689436,0.86002111
-5.89194597,6.35048844,0.72362554,4.12761614,0.32845440,0.00522364,0.80523571,0.02773585,0.86892157
-5.88594297,6.49391502,0.73882752,4.23526145,0.32851105,0.00546382,0.82866192,0.02849810,0.87602372
-5.87993997,6.61797451,0.75219994,4.32997137,0.32751645,0.00569412,0.84918418,0.02917112,0.88113319
-5.87393697,6.72064089,0.76352464,4.41034231,0.32545012,0.00591226,0.86648636,0.02974637,0.88409999
-5.86793397,6.80021336,0.77262435,4.47516550,0.32231797,0.00611623,0.88029457,0.03021679,0.88482070
-5.86193097,6.85534326,0.77936657,4.52344636,0.31815154,0.00630428,0.89038171,0.03057686,0.88323925
-5.85592796,6.88505437,0.78366617,4.55442046,0.31300648,0.00647501,0.89657131,0.03082261,0.87934619
-5.84992496,6.88875645,0.78548682,4.56756635,0.30696025,0.00662735,0.89874070,0.03095158,0.87317660
-5.84392196,6.86625245,0.78484110,4.56261512,0.30010928,0.00676062,0.89682341,0.03096283,0.86480708
-5.83791896,6.81773952,0.78178958,4.53955648,0.29256568,0.00687450,0.89081073,0.03085691,0.85435178
-5.83191596,6.74380393,0.77643878,4.49864140,0.28445359,0.00696906,0.88075244,0.03063583,0.84195797
-5.82591296,6.64541014,0.76893822,4.44038088,0.27590553,0.00704471,0.86675655,0.03030302,0.82780113
-5.81990995,6.52388408,0.75947669,4.36554067,0.26705862,0.00710217,0.84898805,0.02986331,0.81208006
-5.81390695,6.38089067,0.74827789,4.27513172,0.25805110,0.00714244,0.82766666,0.02932291,0.79501195
-5.80790395,6.21840574,0.73559548,4.17039596,0.24901896,0.00716673,0.80306335,0.02868939,0.77682769
-5.80190095,6.03868247,0.72170788,4.05278751,0.24009302,0.00717640,0.77549595,0.02797159,0.75776747
-5.79589795,5.84421259,0.70691262,3.92394913,0.23139637,0.00717293,0.74532347,0.02717963,0.73807677
-5.78989495,5.63768271,0.69152063,3.78568413,0.22304223,0.00715780,0.71293961,0.02632478,0.71800265
-5.78389195,5.42192644,0.67585031,3.63992411,0.21513233,0.00713249,0.67876522,0.02541939,0.69779041
-5.77788894,5.19987280,0.66022157,3.48869306,0.20775569,0.00709838,0.64324011,0.02447672,0.67768061
-5.77188594,4.97449206,0.64494978,3.33406862,0.20098777,0.00705676,0.60681428,0.02351076,0.65790625
-5.76588294,4.74873998,0.63033976,3.17814123,0.19489012,0.00700874,0.56993882,0.02253605,0.63869013
-5.75987994,4.52550168,0.61667975,3.02297252,0.18951022,0.00695528,0.53305683,0.02156739,0.62024234
-5.75387694,4.30753654,0.60423555,2.87055384,0.18488166,0.00689717,0.49659447,0.02061959,0.60275772
-5.74787394,4.09742545,0.59324469,2.72276627,0.18102453,0.00683505,0.46095258,0.01970712,0.58641342
-5.74187094,3.89752193,0.58391096,2.58134331,0.17794593,0.00676941,0.42649898,0.01884381,0.57136637
-5.73586793,3.70990844,0.57639929,2.44783728,0.17564066,0.00670061,0.39356184,0.01804253,0.55775078
-5.72986493,3.53635914,0.57083119,2.32359066,0.17409189,0.00662895,0.36242418,0.01731481,0.54567578
-5.72386193,3.37831036,0.56728085,2.20971313,0.17327197,0.00655468,0.33331980,0.01667063,0.53522313
-5.71785893,3.23683967,0.56577226,2.10706507,0.17314326,0.00647805,0.30643063,0.01611806,0.52644526
-5.71185593,3.11265427,0.56627745,2.01624812,0.17365901,0.00639934,0.28188557,0.01566311,0.51936372
-5.70585293,3.00608938,0.56871610,1.93760302,0.17476427,0.00631889,0.25976096,0.01530956,0.51396811
-5.69984992,2.91711665,0.57295668,1.87121481,0.17639693,0.00623713,0.24008239,0.01505883,0.51021586
-5.69384692,2.84536268,0.57881936,1.81692537,0.17848883,0.00615458,0.22282798,0.01491004,0.50803271
-5.68784392,2.79013717,0.58608065,1.77435270,0.18096700,0.00607191,0.20793281,0.01486004,0.50731423
-5.68184092,2.75047020,0.59447994,1.74291662,0.18375508,0.00598988,0.19529443,0.01490356,0.50792832
-5.67583792,2.72515727,0.60372773,1.72186977,0.18677483,0.00590939,0.18477916,0.01503344,0.50971885
-5.66983492,2.71281123,0.61351546,1.71033312,0.18994786,0.00583144,0.17622904,0.01524095,0.51251021
-5.66383192,2.71191902,0.62352671,1.70733475,0.19319746,0.00575715,0.16946906,0.01551612,0.51611290
-5.65782891,2.72090174,0.63344920,1.71185051,0.19645053,0.00568770,0.16431455,0.01584817,0.52032985
-5.65182591,2.73817559,0.64298748,1.72284512,0.19963956,0.00562437,0.16057836,0.01622589,0.52496330
-5.64582291,2.76221173,0.65187537,1.73931224,0.20270456,0.00556847,0.15807778,0.01663816,0.52982193
-5.63981991,2.79159251,0.65988796,1.76031194,0.20559490,0.00552137,0.15664069,0.01707433,0.53472802
-5.63381691,2.82506187,0.66685228,1.78500399,0.20827098,0.00548442,0.15611104,0.01752463,0.53952418
-5.62781391,2.86156767,0.67265623,1.81267573,0.21070554,0.00545899,0.15635332,0.01798057,0.54407936
-5.62181091,2.90029407,0.67725527,1.84276304,0.21288465,0.00544641,0.15725591,0.01843519,0.54829379
-5.61580790,2.94068222,0.68067625,1.87486361,0.21480820,0.00544795,0.15873323,0.01888332,0.55210255
-5.60980490,2.98243824,0.68301832,1.90874173,0.21648993,0.00546479,0.16072659,0.01932167,0.55547761
-5.60380190,3.02552776,0.68445046,1.94432416,0.21795681,0.00549796,0.16320386,0.01974889,0.55842796
-5.59779890,3.07015705,0.68520583,1.98168726,0.21924796,0.00554836,0.16615778,0.02016549,0.56099808
-5.59179590,3.11674129,0.68557299,2.02103572,0.22041295,0.00561664,0.16960313,0.02057365,0.56326445
-5.58579290,3.16586137,0.68588425,2.06267387,0.22150962,0.00570319,0.17357291,0.02097699,0.56533047
-5.57978989,3.21821102,0.68650166,2.10697067,0.22260150,0.00580810,0.17811363,0.02138019,0.56731987
-5.57378689,3.27453668,0.68780129,2.15432034,0.22375485,0.00593110,0.18327985,0.02178861,0.56936907
-5.56778389,3.33557319,0.69015629,2.20510021,0.22503562,0.00607151,0.18912842,0.02220783,0.57161867
-5.56178089,3.40197827,0.69391978,2.25962818,0.22650624,0.00622822,0.19571248,0.02264318,0.57420479
-5.55577789,3.47426937,0.69940806,2.31812197,0.22822260,0.00639964,0.20307559,0.02309927,0.57725045
-5.54977489,3.55276611,0.70688516,2.38066231,0.23023120,0.00658373,0.21124623,0.02357955,0.58085769
-5.54377189,3.63754152,0.71654930,2.44716226,0.23256680,0.00677795,0.22023291,0.02408593,0.58510068
-5.53776888,3.72838486,0.72852198,2.51734449,0.23525043,0.00697936,0.23002022,0.02461848,0.59002042
-5.53176588,3.82477818,0.74284016,2.59072782,0.23828815,0.00718457,0.24056589,0.02517524,0.59562109
-5.52576288,3.92588825,0.75945197,2.66662433,0.24167036,0.00738989,0.25179907,0.02575207,0.60186848
-5.51975988,4.03057455,0.77821597,2.74414712,0.24537193,0.00759136,0.26361995,0.02634272,0.60869052
-5.51375688,4.13741339,0.79890423,2.82222904,0.24935301,0.00778487,0.27590068,0.02693896,0.61597983
-5.50775388,4.24473700,0.82120890,2.89965134,0.25356042,0.00796626,0.28848768,0.02753086,0.62359831
-5.50175088,4.35068619,0.84475200,2.97508133,0.25792981,0.00813147,0.30120506,0.02810710,0.63138337
-5.49574787,4.45327390,0.86909798,3.04711709,0.26238820,0.00827662,0.31385919,0.02865551,0.63915560
-5.48974487,4.55045674,0.89376856,3.11433735,0.26685691,0.00839817,0.32624413,0.02916355,0.64672742
-5.48374187,4.64021103,0.91825905,3.17535396,0.27125480,0.00849304,0.33814762,0.02961891,0.65391222
-5.47773887,4.72060973,0.94205552,3.22886448,0.27550147,0.00855867,0.34935749,0.03001007,0.66053361
-5.47173587,4.78989653,0.96465220,3.27370243,0.27952050,0.00859316,0.35966813,0.03032693,0.66643412
-5.46573287,4.84655352,0.98556820,3.30888258,0.28324236,0.00859530,0.36888674,0.03056129,0.67148316
-5.45972986,4.88935943,1.00436311,3.33363931,0.28660705,0.00856462,0.37683913,0.03070736,0.67558363
-5.45372686,4.91743577,1.02065087,3.34745618,0.28956621,0.00850139,0.38337481,0.03076207,0.67867689
-5.44772386,4.93027880,1.03411136,3.35008545,0.29208469,0.00840662,0.38837121,0.03072540,0.68074605
-5.44172086,4.92777637,1.04449951,3.34155674,0.29414150,0.00828198,0.39173683,0.03060044,0.68181714
-5.43571786,4.91020905,1.05165170,3.32217472,0.29573013,0.00812978,0.39341335,0.03039341,0.68195844
-5.42971486,4.87823599,1.05548929,3.29250615,0.29685827,0.00795285,0.39337655,0.03011349,0.68127782
-5.42371186,4.83286667,1.05601935,3.25335705,0.29754690,0.00775442,0.39163607,0.02977257,0.67991841
-5.41770885,4.77542022,1.05333282,3.20574158,0.29782891,0.00753801,0.38823422,0.02938484,0.67805273
-5.41170585,4.70747474,1.04760023,3.15084406,0.29774723,0.00730731,0.38324374,0.02896628,0.67587561
-5.40570285,4.63080897,1.03906524,3.08997616,0.29735273,0.00706607,0.37676489,0.02853411,0.67359638
-5.39969985,4.54733947,1.02803650,3.02453141,0.29670181,0.00681794,0.36892182,0.02810612,0.67143043
-5.39369685,4.45905593,1.01487797,2.95593893,0.29585395,0.00656637,0.35985855,0.02770004,0.66959080
-5.38769385,4.36795741,0.99999832,2.88561852,0.29486925,0.00631454,0.34973466,0.02733289,0.66827997
-5.38169085,4.27599215,0.98383952,2.81493872,0.29380611,0.00606526,0.33872091,0.02702035,0.66768222
-5.37568784,4.18500281,0.96686509,2.74517952,0.29271908,0.00582092,0.32699486,0.02677616,0.66795687
-5.36968484,4.09667918,0.94954834,2.67750077,0.29165700,0.00558346,0.31473674,0.02661170,0.66923262
-5.36368184,4.01251932,0.93236073,2.61291705,0.29066145,0.00535435,0.30212558,0.02653554,0.67160312
-5.35767884,3.93379999,0.91576070,2.55227963,0.28976562,0.00513460,0.28933565,0.02655317,0.67512388
-5.35167584,3.86155667,0.90018318,2.49626543,0.28899343,0.00492479,0.27653344,0.02666686,0.67981068
-5.34567284,3.79657289,0.88602978,2.44537278,0.28835918,0.00472512,0.26387498,0.02687560,0.68563935
-5.33966983,3.73937849,0.87366009,2.39992356,0.28786749,0.00453544,0.25150363,0.02717520,0.69254685
-5.33366683,3.69025585,0.86338390,2.36007084,0.28751354,0.00435533,0.23954839,0.02755846,0.70043370
-5.32766383,3.64925314,0.85545479,2.32581124,0.28728371,0.00418420,0.22812255,0.02801550,0.70916748
-5.32166083,3.61620331,0.85006485,2.29700109,0.28715649,0.00402132,0.21732276,0.02853410,0.71858733
