energy_ev,total_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up,W_p_up,W_d_up
-6.00000000,2.10512804,0.02000118,1.42989447,0.16223600,0.00272388,1.09763199,0.71069864
-5.99399700,2.17990567,0.02006085,1.49399108,0.16149484,0.00277521,1.13669523,0.74483114
-5.98799400,2.25568638,0.02009563,1.55882946,0.16080796,0.00282593,1.17696316,0.77957659
-5.98199100,2.33153658,0.02010620,1.62362394,0.16019107,0.00287539,1.21798338,0.81452142
-5.97598799,2.40643207,0.02009256,1.68752841,0.15965254,0.00292290,1.25924265,0.84921244
-5.96998499,2.47929268,0.02005411,1.74966271,0.15919433,0.00296779,1.30018463,0.88317149
-5.96398199,2.54902139,0.01998972,1.80914193,0.15881319,0.00300942,1.34023049,0.91591202
-5.95797899,2.61454598,0.01989798,1.86510724,0.15850230,0.00304724,1.37880117,0.94695670
-5.95197599,2.67486119,0.01977742,1.91675679,0.15825296,0.00308081,1.41534022,0.97585539
-5.94597299,2.72906911,0.01962676,1.96337520,0.15805641,0.00310981,1.44933608,1.00220239
-5.93996998,2.77641574,0.01944527,2.00436001,0.15790549,0.00313410,1.48034246,1.02565214
-5.93396698,2.81632173,0.01923299,2.03924392,0.15779607,0.00315370,1.50799578,1.04593254
-5.92796398,2.84840568,0.01899107,2.06771157,0.15772821,0.00316881,1.53202880,1.06285523
-5.92196098,2.87249886,0.01872196,2.08961005,0.15770680,0.00317982,1.55227964,1.07632222
-5.91595798,2.88865049,0.01842958,2.10495261,0.15774188,0.00318728,1.56869575,1.08632856
-5.90995498,2.89712345,0.01811945,2.11391556,0.15784834,0.00319189,1.58133282,1.09296108
-5.90395198,2.89838083,0.01779867,2.11682842,0.15804529,0.00319447,1.59034864,1.09639309
-5.89794897,2.89306403,0.01747586,2.11415812,0.15835495,0.00319592,1.59599249,1.09687561
-5.89194597,2.88196384,0.01716097,2.10648804,0.15880128,0.00319719,1.59859072,1.09472551
-5.88594297,2.86598611,0.01686505,2.09449318,0.15940836,0.00319924,1.59852940,1.09031132
-5.87993997,2.84611382,0.01659986,2.07891261,0.16019868,0.00320297,1.59623515,1.08403749
-5.87393697,2.82336768,0.01637751,2.06052091,0.16119145,0.00320920,1.59215528,1.07632794
-5.86793397,2.79876723,0.01620996,2.04009965,0.16240112,0.00321866,1.58673818,1.06760973
-5.86193097,2.77329417,0.01610855,2.01841057,0.16383599,0.00323189,1.58041519,1.05829767
-5.85592796,2.74785974,0.01608351,1.99617133,0.16549737,0.00324928,1.57358468,1.04878047
-5.84992496,2.72327725,0.01614344,1.97403498,0.16737895,0.00327102,1.56659903,1.03940915
-5.84392196,2.70024089,0.01629492,1.95257358,0.16946675,0.00329709,1.55975506,1.03048787
-5.83791896,2.67931108,0.01654205,1.93226652,0.17173945,0.00332728,1.55328804,1.02226760
-5.83191596,2.66090675,0.01688620,1.91349360,0.17416920,0.00336118,1.54736935,1.01494245
-5.82591296,2.64530409,0.01732576,1.89653253,0.17672277,0.00339823,1.54210745,1.00864883
-5.81990995,2.63264125,0.01785607,1.88156081,0.17936311,0.00343771,1.53755201,1.00346687
-5.81390695,2.62292823,0.01846938,1.86866104,0.18205104,0.00347879,1.53370034,0.99942399
-5.80790395,2.61606091,0.01915502,1.85782932,0.18474719,0.00352057,1.53050579,0.99650006
-5.80190095,2.61183799,0.01989962,1.84898578,0.18741389,0.00356211,1.52788727,0.99463375
-5.79589795,2.60997995,0.02068749,1.84198661,0.19001702,0.00360247,1.52573936,0.99372955
-5.78989495,2.61014876,0.02150104,1.83663684,0.19252773,0.00364076,1.52394228,0.99366512
-5.78389195,2.61196731,0.02232134,1.83270316,0.19492382,0.00367617,1.52237124,0.99429850
-5.77788894,2.61503793,0.02312872,1.82992642,0.19719080,0.00370799,1.52090480,0.99547491
-5.77188594,2.61895892,0.02390336,1.82803304,0.19932257,0.00373566,1.51943169,0.99703289
-5.76588294,2.62333892,0.02462597,1.82674533,0.20132163,0.00375877,1.51785608,0.99880963
-5.75987994,2.62780844,0.02527838,1.82579023,0.20319878,0.00377710,1.51610108,1.00064537
-5.75387694,2.63202859,0.02584413,1.82490647,0.20497237,0.00379058,1.51411044,1.00238685
-5.74787394,2.63569668,0.02630897,1.82384999,0.20666716,0.00379932,1.51184851,1.00388992
-5.74187094,2.63854904,0.02666128,1.82239778,0.20831262,0.00380362,1.50929867,1.00502116
-5.73586793,2.64036106,0.02689238,1.82035002,0.20994106,0.00380390,1.50646033,1.00565889
-5.72986493,2.64094483,0.02699676,1.81753083,0.21158535,0.00380070,1.50334478,1.00569347
-5.72386193,2.64014473,0.02697208,1.81378773,0.21327661,0.00379466,1.49997019,1.00502707
-5.71785893,2.63783153,0.02681921,1.80898996,0.21504180,0.00378651,1.49635608,1.00357312
-5.71185593,2.63389543,0.02654203,1.80302599,0.21690134,0.00377695,1.49251752,1.00125547
-5.70585293,2.62823864,0.02614714,1.79580055,0.21886705,0.00376673,1.48845945,0.99800745
-5.69984992,2.62076813,0.02564360,1.78723122,0.22094036,0.00375650,1.48417158,0.99377095
-5.69384692,2.61138921,0.02504245,1.77724526,0.22311090,0.00374688,1.47962391,0.98849562
-5.68784392,2.60000028,0.02435631,1.76577669,0.22535577,0.00373837,1.47476359,0.98213834
-5.68184092,2.58648960,0.02359891,1.75276404,0.22763931,0.00373136,1.46951302,0.97466299
-5.67583792,2.57073414,0.02278461,1.73814910,0.22991357,0.00372609,1.46376975,0.96604071
-5.66983492,2.55260116,0.02192807,1.72187678,0.23211953,0.00372269,1.45740807,0.95625053
-5.66383192,2.53195237,0.02104376,1.70389625,0.23418882,0.00372113,1.45028262,0.94528059
-5.65782891,2.50865083,0.02014573,1.68416359,0.23604628,0.00372130,1.44223378,0.93312981
-5.65182591,2.48257033,0.01924735,1.66264564,0.23761282,0.00372295,1.43309488,0.91980998
-5.64582291,2.45360691,0.01836113,1.63932516,0.23880885,0.00372579,1.42270096,0.90534823
-5.63981991,2.42169183,0.01749863,1.61420696,0.23955790,0.00372949,1.41089864,0.88978970
-5.63381691,2.38680553,0.01667043,1.58732467,0.23979033,0.00373371,1.39755681,0.87320027
-5.62781391,2.34899154,0.01588619,1.55874775,0.23944696,0.00373817,1.38257762,0.85566919
-5.62181091,2.30836960,0.01515468,1.52858828,0.23848249,0.00374265,1.36590697,0.83731137
-5.61580790,2.26514705,0.01448395,1.49700699,0.23686846,0.00374703,1.34754431,0.81826907
-5.60980490,2.21962763,0.01388140,1.46421804,0.23459560,0.00375137,1.32755078,0.79871292
-5.60380190,2.17221698,0.01335397,1.43049212,0.23167556,0.00375585,1.30605538,0.77884196
-5.59779890,2.12342416,0.01290821,1.39615733,0.22814181,0.00376085,1.28325860,0.75888258
-5.59179590,2.07385872,0.01255042,1.36159770,0.22404968,0.00376692,1.25943319,0.73908632
-5.58579290,2.02422316,0.01228671,1.32724896,0.21947563,0.00377480,1.23492179,0.71972634
-5.57978989,1.97530075,0.01212298,1.29359164,0.21451561,0.00378536,1.21013132,0.70109275
-5.57378689,1.92793885,0.01206497,1.26114141,0.20928272,0.00379965,1.18552422,0.68348667
-5.56778389,1.88302834,0.01211815,1.23043702,0.20390423,0.00381877,1.16160668,0.66721328
-5.56178089,1.84147961,0.01228761,1.20202605,0.19851809,0.00384394,1.13891431,0.65257407
-5.55577789,1.80419621,0.01257794,1.17644904,0.19326899,0.00387635,1.11799565,0.63985841
-5.54977489,1.77204680,0.01299303,1.15422252,0.18830435,0.00391719,1.09939422,0.62933487
-5.54377189,1.74583686,0.01353584,1.13582155,0.18377012,0.00396756,1.08362969,0.62124248
-5.53776888,1.72628087,0.01420822,1.12166259,0.17980681,0.00402843,1.07117902,0.61578234
-5.53176588,1.71397642,0.01501067,1.11208724,0.17654565,0.00410061,1.06245830,0.61310997
-5.52576288,1.70938109,0.01594210,1.10734779,0.17410523,0.00418469,1.05780604,0.61332856
-5.51975988,1.71279313,0.01699967,1.10759499,0.17258851,0.00428102,1.05746868,0.61648365
-5.51375688,1.72433682,0.01817859,1.11286883,0.17208043,0.00438969,1.06158883,0.62255927
-5.50775388,1.74395308,0.01947199,1.12309267,0.17264603,0.00451048,1.07019695,0.63147598
-5.50175088,1.77139584,0.02087086,1.13807118,0.17432922,0.00464289,1.08320672,0.64309078
-5.49574787,1.80623435,0.02236400,1.15749224,0.17715205,0.00478614,1.10041435,0.65719908
-5.48974487,1.84786152,0.02393809,1.18093277,0.18111458,0.00493915,1.12150205,0.67353867
-5.48374187,1.89550798,0.02557775,1.20786862,0.18619525,0.00510060,1.14604543,0.69179567
-5.47773887,1.94826140,0.02726571,1.23768786,0.19235165,0.00526893,1.17352458,0.71161218
-5.47173587,2.00509043,0.02898305,1.26970739,0.19952169,0.00544237,1.20333856,0.73259550
-5.46573287,2.06487243,0.03070949,1.30319194,0.20762515,0.00561902,1.23482258,0.75432861
-5.45972986,2.12642392,0.03242370,1.33737506,0.21656538,0.00579686,1.26726731,0.77638135
-5.45372686,2.18853271,0.03410368,1.37148097,0.22623137,0.00597380,1.29993953,0.79832219
-5.44772386,2.24999045,0.03572722,1.40474672,0.23649987,0.00614774,1.33210333,0.81972979
-5.44172086,2.30962453,0.03727229,1.43644353,0.24723771,0.00631661,1.36304102,0.84020428
-5.43571786,2.36632809,0.03871753,1.46589661,0.25830430,0.00647842,1.39207296,0.85937743
-5.42971486,2.41908717,0.04004266,1.49250264,0.26955412,0.00663131,1.41857566,0.87692169
-5.42371186,2.46700400,0.04122896,1.51574423,0.28083943,0.00677355,1.44199731,0.89255749
-5.41770885,2.50931588,0.04225963,1.53520086,0.29201294,0.00690364,1.46187047,0.90605865
-5.41170585,2.54540882,0.04312020,1.55055593,0.30293060,0.00702026,1.47782135,0.91725579
-5.40570285,2.57482600,0.04379884,1.56159976,0.31345437,0.00712235,1.48957555,0.92603750
-5.39969985,2.59727067,0.04428658,1.56822858,0.32345501,0.00720910,1.49696025,0.93234949
-5.39369685,2.61260394,0.04457755,1.57043970,0.33281469,0.00727997,1.49990286,0.93619169
-5.38769385,2.62083755,0.04466907,1.56832330,0.34142955,0.00733466,1.49842646,0.93761366
-5.38169085,2.62212248,0.04456169,1.56205134,0.34921198,0.00737314,1.49264248,0.93670847
-5.37568784,2.61673390,0.04425914,1.55186432,0.35609256,0.00739564,1.48274091,0.93360554
-5.36968484,2.60505342,0.04376825,1.53805659,0.36202161,0.00740263,1.46897885,0.92846271
-5.36368184,2.58754952,0.04309870,1.52096102,0.36697028,0.00739477,1.45166788,0.92145810
-5.35767884,2.56475705,0.04226283,1.50093377,0.37093103,0.00737297,1.43116085,0.91278204
-5.35167584,2.53725678,0.04127530,1.47833997,0.37391750,0.00733827,1.40783874,0.90262949
-5.34567284,2.50565569,0.04015272,1.45354094,0.37596376,0.00729192,1.38209813,0.89119334
-5.33966983,2.47056902,0.03891329,1.42688333,0.37712286,0.00723527,1.35433970,0.87865876
-5.33366683,2.43260429,0.03757637,1.39869084,0.37746478,0.00716979,1.32495814,0.86519887
-5.32766383,2.39234811,0.03616205,1.36925847,0.37707386,0.00709704,1.29433377,0.85097181
-5.32166083,2.35035588,0.03469078,1.33884952,0.37604567,0.00701867,1.26282603,0.83611921
-5.31565783,2.30714453,0.03318294,1.30769525,0.37448365,0.00693636,1.23076873,0.82076598
-5.30965483,2.26318828,0.03165849,1.27599683,0.37249547,0.00685182,1.19846730,0.80502142
-5.30365183,2.21891718,0.03013665,1.24392938,0.37018940,0.00676678,1.16619755,0.78898123
-5.29764882,2.17471823,0.02863561,1.21164744,0.36767078,0.00668295,1.13420598,0.77273035
-5.29164582,2.13093838,0.02717231,1.17929153,0.36503879,0.00660204,1.10271123,0.75634623
-5.28564282,2.08788917,0.02576224,1.14699509,0.36238366,0.00652570,1.07190639,0.73990235
-5.27963982,2.04585229,0.02441933,1.11489126,0.35978443,0.00645553,1.04196185,0.72347155
-5.27363682,2.00508539,0.02315585,1.08311901,0.35730730,0.00639307,1.01302837,0.70712898
-5.26763382,1.96582781,0.02198236,1.05182812,0.35500472,0.00633974,0.98524006,0.69095452
-5.26163082,1.92830543,0.02090767,1.02118263,0.35291518,0.00629688,0.95871711,0.67503420
-5.25562781,1.89273446,0.01993888,0.99136245,0.35106361,0.00626567,0.93356783,0.65946091
-5.24962481,1.85932354,0.01908136,0.96256308,0.34946242,0.00624714,0.90989023,0.64433391
-5.24362181,1.82827425,0.01833882,0.93499333,0.34811301,0.00624213,0.88777269,0.62975746
-5.23761881,1.79977963,0.01771331,0.90887119,0.34700767,0.00625129,0.86729393,0.61583849
-5.23161581,1.77402099,0.01720524,0.88441803,0.34613168,0.00627501,0.84852228,0.60268346
-5.22561281,1.75116302,0.01681345,0.86185146,0.34546550,0.00631344,0.83151430,0.59039464
-5.21960980,1.73134754,0.01653520,0.84137732,0.34498681,0.00636646,0.81631291,0.57906594
-5.21360680,1.71468629,0.01636622,0.82318108,0.34467245,0.00643361,0.80294516,0.56877865
-5.20760380,1.70125315,0.01630073,0.80741924,0.34449989,0.00651416,0.79141992,0.55959720
-5.20160080,1.69107636,0.01633149,0.79421126,0.34444838,0.00660703,0.78172555,0.55156534
-5.19559780,1.68413114,0.01644987,0.78363224,0.34449955,0.00671084,0.77382774,0.54470280
-5.18959480,1.68033325,0.01664591,0.77570695,0.34463752,0.00682386,0.76766780,0.53900280
-5.18359180,1.67953399,0.01690846,0.77040548,0.34484852,0.00694410,0.76316136,0.53443040
-5.17758879,1.68151693,0.01722532,0.76764062,0.34512006,0.00706926,0.76019769,0.53092187
