energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,V_p_up,V_d_up,Zn_p_up,Zn_d_up
-6.00000000,0.99090285,0.00397811,0.11599942,0.45544809,0.00000000,0.62913496,0.11323510,0.61340013,0.04056384
-5.99399700,0.95375312,0.00382677,0.11251088,0.43768095,0.00000000,0.60733210,0.10855658,0.58739776,0.03918814
-5.98799400,0.91336392,0.00366572,0.10838758,0.41856887,0.00000000,0.58292312,0.10358196,0.55974822,0.03768732
-5.98199100,0.87046182,0.00349743,0.10371985,0.39844282,0.00000000,0.55637263,0.09839740,0.53086929,0.03609145
-5.97598799,0.82583319,0.00332474,0.09860691,0.37765941,0.00000000,0.52818695,0.09309418,0.50120673,0.03443381
-5.96998499,0.78030323,0.00315077,0.09315379,0.35659171,0.00000000,0.49889931,0.08776664,0.47122317,0.03274991
-5.96398199,0.73471406,0.00297884,0.08746812,0.33561971,0.00000000,0.46905453,0.08251012,0.44138647,0.03107654
-5.95797899,0.68990281,0.00281237,0.08165709,0.31512081,0.00000000,0.43919377,0.07741884,0.41215828,0.02945065
-5.95197599,0.64668050,0.00265479,0.07582447,0.29546054,0.00000000,0.40984005,0.07258400,0.38398301,0.02790840
-5.94597299,0.60581263,0.00250945,0.07006805,0.27698410,0.00000000,0.38148508,0.06809188,0.35727791,0.02648415
-5.93996998,0.56800202,0.00237956,0.06447735,0.26000883,0.00000000,0.35457772,0.06402234,0.33242444,0.02520960
-5.93396698,0.53387448,0.00226808,0.05913185,0.24481797,0.00000000,0.32951451,0.06044748,0.30976133,0.02411300
-5.92796398,0.50396772,0.00217769,0.05409968,0.23165575,0.00000000,0.30663252,0.05743068,0.28957942,0.02321853
-5.92196098,0.47872364,0.00211075,0.04943675,0.22072406,0.00000000,0.28620459,0.05502592,0.27211853,0.02254578
-5.91595798,0.45848412,0.00206923,0.04518643,0.21218055,0.00000000,0.26843689,0.05327749,0.25756619,0.02210945
-5.90995498,0.44349016,0.00205474,0.04137969,0.20613829,0.00000000,0.25346884,0.05222002,0.24605826,0.02191915
-5.90395198,0.43388424,0.00206850,0.03803554,0.20266677,0.00000000,0.24137514,0.05187873,0.23768128,0.02197938
-5.89794897,0.42971548,0.00211137,0.03516196,0.20179420,0.00000000,0.23216959,0.05227009,0.23247617,0.02228966
-5.89194597,0.43094729,0.00218384,0.03275702,0.20351080,0.00000000,0.22581052,0.05340258,0.23044321,0.02284480
-5.88594297,0.43746695,0.00228611,0.03081028,0.20777298,0.00000000,0.22220741,0.05527773,0.23154777,0.02363527
-5.87993997,0.44909662,0.00241809,0.02930427,0.21450811,0.00000000,0.22122828,0.05789117,0.23572655,0.02464769
-5.87393697,0.46560528,0.00257949,0.02821607,0.22361966,0.00000000,0.22270769,0.06123385,0.24289391,0.02586539
-5.86793397,0.48672098,0.00276981,0.02751896,0.23499236,0.00000000,0.22645475,0.06529321,0.25294798,0.02726904
-5.86193097,0.51214282,0.00298848,0.02718392,0.24849732,0.00000000,0.23226099,0.07005428,0.26577617,0.02883735
-5.85592796,0.54155229,0.00323483,0.02718117,0.26399656,0.00000000,0.23990769,0.07550069,0.28125975,0.03054765
-5.84992496,0.57462322,0.00350818,0.02748144,0.28134710,0.00000000,0.24917253,0.08161550,0.29927732,0.03237662
-5.84392196,0.61103020,0.00380787,0.02805716,0.30040407,0.00000000,0.25983511,0.08838189,0.31970686,0.03430089
-5.83791896,0.65045494,0.00413330,0.02888348,0.32102289,0.00000000,0.27168149,0.09578343,0.34242635,0.03629754
-5.83191596,0.69259035,0.00448391,0.02993903,0.34306041,0.00000000,0.28450746,0.10380433,0.36731286,0.03834458
-5.82591296,0.73714225,0.00485922,0.03120647,0.36637486,0.00000000,0.29812046,0.11242918,0.39424007,0.04042131
-5.81990995,0.78382875,0.00525876,0.03267290,0.39082469,0.00000000,0.31234039,0.12164258,0.42307452,0.04250851
