energy_ev,total_up,C_s_up,C_p_up,Li_s_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,0.23543304,0.00000611,0.00541035,0.07435012,0.00054298,0.12875375,0.01538666,0.01145480
-5.99399700,0.23392820,0.00000826,0.00537459,0.07390133,0.00053981,0.12793416,0.01531153,0.01137850
-5.98799400,0.23083504,0.00001108,0.00530191,0.07295928,0.00053306,0.12624712,0.01514017,0.01122391
-5.98199100,0.22624152,0.00001475,0.00519423,0.07155373,0.00052298,0.12374104,0.01488023,0.01099508
-5.97598799,0.22027147,0.00001951,0.00505424,0.06972617,0.00050988,0.12048405,0.01454212,0.01069771
-5.96998499,0.21308153,0.00002562,0.00488536,0.06752887,0.00049416,0.11656227,0.01413887,0.01033907
-5.96398199,0.20485699,0.00003340,0.00469166,0.06502367,0.00047629,0.11207764,0.01368591,0.00992773
-5.95797899,0.19580702,0.00004323,0.00447766,0.06228048,0.00045681,0.10714524,0.01320082,0.00947338
-5.95197599,0.18615935,0.00005554,0.00424831,0.05937563,0.00043630,0.10189046,0.01270306,0.00898649
-5.94597299,0.17615466,0.00007086,0.00400878,0.05639009,0.00041540,0.09644589,0.01221359,0.00847810
-5.93996998,0.16604087,0.00008974,0.00376435,0.05340774,0.00039475,0.09094824,0.01175459,0.00795950
-5.93396698,0.15606758,0.00011285,0.00352029,0.05051347,0.00037504,0.08553532,0.01134904,0.00744199
-5.92796398,0.14648082,0.00014088,0.00328172,0.04779156,0.00035692,0.08034314,0.01102040,0.00693661
-5.92196098,0.13751816,0.00017462,0.00305352,0.04532397,0.00034106,0.07550326,0.01079218,0.00645391
-5.91595798,0.12940441,0.00021488,0.00284022,0.04318884,0.00032810,0.07114041,0.01068759,0.00600376
-5.90995498,0.12234783,0.00026252,0.00264593,0.04145912,0.00031863,0.06737042,0.01072914,0.00559522
-5.90395198,0.11653685,0.00031842,0.00247427,0.04020130,0.00031324,0.06429838,0.01093823,0.00523635
-5.89794897,0.11213747,0.00038346,0.00232834,0.03947430,0.00031241,0.06201718,0.01133471,0.00493418
-5.89194597,0.10929099,0.00045846,0.00221069,0.03932841,0.00031661,0.06060628,0.01193647,0.00469459
-5.88594297,0.10811231,0.00054419,0.00212330,0.03980441,0.00032619,0.06013064,0.01275896,0.00452233
-5.87993997,0.10868850,0.00064132,0.00206757,0.04093270,0.00034145,0.06063991,0.01381470,0.00442097
-5.87393697,0.11107781,0.00075036,0.00204436,0.04273262,0.00036258,0.06216783,0.01511284,0.00439291
-5.86793397,0.11530885,0.00087164,0.00205398,0.04521174,0.00038968,0.06473169,0.01665864,0.00443945
-5.86193097,0.12138018,0.00100525,0.00209626,0.04836538,0.00042274,0.06833200,0.01845304,0.00456075
-5.85592796,0.12926014,0.00115102,0.00217055,0.05217618,0.00046163,0.07295234,0.02049222,0.00475597
-5.84992496,0.13888703,0.00130847,0.00227576,0.05661391,0.00050610,0.07855934,0.02276728,0.00502325
-5.84392196,0.15016972,0.00147679,0.00241044,0.06163544,0.00055576,0.08510301,0.02526399,0.00535984
-5.83791896,0.16298880,0.00165481,0.00257280,0.06718501,0.00061013,0.09251725,0.02796263,0.00576215
-5.83191596,0.17719821,0.00184100,0.00276081,0.07319478,0.00066858,0.10072069,0.03083809,0.00622583
-5.82591296,0.19262757,0.00203346,0.00297220,0.07958579,0.00073038,0.10961802,0.03385998,0.00674592
-5.81990995,0.20908523,0.00222997,0.00320455,0.08626917,0.00079469,0.11910157,0.03699314,0.00731692
-5.81390695,0.22636199,0.00242797,0.00345538,0.09314786,0.00086061,0.12905345,0.04019816,0.00793292
-5.80790395,0.24423557,0.00262466,0.00372217,0.10011859,0.00092716,0.13934802,0.04343223,0.00858774
-5.80190095,0.26247578,0.00281704,0.00400244,0.10707433,0.00099334,0.14985479,0.04665016,0.00927509
-5.79589795,0.28085009,0.00300200,0.00429380,0.11390687,0.00105818,0.16044167,0.04980554,0.00998870
-5.78989495,0.29912982,0.00317639,0.00459401,0.12050975,0.00112074,0.17097839,0.05285207,0.01072248
-5.78389195,0.31709637,0.00333712,0.00490102,0.12678124,0.00118018,0.18134015,0.05574500,0.01147063
-5.77788894,0.33454762,0.00348127,0.00521297,0.13262734,0.00123582,0.19141126,0.05844259,0.01222787
-5.77188594,0.35130398,0.00360620,0.00552829,0.13796468,0.00128714,0.20108865,0.06090759,0.01298945
