energy_ev,total_up,total_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down,Zn_p_up,Zn_p_down,Zn_d_up,Zn_d_down
-6.00000000,0.37730136,-0.27341704,0.00349108,-0.00215333,0.04114960,-0.03470657,0.05799483,-0.05347481,0.08634025,-0.05523943,0.00917236,-0.00751868,0.12226585,-0.07896009,0.05822991,-0.03716577,0.04004719,-0.03343271
-5.99399700,0.39947002,-0.27852795,0.00376843,-0.00235465,0.04229923,-0.03369016,0.05909341,-0.05062199,0.09264569,-0.05833266,0.00952971,-0.00749432,0.13161477,-0.08361690,0.06283082,-0.03939721,0.04160930,-0.03250710
-5.98799400,0.42381238,-0.28835642,0.00404969,-0.00258141,0.04375672,-0.03331840,0.06088824,-0.04891903,0.09929020,-0.06227226,0.00993082,-0.00759529,0.14149051,-0.08951524,0.06772474,-0.04224418,0.04354339,-0.03225341
-5.98199100,0.44970299,-0.30243577,0.00432986,-0.00283078,0.04543923,-0.03351872,0.06326116,-0.04825411,0.10614477,-0.06697735,0.01035747,-0.00780613,0.15171564,-0.09654440,0.07282569,-0.04565859,0.04577508,-0.03260553
-5.97598799,0.47651633,-0.32026968,0.00460376,-0.00309947,0.04726686,-0.03421637,0.06609820,-0.04851486,0.11307757,-0.07235850,0.01079197,-0.00811064,0.16210753,-0.10458157,0.07804356,-0.04958603,0.04823201,-0.03349600
-5.96998499,0.50363568,-0.34133609,0.00486617,-0.00338372,0.04916388,-0.03533547,0.06929061,-0.04958983,0.11995614,-0.07831804,0.01121742,-0.00849202,0.17248110,-0.11349207,0.08328533,-0.05396562,0.05084451,-0.03485680
-5.96398199,0.53046235,-0.36509135,0.00511197,-0.00367929,0.05105971,-0.03679997,0.07273558,-0.05136959,0.12664972,-0.08475061,0.01161802,-0.00893316,0.18265193,-0.12312984,0.08845651,-0.05873007,0.05354626,-0.03662002
-5.95797899,0.55642494,-0.39097479,0.00533624,-0.00398157,0.05288996,-0.03853457,0.07633687,-0.05374757,0.13303174,-0.09154395,0.01197942,-0.00941674,0.19243959,-0.13333839,0.09346274,-0.06380592,0.05627482,-0.03871841
-5.95197599,0.58098864,-0.41841395,0.00553442,-0.00428560,0.05459723,-0.04046551,0.08000529,-0.05662077,0.13898242,-0.09858008,0.01228890,-0.00992555,0.20167110,-0.14395211,0.09821159,-0.06911395,0.05897220,-0.04108589
-5.94597299,0.60366408,-0.44683056,0.00570241,-0.00458619,0.05613186,-0.04252149,0.08365912,-0.05989023,0.14439122,-0.10573669,0.01253569,-0.01044266,0.21018442,-0.15479808,0.10261443,-0.07456984,0.06158531,-0.04365803
-5.93996998,0.62401552,-0.47564739,0.00583668,-0.00487802,0.05745243,-0.04463441,0.08722434,-0.06346153,0.14915921,-0.11288892,0.01271114,-0.01095169,0.21783188,-0.16569837,0.10658828,-0.08008517,0.06406631,-0.04637244
-5.93396698,0.64166815,-0.50429593,0.00593439,-0.00515570,0.05852621,-0.04674023,0.09063481,-0.06724507,0.15320128,-0.11991136,0.01280891,-0.01143707,0.22448328,-0.17647273,0.11005775,-0.08556854,0.06637299,-0.04916929
-5.92796398,0.65631412,-0.53222467,0.00599346,-0.00541401,0.05932928,-0.04877976,0.09383243,-0.07115649,0.15644797,-0.12668039,0.01282507,-0.01188432,0.23002876,-0.18694170,0.11295680,-0.09092710,0.06846894,-0.05199172
-5.92196098,0.66771712,-0.55890789,0.00601263,-0.00564793,0.05984658,-0.05069936,0.09676708,-0.07511691,0.15884691,-0.13307652,0.01275817,-0.01228032,0.23438110,-0.19692996,0.11523030,-0.09606817,0.07032370,-0.05478630
-5.91595798,0.67571540,-0.58385453,0.00599147,-0.00585282,0.06007171,-0.05245173,0.09939664,-0.07905327,0.16036394,-0.13898697,0.01260924,-0.01261354,0.23747761,-0.20626989,0.11683547,-0.10090109,0.07191282,-0.05750348
-5.90995498,0.68022309,-0.60661696,0.00593041,-0.00602457,0.06000654,-0.05399641,0.10168691,-0.08289863,0.16098359,-0.14430809,0.01238175,-0.01287433,0.23928129,-0.21480514,0.11774290,-0.10533919,0.07321784,-0.06009798
-5.90395198,0.68122976,-0.62679909,0.00583071,-0.00615966,0.05966068,-0.05530035,0.10361144,-0.08659235,0.16070927,-0.14894775,0.01208147,-0.01305507,0.23978143,-0.22239403,0.11793735,-0.10930177,0.07422612,-0.06252921
-5.89794897,0.67879845,-0.64406372,0.00569438,-0.00625533,0.05905086,-0.05633818,0.10515150,-0.09008040,0.15956282,-0.15282741,0.01171632,-0.01315037,0.23899355,-0.22891285,0.11741808,-0.11271603,0.07493074,-0.06476153
-5.89194597,0.67306218,-0.65813851,0.00552416,-0.00630959,0.05820012,-0.05709245,0.10629586,-0.09331547,0.15758375,-0.15588401,0.01129617,-0.01315716,0.23695873,-0.23425863,0.11619889,-0.11551896,0.07533023,-0.06676451
-5.88594297,0.66421926,-0.66882062,0.00532337,-0.00632135,0.05713706,-0.05755358,0.10704079,-0.09625713,0.15482797,-0.15807132,0.01083259,-0.01307474,0.23374237,-0.23835149,0.11430771,-0.11765894,0.07542832,-0.06851310
-5.87993997,0.65252757,-0.67597961,0.00509581,-0.00629038,0.05589498,-0.05771972,0.10738997,-0.09887192,0.15136633,-0.15936090,0.01033861,-0.01290482,0.22943249,-0.24113639,0.11178585,-0.11909716,0.07523371,-0.06998765
-5.87393697,0.63829818,-0.67955860,0.00484568,-0.00621736,0.05451112,-0.05759637,0.10735454,-0.10113337,0.14728277,-0.15974266,0.00982843,-0.01265140,0.22413754,-0.24258424,0.10868692,-0.11980866,0.07475980,-0.07117393
-5.86793397,0.62188848,-0.67957370,0.00457739,-0.00610380,0.05302593,-0.05719591,0.10695315,-0.10302203,0.14267242,-0.15922475,0.00931717,-0.01232066,0.21798403,-0.24269235,0.10507548,-0.11978308,0.07402447,-0.07206297
-5.86193097,0.60369520,-0.67611172,0.00429547,-0.00595204,0.05148243,-0.05653697,0.10621211,-0.10452550,0.13763949,-0.15783316,0.00882058,-0.01192079,0.21111381,-0.24148416,0.10102539,-0.11902492,0.07304986,-0.07265094
-5.85592796,0.58414753,-0.66932648,0.00400445,-0.00576511,0.04992565,-0.05564370,0.10516553,-0.10563837,0.13229522,-0.15561073,0.00835484,-0.01146178,0.20368134,-0.23900838,0.09661809,-0.11755349,0.07186215,-0.07293888
-5.84992496,0.56370036,-0.65943383,0.00370871,-0.00554668,0.04840229,-0.05454506,0.10385553,-0.10636235,0.12675580,-0.15261587,0.00793631,-0.01095516,0.19585083,-0.23533759,0.09194065,-0.11540238,0.07049148,-0.07293248
