energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Te_p_up,Te_d_up
-6.00000000,6.81072923,1.92375330,3.20704463,0.06467102,0.09757626,0.07304240,0.00000000,2.50690058,0.00000000
-5.99399700,6.72197747,1.86101748,3.15042738,0.06293180,0.09254103,0.07235669,0.00000000,2.49102396,0.00000000
-5.98799400,6.65484944,1.80394724,3.10817874,0.06113030,0.08818331,0.07198759,0.00000000,2.47948515,0.00000000
-5.98199100,6.60704224,1.75230488,3.07895265,0.05926911,0.08447905,0.07191090,0.00000000,2.47160806,0.00000000
-5.97598799,6.57587737,1.70572379,3.06119404,0.05735224,0.08139170,0.07209589,0.00000000,2.46661927,0.00000000
-5.96998499,6.55839718,1.66373296,3.05318862,0.05538519,0.07887483,0.07250676,0.00000000,2.46367824,0.00000000
-5.96398199,6.55146615,1.62578266,3.05311626,0.05337505,0.07687467,0.07310423,0.00000000,2.46190827,0.00000000
-5.95797899,6.55187467,1.59127070,3.05910660,0.05133037,0.07533271,0.07384709,0.00000000,2.46042741,0.00000000
-5.95197599,6.55644234,1.55956827,3.06929546,0.04926105,0.07418832,0.07469387,0.00000000,2.45837842,0.00000000
-5.94597299,6.56211818,1.53004495,3.08188062,0.04717811,0.07338103,0.07560436,0.00000000,2.45495713,0.00000000
-5.93996998,6.56607485,1.50209203,3.09517511,0.04509340,0.07285272,0.07654107,0.00000000,2.44943837,0.00000000
-5.93396698,6.56579408,1.47514383,3.10765663,0.04301936,0.07254946,0.07747052,0.00000000,2.44119861,0.00000000
-5.92796398,6.55914053,1.44869621,3.11801117,0.04096872,0.07242300,0.07836433,0.00000000,2.42973487,0.00000000
-5.92196098,6.54442187,1.42232210,3.12516957,0.03895427,0.07243195,0.07920007,0.00000000,2.41467911,0.00000000
-5.91595798,6.52043285,1.39568357,3.12833554,0.03698864,0.07254251,0.07996181,0.00000000,2.39580765,0.00000000
-5.90995498,6.48648195,1.36854012,3.12700425,0.03508413,0.07272888,0.08064044,0.00000000,2.37304540,0.00000000
-5.90395198,6.44239978,1.34075316,3.12097078,0.03325264,0.07297318,0.08123364,0.00000000,2.34646468,0.00000000
-5.89794897,6.38852902,1.31228657,3.11032821,0.03150564,0.07326518,0.08174552,0.00000000,2.31627872,0.00000000
-5.89194597,6.32569662,1.28320341,3.09545561,0.02985411,0.07360155,0.08218611,0.00000000,2.28283019,0.00000000
-5.88594297,6.25516955,1.25365918,3.07699645,0.02830867,0.07398498,0.08257047,0.00000000,2.24657525,0.00000000
-5.87993997,6.17859638,1.22389176,3.05582862,0.02687958,0.07442301,0.08291767,0.00000000,2.20806389,0.00000000
-5.87393697,6.09793712,1.19420875,3.03302728,0.02557687,0.07492678,0.08324959,0.00000000,2.16791741,0.00000000
-5.86793397,6.01538463,1.16497260,3.00982219,0.02441042,0.07550964,0.08358966,0.00000000,2.12680407,0.00000000
-5.86193097,5.93328086,1.13658434,2.98755133,0.02338996,0.07618583,0.08396155,0.00000000,2.08541410,0.00000000
-5.85592796,5.85403120,1.10946644,2.96761245,0.02252515,0.07696919,0.08438788,0.00000000,2.04443490,0.00000000
-5.84992496,5.78002030,1.08404555,2.95141435,0.02182548,0.07787195,0.08488906,0.00000000,2.00452763,0.00000000
-5.84392196,5.71353201,1.06073569,2.94032934,0.02130021,0.07890370,0.08548223,0.00000000,1.96630596,0.00000000
-5.83791896,5.65667597,1.03992253,2.93564827,0.02095821,0.08007060,0.08618042,0.00000000,1.93031766,0.00000000
-5.83191596,5.61132244,1.02194904,2.93853894,0.02080766,0.08137471,0.08699191,0.00000000,1.89702950,0.00000000
-5.82591296,5.57904666,1.00710306,2.95000879,0.02085582,0.08281360,0.08791974,0.00000000,1.86681573,0.00000000
-5.81990995,5.56108321,0.99560686,2.97087228,0.02110860,0.08438016,0.08896161,0.00000000,1.83995013,0.00000000
-5.81390695,5.55829052,0.98760888,3.00172305,0.02157017,0.08606256,0.09010979,0.00000000,1.81660153,0.00000000
-5.80790395,5.57112512,0.98317771,3.04291105,0.02224250,0.08784443,0.09135139,0.00000000,1.79683247,0.00000000
-5.80190095,5.59962513,0.98229824,3.09452463,0.02312487,0.08970516,0.09266867,0.00000000,1.78060054,0.00000000
-5.79589795,5.64340229,0.98486984,3.15637752,0.02421346,0.09162031,0.09403957,0.00000000,1.76776207,0.00000000
-5.78989495,5.70164207,0.99070663,3.22800074,0.02550087,0.09356207,0.09543828,0.00000000,1.75807768,0.00000000
-5.78389195,5.77311127,0.99953957,3.30863974,0.02697579,0.09549979,0.09683587,0.00000000,1.75121924,0.00000000
-5.77788894,5.85617316,1.01102039,3.39725704,0.02862273,0.09740058,0.09820100,0.00000000,1.74677806,0.00000000
-5.77188594,5.94881023,1.02472725,3.49254071,0.03042185,0.09922986,0.09950056,0.00000000,1.74427411,0.00000000
-5.76588294,6.04865478,1.04017213,3.59291946,0.03234895,0.10095194,0.10070043,0.00000000,1.74316603,0.00000000
-5.75987994,6.15302815,1.05680983,3.69658477,0.03437562,0.10253064,0.10176612,0.00000000,1.74286222,0.00000000
-5.75387694,6.25898877,1.07404875,3.80152053,0.03646951,0.10392990,0.10266343,0.00000000,1.74273280,0.00000000
-5.74787394,6.36338968,1.09126312,3.90554060,0.03859489,0.10511440,0.10335914,0.00000000,1.74212277,0.00000000
-5.74187094,6.46294549,1.10780682,4.00633429,0.04071322,0.10605027,0.10382165,0.00000000,1.74036625,0.00000000
-5.73586793,6.55430837,1.12302850,4.10151930,0.04278403,0.10670574,0.10402166,0.00000000,1.73680193,0.00000000
-5.72986493,6.63415203,1.13628775,4.18870144,0.04476582,0.10705193,0.10393279,0.00000000,1.73078959,0.00000000
-5.72386193,6.69926215,1.14697197,4.26553975,0.04661714,0.10706356,0.10353229,0.00000000,1.72172743,0.00000000
-5.71785893,6.74663074,1.15451352,4.32981523,0.04829767,0.10671974,0.10280163,0.00000000,1.70906982,0.00000000
-5.71185593,6.77355149,1.15840649,4.37950086,0.04976942,0.10600476,0.10172716,0.00000000,1.69234498,0.00000000
-5.70585293,6.77771260,1.15822266,4.41283045,0.05099779,0.10490876,0.10030068,0.00000000,1.67117190,0.00000000
