energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,1.65813076,0.26907538,0.00454641,0.19481486,0.93701764,0.45688097,0.03771298,0.69648583
-5.99399700,1.71817381,0.27304441,0.00457170,0.21160710,1.00783284,0.47602665,0.03729428,0.70935353
-5.98799400,1.77870622,0.27646163,0.00459854,0.22922692,1.08186195,0.49553423,0.03674210,0.72139318
-5.98199100,1.83955264,0.27930606,0.00462650,0.24757434,1.15871648,0.51538190,0.03606312,0.73260443
-5.97598799,1.90051375,0.28156524,0.00465511,0.26652315,1.23791131,0.53554002,0.03526688,0.74300492
-5.96998499,1.96136056,0.28323517,0.00468390,0.28592086,1.31886410,0.55596796,0.03436560,0.75262821
-5.96398199,2.02182857,0.28431996,0.00471244,0.30558940,1.40089774,0.57661092,0.03337384,0.76152061
-5.95797899,2.08161238,0.28483122,0.00474034,0.32532680,1.48324610,0.59739693,0.03230818,0.76973729
-5.95197599,2.14036149,0.28478717,0.00476728,0.34490977,1.56506336,0.61823429,0.03118658,0.77733774
-5.94597299,2.19767799,0.28421171,0.00479305,0.36409734,1.64543700,0.63900974,0.03002788,0.78438116
-5.93996998,2.25311678,0.28313346,0.00481756,0.38263536,1.72340411,0.65958760,0.02885117,0.79092191
-5.93396698,2.30618876,0.28158478,0.00484086,0.40026182,1.79797112,0.67981004,0.02767508,0.79700558
-5.92796398,2.35636741,0.27960093,0.00486313,0.41671294,1.86813597,0.69949872,0.02651728,0.80266587
-5.92196098,2.40309886,0.27721944,0.00488467,0.43172974,1.93291251,0.71845774,0.02539384,0.80792251
-5.91595798,2.44581521,0.27447958,0.00490596,0.44506491,1.99135601,0.73647800,0.02431884,0.81278046
-5.90995498,2.48395086,0.27142210,0.00492757,0.45648976,2.04258897,0.75334273,0.02330399,0.81723043
-5.90395198,2.51696107,0.26808905,0.00495020,0.46580098,2.08582617,0.76883410,0.02235841,0.82125056
-5.89794897,2.54434195,0.26452384,0.00497462,0.47282694,2.12039793,0.78274058,0.02148852,0.82480932
-5.89194597,2.56565091,0.26077126,0.00500166,0.47743324,2.14577066,0.79486464,0.02069813,0.82786921
-5.88594297,2.58052640,0.25687765,0.00503217,0.47952735,2.16156358,0.80503054,0.01998855,0.83039100
-5.87993997,2.58870584,0.25289090,0.00506694,0.47906211,2.16756100,0.81309164,0.01935887,0.83233830
-5.87393697,2.59004068,0.24886045,0.00510674,0.47603789,2.16371954,0.81893697,0.01880634,0.83368187
-5.86793397,2.58450764,0.24483709,0.00515215,0.47050340,2.15016988,0.82249659,0.01832677,0.83440353
-5.86193097,2.57221534,0.24087263,0.00520362,0.46255500,2.12721289,0.82374548,0.01791500,0.83449922
-5.85592796,2.55340601,0.23701939,0.00526136,0.45233467,2.09531038,0.82270570,0.01756537,0.83398110
-5.84992496,2.52845176,0.23332954,0.00532532,0.44002658,2.05507084,0.81944669,0.01727216,0.83287835
-5.84392196,2.49784590,0.22985428,0.00539513,0.42585255,2.00723071,0.81408371,0.01703004,0.83123683
-5.83791896,2.46218932,0.22664303,0.00547014,0.41006638,1.95263213,0.80677446,0.01683434,0.82911745
-5.83191596,2.42217290,0.22374252,0.00554938,0.39294753,1.89219811,0.79771399,0.01668141,0.82659348
-5.82591296,2.37855668,0.22119600,0.00563156,0.37479421,1.82690622,0.78712830,0.01656875,0.82374687
-5.81990995,2.33214681,0.21904256,0.00571513,0.35591624,1.75776188,0.77526685,0.01649510,0.82066413
-5.81390695,2.28377156,0.21731664,0.00579836,0.33662788,1.68577241,0.76239434,0.01646044,0.81743163
-5.80790395,2.23425739,0.21604777,0.00587935,0.31724097,1.61192289,0.74878228,0.01646589,0.81413114
-5.80190095,2.18440631,0.21526054,0.00595619,0.29805854,1.53715456,0.73470062,0.01651351,0.81083544
-5.79589795,2.13497532,0.21497489,0.00602704,0.27936907,1.46234665,0.72040984,0.01660605,0.80760469
-5.78989495,2.08665896,0.21520659,0.00609025,0.26144158,1.38830199,0.70615385,0.01674664,0.80448341
-5.78389195,2.04007524,0.21596795,0.00614447,0.24452162,1.31573671,0.69215396,0.01693844,0.80149858
-5.77788894,1.99575554,0.21726864,0.00618883,0.22882820,1.24527404,0.67860402,0.01718429,0.79865863
-5.77188594,1.95413835,0.21911660,0.00622298,0.21455161,1.17744202,0.66566689,0.01748629,0.79595351
-5.76588294,1.91556675,0.22151884,0.00624726,0.20185215,1.11267471,0.65347228,0.01784552,0.79335574
-5.75987994,1.88028927,0.22448223,0.00626270,0.19085955,1.05131640,0.64211582,0.01826170,0.79082229
