energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Sb_p_up,Sb_p_down,Sb_d_up,Sb_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,4.31441582,-4.27038497,1.98512685,-1.97630729,1.14341267,-1.12326579,0.28699704,-0.29139355,0.00990625,-0.00993965,0.02727302,-0.02623090,2.52926830,-2.49923982
-5.99399700,4.37994653,-4.34216262,1.99749463,-1.99166865,1.17272635,-1.15428916,0.27800575,-0.28251755,0.00981016,-0.00985449,0.02893723,-0.02785635,2.57858503,-2.55257475
-5.98799400,4.43198732,-4.40150051,2.00361059,-2.00114427,1.19809271,-1.18173009,0.26889426,-0.27349605,0.00969387,-0.00974896,0.03064187,-0.02953799,2.61920255,-2.59788667
-5.98199100,4.46872956,-4.44647200,2.00282021,-2.00402296,1.21888982,-1.20493462,0.25970690,-0.26437746,0.00955795,-0.00962344,0.03235924,-0.03125002,2.64994407,-2.63391888
-5.97598799,4.48864408,-4.47540216,1.99459668,-1.99971057,1.23457760,-1.22332111,0.25048087,-0.25520346,0.00940331,-0.00947868,0.03405939,-0.03296403,2.66981776,-2.65958191
-5.96998499,4.49052836,-4.48691872,1.97855974,-1.98775076,1.24471380,-1.23639737,0.24124592,-0.24600832,0.00923117,-0.00931573,0.03571073,-0.03464954,2.67804706,-2.67398650
-5.96398199,4.47354436,-4.47999463,1.95449009,-1.96784168,1.24896720,-1.24377516,0.23202444,-0.23681869,0.00904300,-0.00913594,0.03728079,-0.03627471,2.67409460,-2.67647076
-5.95797899,4.43724560,-4.45398050,1.92233857,-1.93984775,1.24712753,-1.24518180,0.22283206,-0.22765396,0.00884049,-0.00894088,0.03873703,-0.03780710,2.65767888,-2.66662056
-5.95197599,4.38159229,-4.40862585,1.88222979,-1.90380608,1.23911160,-1.24046823,0.21367850,-0.21852690,0.00862552,-0.00873236,0.04004780,-0.03921453,2.62878291,-2.64428227
-5.94597299,4.30695391,-4.34408798,1.83446004,-1.85992723,1.22496560,-1.22961319,0.20456892,-0.20944477,0.00840014,-0.00851234,0.04118317,-0.04046596,2.58765464,-2.60956732
-5.93996998,4.21409916,-4.26092843,1.77948938,-1.80859011,1.20486331,-1.21272359,0.19550529,-0.20041068,0.00816646,-0.00828291,0.04211590,-0.04153242,2.53479894,-2.56284850
-5.93396698,4.10417350,-4.16009678,1.71792844,-1.75033143,1.17910035,-1.19003078,0.18648800,-0.19142512,0.00792668,-0.00804623,0.04282226,-0.04238788,2.47096176,-2.50474806
-5.92796398,3.97866540,-4.04290272,1.65052031,-1.68582993,1.14808481,-1.16188303,0.17751745,-0.18248751,0.00768300,-0.00780451,0.04328281,-0.04301012,2.39710684,-2.43611814
-5.92196098,3.83936245,-3.91097741,1.57811835,-1.61588610,1.11232452,-1.12873463,0.16859547,-0.17359785,0.00743760,-0.00755996,0.04348306,-0.04338137,2.31438621,-2.35801447
-5.91595798,3.68829922,-3.76622554,1.50166092,-1.54139843,1.07241162,-1.09113185,0.15972661,-0.16475804,0.00719261,-0.00731473,0.04341390,-0.04348899,2.22410550,-2.27166421
-5.90995498,3.52769882,-3.61077029,1.42214400,-1.46333692,1.02900492,-1.04969651,0.15091923,-0.15597322,0.00695006,-0.00707092,0.04307200,-0.04332585,2.12768555,-2.17842947
-5.90395198,3.35991056,-3.44689302,1.34059295,-1.38271517,0.98281091,-1.00510778,0.14218609,-0.14725257,0.00671186,-0.00683049,0.04245984,-0.04289060,2.02662179,-2.07976780
-5.89794897,3.18734589,-3.27697026,1.25803435,-1.30056211,0.93456398,-0.95808289,0.13354483,-0.13861000,0.00647975,-0.00659528,0.04158573,-0.04218772,1.92244302,-1.97719125
-5.89194597,3.01241502,-3.10341008,1.17546927,-1.21789442,0.88500670,-0.90935745,0.12501789,-0.13006433,0.00625529,-0.00636696,0.04046342,-0.04122737,1.81667088,-1.87222552
-5.88594297,2.83746635,-2.92859029,1.09384859,-1.13569079,0.83487079,-0.85966619,0.11663222,-0.12163924,0.00603986,-0.00614700,0.03911172,-0.04002505,1.71078162,-1.76637056
-5.87993997,2.66473067,-2.75480027,1.01405150,-1.05486875,0.78485940,-0.80972464,0.10841863,-0.11336275,0.00583458,-0.00593665,0.03755385,-0.03860108,1.60617125,-1.66106404
-5.87393697,2.49627165,-2.58418841,0.93686753,-0.97626489,0.73563117,-0.76021237,0.10041091,-0.10526658,0.00564037,-0.00573694,0.03581666,-0.03697995,1.50412499,-1.55764860
-5.86793397,2.33394397,-2.41871645,0.86298271,-0.90061893,0.68778664,-0.71175825,0.09264472,-0.09738508,0.00545786,-0.00554864,0.03392978,-0.03518949,1.40579194,-1.45734396
-5.86193097,2.17935988,-2.26012183,0.79296988,-0.82856197,0.64185706,-0.66492812,0.08515637,-0.08975416,0.00528744,-0.00537227,0.03192469,-0.03325999,1.31216523,-1.36122425
-5.85592796,2.03386475,-2.10988867,0.72728330,-0.76060894,0.59829599,-0.62021496,0.07798152,-0.08240999,0.00512921,-0.00520807,0.02983379,-0.03122329,1.22406808,-1.27020113
-5.84992496,1.89852158,-1.96922770,0.66625730,-0.69715527,0.55747367,-0.57803187,0.07115395,-0.07538772,0.00498305,-0.00505604,0.02768945,-0.02911182,1.14214554,-1.18501264
-5.84392196,1.77410433,-1.83906513,0.61010855,-0.63847734,0.51967402,-0.53870775,0.06470433,-0.06872020,0.00484851,-0.00491590,0.02552313,-0.02695768,1.06686188,-1.10621770
-5.83791896,1.66109964,-1.72003989,0.55894164,-0.58473649,0.48509428,-0.50248550,0.05865915,-0.06243687,0.00472496,-0.00478710,0.02336461,-0.02479181,0.99850300,-1.03419595
-5.83191596,1.55971594,-1.61250891,0.51275737,-0.53598598,0.45384698,-0.46952281,0.05303981,-0.05656265,0.00461147,-0.00466888,0.02124134,-0.02264323,0.93718360,-0.96915246
-5.82591296,1.46989938,-1.51655937,0.47146305,-0.49218028,0.42596403,-0.43989505,0.04786196,-0.05111718,0.00450695,-0.00456021,0.01917783,-0.02053841,0.88285818,-0.91112671
-5.81990995,1.39135527,-1.43202712,0.43488444,-0.45318626,0.40140255,-0.41360016,0.04313498,-0.04611414,0.00441008,-0.00445989,0.01719532,-0.01850078,0.83533544,-0.86000519
-5.81390695,1.32357428,-1.35852019,0.40277863,-0.41879559,0.38005226,-0.39056513,0.03886177,-0.04156089,0.00431943,-0.00436656,0.01531149,-0.01655040,0.79429527,-0.81553691
-5.80790395,1.26586201,-1.29544635,0.37484732,-0.38873783,0.36174397,-0.37065380,0.03503875,-0.03745827,0.00423343,-0.00427870,0.01354040,-0.01470373,0.75930760,-0.77735127
-5.80190095,1.21737122,-1.24204375,0.35075016,-0.36269372,0.34625891,-0.35367566,0.03165604,-0.03380068,0.00415044,-0.00419471,0.01189250,-0.01297358,0.72985264,-0.74497738
-5.79589795,1.17713556,-1.19741353,0.33011772,-0.34030837,0.33333868,-0.33939539,0.02869789,-0.03057638,0.00406884,-0.00411295,0.01037476,-0.01136923,0.70534171,-0.71786450
-5.78989495,1.14410388,-1.16055360,0.31256378,-0.32120378,0.32269543,-0.32754277,0.02614325,-0.02776791,0.00398700,-0.00403179,0.00899101,-0.00989658,0.68513828,-0.69540280
-5.78389195,1.11717450,-1.13039266,0.29769672,-0.30499071,0.31402208,-0.31782276,0.02396649,-0.02535274,0.00390340,-0.00394964,0.00774221,-0.00855845,0.66857865,-0.67694414
-5.77788894,1.09522848,-1.10582373,0.28512994,-0.29127952,0.30700237,-0.30992561,0.02213823,-0.02330404,0.00381664,-0.00386504,0.00662688,-0.00735496,0.65499197,-0.66182224
-5.77188594,1.07716139,-1.08573655,0.27449103,-0.27968994,0.30132054,-0.30353656,0.02062622,-0.02159152,0.00372552,-0.00377668,0.00564156,-0.00628393,0.64371902,-0.64937206
-5.76588294,1.06191291,-1.06904811,0.26542993,-0.26985969,0.29667044,-0.29834525,0.01939631,-0.02018232,0.00362907,-0.00368345,0.00478126,-0.00534135,0.63412975,-0.63894785
-5.75987994,1.04849390,-1.05473096,0.25762570,-0.26145191,0.29276393,-0.29405440,0.01841337,-0.01904202,0.00352657,-0.00358448,0.00403991,-0.00452185,0.62563904,-0.62993981
-5.75387694,1.03601025,-1.04183866,0.25079227,-0.25416144,0.28933851,-0.29038781,0.01764225,-0.01813553,0.00341760,-0.00347920,0.00341082,-0.00381912,0.61772062,-0.62178894
-5.74787394,1.02368347,-1.02952814,0.24468292,-0.24771989,0.28616387,-0.28709747,0.01704866,-0.01742803,0.00330205,-0.00336733,0.00288710,-0.00322639,0.60991887,-0.61399990
