energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Na_s_up,Na_s_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,2.26293906,-2.65021597,0.04476530,-0.06345278,0.20461355,-0.23034806,0.70179504,-0.86168477,0.37614072,-0.40033220,0.26168888,-0.32500522,0.04526630,-0.04356490,1.12168703,-1.34246458
-5.99399700,2.19298173,-2.61213322,0.04170458,-0.06160163,0.20065892,-0.22834899,0.66884342,-0.83935774,0.36958268,-0.39811264,0.25269834,-0.31891366,0.04577021,-0.04407945,1.08224476,-1.32040505
-5.98799400,2.12377277,-2.56755659,0.03860007,-0.05944883,0.19653290,-0.22584922,0.63672222,-0.81532864,0.36329314,-0.39516864,0.24445656,-0.31252955,0.04621444,-0.04454115,1.04327951,-1.29480790
-5.98199100,2.05625628,-2.51699434,0.03549348,-0.05702130,0.19226037,-0.22283224,0.60576490,-0.78977908,0.35740902,-0.39156249,0.23707349,-0.30593880,0.04658867,-0.04493775,1.00533482,-1.26599775
-5.97598799,1.99129787,-2.46115340,0.03242417,-0.05435223,0.18786906,-0.21930129,0.57627503,-0.76295211,0.35205262,-0.38738553,0.23063586,-0.29924338,0.04688413,-0.04525978,0.96890741,-1.23439893
-5.96998499,1.92965469,-2.40090494,0.02942815,-0.05147993,0.18338809,-0.21527802,0.54851708,-0.73514208,0.34732651,-0.38275226,0.22520317,-0.29255571,0.04709356,-0.04550067,0.93443110,-1.20051674
-5.96398199,1.87195087,-2.33724298,0.02653732,-0.04844642,0.17884645,-0.21080035,0.52270898,-0.70668226,0.34330933,-0.37779351,0.22080477,-0.28599251,0.04721111,-0.04565661,0.90226390,-1.16491539
-5.95797899,1.81865946,-2.27123850,0.02377890,-0.04529597,0.17427161,-0.20591978,0.49901664,-0.67793088,0.34005294,-0.37264890,0.21743821,-0.27966825,0.04723219,-0.04572635,0.87267856,-1.12819372
-5.95197599,1.77009128,-2.20399140,0.02117511,-0.04207370,0.16968837,-0.20069816,0.47755058,-0.64925647,0.33758071,-0.36745927,0.21506887,-0.27368876,0.04715326,-0.04571085,0.84585706,-1.09096008
-5.94597299,1.72639120,-2.13658301,0.01874303,-0.03882408,0.16511790,-0.19520424,0.45836476,-0.62102315,0.33588729,-0.36235913,0.21363098,-0.26814539,0.04697170,-0.04561281,0.82188903,-1.05380772
-5.93996998,1.68754162,-2.07003154,0.01649470,-0.03558973,0.16057705,-0.18951015,0.44145757,-0.59357665,0.33493966,-0.35746992,0.21302993,-0.26310984,0.04668562,-0.04543615,0.80077395,-1.01729182
-5.93396698,1.65337263,-2.00525263,0.01443736,-0.03241022,0.15607810,-0.18368792,0.42677468,-0.56723174,0.33467953,-0.35289408,0.21314566,-0.25863023,0.04629372,-0.04518548,0.78242695,-0.98190937
-5.92796398,1.62357830,-1.94302683,0.01257384,-0.02932118,0.15162873,-0.17780630,0.41421368,-0.54226166,0.33502680,-0.34871051,0.21383718,-0.25472843,0.04579522,-0.04486559,0.76668773,-0.94808277
-5.92196098,1.59773786,-1.88397536,0.01090305,-0.02635357,0.14723240,-0.17192806,0.40363007,-0.51888989,0.33588403,-0.34497136,0.21494775,-0.25139882,0.04518985,-0.04448094,0.75333197,-0.91614767
-5.91595798,1.57534070,-1.82854483,0.00942061,-0.02353322,0.14288900,-0.16610776,0.39484436,-0.49728452,0.33714157,-0.34170042,0.21631065,-0.24860855,0.04447780,-0.04403531,0.74208462,-0.88634568
-5.90995498,1.55581379,-1.77700139,0.00811937,-0.02088056,0.13859578,-0.16039019,0.38764975,-0.47755535,0.33868323,-0.33889314,0.21775520,-0.24629919,0.04365988,-0.04353145,0.73263436,-0.85882168
-5.90395198,1.53855022,-1.72943382,0.00699010,-0.01841066,0.13434849,-0.15480946,0.38182030,-0.45975365,0.34039207,-0.33651812,0.21911271,-0.24438973,0.04273756,-0.04297099,0.72464851,-0.83362594
