energy_ev,total_up,Au_p_up,Au_d_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,2.75062157,0.73673172,1.46430889,0.02048138,0.00000000,0.04935483,0.07555751,0.06233187,0.91577509
-5.99399700,2.66864960,0.71091944,1.40374852,0.01997006,0.00000000,0.05018287,0.07085446,0.06099092,0.89846967
-5.98799400,2.58431888,0.68446907,1.34059621,0.01946055,0.00000000,0.05116078,0.06619684,0.05960590,0.88104390
-5.98199100,2.49899061,0.65774417,1.27589734,0.01895917,0.00000000,0.05227105,0.06164657,0.05819462,0.86376091
-5.97598799,2.41390760,0.63107580,1.21065016,0.01847125,0.00000000,0.05349059,0.05725801,0.05677283,0.84683708
-5.96998499,2.33017100,0.60475778,1.14578433,0.01800109,0.00000000,0.05479137,0.05307731,0.05535413,0.83043940
-5.96398199,2.24872262,0.57904341,1.08214308,0.01755191,0.00000000,0.05614119,0.04914197,0.05394994,0.81468441
-5.95797899,2.17033323,0.55414351,1.02046917,0.01712596,0.00000000,0.05750456,0.04548076,0.05256946,0.79963875
-5.95197599,2.09559656,0.53022573,0.96139479,0.01672444,0.00000000,0.05884370,0.04211389,0.05121976,0.78532093
-5.94597299,2.02492883,0.50741502,0.90543560,0.01634764,0.00000000,0.06011961,0.03905343,0.04990584,0.77170454
-5.93996998,1.95857350,0.48579495,0.85298857,0.01599495,0.00000000,0.06129315,0.03630382,0.04863066,0.75872232
-5.93396698,1.89661076,0.46540996,0.80433350,0.01566491,0.00000000,0.06232622,0.03386265,0.04739530,0.74627134
-5.92796398,1.83897108,0.44626822,0.75963787,0.01535536,0.00000000,0.06318280,0.03172149,0.04619908,0.73421876
-5.92196098,1.78545246,0.42834512,0.71896463,0.01506346,0.00000000,0.06383007,0.02986673,0.04503963,0.72240827
-5.91595798,1.73574056,0.41158720,0.68228246,0.01478584,0.00000000,0.06423930,0.02828059,0.04391314,0.71066691
-5.90995498,1.68943102,0.39591645,0.64947805,0.01451866,0.00000000,0.06438675,0.02694202,0.04281451,0.69881212
-5.90395198,1.64605346,0.38123492,0.62036991,0.01425779,0.00000000,0.06425433,0.02582765,0.04173756,0.68665892
-5.89794897,1.60509622,0.36742949,0.59472314,0.01399892,0.00000000,0.06383014,0.02491268,0.04067532,0.67402697
-5.89194597,1.56603121,0.35437686,0.57226477,0.01373769,0.00000000,0.06310878,0.02417177,0.03962030,0.66074736
-5.88594297,1.52833828,0.34194846,0.55269902,0.01346983,0.00000000,0.06209147,0.02357982,0.03856483,0.64666903
-5.87993997,1.49152808,0.33001542,0.53572212,0.01319135,0.00000000,0.06078595,0.02311267,0.03750137,0.63166459
-5.87393697,1.45516307,0.31845329,0.52103613,0.01289861,0.00000000,0.05920621,0.02274781,0.03642287,0.61563535
-5.86793397,1.41887578,0.30714661,0.50836145,0.01258854,0.00000000,0.05737199,0.02246488,0.03532312,0.59851551
-5.86193097,1.38238395,0.29599296,0.49744743,0.01225870,0.00000000,0.05530814,0.02224617,0.03419709,0.58027538
-5.85592796,1.34550182,0.28490664,0.48808103,0.01190740,0.00000000,0.05304382,0.02207694,0.03304124,0.56092341
-5.84992496,1.30814757,0.27382170,0.48009302,0.01153379,0.00000000,0.05061159,0.02194565,0.03185373,0.54050719
-5.84392196,1.27034627,0.26269432,0.47336165,0.01113794,0.00000000,0.04804650,0.02184411,0.03063470,0.51911313
-5.83791896,1.23222864,0.25150438,0.46781381,0.01072080,0.00000000,0.04538505,0.02176743,0.02938633,0.49686512
-5.83191596,1.19402550,0.24025636,0.46342349,0.01028425,0.00000000,0.04266420,0.02171390,0.02811295,0.47392201
-5.82591296,1.15605830,0.22897925,0.46020786,0.00983106,0.00000000,0.03992050,0.02168475,0.02682099,0.45047408
-5.81990995,1.11872607,0.21772586,0.45822117,0.00936481,0.00000000,0.03718914,0.02168379,0.02551890,0.42673869
-5.81390695,1.08248951,0.20657127,0.45754676,0.00888979,0.00000000,0.03450328,0.02171695,0.02421698,0.40295524
-5.80790395,1.04785293,0.19561065,0.45828775,0.00841091,0.00000000,0.03189334,0.02179179,0.02292711,0.37937953
-5.80190095,1.01534476,0.18495653,0.46055676,0.00793354,0.00000000,0.02938657,0.02191690,0.02166248,0.35627787
-5.79589795,0.98549766,0.17473565,0.46446551,0.00746338,0.00000000,0.02700663,0.02210137,0.02043721,0.33392104
-5.78989495,0.95882903,0.16508543,0.47011454,0.00700632,0.00000000,0.02477343,0.02235416,0.01926602,0.31257836
-5.78389195,0.93582287,0.15615040,0.47758395,0.00656822,0.00000000,0.02270299,0.02268359,0.01816379,0.29251190
-5.77788894,0.91691373,0.14807845,0.48692562,0.00615483,0.00000000,0.02080752,0.02309690,0.01714515,0.27397119
-5.77188594,0.90247345,0.14101728,0.49815731,0.00577160,0.00000000,0.01909550,0.02359983,0.01622414,0.25718841
-5.76588294,0.89280124,0.13511097,0.51125910,0.00542358,0.00000000,0.01757194,0.02419639,0.01541377,0.24237416
-5.75987994,0.88811742,0.13049688,0.52617247,0.00511527,0.00000000,0.01623863,0.02488873,0.01472572,0.22971389
-5.75387694,0.88856097,0.12730285,0.54280203,0.00485054,0.00000000,0.01509449,0.02567712,0.01417000,0.21936513
-5.74787394,0.89419091,0.12564485,0.56101987,0.00463257,0.00000000,0.01413586,0.02656008,0.01375473,0.21145526
-5.74187094,0.90499117,0.12562499,0.58067246,0.00446378,0.00000000,0.01335690,0.02753467,0.01348586,0.20608009
-5.73586793,0.92087865,0.12732999,0.60158954,0.00434579,0.00000000,0.01274992,0.02859676,0.01336707,0.20330300
-5.72986493,0.94171373,0.13083001,0.62359468,0.00427945,0.00000000,0.01230570,0.02974155,0.01339964,0.20315477
-5.72386193,0.96731279,0.13617791,0.64651684,0.00426477,0.00000000,0.01201379,0.03096394,0.01358236,0.20563387
-5.71785893,0.99746177,0.14340889,0.67020233,0.00430104,0.00000000,0.01186282,0.03225904,0.01391158,0.21070735
-5.71185593,1.03193001,0.15254031,0.69452633,0.00438680,0.00000000,0.01184072,0.03362262,0.01438123,0.21831209
-5.70585293,1.07048377,0.16357200,0.71940350,0.00451993,0.00000000,0.01193497,0.03505141,0.01498296,0.22835660
-5.69984992,1.11289846,0.17648663,0.74479673,0.00469773,0.00000000,0.01213286,0.03654341,0.01570624,0.24072308
-5.69384692,1.15896910,0.19125038,0.77072379,0.00491695,0.00000000,0.01242163,0.03809796,0.01653864,0.25526994
-5.68784392,1.20851849,0.20781378,0.79726114,0.00517395,0.00000000,0.01278871,0.03971575,0.01746604,0.27183459
-5.68184092,1.26140268,0.22611271,0.82454480,0.00546471,0.00000000,0.01322193,0.04139858,0.01847294,0.29023649
-5.67583792,1.31751363,0.24606945,0.85276805,0.00578500,0.00000000,0.01370971,0.04314900,0.01954281,0.31028055
-5.66983492,1.37677891,0.26759392,0.88217598,0.00613043,0.00000000,0.01424125,0.04496986,0.02065842,0.33176061
-5.66383192,1.43915868,0.29058492,0.91305716,0.00649658,0.00000000,0.01480676,0.04686360,0.02180225,0.35446307
-5.65782891,1.50464011,0.31493141,0.94573275,0.00687905,0.00000000,0.01539765,0.04883161,0.02295690,0.37817066
-5.65182591,1.57322976,0.34051381,0.98054345,0.00727359,0.00000000,0.01600669,0.05087343,0.02410543,0.40266606
-5.64582291,1.64494420,0.36720523,1.01783509,0.00767614,0.00000000,0.01662820,0.05298606,0.02523176,0.42773544
-5.63981991,1.71979960,0.39487269,1.05794326,0.00808293,0.00000000,0.01725813,0.05516325,0.02632104,0.45317177
-5.63381691,1.79780071,0.42337813,1.10117780,0.00849051,0.00000000,0.01789417,0.05739499,0.02735992,0.47877777
-5.62781391,1.87892979,0.45257935,1.14780779,0.00889577,0.00000000,0.01853576,0.05966710,0.02833681,0.50436845
-5.62181091,1.96313605,0.48233070,1.19804758,0.00929603,0.00000000,0.01918399,0.06196110,0.02924208,0.52977310
-5.61580790,2.05032597,0.51248365,1.25204449,0.00968895,0.00000000,0.01984151,0.06425427,0.03006816,0.55483671
-5.60980490,2.14035491,0.54288698,1.30986848,0.01007261,0.00000000,0.02051227,0.06652000,0.03080960,0.57942078
-5.60380190,2.23302028,0.57338688,1.37150420,0.01044542,0.00000000,0.02120126,0.06872836,0.03146305,0.60340345
-5.59779890,2.32805645,0.60382674,1.43684551,0.01080612,0.00000000,0.02191411,0.07084699,0.03202711,0.62667906
-5.59179590,2.42513158,0.63404680,1.50569275,0.01115371,0.00000000,0.02265662,0.07284214,0.03250220,0.64915711
-5.58579290,2.52384630,0.66388362,1.57775241,0.01148739,0.00000000,0.02343432,0.07467988,0.03289034,0.67076074
-5.57978989,2.62373440,0.69316959,1.65263949,0.01180652,0.00000000,0.02425194,0.07632745,0.03319485,0.69142486
-5.57378689,2.72426541,0.72173236,1.72988203,0.01211054,0.00000000,0.02511285,0.07775463,0.03342004,0.71109404
-5.56778389,2.82484904,0.74939459,1.80892798,0.01239889,0.00000000,0.02601862,0.07893512,0.03357095,0.72972026
-5.56178089,2.92484141,0.77597381,1.88915388,0.01267102,0.00000000,0.02696854,0.07984772,0.03365299,0.74726084
-5.55577789,3.02355308,0.80128285,1.96987535,0.01292627,0.00000000,0.02795925,0.08047746,0.03367165,0.76367648
-5.54977489,3.12025867,0.82513069,2.05035917,0.01316390,0.00000000,0.02898452,0.08081639,0.03363227,0.77892968
-5.54377189,3.21420817,0.84732401,2.12983666,0.01338304,0.00000000,0.03003509,0.08086414,0.03353978,0.79298371
-5.53776888,3.30463963,0.86766937,2.20751824,0.01358273,0.00000000,0.03109867,0.08062814,0.03339859,0.80580194
-5.53176588,3.39079317,0.88597616,2.28260894,0.01376189,0.00000000,0.03216015,0.08012347,0.03321242,0.81734793
-5.52576288,3.47192604,0.90206023,2.35432462,0.01391938,0.00000000,0.03320188,0.07937244,0.03298431,0.82758595
-5.51975988,3.54732834,0.91574812,2.42190857,0.01405406,0.00000000,0.03420414,0.07840377,0.03271662,0.83648199
-5.51375688,3.61633908,0.92688180,2.48464822,0.01416479,0.00000000,0.03514571,0.07725151,0.03241106,0.84400527
-5.50775388,3.67836198,0.93532365,2.54189149,0.01425055,0.00000000,0.03600461,0.07595372,0.03206882,0.85012988
-5.50175088,3.73288039,0.94096161,2.59306228,0.01431045,0.00000000,0.03675881,0.07455100,0.03169072,0.85483656
-5.49574787,3.77947082,0.94371394,2.63767469,0.01434383,0.00000000,0.03738708,0.07308485,0.03127733,0.85811434
-5.48974487,3.81781420,0.94353363,2.67534527,0.01435023,0.00000000,0.03786976,0.07159607,0.03082913,0.85996194
-5.48374187,3.84770434,0.94041190,2.70580282,0.01432953,0.00000000,0.03818954,0.07012314,0.03034668,0.86038871
-5.47773887,3.86905311,0.93438075,2.72889525,0.01428186,0.00000000,0.03833216,0.06870081,0.02983072,0.85941491
-5.47173587,3.88189160,0.92551410,2.74459292,0.01420766,0.00000000,0.03828697,0.06735873,0.02928228,0.85707149
-5.46573287,3.88636736,0.91392759,2.75298837,0.01410767,0.00000000,0.03804736,0.06612052,0.02870272,0.85339899
-5.45972986,3.88273736,0.89977685,2.75429195,0.01398285,0.00000000,0.03761104,0.06500291,0.02809378,0.84844595
-5.45372686,3.87135705,0.88325415,2.74882370,0.01383438,0.00000000,0.03698016,0.06401537,0.02745753,0.84226661
-5.44772386,3.85266578,0.86458376,2.73700141,0.01366357,0.00000000,0.03616122,0.06315996,0.02679633,0.83491830
-5.44172086,3.82716939,0.84401601,2.71932544,0.01347181,0.00000000,0.03516483,0.06243153,0.02611276,0.82645857
-5.43571786,3.79542071,0.82182038,2.69636081,0.01326052,0.00000000,0.03400530,0.06181824,0.02540948,0.81694234
-5.42971486,3.75799894,0.79827795,2.66871734,0.01303105,0.00000000,0.03270016,0.06130230,0.02468919,0.80641933
-5.42371186,3.71548908,0.77367357,2.63702871,0.01278465,0.00000000,0.03126947,0.06086102,0.02395445,0.79493192
-5.41770885,3.66846241,0.74828814,2.60193141,0.01252247,0.00000000,0.02973518,0.06046796,0.02320764,0.78251377
-5.41170585,3.61745902,0.72239138,2.56404438,0.01224548,0.00000000,0.02812035,0.06009421,0.02245086,0.76918925
-5.40570285,3.56297343,0.69623537,2.52395054,0.01195448,0.00000000,0.02644849,0.05970979,0.02168592,0.75497385
-5.39969985,3.50544372,0.67004921,2.48218069,0.01165016,0.00000000,0.02474278,0.05928494,0.02091430,0.73987550
-5.39369685,3.44524495,0.64403507,2.43920071,0.01133308,0.00000000,0.02302552,0.05879145,0.02013720,0.72389691
-5.38769385,3.38268680,0.61836558,2.39540238,0.01100376,0.00000000,0.02131752,0.05820381,0.01935558,0.70703863
-5.38169085,3.31801550,0.59318278,2.35109818,0.01066272,0.00000000,0.01963771,0.05750018,0.01857027,0.68930273
-5.37568784,3.25141971,0.56859850,2.30652013,0.01031055,0.00000000,0.01800278,0.05666328,0.01778205,0.67069692
