energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,8.53593865,2.62833764,0.81830923,0.00328166,0.79073275,0.29821404,4.39266411,0.79977479,0.61990196
-5.99399700,8.99220906,2.74186389,0.85531986,0.00352313,0.85397498,0.31542780,4.60298945,0.85605998,0.67093122
-5.98799400,9.44274198,2.85388002,0.89209550,0.00376388,0.91838423,0.33202847,4.80835506,0.91222699,0.72312457
-5.98199100,9.88031664,2.96222153,0.92788561,0.00400053,0.98346602,0.34774961,5.00482022,0.96770713,0.77609101
-5.97598799,10.29769008,3.06466305,0.96194832,0.00422966,1.04869442,0.36232701,5.18846146,1.02193395,0.82941301
-5.96998499,10.68777690,3.15897744,0.99357022,0.00444779,1.11351970,0.37550596,5.35547643,1.07435530,0.88265246
-5.96398199,11.04382965,3.24299785,1.02208549,0.00465154,1.17737648,0.38704847,5.50228788,1.12444464,0.93535700
-5.95797899,11.35961339,3.31468054,1.04689386,0.00483761,1.23969222,0.39674028,5.62564397,1.17171150,0.98706645
-5.95197599,11.62956789,3.37216600,1.06747647,0.00500298,1.29989576,0.40439736,5.72271098,1.21571034,1.03731927
-5.94597299,11.84895124,3.41383607,1.08340925,0.00514489,1.35742572,0.40987163,5.79115500,1.25604773,1.08565876
-5.93996998,12.01395963,3.43836474,1.09437307,0.00526095,1.41173845,0.41305560,5.82920911,1.29238758,1.13163893
-5.93396698,12.12181864,3.44476047,1.10016057,0.00534924,1.46231557,0.41388588,5.83572362,1.32445428,1.17482996
-5.92796398,12.17084304,3.43239832,1.10067918,0.00540829,1.50867078,0.41234524,5.81019711,1.35203376,1.21482323
-5.92196098,12.16046303,3.40104050,1.09595051,0.00543720,1.55035612,0.40846328,5.75278723,1.37497281,1.25123588
-5.91595798,12.09121666,3.35084435,1.08610615,0.00543561,1.58696750,0.40231554,5.66430094,1.39317663,1.28371491
-5.90995498,11.96470960,3.28235762,1.07138010,0.00540377,1.61814955,0.39402123,5.54616460,1.40660515,1.31194109
-5.90395198,11.78354460,3.19650105,1.05209842,0.00534245,1.64360005,0.38373965,5.40037549,1.41526847,1.33563243
-5.89794897,11.55122456,3.09453916,1.02866646,0.00525302,1.66307367,0.37166532,5.22943686,1.41922183,1.35454766
-5.89194597,11.27203371,2.97804053,1.00155442,0.00513733,1.67638547,0.35802229,5.03627936,1.41856047,1.36848952
-5.88594297,10.95090258,2.84882919,0.97128180,0.00499771,1.68341390,0.34305762,4.82417226,1.41341490,1.37730799
-5.87993997,10.59326234,2.70892937,0.93840148,0.00483689,1.68410345,0.32703447,4.59662802,1.40394671,1.38090355
-5.87393697,10.20489457,2.56050574,0.90348408,0.00465791,1.67846693,0.31022499,4.35730407,1.39034525,1.37923023
-5.86793397,9.79178187,2.40580171,0.86710300,0.00446408,1.66658723,0.29290328,4.10990532,1.37282517,1.37229846
-5.86193097,9.35996448,2.24707809,0.82982091,0.00425885,1.64861838,0.27533870,3.85809109,1.35162482,1.36017750
-5.85592796,8.91540714,2.08655446,0.79217768,0.00404575,1.62478584,0.25778974,3.60538919,1.32700546,1.34299732
