energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Mg_p_up,Mg_d_up,S_s_up,S_p_up
-6.00000000,1.70064987,0.02554597,0.01914838,0.66743818,0.17747156,0.71775182,0.00000000,0.00613914,1.27255294
-5.99399700,1.68673713,0.02598171,0.01863534,0.66534687,0.17544531,0.71295762,0.00000000,0.00604601,1.26337071
-5.98799400,1.67132779,0.02633336,0.01806891,0.66234305,0.17326929,0.70846786,0.00000000,0.00593810,1.25298410
-5.98199100,1.65396946,0.02658775,0.01745885,0.65824233,0.17090957,0.70391471,0.00000000,0.00581855,1.24104808
-5.97598799,1.63425394,0.02673370,0.01681622,0.65287562,0.16833668,0.69894096,0.00000000,0.00569129,1.22724949
-5.96998499,1.61182758,0.02676229,0.01615312,0.64609312,0.16552635,0.69320893,0.00000000,0.00556107,1.21131480
-5.96398199,1.58640064,0.02666708,0.01548254,0.63776800,0.16246018,0.68640866,0.00000000,0.00543346,1.19301720
-5.95797899,1.55775590,0.02644434,0.01481816,0.62779989,0.15912637,0.67826557,0.00000000,0.00531483,1.17218320
-5.95197599,1.52575637,0.02609303,0.01417415,0.61611803,0.15552036,0.66854726,0.00000000,0.00521237,1.14869860
-5.94597299,1.49035189,0.02561485,0.01356507,0.60268408,0.15164542,0.65706943,0.00000000,0.00513403,1.12251370
-5.93996998,1.45158459,0.02501412,0.01300570,0.58749448,0.14751321,0.64370070,0.00000000,0.00508855,1.09364760
-5.93396698,1.40959252,0.02429762,0.01251101,0.57058205,0.14314421,0.62836619,0.00000000,0.00508540,1.06219118
-5.92796398,1.36461137,0.02347438,0.01209598,0.55201685,0.13856799,0.61104961,0.00000000,0.00513471,1.02830874
-5.92196098,1.31697375,0.02255535,0.01177557,0.53190614,0.13382324,0.59179386,0.00000000,0.00524722,0.99223760
-5.91595798,1.26710560,0.02155310,0.01156461,0.51039315,0.12895757,0.57069982,0.00000000,0.00543418,0.95428583
-5.90995498,1.21551977,0.02048144,0.01147764,0.48765485,0.12402700,0.54792349,0.00000000,0.00570716,0.91482763
-5.90395198,1.16280635,0.01935503,0.01152880,0.46389846,0.11909508,0.52367144,0.00000000,0.00607797,0.87429641
-5.89794897,1.10962003,0.01818901,0.01173155,0.43935695,0.11423169,0.49819460,0.00000000,0.00655834,0.83317561
-5.89194597,1.05666454,0.01699859,0.01209848,0.41428349,0.10951151,0.47178075,0.00000000,0.00715971,0.79198739
-5.88594297,1.00467477,0.01579870,0.01264094,0.38894513,0.10501218,0.44474585,0.00000000,0.00789291,0.75127955
-5.87993997,0.95439683,0.01460362,0.01336870,0.36361591,0.10081223,0.41742451,0.00000000,0.00876781,0.71161101
-5.87393697,0.90656706,0.01342671,0.01428954,0.33856965,0.09698877,0.39016013,0.00000000,0.00979293,0.67353637
-5.86793397,0.86189038,0.01228014,0.01540877,0.31407268,0.09361512,0.36329491,0.00000000,0.01097501,0.63759022
-5.86193097,0.82101915,0.01117468,0.01672881,0.29037691,0.09075846,0.33716014,0.00000000,0.01231860,0.60427159
-5.85592796,0.78453307,0.01011954,0.01824875,0.26771338,0.08847746,0.31206725,0.00000000,0.01382564,0.57402927
-5.84992496,0.75292107,0.00912228,0.01996387,0.24628665,0.08682021,0.28829977,0.00000000,0.01549506,0.54724855
-5.84392196,0.72656574,0.00818876,0.02186538,0.22627011,0.08582233,0.26610652,0.00000000,0.01732239,0.52423977
-5.83791896,0.70573104,0.00732316,0.02394008,0.20780246,0.08550545,0.24569622,0.00000000,0.01929947,0.50522927
-5.83191596,0.69055364,0.00652801,0.02617028,0.19098545,0.08587615,0.22723361,0.00000000,0.02141427,0.49035276
-5.82591296,0.68103818,0.00580431,0.02853376,0.17588278,0.08692529,0.21083711,0.00000000,0.02365070,0.47965166
-5.81990995,0.67705667,0.00515163,0.03100395,0.16252028,0.08862791,0.19657802,0.00000000,0.02598871,0.47307220
-5.81390695,0.67835195,0.00456830,0.03355025,0.15088724,0.09094361,0.18448116,0.00000000,0.02840433,0.47046744
-5.80790395,0.68454511,0.00405155,0.03613855,0.14093868,0.09381741,0.17452679,0.00000000,0.03087000,0.47160203
-5.80190095,0.69514655,0.00359773,0.03873190,0.13259857,0.09718121,0.16665367,0.00000000,0.03335498,0.47615947
-5.79589795,0.70957024,0.00320249,0.04129136,0.12576368,0.10095555,0.16076309,0.00000000,0.03582588,0.48375165
-5.78989495,0.72715078,0.00286096,0.04377697,0.12030799,0.10505187,0.15672362,0.00000000,0.03824736,0.49393031
-5.78389195,0.74716254,0.00256796,0.04614882,0.11608737,0.10937504,0.15437642,0.00000000,0.04058288,0.50620001
-5.77788894,0.76884042,0.00231813,0.04836823,0.11294448,0.11382612,0.15354092,0.00000000,0.04279561,0.52003219
-5.77188594,0.79140132,0.00210612,0.05039884,0.11071354,0.11830532,0.15402068,0.00000000,0.04484933,0.53487996
-5.76588294,0.81406596,0.00192670,0.05220783,0.10922509,0.12271492,0.15560922,0.00000000,0.04670935,0.55019299
-5.75987994,0.83608004,0.00177490,0.05376693,0.10831039,0.12696221,0.15809581,0.00000000,0.04834350,0.56543231
-5.75387694,0.85673435,0.00164605,0.05505337,0.10780546,0.13096220,0.16127092,0.00000000,0.04972295,0.58008438
-5.74787394,0.87538312,0.00153592,0.05605067,0.10755465,0.13464019,0.16493132,0.00000000,0.05082306,0.59367415
-5.74187094,0.89146004,0.00144069,0.05674917,0.10741381,0.13793382,0.16888474,0.00000000,0.05162405,0.60577671
-5.73586793,0.90449155,0.00135703,0.05714641,0.10725275,0.14079489,0.17295392,0.00000000,0.05211156,0.61602717
-5.72986493,0.91410701,0.00128209,0.05724722,0.10695735,0.14319054,0.17698001,0.00000000,0.05227702,0.62412851
-5.72386193,0.92004543,0.00121350,0.05706353,0.10643091,0.14510400,0.18082530,0.00000000,0.05211788,0.62985734
-5.71785893,0.92215867,0.00114933,0.05661399,0.10559507,0.14653467,0.18437517,0.00000000,0.05163764,0.63306706
-5.71185593,0.92041100,0.00108809,0.05592333,0.10439019,0.14749772,0.18753920,0.00000000,0.05084569,0.63368881
-5.70585293,0.91487519,0.00102866,0.05502146,0.10277516,0.14802311,0.19025151,0.00000000,0.04975698,0.63172984
-5.69984992,0.90572527,0.00097029,0.05394253,0.10072685,0.14815404,0.19247031,0.00000000,0.04839157,0.62726961
-5.69384692,0.89322626,0.00091250,0.05272371,0.09823902,0.14794496,0.19417663,0.00000000,0.04677399,0.62045372
-5.68784392,0.87772137,0.00085506,0.05140403,0.09532102,0.14745926,0.19537238,0.00000000,0.04493248,0.61148590
-5.68184092,0.85961721,0.00079794,0.05002306,0.09199603,0.14676654,0.19607775,0.00000000,0.04289824,0.60061847
-5.67583792,0.83936742,0.00074126,0.04861971,0.08829923,0.14593983,0.19632814,0.00000000,0.04070451,0.58814151
-5.66983492,0.81745566,0.00068525,0.04723109,0.08427565,0.14505264,0.19617074,0.00000000,0.03838572,0.57437135
-5.66383192,0.79437825,0.00063022,0.04589139,0.07997806,0.14417611,0.19566082,0.00000000,0.03597661,0.55963865
-5.65782891,0.77062751,0.00057651,0.04463105,0.07546478,0.14337631,0.19485811,0.00000000,0.03351141,0.54427664
-5.65182591,0.74667613,0.00052446,0.04347598,0.07079752,0.14271187,0.19382318,0.00000000,0.03102306,0.52861001
-5.64582291,0.72296322,0.00047441,0.04244709,0.06603940,0.14223195,0.19261420,0.00000000,0.02854257,0.51294468
-5.63981991,0.69988268,0.00042668,0.04155999,0.06125308,0.14197467,0.19128416,0.00000000,0.02609842,0.49755910
-5.63381691,0.67777401,0.00038152,0.04082489,0.05649920,0.14196610,0.18987858,0.00000000,0.02371612,0.48269715
-5.62781391,0.65691604,0.00033914,0.04024679,0.05183497,0.14221988,0.18843400,0.00000000,0.02141790,0.46856303
-5.62181091,0.63752371,0.00029970,0.03982580,0.04731319,0.14273730,0.18697714,0.00000000,0.01922246,0.45531816
-5.61580790,0.61974784,0.00026331,0.03955771,0.04298151,0.14350814,0.18552488,0.00000000,0.01714491,0.44308026
-5.60980490,0.60367781,0.00023001,0.03943469,0.03888202,0.14451194,0.18408493,0.00000000,0.01519677,0.43192456
-5.60380190,0.58934706,0.00019981,0.03944617,0.03505116,0.14571989,0.18265729,0.00000000,0.01338613,0.42188693
-5.59779890,0.57674093,0.00017267,0.03957976,0.03151995,0.14709709,0.18123624,0.00000000,0.01171780,0.41296883
-5.59179590,0.56580662,0.00014854,0.03982229,0.02831447,0.14860520,0.17981292,0.00000000,0.01019360,0.40514388
-5.58579290,0.55646462,0.00012733,0.04016087,0.02545656,0.15020538,0.17837823,0.00000000,0.00881272,0.39836548
-5.57978989,0.54862132,0.00010896,0.04058394,0.02296475,0.15186129,0.17692595,0.00000000,0.00757203,0.39257554
-5.57378689,0.54218209,0.00009334,0.04108228,0.02085530,0.15354226,0.17545604,0.00000000,0.00646648,0.38771351
-5.56778389,0.53706441,0.00008044,0.04164996,0.01914333,0.15522622,0.17397771,0.00000000,0.00548949,0.38372571
-5.56178089,0.53321050,0.00007025,0.04228516,0.01784405,0.15690254,0.17251239,0.00000000,0.00463331,0.38057434
-5.55577789,0.53059896,0.00006283,0.04299083,0.01697391,0.15857451,0.17109632,0.00000000,0.00388938,0.37824592
-5.54977489,0.52925494,0.00005833,0.04377520,0.01655176,0.16026141,0.16978264,0.00000000,0.00324866,0.37675889
-5.54377189,0.52925861,0.00005700,0.04465214,0.01659988,0.16200005,0.16864302,0.00000000,0.00270191,0.37616988
-5.53776888,0.53075127,0.00005927,0.04564119,0.01714489,0.16384571,0.16776855,0.00000000,0.00223993,0.37657870
-5.53176588,0.53393927,0.00006573,0.04676742,0.01821855,0.16587245,0.16727009,0.00000000,0.00185380,0.37813158
-5.52576288,0.53909521,0.00007720,0.04806109,0.01985831,0.16817265,0.16727786,0.00000000,0.00153502,0.38102269
-5.51975988,0.54655646,0.00009479,0.04955694,0.02210769,0.17085591,0.16794039,0.00000000,0.00127561,0.38549379
-5.51375688,0.55672105,0.00011993,0.05129338,0.02501650,0.17404706,0.16942278,0.00000000,0.00106827,0.39183193
-5.50775388,0.57004090,0.00015447,0.05331133,0.02864078,0.17788361,0.17190435,0.00000000,0.00090637,0.40036539
-5.50175088,0.58701253,0.00020070,0.05565295,0.03304257,0.18251245,0.17557573,0.00000000,0.00078400,0.41145773
-5.49574787,0.60816558,0.00026147,0.05836018,0.03828950,0.18808597,0.18063541,0.00000000,0.00069597,0.42550028
-5.48974487,0.63404949,0.00034027,0.06147312,0.04445418,0.19475769,0.18728593,0.00000000,0.00063782,0.44290308
-5.48374187,0.66521850,0.00044128,0.06502841,0.05161340,0.20267757,0.19572967,0.00000000,0.00060573,0.46408473
-5.47773887,0.70221572,0.00056947,0.06905758,0.05984718,0.21198705,0.20616445,0.00000000,0.00059654,0.48946117
-5.47173587,0.74555654,0.00073071,0.07358543,0.06923772,0.22281411,0.21877898,0.00000000,0.00060768,0.51943398
-5.46573287,0.79571199,0.00093177,0.07862865,0.07986818,0.23526843,0.23374823,0.00000000,0.00063713,0.55437827
-5.45972986,0.85309255,0.00118044,0.08419451,0.09182133,0.24943685,0.25122895,0.00000000,0.00068337,0.59463068
-5.45372686,0.91803294,0.00148549,0.09027991,0.10517810,0.26537933,0.27135523,0.00000000,0.00074534,0.64047780
-5.44772386,0.99077839,0.00185674,0.09687078,0.12001600,0.28312563,0.29423442,0.00000000,0.00082241,0.69214526
-5.44172086,1.07147266,0.00230495,0.10394173,0.13640739,0.30267269,0.31994327,0.00000000,0.00091433,0.74978794
-5.43571786,1.16014842,0.00284178,0.11145629,0.15441764,0.32398298,0.34852457,0.00000000,0.00102122,0.81348133
-5.42971486,1.25671997,0.00347961,0.11936741,0.17410308,0.34698387,0.37998412,0.00000000,0.00114352,0.88321454
-5.42371186,1.36097867,0.00423137,0.12761847,0.19550877,0.37156800,0.41428832,0.00000000,0.00128196,0.95888491
-5.41770885,1.47259100,0.00511024,0.13614467,0.21866613,0.39759477,0.45136220,0.00000000,0.00143757,1.04029439
-5.41170585,1.59109932,0.00612932,0.14487476,0.24359031,0.42489271,0.49108803,0.00000000,0.00161161,1.12714778
-5.40570285,1.71592513,0.00730123,0.15373301,0.27027742,0.45326290,0.53330455,0.00000000,0.00180554,1.21905280
-5.39969985,1.84637460,0.00863764,0.16264152,0.29870159,0.48248311,0.57780670,0.00000000,0.00202100,1.31552190
-5.39369685,1.98164624,0.01014875,0.17152246,0.32881195,0.51231261,0.62434607,0.00000000,0.00225974,1.41597586
-5.38769385,2.12084023,0.01184270,0.18030046,0.36052963,0.54249738,0.67263188,0.00000000,0.00252356,1.51974884
-5.38169085,2.26296919,0.01372503,0.18890480,0.39374478,0.57277562,0.72233261,0.00000000,0.00281425,1.62609506
-5.37568784,2.40697008,0.01579801,0.19727146,0.42831394,0.60288325,0.77307839,0.00000000,0.00313353,1.73419667
-5.36968484,2.55171689,0.01806016,0.20534478,0.46405779,0.63255927,0.82446390,0.00000000,0.00348289,1.84317285
-5.36368184,2.69603381,0.02050565,0.21307880,0.50075949,0.66155067,0.87605220,0.00000000,0.00386360,1.95208997
-5.35767884,2.83870885,0.02312389,0.22043803,0.53816381,0.68961682,0.92737911,0.00000000,0.00427652,2.05997272
-5.35167584,2.97850749,0.02589922,0.22739778,0.57597731,0.71653315,0.97795849,0.00000000,0.00472205,2.16581600
-5.34567284,3.11418649,0.02881068,0.23394387,0.61386967,0.74209393,1.02728820,0.00000000,0.00520002,2.26859756
-5.33966983,3.24450764,0.03183200,0.24007182,0.65147628,0.76611425,1.07485681,0.00000000,0.00570961,2.36729129
-5.33366683,3.36825152,0.03493177,0.24578551,0.68840240,0.78843096,1.12015101,0.00000000,0.00624926,2.46088098
-5.32766383,3.48423120,0.03807378,0.25109539,0.72422865,0.80890281,1.16266358,0.00000000,0.00681661,2.54837452
-5.32166083,3.59130589,0.04121755,0.25601629,0.75851803,0.82740968,1.20190193,0.00000000,0.00740847,2.62881832
-5.31565783,3.68839467,0.04431917,0.26056500,0.79082430,0.84385116,1.23739681,0.00000000,0.00802081,2.70131185
-5.30965483,3.77449002,0.04733216,0.26475770,0.82070150,0.85814456,1.26871129,0.00000000,0.00864875,2.76502208
-5.30365183,3.84867137,0.05020861,0.26860740,0.84771437,0.87022255,1.29544953,0.00000000,0.00928662,2.81919757
-5.29764882,3.91011836,0.05290043,0.27212155,0.87144942,0.88003062,1.31726520,0.00000000,0.00992803,2.86318199
-5.29164582,3.95812372,0.05536061,0.27529991,0.89152612,0.88752469,1.33386934,0.00000000,0.01056593,2.89642673
-5.28564282,3.99210562,0.05754464,0.27813297,0.90760792,0.89266889,1.34503719,0.00000000,0.01119280,2.91850234
-5.27963982,4.01161914,0.05941179,0.28060077,0.91941253,0.89543384,1.35061400,0.00000000,0.01180072,2.92910841
-5.27363682,4.01636656,0.06092636,0.28267250,0.92672115,0.89579558,1.35051936,0.00000000,0.01238160,2.92808164
-5.26763382,4.00620622,0.06205888,0.28430674,0.92938606,0.89373520,1.34474998,0.00000000,0.01292733,2.91540177
-5.26163082,3.98115953,0.06278697,0.28545242,0.92733645,0.88923925,1.33338083,0.00000000,0.01342996,2.89119506
-5.25562781,3.94141581,0.06309615,0.28605052,0.92058193,0.88230104,1.31656439,0.00000000,0.01388191,2.85573518
-5.24962481,3.88733462,0.06298026,0.28603634,0.90921376,0.87292259,1.29452825,0.00000000,0.01427613,2.80944128
-5.24362181,3.81944530,0.06244170,0.28534238,0.89340361,0.86111726,1.26757082,0.00000000,0.01460631,2.75287326
-5.23761881,3.73844352,0.06149133,0.28390158,0.87339983,0.84691283,1.23605562,0.00000000,0.01486699,2.68672403
-5.23161581,3.64518465,0.06014812,0.28165077,0.84952145,0.83035483,1.20040400,0.00000000,0.01505374,2.61180919
-5.22561281,3.54067394,0.05843851,0.27853424,0.82215013,0.81150986,1.16108681,0.00000000,0.01516326,2.52905389
-5.21960980,3.42605345,0.05639554,0.27450716,0.79172033,0.79046867,1.11861504,0.00000000,0.01519346,2.43947756
