energy_ev,total_up,Al_p_up,Al_d_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,9.85113413,0.48302767,0.00000000,2.79492771,4.43583114,0.07910105,3.80280007
-5.99399700,9.96314922,0.49098657,0.00000000,2.82111282,4.49066454,0.08089122,3.84503572
-5.98799400,10.04848677,0.49880575,0.00000000,2.84316538,4.53125390,0.08256279,3.87712768
-5.98199100,10.10574825,0.50631534,0.00000000,2.86055315,4.55707984,0.08409226,3.89865812
-5.97598799,10.13415234,0.51335374,0.00000000,2.87295841,4.56790426,0.08545753,3.90944333
-5.96998499,10.13351543,0.51976888,0.00000000,2.88027353,4.56376038,0.08663791,3.90952237
-5.96398199,10.10421283,0.52541914,0.00000000,2.88258875,4.54493432,0.08761419,3.89913844
-5.95797899,10.04712383,0.53017431,0.00000000,2.88017322,4.51193974,0.08836868,3.87871424
-5.95197599,9.96356464,0.53391645,0.00000000,2.87345055,4.46548711,0.08888529,3.84882285
-5.94597299,9.85521304,0.53654095,0.00000000,2.86297018,4.40644954,0.08914961,3.81015589
-5.93996998,9.72402899,0.53795772,0.00000000,2.84937616,4.33582694,0.08914908,3.76349054
-5.93396698,9.57217504,0.53809267,0.00000000,2.83337463,4.25471020,0.08887325,3.70965710
-5.92796398,9.40194004,0.53688927,0.00000000,2.81570147,4.16424700,0.08831398,3.64950838
-5.92196098,9.21566901,0.53431036,0.00000000,2.79709127,4.06561050,0.08746581,3.58389221
-5.91595798,9.01570139,0.53033996,0.00000000,2.77824878,3.95997193,0.08632625,3.51362799
-5.90995498,8.80431929,0.52498498,0.00000000,2.75982349,3.84847767,0.08489613,3.43948771
-5.90395198,8.58370626,0.51827677,0.00000000,2.74238820,3.73223114,0.08317992,3.36218203
-5.89794897,8.35591690,0.51027219,0.00000000,2.72642168,3.61227950,0.08118588,3.28235117
-5.89194597,8.12285654,0.50105425,0.00000000,2.71229594,3.48960492,0.07892630,3.20056045
-5.88594297,7.88627011,0.49073198,0.00000000,2.70026773,3.36511983,0.07641747,3.11730013
-5.87993997,7.64773874,0.47943952,0.00000000,2.69047440,3.23966555,0.07367960,3.03298873
-5.87393697,7.40868260,0.46733446,0.00000000,2.68293369,3.11401356,0.07073658,2.94797918
-5.86793397,7.17036822,0.45459519,0.00000000,2.67754708,2.98886863,0.06761559,2.86256705
-5.86193097,6.93391882,0.44141746,0.00000000,2.67410629,2.86487307,0.06434659,2.77700001
-5.85592796,6.70032623,0.42801017,0.00000000,2.67230256,2.74261150,0.06096171,2.69148784
-5.84992496,6.47046325,0.41459060,0.00000000,2.67173816,2.62261558,0.05749453,2.60621226
-5.84392196,6.24509546,0.40137910,0.00000000,2.67193973,2.50536830,0.05397929,2.52133618
-5.83791896,6.02489216,0.38859359,0.00000000,2.67237320,2.39130768,0.05045012,2.43701182
-5.83191596,5.81043588,0.37644412,0.00000000,2.67245971,2.28082962,0.04694024,2.35338752
-5.82591296,5.60223069,0.36512750,0.00000000,2.67159242,2.17429008,0.04348124,2.27061309
-5.81990995,5.40070923,0.35482254,0.00000000,2.66915367,2.07200663,0.04010242,2.18884369
-5.81390695,5.20623901,0.34568587,0.00000000,2.66453243,1.97425952,0.03683026,2.10824220
-5.80790395,5.01912811,0.33784859,0.00000000,2.65714145,1.88129252,0.03368794,2.02898038
-5.80190095,4.83963077,0.33141388,0.00000000,2.64643409,1.79331370,0.03069513,1.95123889
-5.79589795,4.66795315,0.32645564,0.00000000,2.63192020,1.71049639,0.02786776,1.87520651
-5.78989495,4.50425944,0.32301822,0.00000000,2.61318094,1.63298032,0.02521804,1.80107856
-5.78389195,4.34867832,0.32111708,0.00000000,2.58988199,1.56087319,0.02275458,1.72905499
-5.77788894,4.20130985,0.32074044,0.00000000,2.56178497,1.49425243,0.02048257,1.65933811
-5.77188594,4.06223238,0.32185169,0.00000000,2.52875663,1.43316737,0.01840406,1.59213018
-5.76588294,3.93150939,0.32439241,0.00000000,2.49077548,1.37764143,0.01651840,1.52763097
-5.75987994,3.80919569,0.32828586,0.00000000,2.44793577,1.32767431,0.01482254,1.46603525
-5.75387694,3.69534255,0.33344053,0.00000000,2.40044846,1.28324403,0.01331155,1.40753042
-5.74787394,3.59000158,0.33975382,0.00000000,2.34863927,1.24430858,0.01197895,1.35229413
-5.74187094,3.49322670,0.34711537,0.00000000,2.29294364,1.21080700,0.01081718,1.30049190
-5.73586793,3.40507420,0.35541008,0.00000000,2.23389891,1.18265991,0.00981792,1.25227489
-5.72986493,3.32560063,0.36452048,0.00000000,2.17213376,1.15976940,0.00897245,1.20777761
-5.72386193,3.25485875,0.37432851,0.00000000,2.10835533,1.14201827,0.00827191,1.16711579
-5.71785893,3.19289157,0.38471669,0.00000000,2.04333443,1.12926887,0.00770754,1.13038429
-5.71185593,3.13972510,0.39556846,0.00000000,1.97788913,1.12136154,0.00727087,1.09765523
-5.70585293,3.09536018,0.40676814,0.00000000,1.91286750,1.11811317,0.00695384,1.06897641
-5.69984992,3.05976419,0.41820027,0.00000000,1.84912979,1.11931596,0.00674895,1.04437004
-5.69384692,3.03286329,0.42974881,0.00000000,1.78753070,1.12473685,0.00664930,1.02383196
-5.68784392,3.01453591,0.44129619,0.00000000,1.72890220,1.13411783,0.00664866,1.00733146
-5.68184092,3.00460826,0.45272258,0.00000000,1.67403732,1.14717754,0.00674150,0.99481167
-5.67583792,3.00285237,0.46390547,0.00000000,1.62367536,1.16361427,0.00692302,0.98619068
-5.66983492,3.00898702,0.47471995,0.00000000,1.57848873,1.18311047,0.00718917,0.98136336
-5.66383192,3.02268185,0.48503960,0.00000000,1.53907171,1.20533890,0.00753665,0.98020378
-5.65782891,3.04356446,0.49473841,0.00000000,1.50593127,1.22997008,0.00796293,0.98256824
-5.65182591,3.07123041,0.50369343,0.00000000,1.47947993,1.25668100,0.00846628,0.98829865
-5.64582291,3.10525533,0.51178846,0.00000000,1.46003073,1.28516447,0.00904572,0.99722626
-5.63981991,3.14520859,0.51891840,0.00000000,1.44779420,1.31513880,0.00970106,1.00917527
-5.63381691,3.19066754,0.52499428,0.00000000,1.44287721,1.34635718,0.01043284,1.02396637
-5.62781391,3.24123135,0.52994853,0.00000000,1.44528359,1.37861612,0.01124235,1.04141983
-5.62181091,3.29653342,0.53374040,0.00000000,1.45491636,1.41176236,0.01213156,1.06135792
-5.61580790,3.35625142,0.53636097,0.00000000,1.47158139,1.44569773,0.01310306,1.08360669
-5.60980490,3.42011419,0.53783755,0.00000000,1.49499249,1.48038151,0.01415995,1.10799674
-5.60380190,3.48790476,0.53823710,0.00000000,1.52477757,1.51582989,0.01530581,1.13436321
-5.59779890,3.55945925,0.53766829,0.00000000,1.56048604,1.55211243,0.01654450,1.16254480
-5.59179590,3.63466146,0.53628201,0.00000000,1.60159714,1.58934553,0.01788007,1.19238207
-5.58579290,3.71343339,0.53427008,0.00000000,1.64752918,1.62768301,0.01931656,1.22371509
-5.57978989,3.79572211,0.53186214,0.00000000,1.69764954,1.66730424,0.02085786,1.25638063
-5.57378689,3.88148358,0.52932062,0.00000000,1.75128533,1.70840032,0.02250746,1.29020922
-5.56778389,3.97066443,0.52693390,0.00000000,1.80773441,1.75115881,0.02426830,1.32502215
-5.56178089,4.06318246,0.52500795,0.00000000,1.86627667,1.79574790,0.02614249,1.36062875
-5.55577789,4.15890704,0.52385652,0.00000000,1.92618520,1.84230058,0.02813112,1.39682407
-5.54977489,4.25764034,0.52379039,0.00000000,1.98673710,1.89089966,0.03023401,1.43338720
-5.54377189,4.35910034,0.52510610,0.00000000,2.04722366,1.94156433,0.03244948,1.47008018
-5.53776888,4.46290662,0.52807455,0.00000000,2.10695949,1.99423888,0.03477413,1.50664774
-5.53176588,4.56856950,0.53292991,0.00000000,2.16529056,2.04878418,0.03720267,1.54281774
-5.52576288,4.67548346,0.53985958,0.00000000,2.22160077,2.10497235,0.03972769,1.57830245
-5.51975988,4.78292516,0.54899541,0.00000000,2.27531715,2.16248502,0.04233963,1.61280049
-5.51375688,4.89005672,0.56040685,0.00000000,2.32591364,2.22091544,0.04502666,1.64599962
-5.50775388,4.99593457,0.57409633,0.00000000,2.37291369,2.27977464,0.04777475,1.67758018
-5.50175088,5.09952421,0.58999728,0.00000000,2.41589197,2.33850157,0.05056777,1.70721941
-5.49574787,5.19972104,0.60797501,0.00000000,2.45447572,2.39647739,0.05338779,1.73459656
-5.48974487,5.29537742,0.62783057,0.00000000,2.48834607,2.45304358,0.05621544,1.75939892
-5.48374187,5.38533592,0.64930776,0.00000000,2.51724012,2.50752377,0.05903045,1.78132884
-5.47773887,5.46846837,0.67210300,0.00000000,2.54095405,2.55924880,0.06181231,1.80011177
-5.47173587,5.54372015,0.69587792,0.00000000,2.55934795,2.60758446,0.06454114,1.81550542
-5.46573287,5.61015895,0.72027433,0.00000000,2.57235246,2.65196126,0.06719859,1.82730972
-5.45972986,5.66702644,0.74493090,0.00000000,2.57997730,2.69190535,0.06976890,1.83537771
-5.45372686,5.71379130,0.76950101,0.00000000,2.58232164,2.72706935,0.07224005,1.83962679
-5.44772386,5.75020130,0.79367089,0.00000000,2.57958572,2.75726201,0.07460484,1.84004999
-5.44172086,5.77633186,0.81717730,0.00000000,2.57208296,2.78247520,0.07686198,1.83672676
-5.43571786,5.79262834,0.83982375,0.00000000,2.56025163,2.80290664,0.07901707,1.82983243
-5.42971486,5.79993881,0.86149434,0.00000000,2.54466480,2.81897698,0.08108337,1.81964567
-5.42371186,5.79953437,0.88216440,0.00000000,2.52603728,2.83133953,0.08308232,1.80655316
